,Rank,"Player (yrs, age)",Fielding Independent Pitching,Throws
745,746.,Vinegar Bend Mizell (9),3.898,L
746,747.,Rick Honeycutt (21),3.899,L
747,748.,Henry Gruber (5),3.900,R
748,748.,Melido Perez (9),3.900,R
749,748.,Lary Sorensen (11),3.900,R
750,751.,Danny Darwin (21),3.902,R
751,751.,Ray Scarborough (10),3.902,R
752,753.,Joe Shaute (13),3.903,L
753,754.,Phil Regan (13),3.904,R
754,755.,Al Smith (12),3.906,L
755,755.,"Masahiro Tanaka (7, 31)",3.906,R
756,755.,Javier Vazquez (14),3.906,R
757,758.,Sid Hudson (12),3.908,R
758,758.,Clay Kirby (8),3.908,R
759,760.,Tom Candiotti (16),3.910,R
760,760.,Chuck Finley (17),3.910,L
761,760.,Bill Lee (14),3.910,L
762,763.,Tom Hume (11),3.911,R
763,763.,Hugh McQuillan (10),3.911,R
764,765.,Dan Spillner (12),3.913,R
765,766.,Bob Wickman (15),3.914,R
766,767.,Matt Cain (13),3.915,R
767,767.,Dennis Martinez (23),3.915,R
768,769.,Pat Malone (10),3.917,R
769,770.,Firpo Marberry (14),3.922,R
770,771.,Kid Gleason (22),3.926,R
771,772.,Ed Doheny (9),3.928,L
772,772.,Johnny Rigney (8),3.928,R
773,774.,Red Ruffing+ (22),3.929,R
774,775.,Sad Sam Jones (22),3.930,R
775,776.,Wayne Garland (9),3.932,R
776,777.,"Brett Anderson (12, 32)",3.934,L
777,777.,Rick Sutcliffe (18),3.934,R
778,779.,Mark Langston (16),3.935,L
779,779.,Justin Masterson (8),3.935,R
780,781.,Bill Swift (13),3.936,R
781,782.,Mike Timlin (18),3.937,R
782,783.,Moe Drabowsky (17),3.938,R
783,784.,"Anibal Sanchez (15, 36)",3.940,R
784,785.,Jack Morris+ (18),3.941,R
785,785.,Fritz Ostermueller (15),3.941,L
786,787.,Slim Harriss (9),3.942,R
787,787.,Don Larsen (14),3.942,R
788,789.,Matt Young (10),3.943,L
789,790.,John Lackey (15),3.945,R
790,791.,Bob Shirley (11),3.946,L
791,792.,Jim Colborn (10),3.947,R
792,793.,Kirby Higbe (12),3.948,R
793,794.,Todd Jones (16),3.949,R
794,795.,Tom Murphy (12),3.950,R
795,796.,Jeff Fassero (16),3.952,L
796,796.,Tom Glavine+ (22),3.952,L
797,798.,Doyle Alexander (19),3.953,R
798,798.,Max Butcher (10),3.953,R
799,798.,Jesse Haines+ (19),3.953,R
800,801.,Jason Isringhausen (16),3.955,R
801,802.,Russ Kemmerer (9),3.957,R
802,803.,Johnny Lanning (11),3.958,R
803,803.,Tom Morgan (12),3.958,R
804,805.,Joe Magrane (8),3.960,L
805,806.,Michael Jackson (17),3.961,R
806,806.,Jake Miller (9),3.961,L
807,808.,George Pipgras (11),3.962,R
808,809.,Jeff Russell (14),3.963,R
809,809.,Tom Zachary (19),3.963,L
810,811.,Kevin Gross (15),3.965,R
811,812.,Matt Morris (11),3.967,R
812,813.,Tex Carleton (8),3.968,R
813,813.,Rheal Cormier (16),3.968,L
814,815.,Ricky Nolasco (12),3.969,R
815,816.,Jesse Petty (7),3.970,L
816,817.,Joe Haynes (14),3.971,R
817,817.,Shane Rawley (12),3.971,L
818,819.,Mark Davis (15),3.973,L
819,819.,George Haddock (7),3.973,R
820,819.,Ken Heintzelman (13),3.973,L
821,822.,Nig Cuppy (10),3.975,R
822,823.,Juan Berenguer (15),3.976,R
823,824.,John Curtis (15),3.977,L
824,824.,Steve Renko (15),3.977,R
825,826.,Howie Fox (9),3.980,R
826,826.,Rick Waits (12),3.980,L
827,828.,Tom Brewer (8),3.981,R
828,828.,Carl Erskine (12),3.981,R
829,830.,Paul Quantrill (14),3.982,R
830,831.,"Mike Minor (9, 32)",3.985,L
831,831.,Elmer Riddle (10),3.985,R
832,831.,Chuck Stobbs (15),3.985,L
833,834.,Vern Bickford (7),3.986,R
834,834.,Kevin Millwood (16),3.986,R
835,836.,Jimmy Ring (12),3.987,R
836,837.,Al Benton (14),3.989,R
837,837.,"Jeff Samardzija (13, 35)",3.989,R
838,839.,Boom-Boom Beck (12),3.990,R
839,839.,Ron Kline (17),3.990,R
840,841.,Jim Bagby (10),3.992,R
841,841.,Joaquin Benoit (16),3.992,R
842,843.,Dan Schatzeder (15),3.993,L
843,844.,Ross Grimsley (11),3.994,L
844,844.,Dave Rozema (10),3.994,R
845,844.,Bill Voiselle (9),3.994,R
846,844.,David Wells (21),3.994,L
847,848.,Floyd Bannister (15),3.996,L
848,849.,Murry Dickson (18),3.997,R
849,849.,Syl Johnson (19),3.997,R
850,851.,Bill Gullickson (14),3.998,R
851,852.,Tom Griffin (14),4.000,R
852,853.,Oil Can Boyd (10),4.001,R
853,853.,Jose Guzman (8),4.001,R
854,855.,Tony Cloninger (12),4.004,R
855,856.,Glen Hobbie (8),4.005,R
856,857.,Scott Kazmir (12),4.006,L
857,858.,Joe Heving (13),4.007,R
858,859.,Clarence Mitchell (18),4.008,L
859,859.,Kevin Tapani (13),4.008,R
860,861.,Alex Fernandez (10),4.009,R
861,861.,Bill Hallahan (12),4.009,L
862,861.,Ted Lyons+ (21),4.009,R
863,864.,Hank Gastright (7),4.011,R
864,865.,Ernie Broglio (8),4.012,R
865,865.,Ramon Martinez (14),4.012,R
866,867.,Larry Benton (13),4.015,R
867,867.,Lew Krausse (12),4.015,R
868,867.,Jon Lieber (14),4.015,R
869,867.,Carlos Zambrano (12),4.015,R
870,871.,Alan Foster (10),4.017,R
871,872.,Bob Turley (12),4.018,R
872,873.,Jon Niese (9),4.019,L
873,874.,Ned Garver (14),4.021,R
874,875.,Cinders O'Brien (4),4.023,R
875,876.,Hal Schumacher (13),4.024,R
876,877.,Walt Masterson (14),4.026,R
877,878.,Vic Aldridge (9),4.027,R
878,878.,Brandon McCarthy (13),4.027,R
879,880.,Barry Latman (11),4.028,R
880,881.,Ron Darling (13),4.031,R
881,882.,Frank Foreman (11),4.036,R
882,882.,Steve Stone (11),4.036,R
883,884.,Bert Cunningham (12),4.037,R
884,885.,Cal McLish (15),4.040,R
885,886.,Kirk McCaskill (12),4.042,R
886,887.,Jim Clancy (15),4.043,R
887,888.,Yovani Gallardo (12),4.044,R
888,889.,Clint Brown (15),4.046,R
889,889.,Ubaldo Jimenez (12),4.046,R
890,891.,Bob Buhl (15),4.048,R
891,892.,Ed Crane (9),4.050,R
892,892.,Charlie Robertson (8),4.050,R
893,894.,Fred Heimach (13),4.051,L
894,895.,Joe Hatten (7),4.053,L
895,896.,Dave Stewart (16),4.055,R
896,897.,Jim Wilson (12),4.056,R
897,898.,Bob Walk (14),4.057,R
898,899.,Freddie Fitzsimmons (19),4.058,R
899,899.,Randy Gumpert (10),4.058,R
900,901.,Pink Hawley (10),4.060,R
901,902.,Scott McGregor (13),4.063,L
902,903.,Huck Betts (10),4.064,R
903,903.,"Rick Porcello (12, 31)",4.064,R
904,905.,Jack Dunn (8),4.065,R
905,906.,Rick Langford (11),4.066,R
906,907.,Danny MacFayden (17),4.068,R
907,907.,Mike Torrez (18),4.068,R
908,909.,Chris Hammond (14),4.069,L
909,910.,Jered Weaver (12),4.071,R
910,911.,Scott Baker (10),4.073,R
911,911.,Jack Russell (15),4.073,R
912,913.,Clay Buchholz (13),4.074,R
913,914.,Andy Benes (14),4.075,R
914,914.,Bob McClure (19),4.075,L
915,916.,Mike Bielecki (14),4.076,R
916,917.,Ben McDonald (9),4.082,R
917,918.,Tim Leary (13),4.088,R
918,919.,Sam Gray (10),4.089,R
919,919.,Ad Gumbert (9),4.089,R
920,919.,Jim Hearn (13),4.089,R
921,922.,Brooks Lawrence (7),4.091,R
922,923.,Juan Guzman (10),4.095,R
923,924.,Ray Kolp (12),4.098,R
924,925.,Al Leiter (19),4.099,L
925,926.,Jack Stivetts (11),4.100,R
926,927.,Frank Dwyer (12),4.102,R
927,927.,Johnny Murphy (13),4.102,R
928,929.,Milt Wilcox (16),4.103,R
929,930.,Matt Garza (12),4.106,R
930,930.,Jouett Meekin (10),4.106,R
931,932.,Mark Buehrle (16),4.114,L
932,933.,"Jake Odorizzi (9, 30)",4.116,R
933,934.,Ralph Branca (12),4.117,R
934,935.,Brad Penny (14),4.118,R
935,936.,"Wade Miley (10, 33)",4.120,L
936,937.,Steve Avery (11),4.124,L
937,938.,Eric Show (11),4.125,R
938,939.,Roger Craig (12),4.127,R
939,940.,Ted Lewis (6),4.134,R
940,940.,Wandy Rodriguez (11),4.134,L
941,942.,Mudcat Grant (14),4.136,R
942,943.,Ed Brandt (11),4.139,L
943,944.,Ray Burris (15),4.140,R
944,945.,Duke Esper (9),4.142,L
945,945.,Mickey McDermott (12),4.142,L
946,945.,"Tanner Roark (8, 33)",4.142,R
947,948.,Larry Gura (16),4.144,L
948,948.,Charles Hudson (7),4.144,R
949,950.,Bud Black (15),4.148,L
950,950.,Zach Duke (15),4.148,L
951,952.,"Bartolo Colon (21, 47)",4.151,R
952,952.,Ray Moore (11),4.151,R
953,952.,Eddie Rommel (13),4.151,R
954,955.,Carl Pavano (14),4.153,R
955,956.,Willis Hudlin (16),4.157,R
956,956.,Pedro Ramos (15),4.157,R
957,958.,Alex Kellner (12),4.159,L
958,959.,Jumbo Elliott (10),4.160,L
959,960.,Guy Bush (17),4.162,R
960,961.,Joe Blanton (13),4.163,R
961,962.,Eddie Smith (10),4.165,L
962,963.,Benny Frey (8),4.170,R
963,964.,James Shields (13),4.171,R
964,965.,Jake Westbrook (13),4.172,R
965,966.,Ray Kremer (10),4.177,R
966,966.,Randy Lerch (11),4.177,L
967,966.,Win Mercer (9),4.177,R
968,969.,Bill Krueger (13),4.178,L
969,970.,LaTroy Hawkins (21),4.179,R
970,971.,Ruben Gomez (10),4.180,R
971,972.,Ted Blankenship (9),4.181,R
972,973.,Aaron Harang (14),4.182,R
973,974.,Art Ditmar (9),4.187,R
974,974.,Sloppy Thurston (9),4.187,R
975,976.,Charles Nagy (14),4.188,R
976,977.,Ben Cantwell (11),4.190,R
977,978.,Joe Bowman (11),4.191,R
978,979.,Bud Norris (10),4.195,R
979,980.,General Crowder (11),4.196,R
980,981.,"Homer Bailey (14, 34)",4.197,R
981,982.,Lloyd Brown (12),4.204,L
982,983.,Eric Plunk (14),4.206,R
983,984.,Odalis Perez (10),4.207,L
984,985.,Tom Browning (12),4.209,L
985,986.,Ken Chase (8),4.212,L
986,986.,Joel Pineiro (12),4.212,R
987,988.,Joe Genewich (9),4.213,R
988,988.,Warren Hacker (12),4.213,R
989,988.,Rick Reed (15),4.213,R
990,991.,"Danny Duffy (10, 31)",4.216,L
991,991.,"J.A. Happ (14, 37)",4.216,L
992,993.,Ken Holloway (9),4.217,R
993,994.,Phil Knell (6),4.218,L
994,994.,Bob Smith (15),4.218,R
995,994.,Dontrelle Willis (9),4.218,L
996,997.,Max Surkont (9),4.219,R
997,998.,Paul Maholm (10),4.220,L
998,999.,Bill Hoffer (6),4.222,R
