,Rank,"Player (yrs, age)",Earned Runs,Throws
699,699.,Kyle Kendrick (10),671,R
700,699.,Cory Lidle (9),671,R
701,702.,Ben Sheets (10),670,R
702,703.,Vic Aldridge (9),668,R
703,703.,Hank Borowy (10),668,R
704,703.,Joe Genewich (9),668,R
705,703.,Ken Johnson (13),668,R
706,703.,"Wade Miley (10, 33)",668,L
707,703.,Mark Redman (10),668,L
708,703.,Ed Reulbach (13),668,R
709,710.,Mario Soto (12),667,R
710,711.,Ken Brett (14),666,L
711,711.,Ben Cantwell (11),666,R
712,713.,Hugh McQuillan (10),665,R
713,713.,Billy O'Dell (13),665,L
714,715.,Rick Langford (11),664,R
715,715.,Dave LaPoint (12),664,L
716,717.,Lynn McGlothen (11),663,R
717,718.,Bill Bonham (10),662,R
718,718.,Joey Hamilton (10),662,R
719,720.,Dizzy Dean+ (12),661,R
720,720.,Odalis Perez (10),661,L
721,720.,John Thomson (10),661,R
722,723.,Ruben Gomez (10),660,R
723,723.,Clay Kirby (8),660,R
724,723.,Bob Porterfield (12),660,R
725,726.,Fred Toney (12),659,R
726,727.,Bob Veale (13),658,L
727,728.,Ken Heintzelman (13),656,L
728,728.,"Ivan Nova (11, 33)",656,R
729,728.,Ray Scarborough (10),656,R
730,731.,Ownie Carroll (9),655,R
731,731.,Sam Jones (12),655,R
732,731.,Jim Maloney (12),655,R
733,731.,Frank Smith (11),655,R
734,735.,Phil Knell (6),654,L
735,735.,Vinegar Bend Mizell (9),654,L
736,735.,Bob Weiland (12),654,L
737,738.,Roger Craig (12),653,R
738,738.,Turk Farrell (14),653,R
739,738.,Mark Hendrickson (10),653,L
740,738.,"Charlie Morton (13, 36)",653,R
741,742.,Zach Duke (15),651,L
742,742.,Dave Koslo (12),651,L
743,742.,Bill Swift (11),651,R
744,745.,Don Larsen (14),650,R
745,745.,John Montefusco (13),650,R
746,745.,David Weathers (19),650,R
747,748.,Pete Falcone (10),649,L
748,749.,Dick Bosman (11),648,R
749,749.,Josh Fogg (9),648,R
750,749.,Phil Hughes (12),648,R
751,749.,Joey Jay (13),648,R
752,753.,Adam Eaton (10),647,R
753,754.,Dave Mlicki (10),646,R
754,755.,Carlos Silva (9),645,R
755,756.,Steve Blass (10),644,R
756,756.,Clayton Richard (11),644,L
757,758.,Brian Bohanon (12),643,L
758,759.,Nate Robertson (9),642,L
759,760.,Jim O'Toole (10),640,L
760,761.,Len Barker (11),639,R
761,761.,Fred Heimach (13),639,L
762,761.,Nap Rucker (10),639,L
763,764.,Mark Clark (10),638,R
764,765.,Howie Camnitz (11),637,R
765,765.,Bob Ewing (11),637,R
766,765.,Ed Wells (11),637,L
767,768.,Colby Lewis (11),635,R
768,768.,Monte Pearson (10),635,R
769,770.,Jason Bere (11),634,R
770,770.,Ted Blankenship (9),634,R
771,772.,"Jake Arrieta (11, 34)",632,R
772,772.,Hoyt Wilhelm+ (21),632,R
773,774.,Dave Foutz (13),631,R
774,774.,"Clayton Kershaw (13, 32)",631,L
775,776.,Jim Bagby (9),630,R
776,777.,Glenn Abbott (11),627,R
777,777.,Willie McGill (7),627,L
778,777.,Melido Perez (9),627,R
779,780.,Larry Corcoran (8),626,R
780,780.,Scott Elarton (10),626,R
781,780.,Dick McBride (6),626,R
782,783.,Ralph Branca (12),625,R
783,784.,Oil Can Boyd (10),624,R
784,785.,John Tudor (12),623,L
785,786.,Tommy Byrne (13),622,L
786,786.,Johnny Morrison (10),622,R
787,786.,Mike Sullivan (10),622,R
788,789.,Jason Jennings (9),621,R
789,790.,Blue Moon Odom (13),620,R
790,791.,"Jose Quintana (9, 31)",619,L
791,792.,Harry Brecheen (12),618,L
792,793.,Bill Duggleby (8),616,R
793,793.,George Zettlein (6),616,R
794,795.,Al Jackson (10),614,L
795,795.,Ron Villone (15),614,L
796,797.,Kent Mercker (18),612,L
797,798.,Kris Benson (9),611,R
798,798.,Mark Mulder (9),611,L
799,798.,Don Wilson (9),611,R
800,801.,Bill Carrick (5),610,R
801,801.,Stu Miller (16),610,R
802,803.,Bob Shirley (11),608,L
803,804.,John Buzhardt (11),607,R
804,804.,Mort Cooper (11),607,R
805,804.,Gavin Floyd (13),607,R
806,804.,Hank Gastright (7),607,R
807,804.,Dupee Shaw (6),607,L
808,804.,Ed Willett (10),607,R
809,810.,Omar Daal (11),606,L
810,810.,Fred Hutchinson (11),606,R
811,810.,Tom Murphy (12),606,R
812,813.,Bill Bernhard (9),605,R
813,813.,Rich Gossage+ (22),605,R
814,813.,Dick Rudolph (13),605,R
815,816.,Orlando Hernandez (9),604,R
816,816.,Bud Norris (10),604,R
817,818.,Jimmy Callahan (13),603,R
818,818.,Sal Maglie (10),603,R
819,820.,Mark Leiter (11),602,R
820,820.,Jim Merritt (11),602,L
821,820.,Willard Nixon (9),602,R
822,823.,Dave Bush (9),601,R
823,823.,Warren Hacker (12),601,R
824,823.,Greg Harris (15),601,R
825,826.,Dustin Hermanson (12),600,R
826,827.,Ed Walsh+ (14),598,R
827,828.,Henry Boyle (6),597,R
828,829.,Huck Betts (10),596,R
829,829.,Bobby Bolin (13),596,R
830,829.,Marco Estrada (12),596,R
831,832.,"Jhoulys Chacin (12, 32)",595,R
832,832.,José Contreras (11),595,R
833,832.,Dick Fowler (10),595,R
834,835.,Bill Walker (10),594,L
835,835.,C.J. Wilson (11),594,L
836,837.,Dan Casey (7),593,L
837,838.,Bob Muncrief (12),592,R
838,838.,Ryan Vogelsong (12),592,R
839,838.,Pete Vuckovich (11),592,R
840,841.,Larry Christenson (11),591,R
841,841.,Bruce Ruffin (12),591,L
842,843.,Glen Hobbie (8),590,R
843,843.,Harry McIntire (9),590,R
844,843.,Don Mossi (12),590,L
845,846.,Clay Buchholz (13),589,R
846,846.,Bill Phillips (7),589,R
847,846.,"Julio Teheran (10, 29)",589,R
848,849.,Doug Fister (10),588,R
849,849.,Luke Hamlin (9),588,R
850,849.,Roy Mahaffey (9),588,R
851,852.,"Kyle Gibson (8, 32)",586,R
852,852.,Pete Schourek (11),586,L
853,854.,Phil Regan (13),585,R
854,854.,Vern Ruhle (13),585,R
855,854.,Dummy Taylor (9),585,R
856,854.,Bill Voiselle (9),585,R
857,858.,Ed Doheny (9),583,L
858,858.,Eddie Fisher (15),583,R
859,858.,Jeremy Hellickson (10),583,R
860,861.,LaMarr Hoyt (8),582,R
861,861.,Allan Sothoron (11),582,R
862,861.,Chris Tillman (10),582,R
863,861.,Matt Young (10),582,L
864,865.,Dixie Davis (10),581,R
865,865.,Bob Miller (17),581,R
866,865.,Carl Scheib (11),581,R
867,865.,Max Surkont (9),581,R
868,869.,Benny Frey (8),580,R
869,869.,Jesse Jefferson (9),580,R
870,869.,Hooks Wiltse (12),580,L
871,872.,Candy Cummings+ (6),579,R
872,872.,Elmer Dessens (14),579,R
873,872.,Hugh Mulcahy (9),579,R
874,875.,Erik Bedard (11),578,L
875,876.,Bill Krueger (13),577,L
876,876.,Jack Wilson (9),577,R
877,878.,George Brunet (15),576,L
878,878.,John Ward+ (17),576,R
879,880.,Justin Masterson (8),575,R
880,881.,Noodles Hahn (8),574,L
881,881.,Paul Minner (10),574,L
882,883.,Gary Nolan (10),573,R
883,884.,Mike Bielecki (14),572,R
884,884.,Mickey McDermott (12),572,L
885,886.,Mickey Haefner (8),571,L
886,886.,Lew Krausse (12),571,R
887,886.,Tom Lovett (6),571,R
888,886.,Brandon McCarthy (13),571,R
889,886.,George Suggs (8),571,R
890,891.,Chris Young (13),570,R
891,892.,Jumbo Elliott (10),569,L
892,892.,Johnny Marcum (7),569,R
893,892.,Armando Reynoso (12),569,R
894,895.,Bob Barr (5),568,R
895,896.,Ken Holloway (9),567,R
896,896.,Guy Morton (11),567,R
897,898.,"Lance Lynn (9, 33)",566,R
898,898.,Dontrelle Willis (9),566,L
899,900.,Gordon Rhodes (8),565,R
900,901.,Larry Cheney (9),564,R
901,901.,Ellis Kinder (12),564,R
902,903.,Hank Johnson (12),563,R
903,903.,Kerry Wood (14),563,R
904,905.,J.R. Richard (10),562,R
905,905.,Todd Van Poppel (11),562,R
906,907.,Art Ditmar (9),561,R
907,907.,"Jordan Lyles (10, 29)",561,R
908,907.,Ben McDonald (9),561,R
909,907.,Ed Seward (6),561,R
910,907.,Bill Stoneman (8),561,R
911,912.,Gene Garber (19),560,R
912,913.,Joe Mays (7),559,R
913,913.,Clyde Shoun (14),559,L
914,915.,Barney Pelty (10),558,R
915,916.,Ernie Broglio (8),556,R
916,916.,Wiley Piatt (6),556,L
917,918.,Ike Delock (11),555,R
918,919.,Teddy Higuera (9),554,L
919,920.,Ken Chase (8),553,L
920,920.,Randy Lerch (11),553,L
921,922.,Joe Coleman (10),552,R
922,922.,Ryan Franklin (12),552,R
923,922.,Matt Keough (9),552,R
924,922.,Cliff Melton (8),552,L
925,926.,Jose Guzman (8),551,R
926,926.,Ted Lewis (6),551,R
927,928.,Ray Fisher (10),550,R
928,928.,Ted Gray (9),550,L
929,928.,Jaret Wright (11),550,R
930,931.,Rollie Fingers+ (17),549,R
931,932.,"Chris Sale (10, 31)",548,L
932,932.,Dan Schatzeder (15),548,L
933,934.,Rheal Cormier (16),547,L
934,934.,Kaiser Wilhelm (9),547,R
935,936.,Jim Shaw (9),546,R
936,936.,Claude Willoughby (7),546,R
937,938.,Pete Appleton (14),545,R
938,938.,Andrew Cashner (10),545,R
939,938.,Jim Hughey (7),545,R
940,938.,"Dallas Keuchel (9, 32)",545,L
941,938.,Allen Russell (11),545,R
942,943.,Al Mays (6),543,R
943,944.,Braden Looper (12),542,R
944,945.,Max Lanier (14),541,L
945,945.,Scott Schoeneweis (12),541,L
946,947.,Dave Righetti (16),540,L
947,948.,Brian Meadows (9),539,R
948,949.,Doug Bird (11),538,R
949,949.,John Harkins (5),538,R
950,949.,Jon Niese (9),538,L
951,949.,Arthur Rhodes (20),538,L
952,949.,Lee Richmond (6),538,L
953,954.,Scott Karl (6),536,L
954,955.,Paul Quantrill (14),534,R
955,955.,Pat Ragan (11),534,R
956,957.,Howie Fox (9),533,R
957,957.,Lee Viau (5),533,R
958,959.,Jim Beattie (9),532,R
959,959.,Phil Douglas (9),532,R
960,959.,Roy Parmelee (10),532,R
961,962.,Roy Face (16),531,R
962,962.,Lil Stoner (9),531,R
963,964.,"Chris Archer (8, 31)",530,R
964,964.,Sugar Cain (7),530,R
965,964.,Mark Davis (15),530,L
966,964.,Phil Marchildon (9),530,R
967,964.,"Josh Tomlin (11, 35)",530,R
968,964.,Curt Young (11),530,L
969,970.,Russ Kemmerer (9),529,R
970,970.,Barry Latman (11),529,R
971,972.,Tiny Bonham (10),528,R
972,972.,Chuck Dobson (9),528,R
973,972.,Tug McGraw (19),528,L
974,972.,George Winter (8),528,R
975,976.,Steve McCatty (9),527,R
976,977.,Danny Cox (11),525,R
977,977.,Ed Cushman (6),525,L
978,977.,Jumbo McGinnis (6),525,
979,977.,Jerome Williams (11),525,R
980,981.,Bill Hoffer (6),523,R
981,981.,Grant Jackson (18),523,L
982,981.,Kevin Jarvis (12),523,R
983,981.,Red Munger (10),523,R
984,981.,Socks Seibold (9),523,R
985,986.,Juan Berenguer (15),522,R
986,986.,Jim McGlothlin (9),522,R
987,986.,Willie Mitchell (11),522,L
988,989.,"Carlos Carrasco (11, 33)",520,R
989,989.,Les German (6),520,R
990,991.,Doc McJames (6),519,R
991,992.,"Patrick Corbin (8, 30)",518,L
992,992.,Al Fitzmorris (10),518,R
993,992.,Hod Lisenbee (8),518,R
994,992.,Pete Smith (11),518,R
995,996.,Buster Brown (9),517,R
996,996.,Chris Hammond (14),517,L
997,996.,"Martin Perez (9, 29)",517,L
998,999.,"Trevor Bauer (9, 29)",516,R
