,Rank,"Player (yrs, age)",Base-Out Runs Saved (RE24),Throws
510,511.,Clay Buchholz (13),48.580,R
511,512.,Matt Morris (11),48.430,R
512,513.,Ervin Santana (15),48.189,R
513,514.,Ron Reed (19),48.131,R
514,515.,Jack Kralick (9),48.078,L
515,516.,"Pedro Baez (7, 32)",47.958,R
516,517.,Bob Smith (15),47.788,R
517,518.,Eddie Guardado (17),47.583,L
518,519.,"Alex Colome (8, 31)",47.430,R
519,520.,Ralph Branca (12),47.426,R
520,521.,"J.A. Happ (14, 37)",47.406,L
521,522.,Bobby Jenks (7),47.304,R
522,523.,Paul Assenmacher (14),47.230,L
523,524.,Mike Witt (12),47.229,R
524,525.,Tom Niedenfuer (10),46.829,R
525,526.,"Cody Allen (8, 31)",46.705,R
526,527.,Bob Buhl (15),46.662,R
527,528.,Ramon Ramirez (9),46.645,R
528,529.,Jim Turner (9),46.634,R
529,530.,Johnny Schmitz (13),46.619,L
530,531.,Roger Nelson (9),46.384,R
531,532.,Sonny Siebert (12),46.182,R
532,533.,Jonathan Broxton (13),46.078,R
533,534.,Rheal Cormier (16),46.055,L
534,535.,Tex Carleton (8),46.008,R
535,536.,Lindy McDaniel (21),45.902,R
536,537.,Jim Konstanty (11),45.864,R
537,538.,Dave Ferriss (6),45.802,R
538,539.,Al McBean (10),45.786,R
539,540.,Ryan Franklin (12),45.661,R
540,541.,"Brandon Kintzler (11, 35)",45.653,R
541,542.,Steve Ontiveros (10),45.532,R
542,543.,George Earnshaw (9),45.470,R
543,544.,Greg Harris (15),45.320,R
544,545.,Brian Wilson (9),45.295,R
545,546.,Rube Benton (15),45.267,L
546,547.,Bob Locker (10),45.139,R
547,548.,Juan Pizarro (18),45.096,L
548,549.,"Brad Hand (10, 30)",45.082,L
549,550.,Jim O'Toole (10),45.065,L
550,551.,Craig Breslow (12),44.985,L
551,552.,Bill Hallahan (12),44.843,L
552,553.,Lou Fette (5),44.721,R
553,554.,Danny Patterson (9),44.717,R
554,555.,"Blake Treinen (7, 32)",44.711,R
555,556.,Antonio Osuna (11),44.649,R
556,557.,Steve Hamilton (12),44.573,L
557,558.,Akinori Otsuka (4),44.326,R
558,559.,Terry Fox (7),43.792,R
559,560.,Carl Erskine (12),43.677,R
560,561.,Mike Remlinger (14),43.640,L
561,562.,Jesse Petty (7),43.639,L
562,563.,Dave LaRoche (14),43.632,L
563,564.,Hideo Nomo (12),43.290,R
564,565.,Eric Plunk (14),43.116,R
565,566.,Scott Sanderson (19),43.066,R
566,567.,Scott Downs (13),42.960,L
567,568.,Denny McLain (10),42.751,R
568,569.,"Walker Buehler (4, 25)",42.700,R
569,570.,Mike Gonzalez (11),42.626,L
570,571.,Wade Miller (9),42.597,R
571,572.,Gregg Olson (14),42.567,R
