,Rank,"Player (yrs, age)",Championship WPA (cWPA),Bats
309,310.,Juan Gonzalez (17),16.66,R
310,311.,Don Baylor (19),16.64,R
311,312.,Lonny Frey (14),16.63,L
312,313.,"Josh Donaldson (10, 34)",16.58,R
313,313.,"Bryce Harper (9, 27)",16.58,L
314,315.,Sammy Sosa (18),16.56,R
315,316.,Bubbles Hargrave (12),16.43,R
316,317.,Chris Chambliss (17),16.40,L
317,317.,Bing Miller (16),16.40,R
318,319.,Harry Heilmann+ (17),16.39,R
319,320.,Wally Joyner (16),16.37,L
320,321.,Scott Rolen (17),16.28,R
321,322.,"Freddie Freeman (11, 30)",16.24,L
322,322.,Mickey Vernon (20),16.24,L
323,324.,Luke Appling+ (20),16.18,R
324,325.,Andres Galarraga (19),16.14,R
325,326.,"Andrew McCutchen (12, 33)",16.13,R
326,327.,Kenny Lofton (17),16.09,L
327,328.,Terry Pendleton (15),15.90,B
328,329.,Elston Howard (14),15.88,R
329,330.,Hank Leiber (10),15.80,R
330,331.,Jim Lefebvre (8),15.79,B
331,332.,Jim Edmonds (17),15.71,L
332,333.,Buddy Myer (17),15.70,L
333,334.,Ellis Burks (18),15.69,R
334,335.,Manny Mota (20),15.46,R
335,336.,Roy Sievers (17),15.44,R
336,337.,Rusty Staub (23),15.39,L
337,338.,Willie McGee (18),15.20,B
338,339.,J.D. Drew (14),15.18,L
339,340.,Gavvy Cravath (11),15.17,R
340,341.,"Christian Yelich (8, 28)",15.16,L
341,342.,Victor Martinez (16),15.14,B
342,342.,Kevin McReynolds (12),15.14,R
343,344.,Johnny Callison (16),15.05,L
344,345.,Bernie Carbo (12),15.03,L
345,346.,Larry Gardner (17),14.89,L
346,347.,Aramis Ramirez (18),14.82,R
347,348.,Lenny Dykstra (12),14.78,L
348,348.,Luis Gonzalez (19),14.78,L
349,350.,Vern Stephens (15),14.77,R
350,351.,Bob Skinner (12),14.75,L
351,351.,Gene Tenace (15),14.75,R
352,353.,Tommy Holmes (11),14.72,L
353,354.,Hanley Ramirez (15),14.63,R
354,355.,Wally Berger (11),14.60,R
355,356.,Jeff Kent (17),14.57,R
356,357.,Bob Bailey (17),14.48,R
357,358.,Ernie Lombardi+ (17),14.44,R
358,359.,Edgardo Alfonzo (12),14.41,R
359,360.,Ron Gant (16),14.36,R
360,361.,Wally Post (15),14.31,R
361,362.,Hoot Evers (12),14.26,R
362,363.,Joe Mauer (15),14.22,L
363,364.,"Matt Carpenter (10, 34)",14.20,L
364,365.,Josh Hamilton (9),14.19,L
365,366.,Norm Larker (6),14.18,L
366,367.,Nomar Garciaparra (14),14.13,R
367,368.,Thurman Munson (11),14.12,R
368,369.,Oscar Gamble (17),13.99,L
369,370.,Merv Rettenmund (13),13.90,R
