,Rank,"Player (yrs, age)",Win Probability Added (WPA),Throws
426,427.,Steve Busby (8),7.31,R
427,428.,"Rich Hill (16, 40)",7.30,L
428,429.,Rick Reed (15),7.28,R
429,430.,Don McMahon (18),7.23,R
430,431.,Charlie Leibrandt (14),7.18,L
431,432.,Mike Scott (13),7.16,R
432,433.,Darryl Kile (12),7.13,R
433,434.,Bob Purkey (13),7.12,R
434,435.,Ted Lilly (15),7.10,L
435,436.,Bob Rush (13),7.07,R
436,437.,Johnny Niggeling (9),7.06,R
437,438.,Leon Cadore (10),7.04,R
438,439.,Hiroki Kuroda (7),7.02,R
439,440.,"Jake Arrieta (11, 34)",7.00,R
440,441.,"Will Harris (9, 35)",6.99,R
441,442.,Carl Erskine (12),6.96,R
442,443.,"Blake Treinen (7, 32)",6.94,R
443,444.,Whit Wyatt (16),6.92,R
444,445.,Babe Ruth+ (22),6.91,L
445,446.,"Blake Snell (5, 27)",6.90,L
446,447.,Jim Turner (9),6.89,R
447,448.,Vicente Romo (8),6.88,R
448,449.,Herb Score (8),6.85,L
449,449.,Scott Sullivan (10),6.85,R
450,449.,"Julio Teheran (10, 29)",6.85,R
451,452.,Ken Raffensberger (15),6.84,L
452,453.,John Smiley (12),6.83,L
453,454.,Steve Howe (12),6.80,L
454,454.,Barry Zito (15),6.80,L
455,456.,Dennis Leonard (12),6.75,R
456,456.,"AJ Ramos (8, 33)",6.75,R
457,458.,Sandy Consuegra (8),6.72,R
458,458.,Javier Vazquez (14),6.72,R
459,460.,Tom Burgmeier (17),6.71,L
460,461.,Carlos Marmol (9),6.70,R
461,462.,Ben Sheets (10),6.67,R
462,463.,Dave Giusti (15),6.66,R
463,464.,J.C. Romero (14),6.65,L
464,464.,Tom Wilhelmsen (7),6.65,R
465,466.,Bill Caudill (9),6.59,R
466,466.,Doug Corbett (8),6.59,R
467,468.,"Shane Bieber (3, 25)",6.58,R
468,468.,A.J. Burnett (17),6.58,R
469,470.,Don Aase (13),6.54,R
470,471.,Jack Harshman (10),6.49,L
471,472.,Tex Carleton (8),6.46,R
472,473.,Harvey Haddix (14),6.44,L
473,474.,Bill Landrum (8),6.43,R
474,475.,"Edwin Diaz (5, 26)",6.42,R
475,476.,Ervin Santana (15),6.41,R
476,477.,Peter Moylan (12),6.40,R
477,478.,Woody Williams (15),6.38,R
478,479.,Dave Koslo (12),6.37,L
479,480.,Jose DeLeon (13),6.34,R
480,480.,"Hector Rondon (8, 32)",6.34,R
481,482.,"Sonny Gray (8, 30)",6.33,R
482,482.,Mickey McDermott (12),6.33,L
483,484.,Bob Patterson (13),6.31,L
484,485.,"Taylor Rogers (5, 29)",6.29,L
485,486.,Sam Jones (12),6.28,R
486,487.,"Trevor Bauer (9, 29)",6.24,R
487,488.,Oral Hildebrand (10),6.23,R
488,488.,Tim Lincecum (10),6.23,R
489,490.,Doug Bair (15),6.21,R
490,490.,Hideo Nomo (12),6.21,R
491,492.,"Noah Syndergaard (5, 27)",6.17,R
492,493.,Frank Sullivan (11),6.14,R
493,494.,Joe Hatten (7),6.12,L
494,494.,Al Holland (10),6.12,L
495,496.,Al Worthington (14),6.11,R
496,497.,Mike Boddicker (14),6.09,R
497,497.,Jesse Crain (10),6.09,R
498,499.,"Blake Parker (8, 35)",6.08,R
499,500.,Hank Borowy (10),6.06,R
500,501.,"Jeurys Familia (9, 30)",6.05,R
501,502.,Dick Donovan (15),6.02,R
502,502.,"Raisel Iglesias (6, 30)",6.02,R
503,502.,Zane Smith (13),6.02,L
504,505.,Ed Brandt (11),6.01,L
505,506.,Dave Ferriss (6),6.00,R
506,507.,Gary Peters (14),5.99,L
507,508.,Jose Mesa (19),5.98,R
508,509.,Ray Starr (7),5.96,R
509,510.,Gabe White (11),5.93,L
510,511.,Daniel Bard (6),5.89,R
511,511.,Rheal Cormier (16),5.89,L
512,513.,John Wyatt (9),5.86,R
513,514.,Clint Brown (15),5.84,R
514,515.,Ralph Branca (12),5.76,R
515,516.,Bob Buhl (15),5.74,R
516,516.,Scott Williamson (9),5.74,R
517,518.,Scott Perry (7),5.70,R
518,519.,Hank Aguirre (16),5.68,L
519,519.,Chuck Taylor (8),5.68,R
520,521.,Jason Motte (9),5.64,R
521,522.,Tom Candiotti (16),5.61,R
522,523.,Guy Bush (17),5.60,R
523,523.,"Jose Quintana (9, 31)",5.60,L
524,525.,Jim Kern (13),5.59,R
525,526.,Earl Whitehill (17),5.57,L
526,527.,Dickey Kerr (4),5.52,L
527,527.,Jake Miller (9),5.52,L
528,529.,Stan Williams (14),5.50,R
529,530.,Jim Johnson (13),5.49,R
530,531.,James Shields (13),5.48,R
531,532.,Seth Maness (5),5.47,R
532,532.,Steve Ontiveros (10),5.47,R
533,532.,"Justin Wilson (9, 32)",5.47,L
534,535.,Justin Thompson (5),5.45,L
535,536.,Scott McGregor (13),5.44,L
536,536.,Greg McMichael (8),5.44,R
537,538.,Mark Prior (5),5.43,R
538,538.,Jonny Venters (5),5.43,L
539,540.,"Will Smith (8, 30)",5.42,L
540,541.,Stan Belinda (12),5.39,R
541,542.,Lefty Williams (7),5.38,L
542,543.,Bill Doak (16),5.36,R
543,544.,Sean Marshall (9),5.35,L
544,545.,Scott Downs (13),5.34,L
545,546.,"Jack Flaherty (4, 24)",5.32,R
546,546.,Juan Pizarro (18),5.32,L
547,548.,Mat Latos (9),5.31,R
548,548.,Gregg Olson (14),5.31,R
549,550.,Clem Labine (13),5.29,R
550,551.,Frank Francisco (10),5.27,R
551,552.,"Kirby Yates (7, 33)",5.26,R
552,553.,Jesse Petty (7),5.25,L
553,554.,"Shane Greene (7, 31)",5.22,R
554,555.,"Kenta Maeda (5, 32)",5.21,R
555,555.,Guy Morton (11),5.21,R
556,555.,Paul Shuey (11),5.21,R
557,558.,Garland Braxton (10),5.20,L
558,558.,Roger McDowell (12),5.20,R
559,560.,Sonny Siebert (12),5.19,R
560,561.,Earl Hamilton (14),5.13,L
561,562.,"Corey Knebel (6, 28)",5.11,R
562,563.,Eddie Fisher (15),5.10,R
563,563.,"Luis Severino (5, 26)",5.10,R
564,565.,Scott Baker (10),5.09,R
565,566.,Akinori Otsuka (4),5.08,R
566,567.,"J.A. Happ (14, 37)",5.06,L
567,568.,Andrew Bailey (8),5.04,R
568,569.,"Pedro Strop (12, 35)",5.02,R
569,570.,Addison Reed (8),5.01,R
570,571.,Chris Young (13),5.00,R
571,572.,Doug Rau (9),4.98,L
572,572.,Bob Smith (15),4.98,R
573,574.,Larry Dierker (14),4.96,R
