,Rank,"Player (yrs, age)",Win Probability Added (WPA),Bats
964,963.,Tony Fernandez (17),3.39,B
965,963.,Ken Phelps (11),3.39,L
966,967.,Terry Pendleton (15),3.38,B
967,968.,Johnny Moore (10),3.35,L
968,969.,Johnny Ray (10),3.34,B
969,969.,Mookie Wilson (12),3.34,B
970,971.,Jimmy Johnston (13),3.33,R
971,972.,"Jed Lowrie (12, 36)",3.32,B
972,972.,Willard Marshall (11),3.32,L
973,972.,Fred Nicholson (5),3.32,R
974,972.,Rich Rollins (10),3.32,R
975,976.,Larry Sheets (8),3.31,L
976,977.,"Rafael Devers (4, 23)",3.30,L
977,977.,Woody English (12),3.30,R
978,977.,Bill Hinchman (10),3.30,R
979,980.,Norm Larker (6),3.28,L
980,981.,"Mike Yastrzemski (2, 29)",3.27,L
981,982.,"Mitch Haniger (4, 29)",3.26,R
982,982.,Craig Kusick (7),3.26,R
983,982.,Carmelo Martinez (9),3.26,R
984,982.,Bubba Morton (7),3.26,R
985,982.,Rickie Weeks (14),3.26,R
986,987.,Turner Barber (9),3.25,L
987,987.,Danny Gardella (3),3.25,L
988,989.,Manny Sanguillen (13),3.23,R
989,990.,"Pete Alonso (2, 25)",3.22,R
990,991.,Lou Johnson (8),3.21,R
991,992.,Gary Alexander (7),3.20,R
992,993.,Carl Reynolds (13),3.19,R
993,993.,Gary Thomasson (9),3.19,L
994,995.,Joe Hauser (6),3.17,L
995,996.,"Brandon Lowe (3, 25)",3.16,L
996,997.,Jeff Cirillo (14),3.15,R
997,998.,Ben Paschal (8),3.13,R
998,999.,Dom Dallessandro (8),3.12,L
