,Rank,"Player (yrs, age)",Strikeouts / Base On Balls,Throws
608,609.,Joey Jay (13),1.6458,R
609,610.,Lynn McGlothen (11),1.6416,R
610,611.,Charlie Root (17),1.6412,R
611,612.,Gary Bell (12),1.6366,R
612,613.,Schoolboy Rowe (15),1.6362,R
613,614.,Doug Davis (13),1.6335,L
614,615.,Cal Eldred (14),1.6302,R
615,616.,Pedro Borbon (12),1.6295,R
616,617.,Doc Ayers (9),1.6283,R
617,618.,Jason Johnson (11),1.6265,R
618,619.,Bob Ewing (11),1.6254,R
619,620.,Bruce Kison (15),1.6208,R
620,621.,Bob Barr (5),1.6198,R
621,622.,Roy Patterson (7),1.6190,R
622,623.,Pete Vuckovich (11),1.6183,R
623,624.,David Weathers (19),1.6159,R
624,625.,Charlie Smith (10),1.6147,R
625,626.,Juan Berenguer (15),1.6142,R
626,627.,Dave Stieb (16),1.6141,R
627,628.,Joe Benz (9),1.6138,R
628,629.,Rick Langford (11),1.6130,R
629,629.,Jaime Navarro (12),1.6130,R
630,631.,Bob Wicker (6),1.6109,R
631,632.,Charles Hudson (7),1.6066,R
632,633.,Tom Hughes (13),1.6038,R
633,633.,Jack Sanford (12),1.6038,R
634,635.,Dennis Rasmussen (12),1.5996,L
635,636.,Mort Cooper (11),1.5989,R
636,636.,Doc Crandall (10),1.5989,R
637,636.,Jon Garland (13),1.5989,R
638,639.,Fred Norman (16),1.5988,L
639,640.,Curt Simmons (20),1.5964,L
640,641.,Jeff Suppan (17),1.5959,R
641,642.,Luke Hamlin (9),1.5949,R
642,643.,Jose Mesa (19),1.5945,R
643,644.,Henry Boyle (6),1.5926,R
644,645.,Chuck Dobson (9),1.5924,R
645,646.,Eric Show (11),1.5918,R
646,647.,Jack Powell (16),1.5877,R
647,648.,Dutch Leonard (20),1.5875,R
648,649.,Kent Tekulve (16),1.5866,R
649,650.,George Brunet (15),1.5852,L
650,651.,Pete Smith (11),1.5842,R
651,652.,Eric Rasmussen (8),1.5825,R
652,652.,Al Worthington (14),1.5825,R
653,654.,Jim Barr (12),1.5800,R
654,655.,Rick Honeycutt (21),1.5799,L
655,656.,Josh Fogg (9),1.5793,R
656,657.,Jim Perry (17),1.5792,R
657,658.,Mike Bielecki (14),1.5786,R
658,659.,Bob Rush (13),1.5767,R
659,660.,Ben Sanders (5),1.5758,R
660,661.,Al McBean (10),1.5753,R
661,662.,Dan Schatzeder (15),1.5747,L
662,663.,Mike Caldwell (14),1.5729,L
663,664.,Rick Mahler (13),1.5710,R
664,665.,Tom Sturdivant (10),1.5679,R
665,666.,Gene Nelson (13),1.5670,R
666,667.,Claude Hendrix (10),1.5667,R
667,668.,Nick Altrock (19),1.5625,L
668,669.,Doyle Alexander (19),1.5624,R
669,670.,Dennis Lamp (16),1.5610,R
670,671.,Dave Roberts (13),1.5561,L
671,672.,Bob Purkey (13),1.5549,R
672,673.,Frank Smith (11),1.5547,R
673,674.,Mel Stottlemyre (11),1.5538,R
674,675.,Mike Garcia (14),1.5535,R
675,676.,Rick Sutcliffe (18),1.5532,R
676,677.,Matt Kilroy (10),1.5517,L
677,677.,Jim Scott (9),1.5517,R
678,679.,Bill Stoneman (8),1.5515,R
679,680.,Ted Power (13),1.5509,R
680,681.,Dave Foutz (13),1.5490,R
681,682.,Bill Bonham (10),1.5487,R
682,683.,Mike Pelfrey (12),1.5461,R
683,684.,Jack Quinn (23),1.5453,R
684,685.,Nick Cullop (6),1.5444,L
685,686.,Lon Warneke (15),1.5426,R
686,687.,Clay Carroll (15),1.5407,R
687,688.,Leon Cadore (10),1.5398,R
688,689.,Mike Hampton (16),1.5394,L
689,690.,Jeff Tesreau (7),1.5385,R
690,691.,Roger Craig (12),1.5383,R
691,692.,Cherokee Fisher (8),1.5375,R
692,693.,Sal Maglie (10),1.5338,R
693,694.,Billy Loes (11),1.5321,R
694,695.,Cliff Melton (8),1.5313,L
695,696.,Doc Medich (11),1.5304,R
696,697.,Jason Marquis (15),1.5267,R
697,698.,Storm Davis (13),1.5255,R
698,699.,Al Demaree (8),1.5252,R
699,700.,Fred Hutchinson (11),1.5232,R
700,701.,Willie Mitchell (11),1.5223,L
701,702.,Steve Busby (8),1.5219,R
702,703.,Jack Billingham (13),1.5213,R
703,704.,Tom Burgmeier (17),1.5208,L
704,705.,Carl Erskine (12),1.5186,R
705,706.,Matt Young (10),1.5168,L
706,707.,Claude Passeau (13),1.5165,R
707,707.,Kip Wells (12),1.5165,R
708,709.,Ray Herbert (14),1.5131,R
709,710.,Bill Swift (13),1.5128,R
710,711.,Al Spalding+ (8),1.5122,R
711,712.,Ed Siever (7),1.5113,L
712,713.,Kent Mercker (18),1.5107,L
713,714.,Kirk McCaskill (12),1.5083,R
714,715.,Frank Kitson (10),1.5082,R
715,716.,Bob Caruthers (10),1.5075,R
716,717.,George Winter (8),1.5066,R
717,718.,Jim Clancy (15),1.5016,R
718,719.,Danny Jackson (15),1.5012,L
719,720.,Steve Blass (10),1.5008,R
720,721.,Urban Shocker (13),1.4962,R
721,722.,Mike Morgan (22),1.4957,R
722,723.,Julian Tavarez (17),1.4956,R
723,724.,Bill Bernhard (9),1.4932,R
724,725.,Ewell Blackwell (10),1.4929,R
725,726.,Dick Ruthven (14),1.4928,R
726,727.,Jim Bibby (12),1.4924,R
727,728.,Mudcat Grant (14),1.4923,R
728,729.,Bruce Ruffin (12),1.4920,L
729,730.,Clay Kirby (8),1.4881,R
730,731.,Steve Stone (11),1.4874,R
731,732.,Frank Owen (8),1.4866,R
732,733.,Lefty Williams (7),1.4841,L
733,734.,John Buzhardt (11),1.4836,R
734,735.,Jason Jennings (9),1.4832,R
735,736.,Tom Phoebus (7),1.4826,R
736,737.,Ned Garvin (7),1.4818,R
737,738.,Bob Groom (10),1.4802,R
738,739.,Kid Nichols+ (15),1.4788,R
739,740.,Milt Wilcox (16),1.4766,R
740,741.,Armando Reynoso (12),1.4734,R
741,742.,John Denny (13),1.4730,R
742,743.,Bob Miller (17),1.4720,R
743,744.,George McQuillan (10),1.4713,R
744,744.,Bob Stanley (13),1.4713,R
745,746.,Stan Bahnsen (16),1.4708,R
746,747.,Johnny Sain (11),1.4701,R
747,748.,Jason Bere (11),1.4696,R
748,749.,Wayne Twitchell (10),1.4693,R
749,750.,Ron Perranoski (13),1.4679,L
750,751.,Wilbur Cooper (15),1.4678,L
751,752.,Bill Donovan (18),1.4655,R
752,753.,Curt Young (11),1.4645,L
753,754.,Bob Feller+ (18),1.4632,R
754,755.,Lew Krausse (12),1.4625,R
755,756.,Randy Jones (10),1.4612,L
756,757.,Slim Sallee (14),1.4590,L
757,758.,Harry Howell (13),1.4564,R
758,759.,Bob Shirley (11),1.4549,L
759,760.,Pat Malone (10),1.4525,R
760,761.,Ron Villone (15),1.4521,L
761,762.,Dan Spillner (12),1.4512,R
762,763.,Steve Hargan (12),1.4511,R
763,764.,Johnny Allen (13),1.4499,R
764,765.,Larry French (14),1.4493,L
765,766.,Jim Colborn (10),1.4484,R
766,767.,Scott Erickson (15),1.4474,R
767,768.,Pat Ragan (11),1.4468,R
768,769.,Ernie Broglio (8),1.4463,R
769,770.,Sam Leever (13),1.4429,R
770,771.,Joe Magrane (8),1.4425,L
771,772.,Mike Moore (14),1.4420,R
772,773.,Steve Renko (15),1.4406,R
773,774.,Tex Carleton (8),1.4403,R
774,775.,Hal Newhouser+ (17),1.4380,L
775,776.,Ken Brett (14),1.4359,L
776,777.,Steve Gromek (17),1.4349,R
777,778.,Dave LaPoint (12),1.4347,L
778,779.,Al Orth (15),1.4342,R
779,780.,Jim Abbott (10),1.4323,L
780,781.,Tom Underwood (11),1.4320,L
781,782.,Jim Beattie (9),1.4317,R
782,783.,Van Mungo (14),1.4309,R
783,784.,Curt Davis (13),1.4280,R
784,785.,Mickey Welch+ (13),1.4264,R
785,786.,Guy Morton (11),1.4237,R
786,787.,Bobby Witt (16),1.4218,R
787,788.,Darold Knowles (16),1.4188,L
788,789.,Charlie Hough (25),1.4186,R
789,790.,Lary Sorensen (11),1.4154,R
790,791.,Henry Porter (6),1.4142,R
791,792.,Ray Fisher (10),1.4137,R
792,793.,Frank Miller (7),1.4134,R
793,794.,Jeff Pfeffer (13),1.4122,R
794,795.,Joaquin Andujar (13),1.4118,R
795,796.,Bob McClure (19),1.4105,L
796,797.,Shawn Estes (13),1.4103,L
797,798.,Virgil Trucks (17),1.4099,R
798,799.,Kirk Rueter (13),1.4055,L
799,800.,Tommy Bridges (16),1.4044,R
800,801.,Tony Cloninger (12),1.4035,R
801,802.,Don Aase (13),1.4026,R
802,803.,Bob Walk (14),1.3993,R
803,804.,Erskine Mayer (8),1.3971,R
804,805.,Tom Hume (11),1.3958,R
805,806.,Howie Camnitz (11),1.3948,R
806,807.,Ray Burris (15),1.3940,R
807,808.,Pol Perritt (10),1.3923,R
808,809.,Dummy Taylor (9),1.3920,R
809,810.,Clem Labine (13),1.3914,R
810,811.,Miguel Batista (18),1.3904,R
811,812.,Scott Karl (6),1.3902,L
812,813.,Ellis Kinder (12),1.3896,R
813,814.,Jim Rooker (13),1.3883,L
814,815.,Ken Hill (14),1.3862,R
815,816.,Russ Ortiz (12),1.3860,R
816,817.,Joe Niekro (22),1.3843,R
817,818.,Dave Davenport (6),1.3800,R
818,819.,Steve Barber (15),1.3779,L
819,820.,Glen Hobbie (8),1.3778,R
820,821.,Glenn Abbott (11),1.3750,R
821,821.,Jesse Petty (7),1.3750,L
822,823.,Jack Harshman (10),1.3748,L
823,824.,Gerry Staley (15),1.3743,R
824,825.,Egyptian Healy (8),1.3723,R
825,826.,Brian Bohanon (12),1.3722,L
826,827.,Wayne Garland (9),1.3720,R
827,828.,Gene Packard (8),1.3708,L
828,829.,Tom Griffin (14),1.3706,R
829,830.,Dan Casey (7),1.3683,L
830,831.,Mike Fornieles (12),1.3682,R
831,832.,John Harkins (5),1.3659,R
832,833.,Ray Caldwell (12),1.3631,R
833,833.,Andy Coakley (9),1.3631,R
834,835.,Vic Willis+ (13),1.3622,R
835,836.,Bob Forsch (16),1.3618,R
836,837.,Roger Wolff (7),1.3608,R
837,838.,Bill Dinneen (12),1.3595,R
838,839.,Casey Patten (8),1.3591,L
839,840.,Harry Coveleski (9),1.3590,L
840,841.,Whit Wyatt (16),1.3583,R
841,842.,Paul Splittorff (15),1.3551,L
842,843.,Pete Donohue (12),1.3531,R
843,844.,Ron Kline (17),1.3529,R
844,845.,Pat Zachry (10),1.3515,R
845,846.,Shane Rawley (12),1.3501,L
846,847.,Vinegar Bend Mizell (9),1.3500,L
847,848.,Aaron Cook (11),1.3473,R
848,849.,John Ewing (6),1.3462,R
849,850.,Johnny Rigney (8),1.3444,R
850,851.,Max Lanier (14),1.3437,L
851,852.,Bill Lee (14),1.3427,L
852,853.,Ross Grimsley (11),1.3417,L
853,854.,Lefty Gomez+ (14),1.3406,L
854,855.,Geoff Zahn (13),1.3403,L
855,856.,Herb Pennock+ (22),1.3395,L
856,857.,Bob Muncrief (12),1.3393,R
857,858.,Bob Shawkey (15),1.3360,R
858,859.,Larry Gura (16),1.3350,L
859,860.,Rube Benton (15),1.3343,L
860,861.,Neal Heaton (12),1.3340,L
861,862.,Jack Scott (12),1.3327,R
862,862.,Jake Weimer (7),1.3327,L
863,864.,Spud Chandler (11),1.3261,R
864,865.,Red Lucas (16),1.3231,R
865,866.,Ed Karger (6),1.3217,L
866,867.,Eddie Lopat (12),1.3215,L
867,868.,Art Nehf (15),1.3188,L
868,869.,Joe McGinnity+ (10),1.3153,R
869,870.,Richard Dotson (12),1.3149,R
870,870.,Early Wynn+ (23),1.3149,R
871,872.,Scott Stratton (8),1.3134,R
872,873.,Alan Foster (10),1.3081,R
873,874.,Ed Seward (6),1.3060,R
874,875.,Vean Gregg (8),1.3043,L
875,876.,Barney Pelty (10),1.3026,R
876,877.,Vic Raschi (10),1.2985,R
877,878.,Russ Kemmerer (9),1.2982,R
878,879.,Bill Krueger (13),1.2961,L
879,880.,Otto Hess (10),1.2946,L
880,881.,Ted Abernathy (14),1.2922,R
881,882.,Cal McLish (15),1.2917,R
882,883.,Red Ruffing+ (22),1.2894,R
883,884.,Pete Falcone (10),1.2891,L
884,885.,Ed Figueroa (8),1.2889,R
885,886.,Nels Potter (12),1.2835,R
886,887.,Carl Weilman (8),1.2823,L
887,888.,Tony Mullane (13),1.2805,R
888,889.,Roger McDowell (12),1.2780,R
889,890.,Ed Reulbach (13),1.2747,R
890,891.,Mike Norris (10),1.2745,R
891,892.,Bill Sherdel (15),1.2693,L
892,893.,Jesse Barnes (13),1.2680,R
893,894.,Ike Delock (11),1.2679,R
894,894.,Jimmy Haynes (10),1.2679,R
895,896.,Earl Moore (14),1.2662,R
896,897.,Steve Sparks (9),1.2654,R
897,898.,Silver King (10),1.2637,R
898,899.,Larry Cheney (9),1.2633,R
899,900.,Tom Murphy (12),1.2596,R
900,901.,Howie Pollet (14),1.2537,L
901,902.,Jack Coombs (14),1.2509,R
902,903.,Ralph Branca (12),1.2504,R
903,904.,Brooks Lawrence (7),1.2494,R
904,905.,Paul Foytack (11),1.2492,R
905,906.,Dan Petry (13),1.2477,R
906,906.,Eppa Rixey+ (21),1.2477,L
907,908.,Omar Olivares (12),1.2453,R
908,909.,Mike Smith (14),1.2441,L
909,910.,Harry Staley (8),1.2434,R
910,911.,Russ Meyer (13),1.2421,R
911,912.,Walt Terrell (11),1.2420,R
912,913.,Jakie May (14),1.2399,L
913,914.,Frank Mountain (7),1.2395,R
914,915.,George Earnshaw (9),1.2386,R
915,916.,Art Houtteman (12),1.2384,R
916,917.,Tully Sparks (12),1.2381,R
917,918.,Clark Griffith+ (21),1.2339,R
918,919.,John Curtis (15),1.2332,L
919,920.,George Bell (5),1.2328,R
920,921.,Fred Toney (12),1.2316,R
921,922.,Dolf Luque (20),1.2309,R
922,923.,Paul Minner (10),1.2239,L
923,924.,Jimmy Lavender (6),1.2237,R
924,925.,Stan Coveleski+ (14),1.2232,R
925,926.,Al Mamaux (12),1.2231,R
926,927.,Si Johnson (17),1.2227,R
927,928.,Frank Corridon (6),1.2213,R
928,929.,Chuck Stobbs (15),1.2204,L
929,930.,Jamey Wright (19),1.2157,R
930,931.,Ricky Bones (11),1.2155,R
931,932.,Tom Seaton (6),1.2151,R
932,933.,Tom Morgan (12),1.2133,R
933,934.,Red Faber+ (20),1.2127,R
934,934.,Clyde Wright (10),1.2127,L
935,936.,Andy Hassler (14),1.2115,L
936,937.,Murry Dickson (18),1.2108,R
937,938.,Lefty Tyler (12),1.2099,L
938,939.,Doc Newton (8),1.2091,L
939,940.,Pat Rapp (10),1.2079,R
940,941.,Art Fromme (10),1.2038,R
941,942.,Waite Hoyt+ (21),1.2024,R
942,943.,Bobo Newsom (20),1.2021,R
943,944.,Johnny Niggeling (9),1.2016,R
944,945.,Dizzy Trout (15),1.2008,R
945,946.,George Mogridge (15),1.2000,L
946,947.,Firpo Marberry (14),1.1983,R
947,948.,Art Ditmar (9),1.1974,R
948,949.,George Mullin (14),1.1971,R
949,950.,Adonis Terry (14),1.1965,R
950,951.,Clyde Shoun (14),1.1955,L
951,952.,George Pipgras (11),1.1940,R
952,953.,Jesse Duryea (5),1.1920,R
953,954.,Ferdie Schupp (10),1.1918,L
954,955.,Bill Doak (16),1.1915,R
955,956.,Fred Beebe (7),1.1873,R
956,957.,Max Surkont (9),1.1871,R
957,958.,Johnny Lush (7),1.1864,L
958,959.,Jim Slaton (16),1.1863,R
959,960.,Jersey Bakley (6),1.1862,R
960,961.,Hal Carlson (14),1.1847,R
961,962.,Bob Turley (12),1.1845,R
962,963.,Johnny Klippstein (18),1.1840,R
963,964.,Ruben Gomez (10),1.1794,R
964,965.,Bill Travers (9),1.1759,L
965,966.,George Uhle (17),1.1749,R
966,967.,Carl Mays (15),1.1744,R
967,968.,Mickey Harris (9),1.1736,L
968,968.,Randy Lerch (11),1.1736,L
969,970.,Don Larsen (14),1.1710,R
970,971.,Burleigh Grimes+ (19),1.1676,R
971,972.,Joe Dobson (14),1.1657,R
972,973.,Bill Walker (10),1.1636,L
973,974.,Jim Turner (9),1.1625,R
974,975.,Willard Nixon (9),1.1623,R
975,976.,Harry McIntire (9),1.1614,R
976,977.,Rick Waits (12),1.1602,L
977,978.,Denny Galehouse (15),1.1578,R
978,979.,Jack Warhop (8),1.1575,R
979,980.,Matt Keough (9),1.1569,R
980,981.,Ted Gray (9),1.1546,L
981,982.,Cy Morgan (10),1.1540,R
982,983.,Andy Hawkins (10),1.1536,R
983,984.,Carl Morton (8),1.1504,R
984,985.,Bob Buhl (15),1.1475,R
985,986.,Hank O'Day+ (7),1.1471,R
986,987.,Johnny Vander Meer (13),1.1431,L
987,988.,Sam Gray (10),1.1424,R
988,988.,Amos Rusie+ (10),1.1424,R
989,990.,Red Donahue (13),1.1422,R
990,991.,Johnny Marcum (7),1.1395,R
991,992.,Jim Wilson (12),1.1382,R
992,993.,Happy Townsend (6),1.1370,R
993,994.,Wiley Piatt (6),1.1363,L
994,995.,Steve Trout (12),1.1349,L
995,996.,Jack Taylor (10),1.1336,R
996,997.,Togie Pittinger (8),1.1335,R
997,998.,Al Mays (6),1.1301,R
998,999.,Joe Heving (13),1.1289,R
