,Rank,"Player (yrs, age)",Adjusted ERA+,Throws
707,700.,Elmer Dessens (14),101,R
708,700.,Doug Drabek (13),101,R
709,700.,Moe Drabowsky (17),101,R
710,700.,Carl Erskine (12),101,R
711,700.,"Mike Fiers (10, 35)",101,R
712,700.,Eddie Fisher (15),101,R
713,700.,Al Fitzmorris (10),101,R
714,700.,Gavin Floyd (13),101,R
715,700.,Art Fowler (9),101,R
716,700.,Yovani Gallardo (12),101,R
717,700.,Matt Garza (12),101,R
718,700.,Jim Gott (14),101,R
719,700.,Joe Hatten (7),101,L
720,700.,Rick Helling (12),101,R
721,700.,Pat Jarvis (8),101,R
722,700.,Randy Jones (10),101,L
723,700.,Johnny Lanning (11),101,R
724,700.,Vern Law (16),101,R
725,700.,Danny MacFayden (17),101,R
726,700.,Denny McLain (10),101,R
727,700.,Jock Menefee (9),101,R
728,700.,George Mullin (14),101,R
729,700.,Charles Nagy (14),101,R
730,700.,Rollie Naylor (7),101,R
731,700.,Cinders O'Brien (4),101,R
732,700.,Fritz Peterson (11),101,L
733,700.,Ervin Santana (15),101,R
734,700.,Frank Smith (11),101,R
735,700.,Paul Splittorff (15),101,L
736,700.,Kevin Tapani (13),101,R
737,700.,Julian Tavarez (17),101,R
738,700.,Bob Turley (12),101,R
739,700.,Elam Vangilder (11),101,R
740,700.,Monte Weaver (9),101,R
741,700.,Dave Wickersham (10),101,R
742,700.,Dontrelle Willis (9),101,L
743,700.,George Winter (8),101,R
744,700.,Rick Wise (18),101,R
745,700.,Roger Wolff (7),101,R
746,700.,"Jordan Zimmermann (12, 34)",101,R
747,748.,Steve Avery (11),100,L
748,748.,Miguel Batista (18),100,R
749,748.,Kris Benson (9),100,R
750,748.,Dave Boswell (8),100,R
751,748.,Ed Brandt (11),100,L
752,748.,Wally Bunker (9),100,R
753,748.,Bullet Joe Bush (17),100,R
754,748.,Ray Caldwell (12),100,R
755,748.,Ben Cantwell (11),100,R
756,748.,Tex Carleton (8),100,R
757,748.,Hal Carlson (14),100,R
758,748.,Phil Collins (8),100,R
759,748.,José Contreras (11),100,R
760,748.,Ray Culp (11),100,R
761,748.,Al Demaree (8),100,R
762,748.,Pat Dobson (11),100,R
763,748.,George Earnshaw (9),100,R
764,748.,Jumbo Elliott (10),100,L
765,748.,Dick Ellsworth (13),100,L
766,748.,John Ewing (6),100,R
767,748.,Mike Flanagan (18),100,L
768,748.,Frank Foreman (11),100,R
769,748.,Mike Fornieles (12),100,R
770,748.,Fred Frankhouse (13),100,R
771,748.,Art Fromme (10),100,R
772,748.,Mudcat Grant (14),100,R
773,748.,Chris Hammond (14),100,L
774,748.,Slim Harriss (9),100,R
775,748.,Danny Jackson (15),100,L
776,748.,Ubaldo Jimenez (12),100,R
777,748.,Scott Karl (6),100,L
778,748.,Frank Kitson (10),100,R
779,748.,Bob Klinger (8),100,R
780,748.,Billy Loes (11),100,R
781,748.,Phil Marchildon (9),100,R
782,748.,Willie McGill (7),100,L
783,748.,Jose Mesa (19),100,R
784,748.,Bob Muncrief (12),100,R
785,748.,Al Orth (15),100,R
786,748.,Frank Owen (8),100,R
787,748.,Vicente Padilla (14),100,R
788,748.,Barney Pelty (10),100,R
789,748.,Tom Phoebus (7),100,R
790,748.,Mark Portugal (15),100,R
791,748.,Nels Potter (12),100,R
792,748.,Jerry Reuss (22),100,L
793,748.,Armando Reynoso (12),100,R
794,748.,Bob Rhoads (8),100,R
795,748.,Wandy Rodriguez (11),100,L
796,748.,Jorge De La Rosa (15),100,L
797,748.,Dan Schatzeder (15),100,L
798,748.,Mike Scott (13),100,R
799,748.,Aaron Sele (15),100,R
800,748.,Bob Smith (15),100,R
801,748.,Dave Stewart (16),100,R
802,748.,Todd Stottlemyre (14),100,R
803,748.,Tom Underwood (11),100,L
804,748.,Bob Weiland (12),100,L
805,748.,Earl Whitehill (17),100,L
806,807.,Jim Abbott (10),99,L
807,807.,Joaquin Andujar (13),99,R
808,807.,Andy Ashby (14),99,R
809,807.,Scott Baker (10),99,R
810,807.,Jim Bibby (12),99,R
811,807.,Jim Bouton (10),99,R
812,807.,Dave Burba (15),99,R
813,807.,Lew Burdette (18),99,R
814,807.,John Burkett (15),99,R
815,807.,Mike Caldwell (14),99,L
816,807.,Andrew Cashner (10),99,R
817,807.,Larry Christenson (11),99,R
818,807.,Jack Coombs (14),99,R
819,807.,Storm Davis (13),99,R
820,807.,Pretzels Getzien (9),99,R
821,807.,Henry Gruber (5),99,R
822,807.,Billy Hoeft (15),99,L
823,807.,Art Houtteman (12),99,R
824,807.,LaMarr Hoyt (8),99,R
825,807.,Joey Jay (13),99,R
826,807.,Phil Knell (6),99,L
827,807.,Joe Lake (6),99,R
828,807.,Don Larsen (14),99,R
829,807.,"Mike Leake (10, 32)",99,R
830,807.,"Francisco Liriano (14, 36)",99,L
831,807.,Skip Lockwood (13),99,R
832,807.,Erskine Mayer (8),99,R
833,807.,Brandon McCarthy (13),99,R
834,807.,Kirk McCaskill (12),99,R
835,807.,Gil Meche (10),99,R
836,807.,Doc Medich (11),99,R
837,807.,Jim Merritt (11),99,L
838,807.,Russ Meyer (13),99,R
839,807.,Bob Moose (10),99,R
840,807.,Brett Myers (12),99,R
841,807.,Gene Nelson (13),99,R
842,807.,Stubby Overmire (10),99,L
843,807.,Gene Packard (8),99,L
844,807.,David Palmer (10),99,R
845,807.,Brad Penny (14),99,R
846,807.,George Pipgras (11),99,R
847,807.,Bruce Ruffin (12),99,L
848,807.,Allen Russell (11),99,R
849,807.,Jack Sanford (12),99,R
850,807.,Joe Shaute (13),99,L
851,807.,Dupee Shaw (6),99,L
852,807.,Jim Shaw (9),99,R
853,807.,Eric Show (11),99,R
854,807.,Bill Singer (14),99,R
855,807.,Al Smith (12),99,L
856,807.,Steve Trachsel (16),99,R
857,807.,Bill Voiselle (9),99,R
858,807.,Lefty Williams (7),99,L
859,807.,Earl Wilson (11),99,R
860,807.,Randy Wolf (16),99,L
861,862.,Jim Beattie (9),98,R
862,862.,Gary Bell (12),98,R
863,862.,Larry Benton (13),98,R
864,862.,Huck Betts (10),98,R
865,862.,Hal Brown (14),98,R
866,862.,"Trevor Cahill (12, 32)",98,R
867,862.,Jim Clancy (15),98,R
868,862.,Jim Colborn (10),98,R
869,862.,John Danks (10),98,L
870,862.,Ryan Dempster (16),98,R
871,862.,Richard Dotson (12),98,R
872,862.,Scott Erickson (15),98,R
873,862.,Bob Forsch (16),98,R
874,862.,Ruben Gomez (10),98,R
875,862.,Bill Gullickson (14),98,R
876,862.,Randy Gumpert (10),98,R
877,862.,Moose Haas (12),98,R
878,862.,Atlee Hammaker (12),98,L
879,862.,Mickey Harris (9),98,L
880,862.,Hardie Henderson (6),98,R
881,862.,Otto Hess (10),98,L
882,862.,Tom Hume (11),98,R
883,862.,Jason Jennings (9),98,R
884,862.,"Ian Kennedy (14, 35)",98,R
885,862.,Cory Lidle (9),98,R
886,862.,Esteban Loaiza (14),98,R
887,862.,Scott McGregor (13),98,L
888,862.,"Wade Miley (10, 33)",98,L
889,862.,"Charlie Morton (13, 36)",98,R
890,862.,Joe Niekro (22),98,R
891,862.,Willard Nixon (9),98,R
892,862.,Fred Norman (16),98,L
893,862.,Togie Pittinger (8),98,R
894,862.,"Rick Porcello (12, 31)",98,R
895,862.,Ted Power (13),98,R
896,862.,Shane Rawley (12),98,L
897,862.,Phil Regan (13),98,R
898,862.,Steve Renko (15),98,R
899,862.,Flint Rhem (12),98,R
900,862.,Ray Sadecki (18),98,L
901,862.,Steve Stone (11),98,R
902,862.,Scott Stratton (8),98,R
903,862.,Mike Torrez (18),98,R
904,862.,Ed Whitson (15),98,R
905,906.,Brian Anderson (13),97,L
906,906.,Pedro Astacio (15),97,R
907,906.,Jim Bagby (10),97,R
908,906.,Stan Bahnsen (16),97,R
909,906.,Bill Bonham (10),97,R
910,906.,Tom Bradley (7),97,R
911,906.,Tom Browning (12),97,L
912,906.,John Buzhardt (11),97,R
913,906.,Tommy Byrne (13),97,L
914,906.,"Wei-Yin Chen (8, 34)",97,L
915,906.,Joe Coleman (15),97,R
916,906.,Ed Daily (7),97,R
917,906.,Art Ditmar (9),97,R
918,906.,Zach Duke (15),97,L
919,906.,Scott Feldman (13),97,R
920,906.,Alan Foster (10),97,R
921,906.,Dick Fowler (10),97,R
922,906.,Paul Foytack (11),97,R
923,906.,Wayne Garland (9),97,R
924,906.,Jeremy Guthrie (13),97,R
925,906.,Warren Hacker (12),97,R
926,906.,Aaron Harang (14),97,R
927,906.,Andy Hassler (14),97,L
928,906.,Jeremy Hellickson (10),97,R
929,906.,George Hemming (8),97,R
930,906.,Johnny Humphries (9),97,R
931,906.,Tony Kaufmann (12),97,R
932,906.,Elmer Knetzer (8),97,R
933,906.,Turk Lown (11),97,R
934,906.,Johnny Lush (7),97,L
935,906.,Walt Masterson (14),97,R
936,906.,Jakie May (14),97,L
937,906.,Mike Morgan (22),97,R
938,906.,Jim Nash (7),97,R
939,906.,Hideo Nomo (12),97,R
940,906.,Hank O'Day+ (7),97,R
941,906.,Chan Ho Park (17),97,R
942,906.,Melido Perez (9),97,R
943,906.,Wiley Piatt (6),97,L
944,906.,Pat Ragan (11),97,R
945,906.,Dave Roberts (13),97,L
946,906.,Don Robinson (15),97,R
947,906.,Kirk Rueter (13),97,L
948,906.,Vern Ruhle (13),97,R
949,906.,Jack Russell (15),97,R
950,906.,"Jeff Samardzija (13, 35)",97,R
951,906.,Ray Scarborough (10),97,R
952,906.,Jeff Suppan (17),97,R
953,906.,Rick Sutcliffe (18),97,R
954,906.,Jack Warhop (8),97,R
955,906.,Milt Wilcox (16),97,R
956,957.,Nick Altrock (19),96,L
957,957.,Ray Benge (12),96,R
958,957.,Mike Bielecki (14),96,R
959,957.,Doug Bird (11),96,R
960,957.,Buster Brown (9),96,R
961,957.,George Caster (12),96,R
962,957.,Ken Chase (8),96,L
963,957.,Matt Clement (9),96,R
964,957.,Reggie Cleveland (13),96,R
965,957.,Dick Coffman (15),96,R
966,957.,Dave Danforth (10),96,L
967,957.,Jean Dubuc (9),96,R
968,957.,Duke Esper (9),96,L
969,957.,Marco Estrada (12),96,R
970,957.,Woodie Fryman (18),96,L
971,957.,Milt Gaston (11),96,R
972,957.,Fred Glade (6),96,R
973,957.,Ken Heintzelman (13),96,L
974,957.,Ray Herbert (14),96,R
975,957.,Jack Kramer (12),96,R
976,957.,Mike Krukow (14),96,R
977,957.,Jimmy Lavender (6),96,R
978,957.,Brooks Lawrence (7),96,R
979,957.,Denny Lemaster (11),96,L
980,957.,Kyle Lohse (16),96,R
981,957.,Rick Mahler (13),96,R
982,957.,Al Maul (15),96,R
983,957.,Mike McCormick (16),96,L
984,957.,Mike Norris (10),96,R
985,957.,"Ivan Nova (11, 33)",96,R
986,957.,Carl Pavano (14),96,R
987,957.,"Oliver Perez (18, 38)",96,L
988,957.,Joel Pineiro (12),96,R
989,957.,Jimmy Ring (12),96,R
990,957.,Diego Segui (15),96,R
991,957.,Bob Shirley (11),96,L
992,957.,Clyde Shoun (14),96,L
993,957.,Lary Sorensen (11),96,R
994,957.,George Stone (9),96,L
995,957.,Steve Trout (12),96,L
996,957.,Ron Villone (15),96,L
997,957.,Jake Westbrook (13),96,R
998,957.,Clyde Wright (10),96,L
