,Rank,"Player (yrs, age)",Def. Games as CF (s.1901),Throws
317,318.,Cito Gaston (11),410,R
318,318.,"Marcell Ozuna (8, 29)",410,R
319,320.,Johnny Grubb (16),409,R
320,320.,Terrence Long (8),409,L
321,322.,Garret Anderson (17),404,L
322,323.,Frank Demaree (12),403,R
323,323.,Deion Sanders (9),403,L
324,325.,Ty Cline (12),402,L
325,325.,Scott Podsednik (11),402,L
326,325.,Johnny Wyrostek (11),402,R
327,328.,Billy Maloney (6),400,R
328,328.,Luis Matos (7),400,R
329,328.,Jim Rivera (10),400,L
330,328.,Derrel Thomas (15),400,R
331,332.,Milt Cuyler (8),399,R
332,332.,Jimmy Welsh (6),399,R
333,334.,Von Hayes (12),398,R
334,335.,Rocco Baldelli (7),397,R
335,335.,Cliff Heathcote (15),397,L
336,337.,Dave Gallagher (9),396,R
337,338.,Nyjer Morgan (7),395,L
338,339.,Alex Cole (7),390,L
339,339.,Joe Pepitone (12),390,L
340,341.,Bake McBride (11),389,R
341,342.,Peanuts Lowrey (13),387,R
342,342.,Cody Ross (12),387,L
343,344.,"Adam Eaton (9, 31)",385,L
344,344.,Homer Smoot (5),385,R
345,346.,Rick Bosetti (7),382,R
346,346.,Dain Clay (4),382,R
347,348.,Jim Delsing (10),376,R
348,349.,Irv Noren (11),374,L
349,350.,Jerome Walton (10),372,R
350,351.,Jim Hickman (13),367,R
351,351.,Heinie Mueller (11),367,L
352,353.,Wally Westlake (10),366,R
353,354.,Alejandro De Aza (10),364,L
354,355.,Harry Bay (8),363,L
355,356.,Richard Hidalgo (9),361,R
356,357.,Shane Mack (9),359,R
357,358.,Barry Bonnell (10),357,R
358,358.,Roger Repoz (9),357,L
359,360.,"Michael Brantley (12, 33)",356,L
360,361.,Henry Cotto (10),355,R
361,361.,Jim Russell (10),355,R
362,363.,Juan Encarnacion (11),350,R
363,363.,Tony Gwynn (8),350,R
364,365.,Dan Gladden (11),349,R
365,366.,Hersh Martin (6),346,R
366,367.,Steve Brye (9),345,R
367,368.,Chick Fullis (8),344,R
368,369.,Terry Puhl (15),342,R
369,370.,Jose Tartabull (9),340,L
370,371.,Craig Gentry (10),337,R
371,372.,Joey Gathright (7),336,R
372,373.,John Moses (11),335,L
373,373.,Goody Rosen (6),335,L
374,373.,Alex Sanchez (5),335,L
375,373.,Dutch Zwilling (4),335,L
376,377.,Tike Redman (6),332,L
377,378.,Augie Galan (16),331,R
378,378.,Stan Musial+ (22),331,L
379,380.,Mike Kingery (10),329,L
380,381.,Jacob Brumfield (7),328,R
381,382.,Desmond Jennings (7),327,R
382,383.,Derek Bell (11),325,R
383,383.,Al Burch (6),325,R
384,383.,Kirk Gibson (17),325,L
385,386.,"Adam Engel (4, 28)",324,R
386,387.,Myril Hoag (13),322,R
387,387.,Ichiro Suzuki (19),322,R
388,387.,Will Venable (9),322,L
389,390.,Ryan Christenson (6),321,R
390,390.,Pepper Martin (13),321,R
391,392.,Claudell Washington (17),319,L
392,393.,Gino Cimoli (10),318,R
393,393.,Dixie Walker (18),318,R
394,395.,John Cangelosi (13),317,L
395,396.,Mike McCormick (10),316,R
396,397.,Carl Reynolds (13),314,R
397,398.,Freddy Leach (10),312,R
398,398.,Heinie Manush+ (17),312,L
399,400.,Carl Furillo (15),311,R
