,Rank,"Player (yrs, age)",Double Plays Turned as LF (s.1901),Throws
317,311.,Al Burch (6),4,R
318,311.,Jesse Burkett+ (16),4,L
319,311.,"Miguel Cabrera (18, 37)",4,R
320,311.,Johnny Callison (16),4,R
321,311.,Jose Cardenal (18),4,R
322,311.,Frank Catalanotto (14),4,R
323,311.,Danny Cater (12),4,R
324,311.,Dusty Cooke (8),4,R
325,311.,Hector Cruz (9),4,R
326,311.,Johnny Damon (18),4,L
327,311.,Bert Daniels (5),4,R
328,311.,Ray Demmitt (7),4,R
329,311.,"Delino DeShields (6, 27)",4,R
330,311.,Miguel Dilone (12),4,R
331,311.,Tito Francona (15),4,L
332,311.,Bernie Friberg (14),4,R
333,311.,Sam Fuld (8),4,L
334,311.,Bob Ganley (5),4,L
335,311.,Debs Garms (12),4,R
336,311.,Jim Gilliam (14),4,R
337,311.,Ed Hahn (6),4,R
338,311.,George Hendrick (18),4,R
339,311.,Gene Hermanski (9),4,R
340,311.,Jim Hickman (5),4,R
341,311.,Richard Hidalgo (9),4,R
342,311.,Ducky Holmes (10),4,R
343,311.,Conor Jackson (7),4,R
344,311.,Chris James (10),4,R
345,311.,Woody Jensen (9),4,L
346,311.,Roy Johnson (10),4,R
347,311.,Cleon Jones (13),4,L
348,311.,Joe Kelley+ (17),4,R
349,311.,Red Killefer (7),4,R
350,311.,Jim King (11),4,R
351,311.,Jay Kirke (7),4,R
352,311.,Chuck Knoblauch (12),4,R
353,311.,Chet Laabs (11),4,R
354,311.,Leron Lee (8),4,R
355,311.,Jim Lemon (12),4,R
356,311.,Fred Lewis (7),4,R
357,311.,Billy Lush (7),4,R
358,311.,Candy Maldonado (15),4,R
359,311.,Hal McRae (19),4,R
360,311.,John Milner (12),4,L
361,311.,Danny Moeller (7),4,R
362,311.,Pat Mullin (10),4,R
363,311.,Matt Murton (5),4,R
364,311.,Troy O'Leary (11),4,L
365,311.,Joe Orsulak (14),4,L
366,311.,Rafael Palmeiro (20),4,L
367,311.,Ray Pepper (5),4,R
368,311.,Tony Phillips (18),4,R
369,311.,Carl Reynolds (13),4,R
370,311.,Hal Rice (7),4,R
371,311.,Billy Sample (9),4,R
372,311.,Art Shamsky (8),4,L
373,311.,George Shuba (7),4,R
374,311.,Al Smith (12),4,R
375,311.,Dwight Smith (8),4,R
376,311.,Travis Snider (8),4,L
377,311.,Larry Stahl (10),4,L
378,311.,Marcus Thames (10),4,R
379,311.,Milt Thompson (13),4,R
380,311.,Bobby Thomson (15),4,R
381,311.,Jack Thoney (6),4,R
382,311.,Michael Tucker (12),4,R
383,311.,Jerry Turner (10),4,L
384,311.,Otto Velez (11),4,R
385,311.,Dixie Walker (18),4,R
386,311.,Jimmy Walsh (6),4,R
387,311.,Daryle Ward (11),4,L
388,311.,Casper Wells (4),4,R
389,311.,Jayson Werth (15),4,R
390,311.,Gerald Williams (14),4,R
391,311.,Walt Williams (10),4,R
392,311.,Dave Winfield+ (22),4,R
393,311.,Dmitri Young (13),4,R
394,311.,Richie Zisk (13),4,R
395,396.,Marlon Anderson (12),3,R
396,396.,Hank Bauer (14),3,R
397,396.,Claude Cooper (5),3,L
398,396.,Dom Dallessandro (8),3,L
399,396.,Ryan Ludwick (12),3,L
