,Rank,"Player (yrs, age)",Runs Batted In,Bats
522,523.,Kenny Lofton (17),781,L
523,524.,"Chris Davis (13, 34)",780,L
524,524.,Ichiro Suzuki (19),780,L
525,524.,Troy Tulowitzki (13),780,R
526,527.,Freddie Lindstrom+ (13),779,R
527,527.,Kip Selbach (13),779,R
528,529.,Gus Zernial (11),776,R
529,530.,Jose Cardenal (18),775,R
530,530.,Rick Monday (19),775,L
531,532.,Carlos Baerga (14),774,B
532,533.,Bob Bailey (17),773,R
533,533.,Sam Chapman (11),773,R
534,533.,Rico Petrocelli (13),773,R
535,533.,Red Schoendienst+ (19),773,B
536,533.,Riggs Stephenson (14),773,R
537,538.,Bill Hallman (14),772,R
538,539.,Russell Martin (14),771,R
539,540.,"Eric Hosmer (10, 30)",770,L
540,541.,Rondell White (15),768,R
541,541.,Ben Zobrist (14),768,B
542,543.,Bruce Campbell (13),766,L
543,543.,Carl Crawford (15),766,L
544,543.,Lou Piniella (18),766,R
545,546.,Dan Driessen (15),763,L
546,547.,Elston Howard (14),762,R
547,547.,Harry Steinfeldt (14),762,R
548,549.,Brady Anderson (15),761,L
549,550.,"Nolan Arenado (8, 29)",760,R
550,550.,Howard Johnson (14),760,B
551,550.,Charlie Keller (13),760,L
552,550.,Hideki Matsui (10),760,L
553,550.,Kevin Mitchell (13),760,R
554,555.,Billy Shindle (13),759,R
555,556.,Bill Freehan (15),758,R
556,556.,Roy White (15),758,B
557,558.,Al Dark (14),757,R
558,558.,Ramon Hernandez (15),757,R
559,558.,Tip O'Neill (10),757,R
560,558.,Jason Varitek (15),757,B
561,562.,Rich Aurilia (15),756,R
562,562.,Elmer Flick+ (13),756,L
563,562.,Denny Lyons (13),756,R
564,565.,Jason Bay (11),754,R
565,565.,Garry Maddox (15),754,R
566,565.,Melvin Mora (13),754,R
567,568.,"Anthony Rizzo (10, 30)",753,L
568,569.,Dave Foutz (13),750,R
569,570.,"Alex Gordon (14, 36)",749,L
570,571.,Jorge Orta (16),745,L
571,571.,Earl Sheely (9),745,R
572,571.,Terry Steinbach (14),745,R
573,574.,Edgardo Alfonzo (12),744,R
574,574.,Jason Kendall (15),744,R
575,574.,Mike Napoli (12),744,R
576,577.,Cupid Childs (13),743,L
577,577.,Phil Nevin (12),743,R
578,577.,Dick Stuart (10),743,R
579,580.,Tom Brown (17),742,L
580,580.,Billy Hamilton+ (14),742,L
581,582.,Charlie Hayes (14),740,R
582,582.,Fred Merkle (16),740,R
583,582.,Kendrys Morales (13),740,B
584,582.,Roger Peckinpaugh (17),740,R
585,582.,John Reilly (10),740,R
586,582.,Earl Torgeson (15),740,L
587,588.,Joe Randa (12),739,R
588,589.,Patsy Donovan (17),738,L
589,589.,Phil Garner (16),738,R
590,589.,"J.D. Martinez (10, 32)",738,R
591,589.,Jack O'Connor (21),738,R
592,593.,Ray Boone (13),737,R
593,593.,Lloyd Moseby (12),737,L
594,595.,Pete O'Brien (12),736,L
595,596.,Sean Casey (12),735,L
596,596.,"Daniel Murphy (12, 35)",735,L
597,596.,Patsy Tebeau (13),735,R
598,599.,Rick Ferrell+ (18),734,R
599,599.,Jackie Robinson+ (10),734,R
600,601.,Geoff Jenkins (11),733,L
601,602.,Tommy McCarthy+ (13),732,R
602,602.,Mickey Tettleton (14),732,B
