,Rank,"Player (yrs, age)",Offensive WAR,Bats
632,632.,Tommy Tucker (13),26.6,B
633,634.,Brandon Phillips (17),26.5,R
634,634.,Claudell Washington (17),26.5,L
635,636.,Jeff Cirillo (14),26.4,R
636,636.,Sherm Lollar (18),26.4,R
637,636.,Amos Strunk (17),26.4,L
638,639.,Ken McMullen (16),26.2,R
639,639.,Cesar Tovar (12),26.2,R
640,641.,Freddie Lindstrom+ (13),26.1,R
641,642.,Matty Alou (15),26.0,L
642,642.,John Briggs (12),26.0,L
643,642.,Melky Cabrera (15),26.0,B
644,642.,Baby Doll Jacobson (11),26.0,R
645,642.,Chris Speier (19),26.0,R
646,647.,Rusty Greer (9),25.9,L
647,647.,"Jose Ramirez (8, 27)",25.9,B
648,647.,Stan Spence (9),25.9,L
649,647.,Richie Zisk (13),25.9,R
650,651.,Bing Miller (16),25.8,R
651,651.,Andre Thornton (14),25.8,R
652,651.,Terry Turner (17),25.8,R
653,654.,"José Abreu (7, 33)",25.7,R
654,654.,Jose Valentin (16),25.7,B
655,654.,Tillie Walker (13),25.7,R
656,657.,Jose Cardenal (18),25.6,R
657,657.,Jackie Jensen (11),25.6,R
658,657.,"Jason Kipnis (10, 33)",25.6,L
659,657.,Frank McCormick (13),25.6,R
660,657.,Mike Sweeney (16),25.6,R
661,662.,"Kris Bryant (6, 28)",25.5,R
662,662.,Johnny Hopp (14),25.5,L
663,662.,John Kruk (10),25.5,L
664,662.,"Daniel Murphy (12, 35)",25.5,L
665,662.,Jorge Orta (16),25.5,L
666,667.,Darren Daulton (14),25.4,L
667,667.,Ferris Fain (9),25.4,L
668,667.,Al Smith (12),25.4,R
669,670.,Travis Hafner (12),25.2,L
670,670.,Chase Headley (12),25.2,B
671,670.,Dan Uggla (10),25.2,R
672,673.,Jermaine Dye (14),25.1,R
673,673.,Mike Lowell (13),25.1,R
674,673.,John Valentin (11),25.1,R
675,676.,"Brian Dozier (9, 33)",25.0,R
676,676.,Aubrey Huff (13),25.0,L
677,676.,Pepper Martin (13),25.0,R
678,679.,"Charlie Blackmon (10, 33)",24.9,L
679,679.,Duke Farrell (18),24.9,B
680,679.,Whitey Kurowski (9),24.9,R
681,679.,Garry Maddox (15),24.9,R
682,679.,Justin Morneau (14),24.9,L
683,679.,Shannon Stewart (14),24.9,R
684,679.,George Stone (7),24.9,L
685,679.,Jason Varitek (15),24.9,B
686,687.,Mike Grady (11),24.8,R
687,687.,Buck Herzog (13),24.8,R
688,687.,"George Springer (7, 30)",24.8,R
689,690.,Rickie Weeks (14),24.7,R
690,691.,Jimmy Austin (18),24.6,B
691,691.,Ed Bailey (14),24.6,L
692,691.,Billy Goodman (16),24.6,L
693,691.,Carlos Pena (14),24.6,L
694,691.,Doug Rader (11),24.6,R
695,691.,Randy Winn (13),24.6,B
696,697.,Ross Barnes (9),24.5,R
697,697.,Gus Bell (15),24.5,L
698,697.,Bill Bruton (12),24.5,L
699,697.,Al Bumbry (14),24.5,L
700,697.,Andre Ethier (12),24.5,L
701,697.,Solly Hemus (11),24.5,L
702,697.,Charley Jones (12),24.5,R
703,697.,John Reilly (10),24.5,R
704,697.,Red Rolfe (10),24.5,L
705,706.,Joe Harris (10),24.4,R
706,706.,Bobby Higginson (11),24.4,L
707,706.,Elston Howard (14),24.4,R
708,706.,Dode Paskert (15),24.4,R
709,706.,John Stone (11),24.4,L
710,711.,Tommy Davis (18),24.3,R
711,711.,Mike Greenwell (12),24.3,L
712,713.,"Erick Aybar (12, 36)",24.2,B
713,713.,Dave Henderson (14),24.2,R
714,713.,Hideki Matsui (10),24.2,L
715,713.,Tip O'Neill (10),24.2,R
716,713.,Nick Swisher (12),24.2,B
717,713.,Hank Thompson (9),24.2,L
718,713.,Jason Thompson (11),24.2,L
719,720.,Tom Herr (13),24.1,B
720,720.,Johnny Kling (13),24.1,R
721,720.,Frank Schulte (15),24.1,L
722,723.,Chris Chambliss (17),24.0,L
723,723.,Mark Grudzielanek (15),24.0,R
724,723.,Roberto Kelly (14),24.0,R
725,723.,Burt Shotton (14),24.0,L
726,723.,Frank Thomas (16),24.0,R
727,728.,Larry Parrish (15),23.9,R
728,729.,Hank Bauer (14),23.8,R
729,729.,"Alex Gordon (14, 36)",23.8,L
730,729.,"Francisco Lindor (6, 26)",23.8,B
731,729.,John Morrill (15),23.8,R
732,729.,Shane Victorino (12),23.8,R
733,729.,Jose Vidro (12),23.8,B
734,735.,Leo Cardenas (16),23.7,R
735,735.,Lyn Lary (12),23.7,R
736,735.,Chief Meyers (9),23.7,R
737,735.,Bill Mueller (11),23.7,B
738,735.,Terry Puhl (15),23.7,L
739,735.,Marco Scutaro (13),23.7,R
740,735.,Jake Stenzel (9),23.7,R
741,742.,Carlos Baerga (14),23.6,B
742,742.,Johnny Grubb (16),23.6,L
743,742.,"Starling Marte (9, 31)",23.6,R
744,742.,Jose Offerman (15),23.6,B
745,742.,Ray Schalk+ (18),23.6,R
746,742.,Socks Seybold (9),23.6,R
747,742.,Johnny Temple (13),23.6,R
748,742.,Tom Tresh (9),23.6,B
749,742.,"Neil Walker (12, 34)",23.6,B
750,751.,Phil Bradley (8),23.5,R
751,751.,Marlon Byrd (15),23.5,R
752,751.,Benito Santiago (20),23.5,R
753,751.,Ruben Sierra (20),23.5,B
754,751.,Gus Suhr (11),23.5,L
755,751.,Garry Templeton (16),23.5,B
756,757.,Garret Anderson (17),23.4,L
757,757.,David DeJesus (13),23.4,L
758,757.,Dan Driessen (15),23.4,L
759,757.,Fred Pfeffer (16),23.4,R
760,757.,Pete Reiser (10),23.4,L
761,757.,Rondell White (15),23.4,R
762,763.,Johnny Bates (9),23.2,L
763,763.,Ripper Collins (9),23.2,B
764,763.,Joe Cunningham (12),23.2,L
765,763.,"Todd Frazier (10, 34)",23.2,R
766,763.,Dave Kingman (16),23.2,R
767,763.,Tino Martinez (16),23.2,L
768,763.,Wally Pipp (15),23.2,L
769,763.,Bill Skowron (14),23.2,R
770,771.,Pat Burrell (12),23.1,R
771,771.,"Starlin Castro (11, 30)",23.1,R
772,771.,Chris Hoiles (10),23.1,R
773,771.,Steve Kemp (11),23.1,L
774,771.,Sam Mertes (10),23.1,R
775,771.,Jerry Mumphrey (15),23.1,B
776,771.,Jack Tobin (13),23.1,L
777,778.,Jesse Barfield (12),23.0,R
778,778.,Fred Carroll (8),23.0,R
779,778.,Arlie Latham (17),23.0,R
780,778.,Irish Meusel (11),23.0,R
781,778.,Steve O'Neill (17),23.0,R
782,778.,Matt Stairs (19),23.0,L
783,778.,Randy Velarde (16),23.0,R
784,785.,Patsy Dougherty (10),22.9,L
785,785.,Mark Loretta (15),22.9,R
786,785.,Doggie Miller (13),22.9,R
787,785.,Bill North (11),22.9,B
788,789.,"Lorenzo Cain (11, 34)",22.8,R
789,789.,Spud Davis (16),22.8,R
790,789.,Ryan Howard (13),22.8,L
791,789.,Dean Palmer (14),22.8,R
792,789.,Richie Sexson (12),22.8,R
793,794.,Gregg Jefferies (14),22.7,B
794,794.,Lance Johnson (14),22.7,L
795,794.,Bill Melton (10),22.7,R
796,797.,Alvin Davis (9),22.6,L
797,797.,Gorman Thomas (13),22.6,R
798,797.,Dickie Thon (15),22.6,R
799,800.,Bibb Falk (12),22.5,L
800,800.,Eddie Foster (13),22.5,R
801,800.,"Carlos Gonzalez (12, 34)",22.5,L
802,800.,Lee Mazzilli (14),22.5,B
803,800.,John Romano (10),22.5,R
804,800.,Andy Seminick (15),22.5,R
805,800.,Frank White (18),22.5,R
806,807.,"Jason Heyward (11, 30)",22.4,L
807,807.,John Roseboro (14),22.4,L
808,807.,Billy Werber (11),22.4,R
809,810.,Bill Russell (18),22.3,R
810,810.,Manny Sanguillen (13),22.3,R
811,810.,Leon Wagner (12),22.3,L
812,813.,David Eckstein (10),22.2,R
813,813.,Johnny Ray (10),22.2,B
814,815.,Woody English (12),22.1,R
815,815.,Scott Fletcher (15),22.1,R
816,815.,"Jed Lowrie (12, 36)",22.1,B
817,818.,George Bell (12),22.0,R
818,818.,Casey Blake (13),22.0,R
819,818.,Ramon Hernandez (15),22.0,R
820,818.,Freddie Patek (14),22.0,R
821,818.,"Pablo Sandoval (13, 33)",22.0,B
822,823.,Chone Figgins (12),21.9,B
823,823.,Aaron Hill (13),21.9,R
824,823.,Mack Jones (10),21.9,L
825,823.,Fred Luderus (12),21.9,L
826,823.,Don Slaught (16),21.9,R
827,828.,"Carlos Correa (6, 25)",21.8,R
828,828.,Del Crandall (16),21.8,R
829,828.,Stan Javier (17),21.8,B
830,828.,Bill Lange (7),21.8,R
831,828.,Bob Nieman (12),21.8,R
832,828.,Melvin Upton Jr. (12),21.8,R
833,828.,Josh Willingham (11),21.8,R
834,835.,Bruce Bochte (12),21.7,L
835,835.,"Alex Bregman (5, 26)",21.7,R
836,835.,Ival Goodman (10),21.7,L
837,835.,Norm Siebern (12),21.7,L
838,839.,Fred Merkle (16),21.6,R
839,839.,George Pinkney (10),21.6,L
840,841.,Orlando Cabrera (15),21.5,R
841,842.,Charlie Jamieson (18),21.4,L
842,843.,Orlando Hudson (11),21.3,B
843,843.,Cal McVey (9),21.3,R
844,845.,Woodie Held (14),21.2,R
845,845.,Don Mincher (13),21.2,L
846,845.,Alex Rios (12),21.2,R
847,845.,Butch Wynegar (13),21.2,B
848,849.,Bob Bescher (11),21.1,B
849,849.,Matt Lawton (12),21.1,L
850,849.,Joe Rudi (16),21.1,R
851,849.,Mike Scioscia (13),21.1,L
852,849.,"Jean Segura (9, 30)",21.1,R
853,854.,Joe Ferguson (14),21.0,R
854,854.,Corey Koskie (9),21.0,L
855,854.,Jim Northrup (12),21.0,L
856,854.,Buck Weaver (9),21.0,B
857,858.,Ossie Bluege (18),20.9,R
858,858.,Monte Cross (15),20.9,R
859,858.,"Ian Desmond (11, 34)",20.9,R
860,858.,Damion Easley (17),20.9,R
861,858.,Cliff Johnson (15),20.9,R
862,858.,Mookie Wilson (12),20.9,B
863,864.,Dave Cash (12),20.8,R
864,864.,Martin Prado (14),20.8,R
865,864.,"Kurt Suzuki (14, 36)",20.8,R
866,867.,Jeromy Burnitz (14),20.7,L
867,867.,Tom Burns (13),20.7,R
868,867.,Shawon Dunston (18),20.7,R
869,867.,Carl Everett (14),20.7,B
870,867.,Don Hoak (11),20.7,R
871,867.,Dave Hollins (12),20.7,B
872,867.,"Marcus Semien (8, 29)",20.7,R
873,867.,Casey Stengel+ (14),20.7,L
874,875.,Jack Barry (11),20.6,R
875,875.,Sammy Strang (10),20.6,B
876,877.,Kal Daniels (7),20.5,L
877,877.,High Pockets Kelly+ (16),20.5,R
878,877.,George Selkirk (9),20.5,L
879,877.,Snuffy Stirnweiss (10),20.5,R
880,881.,Mike Bordick (14),20.4,R
881,881.,Jerry Priddy (11),20.4,R
882,883.,Al Bridwell (11),20.3,L
883,883.,"Yoenis Céspedes (8, 34)",20.3,R
884,883.,Cecil Fielder (13),20.3,R
885,883.,Lee Lacy (16),20.3,R
886,883.,Barney McCosky (11),20.3,L
887,883.,Bip Roberts (12),20.3,B
888,889.,Grady Hatton (12),20.2,L
889,889.,"Jonathan Lucroy (11, 34)",20.2,R
890,891.,"Brandon Belt (10, 32)",20.1,L
891,891.,Harry Lord (9),20.1,L
892,891.,Bob Skinner (12),20.1,L
893,894.,Dick Hoblitzell (11),20.0,L
894,894.,Jimmy Johnston (13),20.0,R
895,894.,Ruppert Jones (12),20.0,L
896,894.,Frank LaPorte (11),20.0,R
897,894.,"Marcell Ozuna (8, 29)",20.0,R
898,894.,Alexei Ramírez (9),20.0,R
899,894.,Hank Severeid (15),20.0,R
900,901.,Wid Conroy (11),19.9,R
901,901.,Frankie Crosetti (17),19.9,R
902,901.,Danny Green (8),19.9,L
903,901.,Bug Holliday (10),19.9,R
904,901.,Braggo Roth (8),19.9,R
905,906.,Zeke Bonura (7),19.8,R
906,906.,Jeff Conine (17),19.8,R
907,906.,Ralph Garr (13),19.8,L
908,906.,Doc Gessler (8),19.8,L
909,906.,Granny Hamner (17),19.8,R
910,906.,George McQuinn (12),19.8,L
911,906.,Manny Mota (20),19.8,R
912,906.,George Wood (13),19.8,L
913,914.,Charlie Hollocher (7),19.7,L
914,914.,Bob O'Farrell (21),19.7,R
915,914.,Chief Zimmer (19),19.7,R
916,917.,Jose Cruz (12),19.6,B
917,917.,Mark Ellis (12),19.6,R
918,917.,Bill Mazeroski+ (17),19.6,R
919,917.,Joe Randa (12),19.6,R
920,917.,Billy Rogell (14),19.6,B
921,917.,Curt Walker (12),19.6,L
922,923.,Ned Hanlon+ (13),19.5,L
923,923.,Austin Jackson (9),19.5,R
924,923.,Julio Lugo (12),19.5,R
925,923.,Shane Mack (9),19.5,R
926,923.,Johnny Mostil (10),19.5,R
927,923.,Phil Nevin (12),19.5,R
928,923.,Eric Young Sr. (15),19.5,R
929,930.,Bruce Campbell (13),19.4,L
930,930.,Donn Clendenon (12),19.4,R
931,930.,Leon Durham (10),19.4,L
932,930.,"Yasmani Grandal (9, 31)",19.4,B
933,930.,J.J. Hardy (13),19.4,R
934,930.,Willard Marshall (11),19.4,L
935,930.,Jake Stahl (9),19.4,R
936,937.,Rich Aurilia (15),19.3,R
937,937.,Glenn Davis (10),19.3,R
938,937.,Whitey Lockman (15),19.3,L
939,940.,Nick Etten (9),19.2,L
940,940.,Jim Gantner (17),19.2,L
941,940.,Mike Mowrey (13),19.2,R
942,940.,Ken Oberkfell (16),19.2,L
943,940.,Tony Pena (18),19.2,R
944,945.,David Freese (11),19.1,R
945,945.,"Didi Gregorius (9, 30)",19.1,L
946,945.,Ed McFarland (14),19.1,R
947,945.,Juan Pierre (14),19.1,L
948,945.,Heinie Wagner (12),19.1,R
949,950.,"Chris Iannetta (14, 37)",19.0,R
950,950.,Mike Lieberthal (14),19.0,R
951,950.,Dave Magadan (16),19.0,L
952,950.,Trot Nixon (12),19.0,L
953,954.,Earl Battey (13),18.9,R
954,954.,Bubbles Hargrave (12),18.9,R
955,954.,Red Kress (14),18.9,R
956,954.,"J.T. Realmuto (7, 29)",18.9,R
957,954.,Carl Reynolds (13),18.9,R
958,959.,Johnny Bassler (9),18.8,L
959,959.,Paul Blair (17),18.8,R
960,959.,Eddie Bressoud (12),18.8,R
961,959.,Duffy Lewis (11),18.8,R
962,963.,Ronnie Belliard (13),18.7,R
963,963.,Jerry Denny (13),18.7,R
964,963.,Patsy Donovan (17),18.7,L
965,963.,"Eric Hosmer (10, 30)",18.7,L
966,963.,Pinky Whitney (12),18.7,R
967,968.,Steve Braun (15),18.6,L
968,968.,Abner Dalrymple (12),18.6,L
969,968.,"Adam Eaton (9, 31)",18.6,L
970,968.,Angel Pagan (11),18.6,B
971,968.,Wally Post (15),18.6,R
972,968.,Floyd Robinson (9),18.6,L
973,968.,Ed Swartwood (9),18.6,L
974,975.,Frank Fennelly (7),18.5,R
975,975.,Greg Gagne (15),18.5,R
976,975.,Cleon Jones (13),18.5,R
977,975.,Terry Kennedy (14),18.5,L
978,975.,Felix Millan (12),18.5,R
979,975.,Carlos Ruiz (12),18.5,R
980,975.,Earl Sheely (9),18.5,R
981,975.,Glenn Wright (11),18.5,R
982,983.,Dick Dietz (8),18.4,R
983,983.,Charlie Hemphill (11),18.4,L
984,983.,"DJ LeMahieu (10, 31)",18.4,R
985,983.,Bake McBride (11),18.4,L
986,983.,Paul Schaal (11),18.4,R
987,983.,"Corey Seager (6, 26)",18.4,L
988,989.,Frankie Hayes (14),18.3,R
989,989.,Stan Lopata (13),18.3,R
990,989.,Dale Mitchell (11),18.3,L
991,989.,Gene Richards (8),18.3,L
992,993.,Tommie Agee (12),18.2,R
993,993.,Ed Charles (8),18.2,R
994,993.,Darin Erstad (14),18.2,L
995,993.,Jim Gentile (9),18.2,L
996,997.,Tony Bernazard (10),18.1,B
997,997.,Tom Brunansky (14),18.1,R
998,997.,Lee Maye (13),18.1,L
