,Rank,"Player (yrs, age)",Intentional Bases on Balls,Bats
705,678.,Sammy White (11),38,R
706,707.,Tony Armas (14),37,R
707,707.,Casey Blake (13),37,R
708,707.,Clint Courtney (11),37,L
709,707.,Babe Dahlgren (12),37,R
710,707.,Vince DiMaggio (10),37,R
711,707.,Earl Grace (8),37,L
712,707.,Alfredo Griffin (18),37,B
713,707.,Granny Hamner (17),37,R
714,707.,Frankie Hayes (14),37,R
715,707.,Larry Hisle (14),37,R
716,707.,Tommy Holmes (11),37,L
717,707.,Jacque Jones (10),37,L
718,707.,Tony Lazzeri+ (14),37,R
719,707.,Johnnie LeMaster (12),37,R
720,707.,Sixto Lezcano (12),37,R
721,707.,Gus Mancuso (17),37,R
722,707.,Clyde McCullough (15),37,R
723,707.,Cass Michaels (12),37,R
724,707.,Rafael Ramirez (13),37,R
725,707.,Willie Randolph (18),37,R
726,707.,Aurelio Rodriguez (17),37,R
727,707.,Luis Salazar (13),37,R
728,707.,Emil Verban (7),37,R
729,707.,Don Wert (9),37,R
730,707.,Babe Young (8),37,L
731,732.,Earl Averill+ (13),36,L
732,732.,Paul Bako (12),36,L
733,732.,Gus Bell (15),36,L
734,732.,Dave Bergman (17),36,L
735,732.,Larry Biittner (14),36,L
736,732.,Bill Bruton (12),36,L
737,732.,Andujar Cedeno (7),36,R
738,732.,Michael Cuddyer (15),36,R
739,732.,Joe Cunningham (12),36,L
740,732.,Jim Gilliam (14),36,B
741,732.,Jim Hickman (13),36,R
742,732.,Bobby Higginson (11),36,L
743,732.,Don Hoak (11),36,R
744,732.,Ted Kubiak (10),36,B
745,732.,Magglio Ordonez (15),36,R
746,732.,Dave Philley (18),36,B
747,732.,Buddy Rosar (13),36,R
748,732.,Chris Snyder (10),36,R
749,732.,Al Todd (11),36,R
750,732.,Elmer Valo (20),36,L
751,732.,Daryle Ward (11),36,L
752,732.,Mookie Wilson (12),36,B
753,754.,Todd Benzinger (9),35,B
754,754.,Ray Boone (13),35,R
755,754.,Bob Brenly (9),35,R
756,754.,Chris Cannizzaro (13),35,R
757,754.,Wil Cordero (14),35,R
758,754.,Craig Counsell (16),35,L
759,754.,Tim Flannery (11),35,L
760,754.,Ray Fosse (12),35,R
761,754.,Chick Hafey+ (13),35,R
762,754.,Jimmie Hall (8),35,L
763,754.,Jim King (11),35,L
764,754.,Travis Lee (9),35,L
765,754.,Hideki Matsui (10),35,L
766,754.,Ken O'Dea (12),35,L
767,754.,Phil Rizzuto+ (13),35,R
768,754.,Scott Spiezio (12),35,B
769,754.,Lee Thomas (8),35,L
770,754.,Manny Trillo (17),35,R
771,754.,Jose Vidro (12),35,B
772,754.,Ben Zobrist (14),35,B
773,774.,"Tucker Barnhart (7, 29)",34,L
774,774.,Geoff Blum (14),34,B
775,774.,"Michael Brantley (12, 33)",34,L
776,774.,Royce Clayton (17),34,R
777,774.,Roy Cullenbine (10),34,B
778,774.,Harry Danning (10),34,R
779,774.,Ray Durham (14),34,B
780,774.,Leo Durocher+ (17),34,R
781,774.,Jim Dwyer (18),34,L
782,774.,Joe Girardi (15),34,R
783,774.,Dick Green (12),34,R
784,774.,Wayne Gross (11),34,L
785,774.,Billy Herman+ (15),34,R
786,774.,Mike Ivie (11),34,R
787,774.,Eddie Joost (17),34,R
788,774.,Howie Kendrick (15),34,R
789,774.,Jason Kubel (10),34,L
790,774.,Matt Lawton (12),34,L
791,774.,Mike Lieberthal (14),34,R
792,774.,Roger Metzger (11),34,B
793,774.,Doug Mientkiewicz (12),34,L
794,774.,"Mitch Moreland (11, 34)",34,L
795,774.,Jose Offerman (15),34,B
796,774.,Joe Orsulak (14),34,L
797,774.,Tom Pagnozzi (12),34,R
798,774.,Gerald Perry (13),34,L
799,774.,Brandon Phillips (17),34,R
800,774.,Craig Reynolds (15),34,L
801,774.,Babe Ruth+ (22),34,L
802,774.,Rafael Santana (7),34,R
803,774.,Duke Sims (11),34,L
804,774.,Grady Sizemore (10),34,L
805,774.,Dick Stuart (10),34,R
806,774.,Cecil Travis (12),34,L
807,774.,Todd Walker (12),34,L
808,774.,Fred Whitfield (9),34,L
809,774.,Woody Woodward (9),34,R
810,774.,"Christian Yelich (8, 28)",34,L
811,812.,Frank Bolling (12),33,R
812,812.,Ellis Burks (18),33,R
813,812.,Danny Cater (12),33,R
814,812.,"Yoenis Céspedes (8, 34)",33,R
815,812.,Alex Cora (14),33,L
816,812.,Stephen Drew (12),33,L
817,812.,Lucas Duda (10),33,L
818,812.,Brad Fullmer (8),33,L
819,812.,Ken Harrelson (9),33,R
820,812.,Eddie Kasko (10),33,R
821,812.,George Kell+ (15),33,R
822,812.,Ken Landreaux (11),33,L
823,812.,Hank Leiber (10),33,R
824,812.,Rick Manning (13),33,L
825,812.,Mike Marshall (11),33,R
826,812.,Sam Mele (10),33,R
827,812.,Gene Moore (14),33,L
828,812.,Jo-Jo Moore (12),33,L
829,812.,Jerry Morales (15),33,R
830,812.,Freddie Patek (14),33,R
831,812.,Biff Pocoroba (10),33,B
832,812.,Floyd Robinson (9),33,L
833,812.,Henry Rodriguez (11),33,L
834,812.,Luke Scott (9),33,L
835,812.,"Kyle Seager (10, 32)",33,L
836,812.,Hal Smith (7),33,R
837,812.,Seth Smith (11),33,L
838,812.,Bob Tillman (9),33,R
839,812.,Jose Vizcaino (18),33,B
840,812.,Joe Vosmik (13),33,R
841,842.,Jesus Alou (15),32,R
842,842.,Harry Anderson (5),32,L
843,842.,Clint Barmes (13),32,R
844,842.,Dante Bichette (14),32,R
845,842.,Bret Boone (14),32,R
846,842.,Steve Braun (15),32,L
847,842.,Danny Espinosa (8),32,B
848,842.,Les Fleming (7),32,L
849,842.,Steve Henderson (12),32,R
850,842.,Steve Jeltz (8),32,B
851,842.,Buddy Kerr (9),32,R
852,842.,Ray Lamanno (5),32,R
853,842.,Mickey Livingston (10),32,R
854,842.,Candy Maldonado (15),32,R
855,842.,Charlie Maxwell (14),32,L
856,842.,Dan Meyer (12),32,L
857,842.,Billy Myers (7),32,R
858,842.,Matt Nokes (11),32,L
859,842.,Dick Siebert (11),32,L
860,842.,Harry Simpson (8),32,L
861,842.,Mickey Stanley (15),32,R
862,842.,"Dansby Swanson (5, 26)",32,R
863,842.,Derrel Thomas (15),32,B
864,842.,John Vander Wal (14),32,L
865,842.,Gee Walker (15),32,R
866,842.,Jayson Werth (15),32,R
867,842.,Devon White (17),32,B
868,869.,Jerry Adair (13),31,R
869,869.,Pedro Alvarez (9),31,L
870,869.,Rod Barajas (14),31,R
871,869.,Ken Berry (14),31,R
872,869.,Zeke Bonura (7),31,R
873,869.,Steve Buechele (11),31,R
874,869.,Enos Cabell (15),31,R
875,869.,"Starlin Castro (11, 30)",31,R
876,869.,Don Demeter (11),31,R
877,869.,Delino DeShields (13),31,L
878,869.,Darrin Fletcher (14),31,L
879,869.,Hank Foiles (11),31,R
880,869.,Curtis Granderson (16),31,L
881,869.,Bud Harrelson (16),31,B
882,869.,Ron Hassey (14),31,L
883,869.,Jack Howell (11),31,L
884,869.,Mack Jones (10),31,L
885,869.,Mike Lamb (10),31,L
886,869.,Gene Larkin (7),31,B
887,869.,Jerry Lynch (13),31,L
888,869.,Hank Majeski (13),31,R
889,869.,Wally Moses (17),31,L
890,869.,Mike Napoli (12),31,R
891,869.,Troy O'Leary (11),31,L
892,869.,Wally Post (15),31,R
893,869.,Kevin Seitzer (12),31,R
894,869.,Scott Servais (11),31,R
895,869.,Richie Sexson (12),31,R
896,869.,Al Smith (12),31,R
897,869.,Terry Steinbach (14),31,R
898,869.,Riggs Stephenson (14),31,R
899,869.,Billy Sullivan (12),31,L
900,869.,Jim Sundberg (16),31,R
901,869.,Michael Tucker (12),31,L
902,869.,Earl Williams (8),31,R
903,904.,Bob Allison (13),30,R
904,904.,"Javier Baez (7, 27)",30,R
905,904.,Derek Bell (11),30,R
906,904.,"Brandon Belt (10, 32)",30,L
907,904.,Russell Branyan (14),30,L
908,904.,Dick Brown (9),30,R
909,904.,Al Bumbry (14),30,L
910,904.,Marlon Byrd (15),30,R
911,904.,Ivan Calderon (10),30,R
912,904.,Harlond Clift (12),30,R
913,904.,Dick Dietz (8),30,R
914,904.,Johnny Estrada (8),30,B
915,904.,Al Evans (12),30,R
916,904.,Nellie Fox+ (19),30,L
917,904.,Jose Guillen (14),30,R
918,904.,Tommy Harper (15),30,R
919,904.,Charlie Hayes (14),30,R
920,904.,Chase Headley (12),30,B
921,904.,Clyde Kluttz (9),30,R
922,904.,Whitey Lockman (15),30,L
923,904.,John Lowenstein (16),30,L
924,904.,Ray Mack (9),30,R
925,904.,Phil Nevin (12),30,R
926,904.,Ed Ott (8),30,L
927,904.,Cookie Rojas (16),30,R
928,904.,David Ross (15),30,R
929,904.,Red Schoendienst+ (19),30,B
930,904.,Bob Swift (14),30,R
931,904.,Tom Tresh (9),30,B
932,904.,Alex Trevino (13),30,R
933,904.,Hal Wagner (12),30,L
934,904.,Brad Wilkerson (8),30,L
935,904.,Joel Youngblood (14),30,R
936,904.,Gregg Zaun (16),30,B
937,938.,Mike Aldrete (10),29,L
938,938.,"Yonder Alonso (10, 33)",29,L
939,938.,Ken Boswell (11),29,L
940,938.,Ed Bouchee (7),29,L
941,938.,Rico Brogna (9),29,L
942,938.,Bruce Campbell (13),29,L
943,938.,Vic Davalillo (16),29,L
944,938.,Tim Foli (16),29,R
945,938.,Barry Foote (10),29,R
946,938.,Marc Hill (14),29,R
947,938.,Eric Hinske (12),29,L
948,938.,"Chris Iannetta (14, 37)",29,R
949,938.,Charles Johnson (12),29,R
950,938.,Lance Johnson (14),29,L
951,938.,Fred Kendall (12),29,R
952,938.,Danny Litwhiler (11),29,R
953,938.,Lee Maye (13),29,L
954,938.,Mark McLemore (19),29,B
955,938.,Bill Melton (10),29,R
956,938.,Bob Nieman (12),29,R
957,938.,Dan Pasqua (10),29,L
958,938.,Vic Power (12),29,R
959,938.,Jody Reed (11),29,R
960,938.,Ellie Rodriguez (9),29,R
961,938.,Connie Ryan (12),29,R
962,938.,Rey Sanchez (15),29,R
963,938.,Art Shamsky (8),29,L
964,938.,Ed Taubensee (11),29,L
965,938.,Gary Thomasson (9),29,L
966,938.,Jeff Torborg (10),29,R
967,938.,Denny Walling (18),29,L
968,938.,"Matt Wieters (12, 34)",29,B
969,970.,Marlon Anderson (12),28,L
970,970.,Beau Bell (7),28,R
971,970.,"Charlie Blackmon (10, 33)",28,L
972,970.,Henry Blanco (16),28,R
973,970.,Dave Cash (12),28,R
974,970.,Tony Conigliaro (8),28,R
975,970.,Al Cowens (13),28,R
976,970.,Kal Daniels (7),28,L
977,970.,"Daniel Descalso (10, 33)",28,L
978,970.,Ryan Doumit (10),28,B
979,970.,Jake Early (9),28,L
980,970.,Gene Freese (12),28,R
981,970.,Dave Hollins (12),28,B
982,970.,Felix Jose (11),28,B
983,970.,Johnny Lindell (12),28,R
984,970.,Johnny Logan (13),28,R
985,970.,Peanuts Lowrey (13),28,R
986,970.,Heinie Manush+ (17),28,L
987,970.,Kirt Manwaring (13),28,R
988,970.,Bake McBride (11),28,L
989,970.,Jose Morales (12),28,R
990,970.,Rance Mulliniks (16),28,L
991,970.,Greg Myers (18),28,L
992,970.,Bill North (11),28,B
993,970.,Don Padgett (8),28,L
994,970.,Johnny Peacock (9),28,L
995,970.,Ken Phelps (11),28,L
996,970.,Jerry Priddy (11),28,R
997,970.,"Anthony Rendon (8, 30)",28,R
998,970.,"Kyle Schwarber (6, 27)",28,L
999,970.,Don Slaught (16),28,R
1000,970.,Chad Tracy (9),28,L
1001,970.,Greg Walker (9),28,L
1002,970.,Gary Ward (12),28,R
1003,970.,Mitch Webster (13),28,B
1004,970.,Michael Young (14),28,R
