,Rank,"Player (yrs, age)",WAR for Pitchers,Throws
640,640.,Bill Bonham (10),18.0,R
641,640.,Ernie Broglio (8),18.0,R
642,640.,Duke Esper (9),18.0,L
643,640.,LaTroy Hawkins (21),18.0,R
644,640.,Danny Jackson (15),18.0,L
645,640.,Ed Stein (8),18.0,R
646,647.,Rich Harden (9),17.9,R
647,647.,Bob Miller (17),17.9,R
648,647.,Jack Warhop (8),17.9,R
649,650.,Oil Can Boyd (10),17.8,R
650,650.,Britt Burns (8),17.8,L
651,650.,Max Butcher (10),17.8,R
652,650.,"Aroldis Chapman (11, 32)",17.8,L
653,650.,Dave Koslo (12),17.8,L
654,650.,"Francisco Liriano (14, 36)",17.8,L
655,650.,"Mike Minor (9, 32)",17.8,L
656,650.,Steve Reed (14),17.8,R
657,650.,Jimmy Ring (12),17.8,R
658,650.,Jack Sanford (12),17.8,R
659,650.,Bill Wegman (11),17.8,R
660,661.,"Trevor Bauer (9, 29)",17.7,R
661,661.,Carl Morton (8),17.7,R
662,663.,"Danny Duffy (10, 31)",17.6,L
663,663.,Harry Gumbert (15),17.6,R
664,663.,"Masahiro Tanaka (7, 31)",17.6,R
665,666.,Tom Burgmeier (17),17.5,L
666,666.,Jose DeLeon (13),17.5,R
667,666.,Vinegar Bend Mizell (9),17.5,L
668,666.,Jim Slaton (16),17.5,R
669,670.,Erik Bedard (11),17.4,L
670,670.,Armando Benitez (15),17.4,R
671,670.,Moose Haas (12),17.4,R
672,670.,Mike McCormick (16),17.4,L
673,670.,Jesse Petty (7),17.4,L
674,670.,Dick Ruthven (14),17.4,R
675,670.,Frank Smith (11),17.4,R
676,677.,Storm Davis (13),17.3,R
677,677.,Jason Vargas (14),17.3,L
678,677.,C.J. Wilson (11),17.3,L
679,680.,Bill Bernhard (9),17.2,R
680,680.,Harry Coveleski (9),17.2,L
681,680.,Ray Culp (11),17.2,R
682,680.,Billy Hoeft (15),17.2,L
683,680.,Mike Marshall (14),17.2,R
684,680.,Fred Norman (16),17.2,L
685,680.,Bob Porterfield (12),17.2,R
686,680.,Ted Wilks (10),17.2,R
687,680.,Al Worthington (14),17.2,R
688,689.,Jim Hearn (13),17.1,R
689,689.,Willie Mitchell (11),17.1,L
690,689.,"Darren O'Day (13, 37)",17.1,R
691,689.,Troy Percival (14),17.1,R
692,689.,Dan Petry (13),17.1,R
693,689.,Dan Plesac (18),17.1,L
694,689.,Jim Rooker (13),17.1,L
695,696.,Chad Billingsley (9),17.0,R
696,696.,Chick Fraser (14),17.0,R
697,696.,Hisashi Iwakuma (6),17.0,R
698,699.,Clay Buchholz (13),16.9,R
699,699.,Don Cardwell (14),16.9,R
700,699.,Francisco Cordero (14),16.9,R
701,699.,Dick Hall (19),16.9,R
702,699.,Gil Meche (10),16.9,R
703,699.,Greg Minton (16),16.9,R
704,699.,Bob Wickman (15),16.9,R
705,699.,Chris Young (13),16.9,R
706,707.,Bobby Bolin (13),16.8,R
707,707.,Hal Brown (14),16.8,R
708,707.,Ken Heintzelman (13),16.8,L
709,710.,Vic Aldridge (9),16.7,R
710,710.,Joaquin Andujar (13),16.7,R
711,710.,Larry Cheney (9),16.7,R
712,710.,Don Gullett (9),16.7,L
713,710.,Eddie Smith (10),16.7,L
714,710.,Pete Vuckovich (11),16.7,R
715,716.,Ted Abernathy (14),16.6,R
716,716.,Roger Craig (12),16.6,R
717,716.,Fred Frankhouse (13),16.6,R
718,716.,Willie Hernandez (13),16.6,L
719,716.,Paul Minner (10),16.6,L
720,716.,Carl Pavano (14),16.6,R
721,722.,Ralph Branca (12),16.5,R
722,722.,Gene Garber (19),16.5,R
723,722.,"Hyun Jin Ryu (7, 33)",16.5,L
724,722.,Ray Sadecki (18),16.5,L
725,722.,Bryn Smith (13),16.5,R
726,727.,Jim Colborn (10),16.4,R
727,727.,Pete Donohue (12),16.4,R
728,727.,Carl Erskine (12),16.4,R
729,727.,Gavin Floyd (13),16.4,R
730,727.,Roy Patterson (7),16.4,R
731,732.,Ray Herbert (14),16.3,R
732,733.,Dave Burba (15),16.2,R
733,733.,Cal Eldred (14),16.2,R
734,733.,Milt Gaston (11),16.2,R
735,733.,Jim Merritt (11),16.2,L
736,733.,Juan Pizarro (18),16.2,L
737,733.,Vic Raschi (10),16.2,R
738,739.,Steve Busby (8),16.1,R
739,739.,Dave Giusti (15),16.1,R
740,739.,"Kenley Jansen (11, 32)",16.1,R
741,739.,Cliff Melton (8),16.1,L
742,739.,Dick Radatz (7),16.1,R
743,744.,Richard Dotson (12),16.0,R
744,744.,Dennis Lamp (16),16.0,R
745,744.,Jake Miller (9),16.0,L
746,744.,Kirk Rueter (13),16.0,L
747,748.,Paul Byrd (14),15.9,R
748,748.,Ed Figueroa (8),15.9,R
749,748.,Bill Hallahan (12),15.9,L
750,748.,Mark Portugal (15),15.9,R
751,752.,Elden Auker (10),15.8,R
752,752.,Scott Baker (10),15.8,R
753,752.,Jimmy Callahan (13),15.8,R
754,752.,Octavio Dotel (15),15.8,R
755,752.,Al Fitzmorris (10),15.8,R
756,752.,Eric Milton (11),15.8,L
757,752.,"David Robertson (12, 35)",15.8,R
758,752.,Dummy Taylor (9),15.8,R
759,760.,Hank Borowy (10),15.7,R
760,760.,Jim Brewer (17),15.7,L
761,760.,Phil Collins (8),15.7,R
762,760.,Aaron Cook (11),15.7,R
763,760.,Mickey Haefner (8),15.7,L
764,760.,Joey Jay (13),15.7,R
765,760.,Bob Muncrief (12),15.7,R
766,760.,Alejandro Pena (15),15.7,R
767,760.,Mark Prior (5),15.7,R
768,760.,Dave Rozema (10),15.7,R
769,760.,Jeff Suppan (17),15.7,R
770,771.,Gene Conley (11),15.6,R
771,771.,Frank Foreman (11),15.6,R
772,771.,Luke Hamlin (9),15.6,R
773,771.,"Ian Kennedy (14, 35)",15.6,R
774,771.,Red Munger (10),15.6,R
775,776.,Tex Carleton (8),15.5,R
776,776.,Johnny Murphy (13),15.5,R
777,778.,Steve Bedrosian (14),15.4,R
778,778.,"Tyler Clippard (14, 35)",15.4,R
779,778.,Ad Gumbert (9),15.4,R
780,778.,Casey Patten (8),15.4,L
781,778.,Dontrelle Willis (9),15.4,L
782,783.,Bob Groom (10),15.3,R
783,783.,Joey Hamilton (10),15.3,R
784,783.,Brett Myers (12),15.3,R
785,786.,Arthur Rhodes (20),15.2,L
786,787.,Don Aase (13),15.1,R
787,787.,Ray Burris (15),15.1,R
788,787.,George Hemming (8),15.1,R
789,787.,"Rich Hill (16, 40)",15.1,L
790,787.,Jay Howell (15),15.1,R
791,787.,Ray Kolp (12),15.1,R
792,787.,Randy Myers (14),15.1,L
793,787.,Robb Nen (10),15.1,R
794,787.,Eric Show (11),15.1,R
795,796.,Wade Miller (9),15.0,R
796,797.,Ray Benge (12),14.9,R
797,797.,Cy Blanton (9),14.9,R
798,797.,Dock Ellis (12),14.9,R
799,797.,Al Mamaux (12),14.9,R
800,797.,Doc McJames (6),14.9,R
801,797.,Jorge De La Rosa (15),14.9,L
802,803.,Doc Ayers (9),14.8,R
803,803.,Jim Beattie (9),14.8,R
804,803.,Scott Perry (7),14.8,R
805,803.,Jeff Russell (14),14.8,R
806,807.,Dixie Davis (10),14.7,R
807,807.,Bill Henry (16),14.7,L
808,807.,Jim Lonborg (15),14.7,R
809,807.,Jeff Nelson (15),14.7,R
810,807.,"Jeff Samardzija (13, 35)",14.7,R
811,807.,Bobby Witt (16),14.7,R
812,813.,Dave Davenport (6),14.6,R
813,813.,Lew Richie (8),14.6,R
814,813.,"Marcus Stroman (6, 29)",14.6,R
815,816.,Miguel Batista (18),14.5,R
816,816.,Phil Douglas (9),14.5,R
817,816.,Joe Shaute (13),14.5,L
818,816.,Huston Street (13),14.5,R
819,816.,"Noah Syndergaard (5, 27)",14.5,R
820,821.,Gary Bell (12),14.4,R
821,821.,Matt Garza (12),14.4,R
822,821.,Dave LaRoche (14),14.4,L
823,821.,Rick Waits (12),14.4,L
824,825.,Bill Duggleby (8),14.3,R
825,825.,Warren Hacker (12),14.3,R
826,825.,Bruce Kison (15),14.3,R
827,825.,Clem Labine (13),14.3,R
828,825.,Johnny Marcum (7),14.3,R
829,825.,Kirk McCaskill (12),14.3,R
830,831.,Jim Brosnan (9),14.2,R
831,831.,Dave Dravecky (8),14.2,L
832,831.,Harry Harper (10),14.2,L
833,831.,Jim Kern (13),14.2,R
834,831.,"Mike Leake (10, 32)",14.2,R
835,831.,Chuck Stobbs (15),14.2,L
836,831.,Dick Tidrow (13),14.2,R
837,831.,Jeff Weaver (11),14.2,R
838,839.,Rafael Betancourt (12),14.1,R
839,839.,"Zack Britton (10, 32)",14.1,L
840,839.,Francisco Cordova (5),14.1,R
841,839.,Grant Jackson (18),14.1,L
842,839.,Lynn McGlothen (11),14.1,R
843,839.,Willie Sudhoff (10),14.1,R
844,839.,Bob Turley (12),14.1,R
845,846.,Lady Baldwin (6),14.0,L
846,846.,Wandy Rodriguez (11),14.0,L
847,846.,Herb Score (8),14.0,L
848,849.,Larry Andersen (17),13.9,R
849,849.,Ruben Gomez (10),13.9,R
850,849.,"Carlos Martinez (8, 28)",13.9,R
851,849.,Jeff Shaw (12),13.9,R
852,849.,Rafael Soriano (14),13.9,R
853,854.,Jesse Flores (7),13.8,R
854,854.,Ryan Madson (13),13.8,R
855,854.,Mike Stanton (19),13.8,L
856,857.,Ben Cantwell (11),13.7,R
857,857.,Jim Deshaies (12),13.7,L
858,857.,Johnny Klippstein (18),13.7,R
859,857.,Carl Lundgren (8),13.7,R
860,857.,Allan Sothoron (11),13.7,R
861,862.,Matt Clement (9),13.6,R
862,862.,Fred Goldsmith (7),13.6,R
863,862.,Marv Grissom (10),13.6,R
864,862.,Al McBean (10),13.6,R
865,862.,"Eduardo Rodriguez (5, 27)",13.6,L
866,862.,Lary Sorensen (11),13.6,R
867,862.,Bill Wight (12),13.6,L
868,869.,Rick Camp (9),13.5,R
869,869.,José Contreras (11),13.5,R
870,869.,Jesse Duryea (5),13.5,R
871,869.,Greg Harris (8),13.5,R
872,869.,Jay Hughes (4),13.5,R
873,869.,Pat Jarvis (8),13.5,R
874,869.,Mickey McDermott (12),13.5,L
875,869.,"Ivan Nova (11, 33)",13.5,R
876,869.,Eric Plunk (14),13.5,R
877,869.,Matt Thornton (13),13.5,L
878,869.,Koji Uehara (9),13.5,R
879,880.,"Mike Clevinger (5, 29)",13.4,R
880,880.,Jose Guzman (8),13.4,R
881,880.,"Joe Smith (13, 36)",13.4,R
882,883.,"Chris Archer (8, 31)",13.3,R
883,883.,Len Barker (11),13.3,R
884,883.,Eddie Guardado (17),13.3,L
885,883.,Jason Hammel (13),13.3,R
886,883.,Orlando Pena (14),13.3,R
887,883.,Joel Pineiro (12),13.3,R
888,883.,Ugueth Urbina (11),13.3,R
889,883.,Elam Vangilder (11),13.3,R
890,883.,Lefty Williams (7),13.3,L
891,892.,Doc Crandall (10),13.2,R
892,892.,Tom Hughes (13),13.2,R
893,892.,Ricky Nolasco (12),13.2,R
894,892.,Omar Olivares (12),13.2,R
895,892.,Pete Richert (13),13.2,L
896,892.,Ralph Terry (12),13.2,R
897,892.,Steve Trout (12),13.2,L
898,892.,Brad Ziegler (11),13.2,R
899,900.,Paul Assenmacher (14),13.1,L
900,900.,Kris Benson (9),13.1,R
901,900.,Huck Betts (10),13.1,R
902,900.,Paul Maholm (10),13.1,L
903,900.,Shaun Marcum (9),13.1,R
904,900.,J.J. Putz (12),13.1,R
905,900.,Sam Weaver (6),13.1,R
906,907.,Jose Fernandez (4),13.0,R
907,907.,"Kyle Freeland (4, 27)",13.0,L
908,907.,Art Fromme (10),13.0,R
909,907.,"German Marquez (5, 25)",13.0,R
910,907.,"James Paxton (8, 31)",13.0,L
911,907.,Milt Wilcox (16),13.0,R
912,913.,Vern Bickford (7),12.9,R
913,913.,Mike Henneman (10),12.9,R
914,913.,Terry Mulholland (20),12.9,L
915,913.,Don Robinson (15),12.9,R
916,913.,Justin Thompson (5),12.9,L
917,913.,"Zack Wheeler (6, 30)",12.9,R
918,919.,Kent Mercker (18),12.8,L
919,919.,Chien-Ming Wang (9),12.8,R
920,919.,Bob Weiland (12),12.8,L
921,919.,Jake Westbrook (13),12.8,R
922,923.,Red Barrett (11),12.7,R
923,923.,Tom Brewer (8),12.7,R
924,923.,Dustin Hermanson (12),12.7,R
925,923.,LaMarr Hoyt (8),12.7,R
926,923.,Erskine Mayer (8),12.7,R
927,923.,Russ Meyer (13),12.7,R
928,923.,Gregg Olson (14),12.7,R
929,923.,Scott Stratton (8),12.7,R
930,923.,Craig Swan (12),12.7,R
931,923.,Dave Veres (10),12.7,R
932,933.,Joe Blanton (13),12.6,R
933,933.,Ken Brett (14),12.6,L
934,933.,"Alex Cobb (9, 32)",12.6,R
935,933.,"Mike Fiers (10, 35)",12.6,R
936,933.,"Greg Holland (10, 34)",12.6,R
937,933.,Pat Ragan (11),12.6,R
938,939.,Steve Avery (11),12.5,L
939,939.,Hugh Casey (9),12.5,R
940,939.,Alex Kellner (12),12.5,L
941,939.,Don Larsen (14),12.5,R
942,939.,Frank Linzy (11),12.5,R
943,939.,"Jake Odorizzi (9, 30)",12.5,R
944,939.,George Pipgras (11),12.5,R
945,939.,Mike Smith (14),12.5,L
946,939.,Hank Wyse (8),12.5,R
947,948.,Tim Burke (8),12.4,R
948,948.,Bill Campbell (15),12.4,R
949,948.,Bob Harmon (9),12.4,R
950,948.,Sid Hudson (12),12.4,R
951,948.,Brian Moehler (14),12.4,R
952,948.,Doug Rau (9),12.4,L
953,954.,Buster Brown (9),12.3,R
954,954.,Bryan Harvey (9),12.3,R
955,954.,Jason Isringhausen (16),12.3,R
956,954.,Mat Latos (9),12.3,R
957,954.,Armando Reynoso (12),12.3,R
958,954.,Bill Voiselle (9),12.3,R
959,960.,"Steve Cishek (11, 34)",12.2,R
960,960.,Sandy Consuegra (8),12.2,R
961,960.,Marco Estrada (12),12.2,R
962,960.,Fred Glade (6),12.2,R
963,960.,Darold Knowles (16),12.2,L
964,960.,Cy Morgan (10),12.2,R
965,960.,Scot Shields (10),12.2,R
966,960.,John Whitehead (7),12.2,R
967,968.,Mace Brown (10),12.1,R
968,968.,"Trevor Cahill (12, 32)",12.1,R
969,968.,Al Holland (10),12.1,L
970,968.,Si Johnson (17),12.1,R
971,968.,Chuck Taylor (8),12.1,R
972,968.,Sloppy Thurston (9),12.1,R
973,974.,Paul Dean (9),12.0,R
974,974.,Tom Ferrick (9),12.0,R
975,974.,Jack Knott (11),12.0,R
976,974.,Tomo Ohka (10),12.0,R
977,974.,Vicente Padilla (14),12.0,R
978,974.,Vern Ruhle (13),12.0,R
979,974.,Diego Segui (15),12.0,R
980,974.,Dave Smith (13),12.0,R
981,974.,"Alex Wood (8, 29)",12.0,L
982,983.,Bernie Boland (7),11.9,R
983,983.,Curt Leskanic (11),11.9,R
984,983.,"Drew Pomeranz (10, 31)",11.9,L
985,983.,Elmer Riddle (10),11.9,R
986,983.,"Tony Watson (10, 35)",11.9,L
987,988.,Sheriff Blake (10),11.8,R
988,988.,John Buzhardt (11),11.8,R
989,988.,Hugh Daily (6),11.8,R
990,988.,Jim Konstanty (11),11.8,R
991,988.,Larry McWilliams (13),11.8,L
992,988.,"Mark Melancon (12, 35)",11.8,R
993,988.,Ramiro Mendoza (10),11.8,R
994,988.,Phil Regan (13),11.8,R
995,988.,Bob Rhoads (8),11.8,R
996,988.,Jack Wilson (9),11.8,R
997,988.,Roger Wolff (7),11.8,R
998,988.,Pat Zachry (10),11.8,R
