,Rank,"Player (yrs, age)",Times On Base,Bats
668,669.,Matt Lawton (12),2048,L
669,669.,Manny Trillo (17),2048,R
670,671.,Cesar Tovar (12),2047,R
671,672.,Mark Reynolds (13),2046,R
672,672.,Bill Virdon (12),2046,L
673,674.,Billy Rogell (14),2045,B
674,675.,Eddie Foster (13),2043,R
675,675.,Tommy Henrich (11),2043,L
676,675.,Paul Radford (12),2043,R
677,678.,Ray Schalk+ (18),2042,R
678,679.,Denny Lyons (13),2039,R
679,679.,Rico Petrocelli (13),2039,R
680,679.,Jose Vidro (12),2039,B
681,682.,Thurman Munson (11),2038,R
682,682.,Carlos Pena (14),2038,L
683,684.,"Jose Altuve (10, 30)",2037,R
684,685.,Roger Bresnahan+ (17),2033,R
685,685.,Hubie Brooks (15),2033,R
686,687.,Joe Randa (12),2030,R
687,688.,Damion Easley (17),2028,R
688,689.,Buck Ewing+ (18),2026,R
689,689.,Billy Shindle (13),2026,R
690,691.,Wally Berger (11),2023,R
691,691.,Tony Gonzalez (12),2023,L
692,693.,Bobby Higginson (11),2022,L
693,693.,Richie Zisk (13),2022,R
694,695.,Germany Smith (15),2021,R
695,696.,Curt Walker (12),2019,L
696,697.,Jimmy Williams (11),2018,R
697,698.,Roger Maris (12),2015,L
698,699.,Henry Larkin (10),2014,R
699,699.,Denis Menke (13),2014,R
700,701.,Billy Butler (10),2013,R
701,701.,Dave Cash (12),2013,R
702,701.,"Anthony Rizzo (10, 30)",2013,L
703,704.,Tommy Holmes (11),2011,L
704,704.,Lyle Overbay (14),2011,L
705,706.,Ozzie Guillen (16),2010,L
706,706.,Vic Power (12),2010,R
707,708.,Marlon Byrd (15),2009,R
708,709.,Jose Valentin (16),2007,B
709,710.,Bill Skowron (14),2003,R
710,710.,Amos Strunk (17),2003,L
711,712.,Juan Uribe (16),2002,R
712,713.,Jo-Jo Moore (12),2000,L
713,714.,Aaron Hill (13),1999,R
714,715.,Felix Millan (12),1998,R
715,716.,Paul Blair (17),1985,R
716,716.,Jimmy Slagle (10),1985,L
717,718.,"Starlin Castro (11, 30)",1983,R
718,719.,Jason Varitek (15),1982,B
719,720.,"Jason Heyward (11, 30)",1980,L
720,720.,"Eric Hosmer (10, 30)",1980,L
721,722.,Hank Bauer (14),1979,R
722,723.,Cecil Travis (12),1977,L
723,724.,Kevin McReynolds (12),1975,R
724,725.,Chase Headley (12),1972,B
725,726.,Tito Francona (15),1971,L
726,727.,Lenny Dykstra (12),1969,L
727,727.,Lyn Lary (12),1969,R
728,727.,Otis Nixon (17),1969,B
729,730.,Terry Turner (17),1968,R
730,731.,Frank Chance+ (17),1967,R
731,731.,Max Flack (12),1967,L
732,731.,Rondell White (15),1967,R
733,734.,Duff Cooley (13),1965,L
734,735.,Jimmy Austin (18),1964,B
735,736.,Dots Miller (12),1962,R
736,737.,Stan Javier (17),1961,B
737,737.,Adam Kennedy (14),1961,L
738,737.,"Daniel Murphy (12, 35)",1961,L
739,740.,Bruce Campbell (13),1957,L
740,741.,Woody English (12),1956,R
741,742.,Martin Prado (14),1955,R
742,743.,Javy Lopez (15),1950,R
743,743.,David Segui (15),1950,B
744,745.,Troy Tulowitzki (13),1949,R
745,746.,Mickey Rivers (15),1948,L
746,747.,Carlos Baerga (14),1947,B
747,747.,Scott Fletcher (15),1947,R
748,749.,Danny Murphy (16),1945,R
749,750.,Andre Ethier (12),1944,L
750,751.,Earl Sheely (9),1943,R
751,752.,Howard Johnson (14),1938,B
752,753.,Roy Cullenbine (10),1936,B
753,754.,Norm Siebern (12),1935,L
754,755.,Mark Belanger (18),1934,R
755,755.,Red Kress (14),1934,R
756,757.,Don Blasingame (12),1933,L
757,757.,David Eckstein (10),1933,R
758,759.,Marty Marion (13),1932,R
759,760.,Jack Graney (14),1930,L
760,760.,Red Rolfe (10),1930,L
761,762.,Enos Cabell (15),1929,R
762,763.,Dave Magadan (16),1927,L
763,764.,Kevin Millar (12),1926,R
764,764.,Richie Sexson (12),1926,R
765,766.,Lance Johnson (14),1924,L
766,766.,Jerry Mumphrey (15),1924,B
767,768.,Ken Oberkfell (16),1923,L
768,769.,Aurelio Rodriguez (17),1921,R
769,770.,Terry Steinbach (14),1919,R
770,771.,Vince Coleman (13),1917,B
771,771.,Al Cowens (13),1917,R
772,771.,Buck Herzog (13),1917,R
773,771.,George Wood (13),1917,L
774,775.,Don Buford (10),1916,B
775,776.,Al Bumbry (14),1914,L
776,776.,J.J. Hardy (13),1914,R
777,778.,Duffy Lewis (11),1910,R
778,779.,Frank Bolling (12),1907,R
779,780.,Sam Chapman (11),1906,R
780,780.,"Buster Posey (11, 33)",1906,R
781,780.,Luke Sewell (20),1906,R
782,783.,Walt Weiss (14),1905,B
783,784.,Jimmy Johnston (13),1904,R
784,785.,Alvin Davis (9),1902,L
785,785.,"Carlos Gonzalez (12, 34)",1902,L
786,787.,Johnny Logan (13),1901,R
787,788.,Mike Greenwell (12),1899,L
788,789.,Oyster Burns (11),1897,R
789,790.,Ivy Olson (14),1896,R
790,790.,Bill Wambsganss (13),1896,R
791,792.,Ray Boone (13),1895,R
792,793.,Steve O'Neill (17),1894,R
793,793.,Freddie Patek (14),1894,R
794,795.,Doggie Miller (13),1893,R
795,796.,Jason Bay (11),1892,R
796,796.,Terry Puhl (15),1892,L
797,796.,Howie Shanks (14),1892,R
798,799.,Clete Boyer (16),1891,R
799,800.,Ronnie Belliard (13),1889,R
800,800.,Hughie Critz (12),1889,R
801,800.,Jerry Priddy (11),1889,R
802,803.,Bibb Falk (12),1887,L
803,804.,Granny Hamner (17),1886,R
804,804.,"Bryce Harper (9, 27)",1886,L
805,804.,Ed Kranepool (18),1886,L
806,804.,Gil McDougald (10),1886,R
807,808.,Tommy Dowd (10),1885,R
808,809.,Brian Jordan (15),1881,R
809,809.,Brian McRae (10),1881,B
810,811.,Charlie Keller (13),1879,L
811,812.,Art Fletcher (13),1878,R
812,813.,Muddy Ruel (19),1877,R
813,814.,"Michael Brantley (12, 33)",1875,L
814,815.,Hank Sauer (15),1873,R
815,815.,Melvin Upton Jr. (12),1873,R
816,817.,Joe Rudi (16),1872,R
817,818.,Bobby Avila (11),1871,R
818,818.,Chick Hafey+ (13),1871,R
819,820.,Elston Howard (14),1870,R
820,820.,Doug Rader (11),1870,R
821,820.,Tillie Walker (13),1870,R
822,823.,Bucky Harris+ (12),1868,R
823,824.,Johnny Ray (10),1867,B
824,825.,John Stone (11),1866,L
825,826.,Carlos Guillen (14),1863,B
826,827.,George Case (11),1862,R
827,827.,"Ian Desmond (11, 34)",1862,R
828,829.,Mark Ellis (12),1856,R
829,830.,Craig Counsell (16),1851,L
830,830.,Davey Johnson (13),1851,R
831,830.,Marco Scutaro (13),1851,R
832,833.,Rick Burleson (13),1849,R
833,833.,Ramon Hernandez (15),1849,R
834,833.,Tip O'Neill (10),1849,R
835,836.,Chone Figgins (12),1848,B
836,836.,Oscar Gamble (17),1848,L
837,838.,Jeff Blauser (13),1847,R
838,838.,Greg Gagne (15),1847,R
839,838.,Jose Vizcaino (18),1847,B
840,841.,Heinie Zimmerman (13),1846,R
841,842.,Art Devlin (10),1845,R
842,842.,Dan Uggla (10),1845,R
843,844.,Mike Napoli (12),1844,R
844,845.,Darryl Hamilton (13),1843,L
845,846.,James Loney (11),1842,L
846,847.,"Matt Carpenter (10, 34)",1841,L
847,847.,Shawon Dunston (18),1841,R
848,847.,Dmitri Young (13),1841,B
849,850.,Dave Collins (16),1840,B
850,850.,Frank Malzone (12),1840,R
851,852.,Ed Brinkman (15),1839,R
852,853.,Bob Bescher (11),1838,B
853,853.,Mike Stanley (15),1838,R
854,855.,Dwayne Murphy (12),1835,L
855,856.,Bill Bradley (14),1834,R
856,856.,Del Unser (15),1834,L
857,858.,Carl Everett (14),1833,B
858,859.,Orlando Hudson (11),1832,B
859,860.,Jose Cruz (12),1830,B
860,861.,Rick Manning (13),1829,L
861,862.,Kid Elberfeld (14),1827,R
862,862.,Ralph Garr (13),1827,L
863,864.,Tito Fuentes (13),1822,B
864,865.,Jacoby Ellsbury (11),1821,L
865,865.,John Kruk (10),1821,L
866,865.,Hideki Matsui (10),1821,L
867,868.,Charlie Hayes (14),1820,R
868,869.,Tim Foli (16),1815,R
869,870.,George Cutshaw (12),1813,R
870,870.,"Kurt Suzuki (14, 36)",1813,R
871,872.,Dave Henderson (14),1811,R
872,873.,Smoky Burgess (18),1808,L
873,873.,Joe Dugan (14),1808,R
874,873.,Ned Hanlon+ (13),1808,L
875,873.,Barney McCosky (11),1808,L
876,877.,Lou Bierbauer (13),1807,L
877,877.,Wally Gerber (15),1807,R
878,877.,Geoff Jenkins (11),1807,L
879,877.,Irish Meusel (11),1807,R
880,877.,Bill Mueller (11),1807,B
881,882.,Jesse Barfield (12),1804,R
882,882.,Julian Javier (13),1804,R
883,884.,Fred Luderus (12),1803,L
884,884.,Jody Reed (11),1803,R
885,886.,Luis Polonia (12),1801,L
886,887.,Bill Joyce (8),1800,L
887,887.,Ken McMullen (16),1800,R
888,887.,"Kyle Seager (10, 32)",1800,L
889,887.,Ted Sizemore (12),1800,R
890,891.,Alex Gonzalez (16),1797,R
891,892.,Travis Hafner (12),1795,L
892,892.,Spike Owen (13),1795,B
893,894.,Roy Johnson (10),1793,L
894,895.,George Pinkney (10),1791,L
895,896.,"Giancarlo Stanton (11, 30)",1790,R
896,897.,John Roseboro (14),1789,L
897,898.,Ken Henderson (16),1787,B
898,899.,Dean Palmer (14),1785,R
899,900.,Mickey Doolin (13),1780,R
900,901.,Bud Harrelson (16),1775,B
901,902.,Mike Kreevich (12),1774,R
902,903.,"Chris Davis (13, 34)",1773,L
903,904.,Charlie Comiskey+ (13),1768,R
904,905.,Gorman Thomas (13),1766,R
905,906.,Pat Kelly (15),1764,L
906,907.,Scott Hatteberg (14),1757,L
907,908.,Roberto Kelly (14),1756,R
908,909.,Johnny Grubb (16),1755,L
909,909.,Cristian Guzman (11),1755,B
910,909.,Dick Hoblitzell (11),1755,L
911,909.,Julio Lugo (12),1755,R
912,909.,Jack O'Connor (21),1755,R
913,914.,Kendrys Morales (13),1754,B
914,914.,Rickie Weeks (14),1754,R
915,916.,Todd Walker (12),1753,L
916,917.,Glenn Beckert (11),1752,R
917,918.,Ezra Sutton (18),1751,R
918,919.,Jerry Lumpe (12),1750,L
919,920.,Manny Sanguillen (13),1746,R
920,921.,Johnny Hopp (14),1745,L
921,921.,Butch Wynegar (13),1745,B
922,923.,Tommy Griffith (13),1743,L
923,924.,Frankie Hayes (14),1741,R
924,925.,Terry Moore (11),1740,R
925,925.,Harold Reynolds (12),1740,B
926,927.,"Erick Aybar (12, 36)",1739,B
927,927.,"Neil Walker (12, 34)",1739,B
928,929.,Omar Infante (15),1737,R
929,930.,Michael Bourn (11),1736,L
930,930.,Tony Clark (15),1736,B
931,930.,Shane Victorino (12),1736,R
932,933.,Jim Northrup (12),1733,L
933,934.,Cass Michaels (12),1732,R
934,934.,Jimmie Wilson (18),1732,R
935,936.,Bobby Byrne (11),1730,R
936,936.,Lee Mazzilli (14),1730,B
937,938.,Chico Carrasquel (10),1728,R
938,939.,Grady Hatton (12),1727,L
939,940.,Patsy Dougherty (10),1726,L
940,941.,Roy Campanella+ (10),1724,R
941,942.,Gavvy Cravath (11),1723,R
942,942.,Steve Kemp (11),1723,L
943,944.,Ira Flagstead (13),1722,R
944,945.,Del Crandall (16),1721,R
945,946.,Spud Davis (16),1720,R
946,946.,Mike Scioscia (13),1720,L
947,948.,Jeff Francoeur (12),1717,R
948,948.,Sixto Lezcano (12),1717,R
949,948.,Rafael Ramirez (13),1717,R
950,948.,Eddie Robinson (13),1717,L
951,952.,Everett Scott (13),1716,R
952,953.,Leo Durocher+ (17),1715,R
953,953.,Mickey Morandini (11),1715,L
954,955.,Fred Schulte (11),1712,R
955,955.,Billy Southworth+ (13),1712,L
956,957.,David Bell (12),1711,R
957,958.,Chicken Wolf (11),1710,R
958,959.,John Briggs (12),1709,L
959,960.,Jim Landis (11),1708,R
960,961.,Rusty Greer (9),1707,L
961,961.,Jeffrey Leonard (14),1707,R
962,963.,Curt Welch (10),1706,R
963,963.,Sam Wise (12),1706,L
964,963.,Chief Zimmer (19),1706,R
965,966.,Jay Johnstone (20),1705,L
966,967.,Casey Blake (13),1703,R
967,967.,Rick Dempsey (24),1703,R
968,967.,Mule Haas (12),1703,L
969,967.,Larry Herndon (14),1703,R
970,971.,Kevin Bass (14),1702,B
971,971.,"Charlie Blackmon (10, 33)",1702,L
972,971.,Mookie Wilson (12),1702,B
973,974.,Bobby Richardson (12),1701,R
974,974.,Wilbert Robinson+ (17),1701,R
975,976.,Derek Bell (11),1700,R
976,976.,Bob Skinner (12),1700,L
977,978.,Keith Moreland (12),1697,R
978,979.,Nemo Leibold (13),1696,L
979,979.,Kevin Youkilis (10),1696,R
980,981.,Casey Stengel+ (14),1695,L
981,982.,Andy High (13),1694,L
982,982.,Terry Kennedy (14),1694,L
983,984.,Hector Lopez (12),1692,R
984,984.,Robby Thompson (11),1692,R
985,986.,Kevin Mitchell (13),1691,R
986,986.,Whitey Witt (10),1691,L
987,988.,Ray Knight (13),1690,R
988,988.,Freddy Parent (12),1690,R
989,990.,Don Hoak (11),1689,R
990,990.,Tony Womack (13),1689,L
991,992.,Ned Williamson (13),1688,R
992,993.,"Josh Donaldson (10, 34)",1687,R
993,994.,George McBride (16),1686,R
994,995.,Hans Lobert (14),1685,R
995,996.,Kelly Johnson (11),1684,L
996,996.,Lee Lacy (16),1684,R
997,996.,Les Mann (16),1684,R
998,996.,Carlos May (10),1684,L
