,Rank,"Player (yrs, age)",Caught Stealing as C,Throws
130,131.,Tom Kinslow (10),345,R
131,132.,Charles Johnson (12),343,R
132,133.,Pat Borders (17),334,R
133,134.,Tim McCarver (21),333,R
134,135.,Jim Hegan (17),330,R
135,135.,Mike LaValliere (12),330,R
136,137.,Spud Davis (16),329,R
137,138.,Sandy Alomar (20),328,R
138,139.,Mike Heath (14),327,R
139,139.,Sherm Lollar (18),327,R
140,141.,Mike Kahoe (11),326,R
141,142.,Mike Simon (7),322,R
142,143.,Manny Sanguillen (13),316,R
143,144.,Del Crandall (16),315,R
144,144.,Doggie Miller (13),315,R
145,144.,Tubby Spencer (9),315,R
146,147.,Rich Gedman (13),314,R
147,147.,Frankie Hayes (14),314,R
148,147.,Dan Wilson (14),314,R
149,150.,Marty Bergen (4),313,R
150,151.,Kirt Manwaring (13),311,R
151,152.,Bengie Molina (13),310,R
152,153.,Javy Lopez (15),309,R
153,154.,Jack Boyle (13),306,R
154,154.,Clay Dalrymple (12),306,R
155,156.,Jack O'Neill (5),305,R
156,157.,Con Daily (12),303,R
157,157.,Joe Oliver (13),303,R
158,159.,John Flaherty (14),302,R
159,160.,Jeff Reed (17),301,R
160,160.,Jason Varitek (15),301,R
161,162.,Mike Matheny (13),298,R
162,163.,Brian McCann (15),297,R
163,163.,John Roseboro (14),297,R
164,165.,Peaches Graham (7),296,R
165,166.,John Stearns (11),295,R
166,167.,Randy Hundley (14),293,R
167,167.,Tom Pagnozzi (12),293,R
168,169.,Darren Daulton (14),290,R
169,169.,Gene Tenace (15),290,R
170,169.,Roxy Walters (11),290,R
171,172.,Andy Seminick (15),289,R
172,173.,Ray Fosse (12),286,R
173,174.,Jocko Milligan (10),285,R
174,175.,Harry Smith (10),282,R
175,176.,Ron Karkovice (12),281,R
176,177.,Bob Brenly (9),280,R
177,177.,Darrin Fletcher (14),280,R
178,179.,Birdie Tebbetts (14),275,R
179,179.,Bob Wood (7),275,R
180,181.,Jim Essian (12),274,R
181,182.,Lew McCarty (9),272,R
182,182.,Charlie Moore (15),272,R
183,184.,Butch Henline (11),270,R
