,Rank,"Player (yrs, age)",Caught Stealing,Bats
710,701.,David Justice (14),46,L
711,701.,Bill Knickerbocker (10),46,R
712,701.,Danny Murtaugh (9),46,R
713,701.,Ivy Olson (14),46,R
714,701.,"Dustin Pedroia (14, 36)",46,R
715,701.,Vic Saier (8),46,L
716,701.,Ted Sizemore (12),46,R
717,701.,Jose Uribe (10),46,B
718,701.,Shane Victorino (12),46,R
719,701.,Chris Young (13),46,R
720,721.,Jerry Browne (10),45,B
721,721.,Dolph Camilli (12),45,L
722,721.,Mickey Cochrane+ (13),45,L
723,721.,Frank Demaree (12),45,R
724,721.,David Eckstein (10),45,R
725,721.,Lou Finney (15),45,L
726,721.,Brian Giles (15),45,L
727,721.,"Alex Gordon (14, 36)",45,L
728,721.,Odell Hale (10),45,R
729,721.,"Ender Inciarte (7, 29)",45,L
730,721.,Austin Jackson (9),45,R
731,721.,Jacque Jones (10),45,L
732,721.,Eddie Lake (11),45,R
733,721.,Leonys Martín (9),45,L
734,721.,Eddie Miller (14),45,R
735,721.,Mickey Morandini (11),45,L
736,721.,Neifi Perez (12),45,B
737,721.,Joe Stripp (11),45,R
738,721.,Burgess Whitehead (9),45,R
739,740.,Nori Aoki (6),44,L
740,740.,Alejandro De Aza (10),44,L
741,740.,Gary Disarcina (12),44,R
742,740.,Brian Downing (20),44,R
743,740.,"Jarrod Dyson (11, 35)",44,L
744,740.,Alcides Escobar (11),44,R
745,740.,Hod Ford (15),44,R
746,740.,Greg Gross (17),44,L
747,740.,Ernie Johnson (10),44,L
748,740.,Mike Jorgensen (17),44,L
749,740.,Quinton McCracken (12),44,B
750,740.,Gil McDougald (10),44,R
751,740.,Adolfo Phillips (8),44,R
752,740.,Jerry Priddy (11),44,R
753,740.,Jody Reed (11),44,R
754,740.,Lance Richbourg (8),44,L
755,740.,Luke Sewell (20),44,R
756,740.,Willy Taveras (7),44,R
757,740.,Bill Tuttle (11),44,R
758,759.,Bobby Adams (14),43,R
759,759.,Marvin Benard (9),43,L
760,759.,Johnny Bench+ (17),43,R
761,759.,Vinny Castilla (16),43,R
762,759.,Harlond Clift (12),43,R
763,759.,Sam Crawford+ (19),43,L
764,759.,Cliff Floyd (17),43,L
765,759.,Mike Greenwell (12),43,L
766,759.,Chick Hafey+ (13),43,R
767,759.,Todd Hollandsworth (12),43,L
768,759.,Rex Hudler (13),43,R
769,759.,Shane Mack (9),43,R
770,759.,Felix Millan (12),43,R
771,759.,Dots Miller (12),43,R
772,759.,Eddie Murray+ (21),43,B
773,759.,Lefty O'Doul (11),43,L
774,759.,Tony Piet (8),43,R
775,759.,Al Smith (12),43,R
776,759.,Bill Spiers (13),43,L
777,759.,Brad Wilkerson (8),43,L
778,759.,Curt Wilkerson (11),43,B
779,759.,Johnny Wyrostek (11),43,L
780,781.,Matt Alexander (9),42,B
781,781.,Adrian Beltre (21),42,R
782,781.,Gary Carter+ (19),42,R
783,781.,Endy Chavez (13),42,L
784,781.,Johnny Groth (15),42,R
785,781.,Ken Henderson (16),42,B
786,781.,Gil Hodges (18),42,R
787,781.,Willie Montanez (14),42,L
788,781.,Manny Mota (20),42,R
789,781.,Connie Ryan (12),42,R
790,781.,Tim Salmon (14),42,R
791,781.,Gene Tenace (15),42,R
792,793.,Albert Belle (12),41,R
793,793.,Wally Berger (11),41,R
794,793.,Jeff Blauser (13),41,R
795,793.,Bruce Bochte (12),41,L
796,793.,Larry Doyle (14),41,L
797,793.,Leo Durocher+ (17),41,R
798,793.,Lenny Green (12),41,L
799,793.,Thomas Howard (11),41,B
800,793.,Hal Janvrin (10),41,R
801,793.,Ryan Klesko (16),41,L
802,793.,"DJ LeMahieu (10, 31)",41,R
803,793.,Les Mann (16),41,R
804,793.,Eddie Mayo (9),41,L
805,793.,Earl McNeely (8),41,R
806,793.,James Mouton (8),41,R
807,793.,Lou Piniella (18),41,R
808,793.,"Albert Pujols (20, 40)",41,R
809,793.,Rick Reichardt (11),41,R
810,793.,Braggo Roth (8),41,R
811,793.,Ron Santo+ (15),41,R
812,793.,Dick Schofield (14),41,R
813,793.,Wayne Tolleson (10),41,B
814,793.,Dixie Walker (18),41,L
815,793.,Whitey Witt (10),41,L
816,793.,Eric Yelding (5),41,R
817,818.,Gregor Blanco (10),40,L
818,818.,Jim Bottomley+ (16),40,L
819,818.,Milton Bradley (12),40,B
820,818.,Sid Bream (12),40,L
821,818.,"Jay Bruce (13, 33)",40,L
822,818.,"Lorenzo Cain (11, 34)",40,R
823,818.,Miguel Cairo (17),40,R
824,818.,Gene Clines (10),40,R
825,818.,Denny Doyle (8),40,L
826,818.,Cecil Espy (8),40,B
827,818.,Junior Felix (6),40,B
828,818.,Jim Fregosi (18),40,R
829,818.,Cesar Geronimo (15),40,L
830,818.,Bill Hall (11),40,R
831,818.,Willie Harris (12),40,L
832,818.,Corey Hart (11),40,R
833,818.,Mike Heath (14),40,R
834,818.,Richie Hebner (18),40,L
835,818.,Tommy Helms (14),40,R
836,818.,Bill Hunnefield (6),40,B
837,818.,Brandon Inge (13),40,R
838,818.,Mack Jones (10),40,L
839,818.,Von Joshua (10),40,L
840,818.,Whitey Lockman (15),40,L
841,818.,Rafael Palmeiro (20),40,L
842,818.,John Shelby (11),40,B
843,818.,John Stone (11),40,L
844,818.,Zeb Terry (7),40,R
845,818.,Ossie Vitt (10),40,R
846,818.,Mark Whiten (11),40,B
847,848.,Rich Amaral (10),39,R
848,848.,Ping Bodie (9),39,R
849,848.,Barry Bonnell (10),39,R
850,848.,Ken Caminiti (15),39,B
851,848.,Jose Cruz (12),39,B
852,848.,Tony Cuccinello (15),39,R
853,848.,Vince DiMaggio (10),39,R
854,848.,Jeff Francoeur (12),39,R
855,848.,"Jason Heyward (11, 30)",39,L
856,848.,Damian Jackson (11),39,R
857,848.,Wally Joyner (16),39,L
858,848.,Ed Kirkpatrick (16),39,L
859,848.,Eddie Mathews+ (17),39,L
860,848.,Bernie Neis (8),39,B
861,848.,Skeeter Newsome (12),39,R
862,848.,Pete Reiser (10),39,L
863,848.,Cal Ripken Jr.+ (21),39,R
864,848.,Earl Sheely (9),39,R
865,848.,Eddie Stanky (11),39,R
866,848.,Juan Uribe (16),39,R
867,848.,Eric Young Jr. (10),39,B
868,869.,Frank Baumholtz (10),38,L
869,869.,Frank Bolling (12),38,R
870,869.,Bob Brenly (9),38,R
871,869.,Jimmy Brown (8),38,B
872,869.,Everth Cabrera (7),38,B
873,869.,"Robinson Cano (16, 37)",38,L
874,869.,Dave Chalk (9),38,R
875,869.,Sam Chapman (11),38,R
876,869.,Gil Coan (11),38,L
877,869.,Billy Cox (11),38,R
878,869.,Jim Eisenreich (15),38,L
879,869.,"Todd Frazier (10, 34)",38,R
880,869.,Travis Fryman (13),38,R
881,869.,Chick Fullis (8),38,R
882,869.,Dave Henderson (14),38,R
883,869.,Jose Hernandez (15),38,R
884,869.,Glenallen Hill (13),38,R
885,869.,Dick Hoblitzell (11),38,L
886,869.,Willie Horton (18),38,R
887,869.,Dion James (11),38,L
888,869.,Mike Lansing (9),38,R
889,869.,Larry Lintz (6),38,B
890,869.,Pat Listach (6),38,B
891,869.,Tony Lupien (6),38,L
892,869.,Mickey Mantle+ (18),38,B
893,869.,Fred McGriff (19),38,L
894,869.,Fred Merkle (16),38,R
895,869.,Jim Northrup (12),38,L
896,869.,"Eduardo Nunez (11, 33)",38,R
897,869.,Alex Ochoa (8),38,R
898,869.,Tom Paciorek (18),38,R
899,869.,Jake Powell (11),38,R
900,869.,Yasiel Puig (7),38,R
901,869.,Manny Sanguillen (13),38,R
902,869.,Paul Schaal (11),38,R
903,869.,Miguel Tejada (16),38,R
904,869.,Robin Ventura (16),38,L
905,869.,Aaron Ward (12),38,R
906,907.,Moises Alou (17),37,R
907,907.,Alan Bannister (12),37,R
908,907.,Jason Bartlett (10),37,R
909,907.,Casey Blake (13),37,R
910,907.,Frenchy Bordagaray (11),37,R
911,907.,Melky Cabrera (15),37,B
912,907.,Hal Chase (15),37,R
913,907.,Jeff Cirillo (14),37,R
914,907.,Adam Comorosky (10),37,R
915,907.,Warren Cromartie (10),37,L
916,907.,Al Dark (14),37,R
917,907.,Taylor Douthit (11),37,R
918,907.,J.D. Drew (14),37,L
919,907.,Dan Ford (11),37,R
920,907.,Oscar Gamble (17),37,L
921,907.,Mike Hargrove (12),37,L
922,907.,Harvey Hendrick (11),37,L
923,907.,Matt Holliday (15),37,R
924,907.,Armando Marsans (8),37,R
925,907.,Joe Medwick+ (17),37,R
926,907.,"Yadier Molina (17, 37)",37,R
927,907.,Jim Morrison (12),37,R
928,907.,Jim Norris (4),37,L
929,907.,Lance Parrish (19),37,R
930,907.,Darrell Porter (17),37,L
931,907.,Dwight Smith (8),37,L
932,907.,Jim Sundberg (16),37,R
933,907.,Andre Thornton (14),37,R
934,907.,"Mike Trout (10, 28)",37,R
935,907.,Ellis Valentine (10),37,R
936,907.,Randy Velarde (16),37,R
937,907.,Todd Walker (12),37,L
938,907.,Vernon Wells (15),37,R
939,940.,Bob Bailor (11),36,R
940,940.,George Bell (12),36,R
941,940.,Jamey Carroll (12),36,R
942,940.,Marty Cordova (9),36,R
943,940.,Willie Crawford (14),36,L
944,940.,Birdie Cree (8),36,R
945,940.,Larry Doby+ (13),36,L
946,940.,"Brian Dozier (9, 33)",36,R
947,940.,Del Ennis (14),36,R
948,940.,Hoot Evers (12),36,R
949,940.,Bob Fisher (7),36,R
950,940.,Lew Fonseca (12),36,R
951,940.,Doug Glanville (9),36,R
952,940.,"Bryce Harper (9, 27)",36,L
953,940.,Mike Hershberger (11),36,R
954,940.,Kelly Johnson (11),36,L
955,940.,George Kell+ (15),36,R
956,940.,Corey Koskie (9),36,L
957,940.,Hans Lobert (14),36,R
958,940.,Gary Matthews (12),36,B
959,940.,Roy McMillan (16),36,R
960,940.,Mike Menosky (9),36,L
961,940.,Roger Metzger (11),36,B
962,940.,Ward Miller (8),36,L
963,940.,Charlie Neal (8),36,R
964,940.,Graig Nettles (22),36,L
965,940.,Rube Oldring (13),36,R
966,940.,Larry Parrish (15),36,R
967,940.,Nick Punto (14),36,B
968,940.,Topper Rigney (6),36,R
969,940.,Frank Schulte (15),36,L
970,940.,Ken Singleton (15),36,B
971,940.,Bob Skinner (12),36,L
972,940.,Evar Swanson (5),36,R
973,940.,John Wathan (10),36,R
974,940.,Ivey Wingo (17),36,L
975,976.,Gus Bell (15),35,L
976,976.,Wade Boggs+ (18),35,L
977,976.,Luke Boone (5),35,R
978,976.,Ed Brinkman (15),35,R
979,976.,Damon Buford (9),35,R
980,976.,Chris Chambliss (17),35,L
981,976.,Ed Charles (8),35,R
982,976.,Pete Coscarart (9),35,R
983,976.,Rick Ferrell+ (18),35,R
984,976.,Elbie Fletcher (12),35,L
985,976.,David Green (6),35,R
986,976.,"Cesar Hernandez (8, 30)",35,B
987,976.,Aaron Hill (13),35,R
988,976.,Glenn Hubbard (12),35,R
989,976.,Adam Jones (14),35,R
990,976.,Cookie Lavagetto (10),35,R
991,976.,Harry Lord (9),35,L
992,976.,Mark Loretta (15),35,R
993,976.,Lee May (18),35,R
994,976.,Ernie Orsatti (9),35,L
995,976.,Jose Pagan (15),35,R
996,976.,Vic Power (12),35,R
997,976.,Pat Sheridan (9),35,L
998,976.,Homer Summa (10),35,L
999,976.,Ted Uhlaender (8),35,L
1000,976.,Walt Weiss (14),35,B
1001,976.,Matt Williams (17),35,R
