,Rank,"Player (yrs, age)",WAR Position Players,Bats
631,632.,Bob Boone (19),27.4,R
632,632.,Buck Herzog (13),27.4,R
633,632.,"Kevin Kiermaier (8, 30)",27.4,L
634,632.,Benito Santiago (20),27.4,R
635,636.,Hank Bauer (14),27.3,R
636,636.,Walker Cooper (18),27.3,R
637,636.,Alex Rios (12),27.3,R
638,639.,Ed Bailey (14),27.2,L
639,639.,Leo Cardenas (16),27.2,R
640,639.,Ferris Fain (9),27.2,L
641,639.,Lee May (18),27.2,R
642,639.,Snuffy Stirnweiss (10),27.2,R
643,644.,Elston Howard (14),27.1,R
644,644.,Mo Vaughn (12),27.1,L
645,646.,Tony Gonzalez (12),27.0,L
646,646.,Billy Goodman (16),27.0,L
647,646.,Ryan Klesko (16),27.0,L
648,646.,Justin Morneau (14),27.0,L
649,646.,Bill Skowron (14),27.0,R
650,646.,Red Smith (9),27.0,R
651,652.,Lefty O'Doul (11),26.9,L
652,652.,Vic Wertz (17),26.9,L
653,654.,Mike Bordick (14),26.8,R
654,654.,Jack Clements (17),26.8,L
655,654.,Bill North (11),26.8,B
656,657.,Yunel Escobar (11),26.7,R
657,658.,Tom Daly (17),26.6,B
658,659.,Mark Grudzielanek (15),26.5,R
659,659.,Butch Wynegar (13),26.5,B
660,661.,Willie Horton (18),26.4,R
661,661.,Ben Oglivie (16),26.4,L
662,663.,Bill Bruton (12),26.3,L
663,663.,"Carlos Correa (6, 25)",26.3,R
664,663.,Greg Gagne (15),26.3,R
665,663.,Charley Jones (12),26.3,R
666,663.,Greg Luzinski (15),26.3,R
667,663.,Mike Napoli (12),26.3,R
668,663.,John Stone (11),26.3,L
669,670.,Fred Pfeffer (16),26.2,R
670,671.,Oyster Burns (11),26.1,R
671,671.,Woody English (12),26.1,R
672,671.,Joe Harris (10),26.1,R
673,671.,Johnny Hopp (14),26.1,L
674,671.,Steve O'Neill (17),26.1,R
675,671.,Mike Scioscia (13),26.1,L
676,677.,Harvey Kuenn (15),26.0,R
677,677.,George Stone (7),26.0,L
678,679.,Jack Barry (11),25.9,R
679,679.,Jack Doyle (17),25.9,R
680,679.,Cliff Floyd (17),25.9,L
681,679.,Chase Headley (12),25.9,B
682,679.,Solly Hemus (11),25.9,L
683,679.,Roy McMillan (16),25.9,R
684,685.,Ray Boone (13),25.8,R
685,685.,Marlon Byrd (15),25.8,R
686,685.,Mike Greenwell (12),25.8,L
687,685.,Tommy Harper (15),25.8,R
688,689.,Garret Anderson (17),25.7,L
689,689.,Steve Sax (14),25.7,R
690,691.,Dave Cash (12),25.6,R
691,692.,"Brandon Crawford (10, 33)",25.5,L
692,692.,Pinky Higgins (14),25.5,R
693,692.,Carlos Pena (14),25.5,L
694,692.,Joe Rudi (16),25.5,R
695,692.,Roy Sievers (17),25.5,R
696,692.,Tillie Walker (13),25.5,R
697,698.,Tommie Agee (12),25.4,R
698,698.,Stan Javier (17),25.4,B
699,698.,Tommy Tucker (13),25.4,B
700,698.,Billy Werber (11),25.4,R
701,702.,Chief Meyers (9),25.2,R
702,702.,Hank Sauer (15),25.2,R
703,704.,"Brandon Belt (10, 32)",25.1,L
704,704.,Rick Dempsey (24),25.1,R
705,704.,John Kruk (10),25.1,L
706,704.,Deacon McGuire (26),25.1,R
707,704.,Hank Thompson (9),25.1,L
708,704.,Richie Zisk (13),25.1,R
709,710.,Larry Hisle (14),25.0,R
710,710.,John Mayberry (15),25.0,L
711,710.,Wally Moon (12),25.0,L
712,710.,"Josh Reddick (12, 33)",25.0,L
713,710.,Jason Thompson (11),25.0,L
714,715.,Casey Blake (13),24.9,R
715,715.,Jim Ray Hart (12),24.9,R
716,715.,High Pockets Kelly+ (16),24.9,R
717,715.,Mike Lowell (13),24.9,R
718,715.,Shannon Stewart (14),24.9,R
719,715.,Randy Velarde (16),24.9,R
720,721.,"Todd Frazier (10, 34)",24.8,R
721,721.,Travis Hafner (12),24.8,L
722,721.,Willie Jones (15),24.8,R
723,721.,"DJ LeMahieu (10, 31)",24.8,R
724,721.,Dode Paskert (15),24.8,R
725,721.,Billy Rogell (14),24.8,B
726,721.,Mike Sweeney (16),24.8,R
727,721.,Glenn Wright (11),24.8,R
728,729.,Jason Bay (11),24.7,R
729,729.,Tony Pena (18),24.7,R
730,729.,Michael Young (14),24.7,R
731,732.,Ripper Collins (9),24.6,B
732,732.,Ival Goodman (10),24.6,L
733,732.,Corey Koskie (9),24.6,L
734,735.,Al Bumbry (14),24.5,L
735,735.,Whitey Kurowski (9),24.5,R
736,737.,Delino DeShields (13),24.4,L
737,737.,Carlos Gomez (13),24.4,R
738,737.,Aaron Hill (13),24.4,R
739,737.,Doug Rader (11),24.4,R
740,737.,Pete Reiser (10),24.4,L
741,742.,"Kris Bryant (6, 28)",24.3,R
742,742.,Socks Seybold (9),24.3,R
743,744.,Gene Alley (11),24.2,R
744,744.,Buck Freeman (11),24.2,L
745,744.,"Carlos Gonzalez (12, 34)",24.2,L
746,744.,"Salvador Perez (9, 30)",24.2,R
747,744.,Johnny Ray (10),24.2,B
748,744.,Andre Thornton (14),24.2,R
749,744.,Jason Varitek (15),24.2,B
750,751.,Ron Hansen (15),24.1,R
751,751.,Freddie Patek (14),24.1,R
752,753.,"José Abreu (7, 33)",24.0,R
753,753.,John Briggs (12),24.0,L
754,753.,Eddie Foster (13),24.0,R
755,756.,Bill Mueller (11),23.9,B
756,756.,Dickie Thon (15),23.9,R
757,758.,Prince Fielder (12),23.8,L
758,758.,Johnny Mostil (10),23.8,R
759,758.,A.J. Pierzynski (19),23.8,L
760,758.,Frank Schulte (15),23.8,L
761,762.,Hank Gowdy (17),23.7,R
762,763.,Frankie Crosetti (17),23.6,R
763,763.,"J.D. Martinez (10, 32)",23.6,R
764,763.,Burt Shotton (14),23.6,L
765,766.,Tom Herr (13),23.5,B
766,766.,Chris Hoiles (10),23.5,R
767,766.,John Morrill (15),23.5,R
768,766.,Jack Wilson (12),23.5,R
769,770.,"Alex Bregman (5, 26)",23.4,R
770,770.,David DeJesus (13),23.4,L
771,770.,John Reilly (10),23.4,R
772,773.,George Selkirk (9),23.3,L
773,773.,Danny Tartabull (14),23.3,R
774,775.,"Brian Dozier (9, 33)",23.2,R
775,775.,Charlie Hollocher (7),23.2,L
776,775.,Tony Taylor (19),23.2,R
777,775.,George Wright+ (12),23.2,R
778,779.,Charlie Hickman (12),23.1,R
779,779.,Bobby Higginson (11),23.1,L
780,779.,Charlie Jamieson (18),23.1,L
781,779.,Bill Lange (7),23.1,R
782,779.,Hans Lobert (14),23.1,R
783,779.,Don Mincher (13),23.1,L
784,785.,Matty Alou (15),23.0,L
785,785.,"Xander Bogaerts (8, 27)",23.0,R
786,785.,Jay Buhner (15),23.0,R
787,785.,Darren Daulton (14),23.0,L
788,785.,Spud Davis (16),23.0,R
789,785.,Sam Mertes (10),23.0,R
790,785.,Gus Suhr (11),23.0,L
791,792.,Bret Boone (14),22.9,R
792,792.,Hal Chase (15),22.9,R
793,792.,Oscar Gamble (17),22.9,L
794,792.,Wes Parker (9),22.9,B
795,796.,Jimmy Austin (18),22.8,B
796,796.,Michael Bourn (11),22.8,L
797,796.,Larry Bowa (16),22.8,B
798,796.,Rick Burleson (13),22.8,R
799,800.,"Erick Aybar (12, 36)",22.7,B
800,800.,Bake McBride (11),22.7,L
801,800.,Juan Uribe (16),22.7,R
802,803.,Charles Johnson (12),22.6,R
803,803.,Ruppert Jones (12),22.6,L
804,805.,John Roseboro (14),22.5,L
805,805.,Carlos Ruiz (12),22.5,R
806,805.,Stan Spence (9),22.5,L
807,808.,Tom Burns (13),22.4,R
808,808.,Craig Counsell (16),22.4,L
809,808.,Joe Cunningham (12),22.4,L
810,808.,Jim Gantner (17),22.4,L
811,808.,Rusty Greer (9),22.4,L
812,808.,Ken Oberkfell (16),22.4,L
813,808.,Mookie Wilson (12),22.4,B
814,815.,Bibb Falk (12),22.3,L
815,815.,Jerry Mumphrey (15),22.3,B
816,815.,"Marcus Semien (8, 29)",22.3,R
817,815.,Milt Stock (14),22.3,R
818,819.,Howard Johnson (14),22.2,B
819,819.,Eddie Miller (14),22.2,R
820,821.,Ramon Hernandez (15),22.1,R
821,821.,Jim Northrup (12),22.1,L
822,821.,Marco Scutaro (13),22.1,R
823,824.,Tom Brunansky (14),22.0,R
824,824.,Chone Figgins (12),22.0,B
825,824.,Woodie Held (14),22.0,R
826,824.,Gary Pettis (11),22.0,B
827,824.,Tom Tresh (9),22.0,B
828,829.,Fred Carroll (8),21.9,R
829,829.,Bob Horner (10),21.9,R
830,829.,Austin Jackson (9),21.9,R
831,829.,Geoff Jenkins (11),21.9,L
832,833.,Wid Conroy (11),21.8,R
833,833.,"Jason Kipnis (10, 33)",21.8,L
834,833.,"Jean Segura (9, 30)",21.8,R
835,836.,"Yoenis Céspedes (8, 34)",21.6,R
836,836.,Bernard Gilkey (12),21.6,R
837,836.,"Matt Kemp (15, 35)",21.6,R
838,836.,Terry Kennedy (14),21.6,L
839,836.,Shane Mack (9),21.6,R
840,836.,Irish Meusel (11),21.6,R
841,836.,Carl Reynolds (13),21.6,R
842,836.,Germany Smith (15),21.6,R
843,844.,Andre Ethier (12),21.5,L
844,844.,Danny Green (8),21.5,L
845,844.,Andy Seminick (15),21.5,R
846,844.,Eric Soderholm (9),21.5,R
847,844.,Curt Walker (12),21.5,L
848,849.,Zeke Bonura (7),21.4,R
849,849.,Mark Kotsay (17),21.4,L
850,849.,Alexei Ramírez (9),21.4,R
851,849.,Joe Randa (12),21.4,R
852,849.,Nick Swisher (12),21.4,B
853,854.,Johnny Bassler (9),21.3,L
854,854.,Orlando Cabrera (15),21.3,R
855,854.,Willie Crawford (14),21.3,L
856,854.,Monte Irvin+ (8),21.3,R
857,854.,Duffy Lewis (11),21.3,R
858,854.,George McQuinn (12),21.3,L
859,854.,Bob O'Farrell (21),21.3,R
860,854.,Billy Southworth+ (13),21.3,L
861,854.,Jake Stenzel (9),21.3,R
862,863.,Bob Bescher (11),21.2,B
863,863.,Chico Carrasquel (10),21.2,R
864,863.,Don Hoak (11),21.2,R
865,863.,Pepper Martin (13),21.2,R
866,863.,Hideki Matsui (10),21.2,L
867,863.,Barney McCosky (11),21.2,L
868,863.,Trot Nixon (12),21.2,L
869,863.,Buck Weaver (9),21.2,B
870,871.,Dave Magadan (16),21.1,L
871,871.,"Marcell Ozuna (8, 29)",21.1,R
872,871.,George Pinkney (10),21.1,L
873,874.,"Matt Chapman (4, 27)",21.0,R
874,874.,Joe Ferguson (14),21.0,R
875,874.,George McBride (16),21.0,R
876,874.,Norm Siebern (12),21.0,L
877,874.,"Trevor Story (5, 27)",21.0,R
878,879.,Jeff Blauser (13),20.9,R
879,879.,Jerry Denny (13),20.9,R
880,879.,David Eckstein (10),20.9,R
881,879.,Ozzie Guillen (16),20.9,L
882,879.,Raul Ibanez (19),20.9,L
883,879.,Adam Kennedy (14),20.9,L
884,879.,John Romano (10),20.9,R
885,879.,Aaron Rowand (11),20.9,R
886,879.,Mike Stanley (15),20.9,R
887,879.,Lee Tannehill (10),20.9,R
888,889.,Johnny Bates (9),20.8,L
889,889.,Ronnie Belliard (13),20.8,R
890,889.,Ed McFarland (14),20.8,R
891,892.,Jose Cardenal (18),20.7,R
892,892.,Mack Jones (10),20.7,L
893,892.,Terry Moore (11),20.7,R
894,895.,Melky Cabrera (15),20.6,B
895,895.,Jim Landis (11),20.6,R
896,895.,Matty McIntyre (10),20.6,L
897,895.,Rey Sanchez (15),20.6,R
898,899.,Tommy Davis (18),20.5,R
899,899.,Dan Driessen (15),20.5,L
900,899.,Damion Easley (17),20.5,R
901,899.,Carl Everett (14),20.5,B
902,899.,Aubrey Huff (13),20.5,L
903,899.,Roberto Kelly (14),20.5,R
904,899.,Bip Roberts (12),20.5,B
905,899.,Muddy Ruel (19),20.5,R
906,899.,Jack Tobin (13),20.5,L
907,899.,Curt Welch (10),20.5,R
908,909.,Tommy Corcoran (18),20.4,R
909,910.,Jermaine Dye (14),20.3,R
910,910.,Bud Harrelson (16),20.3,B
911,910.,Bobby Lowe (18),20.3,R
912,910.,Jocko Milligan (10),20.3,R
913,910.,Mike Mowrey (13),20.3,R
914,910.,"Kurt Suzuki (14, 36)",20.3,R
915,910.,Pete Ward (9),20.3,L
916,910.,Sam Wise (12),20.3,L
917,918.,"Aaron Judge (5, 28)",20.2,R
918,918.,Lee Lacy (16),20.2,R
919,918.,Cal McVey (9),20.2,R
920,918.,Colby Rasmus (10),20.2,L
921,918.,Al Smith (12),20.2,R
922,923.,"AJ Pollock (9, 32)",20.1,R
923,923.,Casey Stengel+ (14),20.1,L
924,925.,George Bell (12),20.0,R
925,925.,Donn Clendenon (12),20.0,R
926,925.,Alvin Davis (9),20.0,L
927,925.,Merv Rettenmund (13),20.0,R
928,929.,Jeromy Burnitz (14),19.9,L
929,930.,"Jay Bruce (13, 33)",19.8,L
930,930.,"Dexter Fowler (13, 34)",19.8,B
931,930.,Fred Luderus (12),19.8,L
932,930.,Fred Merkle (16),19.8,R
933,930.,"J.T. Realmuto (7, 29)",19.8,R
934,930.,Gorman Thomas (13),19.8,R
935,930.,"Neil Walker (12, 34)",19.8,B
936,937.,Glenn Davis (10),19.7,R
937,937.,Charlie Maxwell (14),19.7,L
938,937.,Heinie Peitz (16),19.7,R
939,937.,John Stearns (11),19.7,R
940,937.,Bill Virdon (12),19.7,L
941,937.,George Wood (13),19.7,L
942,943.,Carlos Baerga (14),19.6,B
943,943.,Joe Carter (16),19.6,R
944,943.,Ed Charles (8),19.6,R
945,943.,Jose Cruz (12),19.6,B
946,943.,Dick Hoblitzell (11),19.6,L
947,943.,Gregg Jefferies (14),19.6,B
948,943.,Lyn Lary (12),19.6,R
949,943.,Willard Marshall (11),19.6,L
950,943.,Mark McLemore (19),19.6,B
951,943.,"Daniel Murphy (12, 35)",19.6,L
952,943.,"Pablo Sandoval (13, 33)",19.6,B
953,943.,Earl Sheely (9),19.6,R
954,943.,Claudell Washington (17),19.6,L
955,943.,Tom York (15),19.6,L
956,957.,Steve Brodie (12),19.5,L
957,957.,Royce Clayton (17),19.5,R
958,957.,Jeff Conine (17),19.5,R
959,957.,Granny Hamner (17),19.5,R
960,957.,Steve Kemp (11),19.5,L
961,962.,Bruce Bochte (12),19.4,L
962,962.,Vinny Castilla (16),19.4,R
963,962.,Happy Felsch (6),19.4,R
964,962.,Chick Gandil (9),19.4,R
965,962.,Dale Mitchell (11),19.4,L
966,962.,Orator Shafer (13),19.4,L
967,962.,Todd Zeile (16),19.4,R
968,969.,Mark Loretta (15),19.3,R
969,969.,Don Slaught (16),19.3,R
970,971.,Al Bridwell (11),19.2,L
971,971.,Frank Fennelly (7),19.2,R
972,971.,Richard Hidalgo (9),19.2,R
973,971.,Glenn Hubbard (12),19.2,R
974,971.,Brandon Inge (13),19.2,R
975,971.,Whitey Lockman (15),19.2,L
976,971.,Pete O'Brien (12),19.2,L
977,978.,John Clapp (11),19.1,R
978,978.,Dave Martinez (16),19.1,L
979,978.,Doggie Miller (13),19.1,R
980,978.,Mike Mitchell (8),19.1,R
981,982.,Jimmy Barrett (10),19.0,L
982,982.,Jim Delahanty (13),19.0,R
983,984.,"Cody Bellinger (4, 24)",18.9,L
984,984.,Pat Burrell (12),18.9,R
985,984.,Yasiel Puig (7),18.9,R
986,984.,Josh Willingham (11),18.9,R
987,988.,Earl Battey (13),18.8,R
988,988.,Dick Schofield (14),18.8,R
989,988.,Eric Young Sr. (15),18.8,R
990,991.,Rube Bressler (19),18.7,R
991,991.,Jack Farrell (11),18.7,R
992,991.,"Didi Gregorius (9, 30)",18.7,L
993,991.,Bill Melton (10),18.7,R
994,991.,Gene Richards (8),18.7,L
995,996.,Phil Bradley (8),18.6,R
996,996.,"Adam Eaton (9, 31)",18.6,L
997,996.,Hank Severeid (15),18.6,R
998,996.,Milt Thompson (13),18.6,L
