,Rank,"Player (yrs, age)",Doubles,Bats
233,232.,"Yadier Molina (17, 37)",381,R
234,235.,"Asdrubal Cabrera (14, 34)",380,B
235,235.,Rabbit Maranville+ (23),380,R
236,237.,Hank Greenberg+ (13),379,R
237,237.,Jorge Posada (17),379,B
238,237.,Sammy Sosa (18),379,R
239,237.,Vernon Wells (15),379,R
240,241.,Devon White (17),378,B
241,242.,Jhonny Peralta (15),376,R
242,242.,Dixie Walker (18),376,L
243,244.,Hanley Ramirez (15),375,R
244,245.,Pinky Higgins (14),374,R
245,245.,Amos Otis (17),374,R
246,245.,Alex Rios (12),374,R
247,248.,Jim Rice+ (16),373,R
248,248.,Bill Terry+ (14),373,L
249,250.,Gary Carter+ (19),371,R
250,250.,"Daniel Murphy (12, 35)",371,L
251,250.,Pie Traynor+ (17),371,R
252,253.,"Edwin Encarnacion (16, 37)",370,R
253,253.,Nomar Garciaparra (14),370,R
254,255.,Bob Meusel (11),368,R
255,255.,Brandon Phillips (17),368,R
256,257.,Johnny Mize+ (15),367,L
257,257.,Brian Roberts (14),367,B
258,257.,Randy Winn (13),367,B
259,260.,Don Baylor (19),366,R
260,260.,Bret Boone (14),366,R
261,262.,Tino Martinez (16),365,L
262,262.,Ron Santo+ (15),365,R
263,264.,Ken Griffey (19),364,L
264,265.,Royce Clayton (17),363,R
265,265.,Jermaine Dye (14),363,R
266,265.,Stan Hack (16),363,L
267,265.,Reggie Smith (17),363,B
268,269.,George Burns (15),362,R
269,269.,Ichiro Suzuki (19),362,L
270,271.,Fred Clarke+ (21),361,L
271,271.,Harry Davis (22),361,R
272,273.,Brian Downing (20),360,R
273,273.,Aubrey Huff (13),360,L
274,273.,Larry Parrish (15),360,R
275,273.,Tony Phillips (18),360,B
276,277.,Felipe Alou (17),359,R
277,277.,King Kelly+ (16),359,R
278,279.,Al Dark (14),358,R
279,279.,Del Ennis (14),358,R
280,279.,Joe Kelley+ (17),358,R
281,279.,Duke Snider+ (18),358,L
282,283.,"Alex Gordon (14, 36)",357,L
283,284.,Harvey Kuenn (15),356,R
284,284.,Ray Lankford (14),356,L
285,284.,Lyle Overbay (14),356,L
286,284.,Terry Pendleton (15),356,B
287,284.,Arky Vaughan+ (14),356,L
288,289.,Nellie Fox+ (19),355,L
289,290.,Howie Kendrick (15),354,R
290,290.,Eddie Mathews+ (17),354,L
291,290.,Jimmy Sheckard (17),354,L
292,293.,Mark Kotsay (17),353,L
293,293.,Willie McCovey+ (22),353,L
294,293.,Buddy Myer (17),353,L
295,296.,Jimmy Collins+ (14),352,R
296,296.,Dick Groat (14),352,R
297,298.,Willie McGee (18),350,B
298,298.,Dale Murphy (18),350,R
299,300.,Vinny Castilla (16),349,R
300,300.,Justin Morneau (14),349,L
301,300.,Ben Zobrist (14),349,B
302,303.,Ken Caminiti (15),348,B
303,303.,Willie Kamm (13),348,R
304,303.,Bill Madlock (15),348,R
305,303.,Placido Polanco (16),348,R
306,303.,Harry Stovey (14),348,R
307,308.,Phil Cavarretta (22),347,L
308,308.,Sam West (16),347,L
309,310.,Curtis Granderson (16),346,L
310,311.,Travis Fryman (13),345,R
311,312.,Ed Konetchy (15),344,R
312,312.,Greg Luzinski (15),344,R
313,312.,Mickey Mantle+ (18),344,B
314,312.,Mike Piazza+ (16),344,R
315,312.,Joe Torre+ (18),344,R
316,317.,Jeff Cirillo (14),343,R
317,317.,Bill Dickey+ (17),343,L
318,317.,George Hendrick (18),343,R
319,317.,Ryan Klesko (16),343,L
320,317.,"Andrew McCutchen (12, 33)",343,R
321,317.,Sam Thompson+ (15),343,L
322,323.,"Freddie Freeman (11, 30)",342,L
323,323.,Herman Long (16),342,L
324,325.,Chick Hafey+ (13),341,R
325,325.,Reggie Sanders (17),341,R
326,325.,Jose Vidro (12),341,B
327,328.,Jose Canseco (17),340,R
328,328.,Cliff Floyd (17),340,L
329,328.,Adam LaRoche (12),340,L
330,328.,Lee May (18),340,R
331,332.,"Shin-Soo Choo (16, 37)",339,L
332,332.,Edd Roush+ (18),339,L
333,332.,Tim Salmon (14),339,R
334,335.,Brady Anderson (15),338,L
335,335.,"Matt Kemp (15, 35)",338,R
336,335.,Robin Ventura (16),338,L
337,335.,Matt Williams (17),338,R
338,339.,High Pockets Kelly+ (16),337,R
339,339.,Garry Maddox (15),337,R
340,339.,"Justin Upton (14, 32)",337,R
341,339.,Eddie Yost (18),337,R
342,343.,Augie Galan (16),336,B
343,343.,Adam Jones (14),336,R
344,343.,Minnie Minoso (17),336,R
345,346.,Joe Vosmik (13),335,R
346,347.,Tony Cuccinello (15),334,R
347,347.,Adam Dunn (14),334,L
348,347.,Tony Lazzeri+ (14),334,R
