,Rank,"Player (yrs, age)",Bases on Balls,Throws
707,706.,Gerry Staley (15),529,R
708,709.,"Jake Arrieta (11, 34)",527,R
709,709.,Bill Bailey (11),527,L
710,709.,"David Price (12, 34)",527,L
711,709.,Al Worthington (14),527,R
712,713.,Lee Viau (5),526,R
713,713.,Geoff Zahn (13),526,L
714,715.,Neal Heaton (12),524,L
715,716.,Ismael Valdez (12),523,R
716,717.,Roger Craig (12),522,R
717,717.,Hardie Henderson (6),522,R
718,717.,Lou Kretlow (10),522,R
719,717.,Dennis Rasmussen (12),522,L
720,721.,Dave Davenport (6),521,R
721,722.,Daniel Cabrera (6),520,R
722,722.,Andy Hassler (14),520,L
723,722.,Jesse Jefferson (9),520,R
724,722.,Steve McCatty (9),520,R
725,722.,Roy Oswalt (13),520,R
726,722.,Steve Sparks (9),520,R
727,728.,Al Maul (15),519,R
728,729.,Steve Bedrosian (14),518,R
729,729.,Scott McGregor (13),518,L
730,729.,"Charlie Morton (13, 36)",518,R
731,732.,Art Houtteman (12),516,R
732,732.,Johnny Niggeling (9),516,R
733,732.,Arthur Rhodes (20),516,L
734,732.,Jeff Weaver (11),516,R
735,736.,Jesse Barnes (13),515,R
736,737.,Mike Marshall (14),514,R
737,738.,Len Barker (11),513,R
738,738.,"Derek Holland (12, 33)",513,L
739,738.,John Montefusco (13),513,R
740,741.,Vic Aldridge (9),512,R
741,741.,Roxie Lawson (9),512,R
742,743.,Tom Browning (12),511,L
743,743.,Gene Conley (11),511,R
744,743.,Grant Jackson (18),511,L
745,743.,Ted Lewis (6),511,R
746,743.,Al Mamaux (12),511,R
747,743.,Bob Shaw (11),511,R
748,749.,Dave Foutz (13),510,R
749,749.,Jeremy Guthrie (13),510,R
750,749.,Matt Keough (9),510,R
751,749.,Paul Maholm (10),510,L
752,749.,Bob Purkey (13),510,R
753,754.,Matt Morris (11),509,R
754,755.,Jason Vargas (14),508,L
755,756.,Bill Swift (13),507,R
756,757.,Frank Castillo (13),506,R
757,757.,Johnny Morrison (10),506,R
758,759.,Roberto Hernandez (11),505,R
759,759.,Jason Jennings (9),505,R
760,761.,Erik Hanson (11),504,R
761,761.,Preacher Roe (12),504,L
762,763.,Randy Jones (10),503,L
763,764.,Sammy Stewart (10),502,R
764,764.,Chris Young (13),502,R
765,766.,Don Gullett (9),501,L
766,766.,Chief Hogsett (11),501,L
767,766.,Greg Swindell (17),501,L
768,769.,Dan Haren (13),500,R
769,769.,Red Munger (10),500,R
770,769.,Ramon Ortiz (12),500,R
771,769.,Dontrelle Willis (9),500,L
772,773.,Chad Billingsley (9),499,R
773,773.,"Wade Miley (10, 33)",499,L
774,773.,Mike Norris (10),499,R
775,776.,Hal Carlson (14),498,R
776,776.,Jason Grimsley (15),498,R
777,776.,Jason Johnson (11),498,R
778,776.,Justin Masterson (8),498,R
779,776.,Ed Morris (7),498,L
780,776.,Pete Schneider (6),498,R
781,776.,Lefty Stewart (10),498,L
782,776.,Hooks Wiltse (12),498,L
783,784.,Phil Collins (8),497,R
784,784.,Bob McClure (19),497,L
785,784.,Spec Shea (8),497,R
786,787.,Mike Bielecki (14),496,R
787,787.,Larry Corcoran (8),496,R
788,787.,John Smiley (12),496,L
789,787.,Will White (10),496,R
790,791.,Bill Campbell (15),495,R
791,791.,Dick Donovan (15),495,R
792,791.,John Franco (21),495,L
793,791.,Glen Hobbie (8),495,R
794,791.,Monty Kennedy (8),495,L
795,791.,Al Milnar (8),495,L
796,791.,Lew Richie (8),495,R
797,791.,Pat Zachry (10),495,R
798,799.,Bert Gallia (9),494,R
799,799.,Percy Jones (9),494,L
800,799.,Bob Rhoads (8),494,R
801,802.,Joey Hamilton (10),493,R
802,802.,Lew Krausse (12),493,R
803,802.,Bill Krueger (13),493,L
804,802.,Tom Murphy (12),493,R
805,802.,Carl Scheib (11),493,R
806,802.,Jack Scott (12),493,R
807,802.,Jake Weimer (7),493,L
808,809.,Al Brazle (10),492,L
809,809.,Rollie Fingers+ (17),492,R
810,809.,Bill Hands (11),492,R
811,809.,Joe Hatten (7),492,L
812,809.,Guy Hecker (9),492,R
813,814.,John Danks (10),491,L
814,814.,"Jeff Samardzija (13, 35)",491,R
815,814.,Kent Tekulve (16),491,R
816,817.,Skip Lockwood (13),490,R
817,817.,Don Newcombe (10),490,R
818,819.,Ted Blankenship (9),489,R
819,819.,Brian Bohanon (12),489,L
820,819.,Barry Latman (11),489,R
821,819.,Hugh McQuillan (10),489,R
822,819.,Tom Phoebus (7),489,R
823,819.,"Rick Porcello (12, 31)",489,R
824,825.,Syl Johnson (19),488,R
825,825.,Frank Kitson (10),488,R
826,827.,Hugh Mulcahy (9),487,R
827,827.,Joel Pineiro (12),487,R
828,829.,Pete Appleton (14),486,R
829,829.,James Baldwin (11),486,R
830,829.,Ownie Carroll (9),486,R
831,829.,Cinders O'Brien (4),486,R
832,829.,Lee Smith+ (18),486,R
833,834.,Bud Norris (10),485,R
834,835.,Joe Bowman (11),484,R
835,835.,Elmer Knetzer (8),484,R
836,837.,Ray Kremer (10),483,R
837,837.,Greg Minton (16),483,R
838,839.,Alex Ferguson (10),482,R
839,839.,Jose Guzman (8),482,R
840,839.,Ed Killian (8),482,L
841,842.,Chris Bosio (11),481,R
842,842.,Dave Boswell (8),481,R
843,842.,Ray Fisher (10),481,R
844,842.,Sparky Lyle (16),481,L
845,842.,Max Surkont (9),481,R
846,847.,Darold Knowles (16),480,L
847,847.,Tim Lollar (7),480,L
848,849.,Hank Aguirre (16),479,L
849,849.,Curt Davis (13),479,R
850,849.,Henry Gruber (5),479,R
851,849.,Orlando Hernandez (9),479,R
852,849.,Phenomenal Smith (8),479,L
853,854.,Pete Broberg (8),478,R
854,854.,Jesse Tannehill (15),478,L
855,856.,Gordon Rhodes (8),477,R
856,857.,Chuck Dobson (9),476,R
857,857.,Carl Lundgren (8),476,R
858,859.,Shawn Chacon (8),475,R
859,859.,Jim Colborn (10),475,R
860,859.,Dan Schatzeder (15),475,L
861,859.,John Tudor (12),475,L
862,863.,Kevin Correia (13),474,R
863,863.,"Julio Teheran (10, 29)",474,R
864,865.,Dave Mlicki (10),472,R
865,866.,Sterling Hitchcock (13),471,L
866,866.,Bret Saberhagen (16),471,R
867,866.,Bob Stanley (13),471,R
868,866.,Ryan Vogelsong (12),471,R
869,870.,Pat Ragan (11),470,R
870,871.,Jim Barr (12),469,R
871,871.,Ed Wells (11),469,L
872,873.,Turk Farrell (14),468,R
873,873.,Ron Perranoski (13),468,L
874,873.,Bill Zuber (11),468,R
875,876.,Vern Bickford (7),467,R
876,876.,Joe Blanton (13),467,R
877,876.,Jaret Wright (11),467,R
878,879.,Jim Gott (14),466,R
879,879.,Henry Porter (6),466,R
880,881.,Ricky Bones (11),464,R
881,881.,Michael Jackson (17),464,R
882,881.,Cliff Lee (13),464,L
883,881.,Fernando Rodney (17),464,R
884,881.,Ferdie Schupp (10),464,L
885,886.,"Homer Bailey (14, 34)",463,R
886,886.,Chris Capuano (12),463,L
887,886.,Spud Chandler (11),463,R
888,886.,Dick Coffman (15),463,R
889,886.,Dave Morehead (8),463,R
890,891.,Roberto Hernandez (17),462,R
891,891.,Bill Monbouquette (11),462,R
892,893.,Jim Beattie (9),461,R
893,893.,Art Ditmar (9),461,R
894,893.,Todd Van Poppel (11),461,R
895,896.,Dustin Hermanson (12),460,R
896,896.,Ricky Nolasco (12),460,R
897,896.,Glendon Rusch (12),460,L
898,899.,Dave LaRoche (14),459,L
899,899.,Stump Weidman (9),459,R
900,901.,Jim Bagby (9),458,R
901,901.,Clay Buchholz (13),458,R
902,901.,Elmer Riddle (10),458,R
903,904.,Don Aase (13),457,R
904,904.,John Buzhardt (11),457,R
905,904.,Terry Forster (16),457,L
906,904.,Rich Gale (7),457,R
907,908.,LaTroy Hawkins (21),456,R
908,909.,Dave Danforth (10),455,L
909,909.,Mickey Harris (9),455,L
910,909.,Red Lucas (16),455,R
911,909.,Wiley Piatt (6),455,L
912,909.,Don Stanhouse (10),455,R
913,914.,"Trevor Bauer (9, 29)",454,R
914,914.,Brian Moehler (14),454,R
915,916.,Dizzy Dean+ (12),453,R
916,916.,Bill Hoffer (6),453,R
917,916.,Eric Milton (11),453,L
918,919.,Al Javery (7),452,R
919,919.,Roy Mahaffey (9),452,R
920,919.,Ted Power (13),452,R
921,922.,Lou Brissie (7),451,L
922,922.,Ed Seward (6),451,R
923,924.,Doug McWeeny (8),450,R
924,924.,Johnny Rigney (8),450,R
925,924.,Hal White (12),450,R
926,927.,Sarge Connally (12),449,R
927,927.,Ken Raffensberger (15),449,L
928,927.,Tom Sturdivant (10),449,R
929,930.,Adam Eaton (10),448,R
930,930.,Otto Hess (10),448,L
931,932.,Jimmy Lavender (6),447,R
932,932.,Phil Regan (13),447,R
933,934.,Scott Kamieniecki (10),446,R
934,934.,Ralph Terry (12),446,R
935,936.,Gene Garber (19),445,R
936,936.,Brad Radke (12),445,R
937,938.,Orval Grove (10),444,R
938,938.,Jim Kern (13),444,R
939,938.,Tom Lovett (6),444,R
940,938.,Johnny Murphy (13),444,R
941,942.,Ed Figueroa (8),443,R
942,942.,Hal Gregg (9),443,R
943,942.,Teddy Higuera (9),443,L
944,942.,Todd Jones (16),443,R
945,946.,Clay Carroll (15),442,R
946,946.,Andrew Cashner (10),442,R
947,946.,Mike Kekich (9),442,L
948,949.,Kris Benson (9),441,R
949,949.,"Madison Bumgarner (12, 30)",441,L
950,949.,"Tyler Chatwood (9, 30)",441,R
951,949.,Omar Daal (11),441,L
952,949.,Babe Ruth+ (22),441,L
953,954.,Gary Lavelle (13),440,L
954,954.,Elmer Myers (8),440,R
955,954.,Sherry Smith (14),440,L
956,954.,Jake Wade (8),440,L
957,958.,Scott Feldman (13),439,R
958,958.,Joe Saunders (10),439,L
959,960.,Eddie Fisher (15),438,R
960,960.,Jack Harper (8),438,R
961,960.,Robert Person (9),438,R
962,960.,Clayton Richard (11),438,L
963,964.,Joaquin Benoit (16),437,R
964,964.,Jimmy Callahan (13),437,R
965,964.,Jason Isringhausen (16),437,R
966,964.,Ben McDonald (9),437,R
967,964.,"Jonathan Sanchez (8, 37)",437,L
968,969.,Moose Haas (12),436,R
969,969.,Joe Sparma (7),436,R
970,969.,Chris Tillman (10),436,R
971,972.,Gene Bearden (7),435,L
972,972.,Jim Bouton (10),435,R
973,972.,Howie Fox (9),435,R
974,972.,Monte Weaver (9),435,R
975,972.,Brandon Webb (7),435,R
976,977.,David Palmer (10),434,R
977,977.,Scott Stratton (8),434,R
978,979.,Steve Busby (8),433,R
979,979.,Al Fitzmorris (10),433,R
980,981.,Bernie Boland (7),432,R
981,981.,Danny Cox (11),432,R
982,981.,Jimmie DeShong (7),432,R
983,981.,Randy Lerch (11),432,L
984,981.,Bryn Smith (13),432,R
985,981.,Bob Wickman (15),432,R
986,987.,Tony Armas (10),431,R
987,987.,Jeremy Bonderman (9),431,R
988,987.,Cliff Melton (8),431,L
989,990.,Babe Adams (19),430,R
990,990.,Dave Freisleben (6),430,R
991,990.,Mike Remlinger (14),430,L
992,993.,Aaron Cook (11),429,R
993,993.,"Hector Santiago (9, 32)",429,L
994,995.,Jeff Nelson (15),428,R
995,996.,José Contreras (11),427,R
996,997.,Fritz Peterson (11),426,L
997,998.,Bruce Berenyi (7),425,R
998,998.,Paul Erickson (8),425,R
999,998.,Tippy Martinez (14),425,L
1000,998.,Carl Pavano (14),425,R
