,Rank,"Player (yrs, age)",Batters Faced,Throws
714,715.,Erik Hanson (11),6630,R
715,716.,Bob Miller (17),6623,R
716,717.,Bruce Chen (17),6619,L
717,718.,Phil Knell (6),6612,L
718,719.,Steve Avery (11),6609,L
719,720.,Vinegar Bend Mizell (9),6606,L
720,721.,Joey Jay (13),6583,R
721,722.,Jim Shaw (9),6577,R
722,723.,Tom Griffin (14),6576,R
723,724.,Tom Brewer (8),6574,R
724,725.,Jim Wilson (12),6573,R
725,726.,Russ Meyer (13),6570,R
726,727.,Rick Helling (12),6564,R
727,728.,Steve Trout (12),6550,L
728,729.,Roger Craig (12),6545,R
729,730.,"Chris Sale (10, 31)",6544,L
730,731.,Brian Anderson (13),6532,L
731,732.,Mike Pelfrey (12),6531,R
732,732.,George Pipgras (11),6531,R
733,734.,Blue Moon Odom (13),6528,R
734,735.,Ben Cantwell (11),6527,R
735,736.,Dick Coffman (15),6526,R
736,736.,Dan Spillner (12),6526,R
737,738.,Johnny Morrison (10),6524,R
738,739.,Glendon Rusch (12),6513,L
739,740.,Bobby Jones (10),6508,R
740,740.,Ed Killian (8),6508,L
741,742.,Bill Walker (10),6505,L
742,743.,Ken Heintzelman (13),6497,L
743,744.,Clint Brown (15),6495,R
744,745.,Joe Bowman (11),6494,R
745,746.,Al Maul (15),6485,R
746,747.,Bill Bonham (10),6484,R
747,748.,Kelvim Escobar (12),6483,R
748,749.,Neal Heaton (12),6481,L
749,750.,Ken Brett (14),6477,L
750,751.,Dave LaPoint (12),6471,L
751,752.,Lynn McGlothen (11),6468,R
752,753.,Don Mossi (12),6464,L
753,754.,Tim Leary (13),6437,R
754,755.,Jim Deshaies (12),6432,L
755,756.,"Oliver Perez (18, 38)",6422,L
756,757.,John Danks (10),6415,L
757,758.,Rick Reed (15),6407,R
758,759.,Paul Foytack (11),6406,R
759,760.,Juan Guzman (10),6373,R
760,761.,Ralph Branca (12),6372,R
761,762.,Doc Crandall (10),6369,R
762,763.,Eddie Fisher (15),6340,R
763,764.,Ramon Ortiz (12),6337,R
764,765.,Rick Langford (11),6329,R
765,766.,Gene Garber (19),6327,R
766,767.,LaTroy Hawkins (21),6323,R
767,768.,Mickey Haefner (8),6322,L
768,769.,Lee Viau (5),6316,R
