,Rank,"Player (yrs, age)",Triples,Bats
213,212.,Joe Hornung (12),90,R
214,212.,Wally Schang (19),90,B
215,212.,Harry Steinfeldt (14),90,R
216,217.,Steve Brodie (12),89,L
217,217.,Johnny Callison (16),89,L
218,217.,Vince Coleman (13),89,B
219,217.,George Cutshaw (12),89,R
220,217.,Bobby Doerr+ (14),89,R
221,217.,Hobe Ferris (9),89,R
222,217.,Cristian Guzman (11),89,B
223,217.,Casey Stengel+ (14),89,L
224,217.,Tom York (15),89,L
225,226.,Tommy Dowd (10),88,R
226,226.,Dick Hoblitzell (11),88,L
227,226.,Hughie Jennings+ (18),88,R
228,226.,Marty McManus (15),88,R
229,226.,Jack Rowe (12),88,L
230,226.,Billy Williams+ (18),88,L
231,226.,Dave Winfield+ (22),88,R
232,233.,Rube Bressler (19),87,R
233,233.,Bruce Campbell (13),87,L
234,233.,Heinie Groh (16),87,R
235,233.,Candy LaChance (12),87,B
236,233.,Omar Moreno (12),87,L
237,233.,Billy Nash (15),87,R
238,233.,Pop Smith (12),87,R
239,233.,Jake Stahl (9),87,R
240,233.,Perry Werden (7),87,R
241,242.,Dolph Camilli (12),86,L
242,242.,Bert Campaneris (19),86,R
243,242.,Travis Jackson+ (15),86,R
244,242.,Tony Taylor (19),86,R
245,246.,Pete Browning (13),85,R
246,246.,Lou Finney (15),85,L
247,246.,Ival Goodman (10),85,L
248,246.,Tony Gwynn+ (20),85,L
249,246.,Willie Kamm (13),85,R
250,246.,Arlie Latham (17),85,R
251,246.,Bobby Lowe (18),85,R
252,246.,Duke Snider+ (18),85,L
253,246.,Tommy Tucker (13),85,B
254,246.,Ned Williamson (13),85,R
255,256.,Bill Bradley (14),84,R
256,256.,John Hummel (12),84,R
257,258.,Gavvy Cravath (11),83,R
258,258.,Roy Johnson (10),83,L
259,258.,Minnie Minoso (17),83,R
260,258.,Johnny Mize+ (15),83,L
261,262.,Ginger Beaumont (12),82,L
262,262.,Wid Conroy (11),82,R
263,262.,Frank Fennelly (7),82,R
264,262.,"Dexter Fowler (13, 34)",82,B
265,262.,Phil Garner (16),82,R
266,262.,Bill Hallman (14),82,R
267,262.,Billy Herman+ (15),82,R
268,262.,Hans Lobert (14),82,R
269,262.,Johnny Mostil (10),82,R
270,271.,Ray Chapman (9),81,R
271,271.,Abner Dalrymple (12),81,L
272,271.,Mickey Doolin (13),81,R
273,271.,Kid Gleason (22),81,B
274,271.,Stan Hack (16),81,L
275,271.,Freddie Lindstrom+ (13),81,R
276,271.,Fred Merkle (16),81,R
277,271.,Bill Virdon (12),81,L
278,271.,Ivey Wingo (17),81,L
279,280.,Roberto Alomar+ (17),80,B
280,280.,Pop Corkhill (10),80,L
281,280.,Charlie Jamieson (18),80,L
282,280.,Don Kessinger (16),80,B
283,280.,Bill Lange (7),80,R
284,280.,John Morrill (15),80,R
285,280.,Pee Wee Reese+ (16),80,R
286,287.,Dick Allen (15),79,R
287,287.,Frank Chance+ (17),79,R
288,287.,Ray Durham (14),79,B
289,287.,Jack Graney (14),79,L
290,287.,Ned Hanlon+ (13),79,L
291,287.,Deacon McGuire (26),79,R
292,287.,Tony Perez+ (23),79,R
293,287.,Jim Rice+ (16),79,R
294,287.,Frank Shugart (8),79,L
295,296.,Carlos Beltran (20),78,B
296,296.,Patsy Dougherty (10),78,L
297,296.,Jim Fregosi (18),78,R
298,296.,Chick Gandil (9),78,R
299,296.,Alfredo Griffin (18),78,B
300,296.,Frank LaPorte (11),78,R
301,296.,Red Schoendienst+ (19),78,B
302,296.,Cecil Travis (12),78,L
303,304.,Dave Bancroft+ (16),77,B
304,304.,Barry Bonds (22),77,L
305,304.,Art Fletcher (13),77,R
306,304.,Ken Griffey (19),77,L
307,304.,Al Oliver (18),77,L
308,304.,Dode Paskert (15),77,R
309,304.,Fred Tenney (17),77,L
310,304.,Terry Turner (17),77,R
311,304.,Omar Vizquel (24),77,B
312,304.,Ken Williams (14),77,L
313,314.,Jimmy Austin (18),76,B
314,314.,Jerry Denny (13),76,R
315,314.,Larry Herndon (14),76,R
316,314.,High Pockets Kelly+ (16),76,R
317,314.,Barry Larkin+ (19),76,R
318,314.,Tom McCreery (9),76,B
319,314.,Rube Oldring (13),76,R
320,314.,Ryne Sandberg+ (16),76,R
321,314.,Gee Walker (15),76,R
322,314.,Glenn Wright (11),76,R
323,314.,Chief Zimmer (19),76,R
324,325.,Carson Bigbee (11),75,L
325,325.,Kitty Bransfield (12),75,R
326,325.,Patsy Donovan (17),75,L
327,325.,Pete Fox (13),75,R
328,325.,Buck Herzog (13),75,R
329,325.,Jimmy Johnston (13),75,R
330,325.,Fielder Jones (15),75,L
331,325.,Al Kaline+ (22),75,R
332,325.,Mike Kreevich (12),75,R
333,325.,Pepper Martin (13),75,R
334,325.,Dave Parker (19),75,L
335,325.,Roger Peckinpaugh (17),75,R
336,325.,Billy Rogell (14),75,B
337,338.,Bob Bescher (11),74,B
338,338.,Donie Bush (16),74,B
339,338.,Delino DeShields (13),74,L
340,338.,Augie Galan (16),74,B
341,338.,Johnny Hopp (14),74,L
342,338.,Chuck Klein+ (17),74,L
343,338.,Freddy Parent (12),74,R
344,338.,Bobby Thomson (15),74,R
345,338.,Cy Williams (19),74,L
346,347.,Johnny Bates (9),73,L
347,347.,Dwight Evans (20),73,R
348,347.,Emmet Heidrick (8),73,L
349,347.,Tommy Henrich (11),73,L
350,347.,Braggo Roth (8),73,R
