,Rank,"Player (yrs, age)",SB %,Bats
583,584.,Billy Williams+ (18),64.748,L
584,585.,Jim Gilliam (14),64.650,B
585,586.,Jacque Jones (10),64.567,L
586,587.,Cecil Cooper (17),64.493,L
587,588.,Craig Reynolds (15),64.444,L
588,588.,Russ Snyder (12),64.444,L
589,590.,Harold Reynolds (12),64.433,B
590,590.,Tony Scott (11),64.433,B
591,592.,Marlon Byrd (15),64.368,R
592,593.,Roberto Clemente+ (18),64.341,R
593,594.,Alex Johnson (13),64.205,R
594,595.,Lance Berkman (15),64.179,B
595,596.,Felix Jose (11),64.151,B
596,597.,John Stearns (11),64.085,R
597,598.,"Yadier Molina (17, 37)",64.078,R
598,598.,Todd Walker (12),64.078,L
599,600.,Tony Fernandez (17),64.063,B
600,601.,Troy Tulowitzki (13),64.045,R
601,602.,Gerardo Parra (11),64.000,L
602,603.,Orlando Cepeda+ (17),63.964,R
603,603.,Gene Clines (10),63.964,R
604,605.,Bret Boone (14),63.946,R
605,606.,John Moses (11),63.924,B
606,607.,Ken Harrelson (9),63.855,R
607,608.,Wes Parker (9),63.830,B
608,608.,"Anthony Rizzo (10, 30)",63.830,L
609,610.,Kirby Puckett+ (12),63.810,R
610,611.,Jim Gantner (17),63.721,L
611,612.,Don Blasingame (12),63.636,L
612,613.,"Starlin Castro (11, 30)",63.571,R
613,614.,Todd Hollandsworth (12),63.559,L
614,615.,Eddie Mathews+ (17),63.551,L
615,616.,Leon Durham (10),63.473,L
616,617.,Lee Maye (13),63.441,L
617,618.,Dave Kingman (16),63.433,R
618,619.,"José Iglesias (9, 30)",63.415,R
619,620.,Fernando Vina (12),63.388,L
620,621.,Paul Dade (6),63.333,R
621,622.,Jose Offerman (15),63.235,B
622,623.,Rey Sanchez (15),63.218,R
623,624.,Bobby Higginson (11),63.194,L
624,625.,Scott Fletcher (15),63.057,R
625,626.,Jim Rice+ (16),63.043,R
626,627.,Jeff Cirillo (14),63.000,R
627,628.,Ruppert Jones (12),62.996,L
628,629.,Garret Anderson (17),62.992,L
629,629.,Tito Fuentes (13),62.992,B
630,631.,Kevin Young (12),62.879,R
631,632.,Bobby Murcer (17),62.871,L
632,633.,Melvin Mora (13),62.838,R
633,634.,Bernie Williams (16),62.821,B
634,635.,Bob Allison (13),62.687,R
635,636.,B.J. Surhoff (19),62.667,L
636,637.,Nate Colbert (10),62.651,R
637,638.,Ricky Gutierrez (12),62.500,R
638,638.,"Jon Jay (11, 35)",62.500,L
639,640.,Robby Thompson (11),62.424,R
640,641.,Mike Bordick (14),62.338,R
641,642.,Al Newman (8),62.329,B
642,643.,Dan Ford (11),62.245,R
643,644.,George Foster (18),62.195,R
644,645.,Barry Bonnell (10),62.136,R
645,645.,John Lowenstein (16),62.136,L
646,647.,Dwayne Murphy (12),62.112,L
647,648.,Rob Wilfong (11),62.069,L
648,649.,Johnny Ray (10),62.016,B
649,649.,Kevin Seitzer (12),62.016,R
650,651.,Sal Bando (16),61.983,R
651,652.,"Jay Bruce (13, 33)",61.905,L
652,652.,Mack Jones (10),61.905,L
653,654.,Jerry Browne (10),61.864,B
654,655.,Dave Cash (12),61.856,R
655,655.,Al Cowens (13),61.856,R
656,657.,Luis Alicea (13),61.832,B
657,658.,Bernard Gilkey (12),61.828,R
658,659.,Larry Herndon (14),61.745,R
659,660.,Thomas Howard (11),61.682,B
660,661.,Jose Uribe (10),61.667,B
661,662.,Carlos May (10),61.594,L
662,663.,Damon Buford (9),61.538,R
663,664.,Felipe Alou (17),61.494,R
664,665.,Jim Norris (4),61.458,L
665,665.,Ellis Valentine (10),61.458,R
666,667.,Reggie Smith (17),61.435,B
667,668.,Minnie Minoso (17),61.377,R
668,669.,Jeff Blauser (13),61.321,R
669,670.,Dee Fondy (8),61.314,L
670,671.,Marty Cordova (9),61.290,R
671,672.,Johnny Bench+ (17),61.261,R
672,673.,Andres Galarraga (19),61.244,R
673,674.,Donn Clendenon (12),61.224,R
674,675.,Carlos Guillen (14),61.157,B
675,676.,Don Money (16),61.069,R
676,677.,Jeff Kent (17),61.039,R
677,678.,Ozzie Guillen (16),61.011,L
678,679.,Tony Oliva (15),60.993,L
679,680.,Miguel Olivo (13),60.920,R
680,681.,Felix Millan (12),60.909,R
681,681.,Al Smith (12),60.909,R
682,683.,Keith Hernandez (17),60.870,L
683,684.,Tony Phillips (18),60.825,B
684,685.,Bill Hall (11),60.784,R
685,685.,Joe Orsulak (14),60.784,L
686,687.,Wally Joyner (16),60.606,L
687,688.,Mark Kotsay (17),60.494,L
688,689.,Derrel Thomas (15),60.345,B
689,690.,Bobby Richardson (12),60.331,R
690,691.,Mike Devereaux (12),60.284,R
691,692.,Jay Bell (18),60.265,R
692,693.,Bill White (13),60.234,L
693,694.,Matt Williams (17),60.227,R
694,695.,Rafael Ramirez (13),59.893,R
695,696.,Willie Upshaw (10),59.864,L
696,697.,Ted Uhlaender (8),59.770,L
697,698.,Tony Perez+ (23),59.756,R
698,699.,Gary Gaetti (20),59.627,R
699,700.,Alex Ochoa (8),59.574,R
700,701.,Tim Foli (16),59.559,R
701,702.,Luis Gonzalez (19),59.535,L
702,703.,Mark Grace (16),59.322,L
703,704.,Brady Clark (9),59.259,R
704,705.,Johnny Callison (16),59.200,L
705,706.,Chili Davis (19),59.167,B
706,706.,Bill Robinson (16),59.167,R
707,708.,Carl Yastrzemski+ (23),59.155,L
708,709.,Tom Paciorek (18),59.140,R
709,710.,Darrell Evans (21),59.036,L
710,711.,Tom Brookens (12),58.904,R
711,712.,Alfredo Griffin (18),58.896,B
712,713.,Rusty Staub (23),58.750,L
713,714.,Richard Hidalgo (9),58.537,R
714,715.,Jesse Barfield (12),58.407,R
715,716.,Bobby Avila (11),58.400,R
716,717.,Hal McRae (19),58.289,R
717,718.,Will Clark (15),58.261,L
718,719.,Lenny Randle (12),58.209,B
719,720.,Rennie Stennett (11),58.140,R
720,721.,Jeff Francoeur (12),58.065,R
721,722.,Marvell Wynne (8),57.971,L
722,723.,Von Joshua (10),57.895,L
723,724.,Juan Beniquez (17),57.778,R
724,725.,Ken Boyer (15),57.692,R
725,726.,Dave Parker (19),57.678,L
726,727.,Steve Henderson (12),57.664,R
727,728.,Don Hoak (11),57.658,R
728,729.,Warren Cromartie (10),57.471,L
729,729.,Jim Morrison (12),57.471,R
730,731.,Mike Heath (14),57.447,R
731,732.,Mark Loretta (15),57.317,R
732,733.,"Robinson Cano (16, 37)",57.303,L
733,734.,Jim Edmonds (17),57.265,L
734,735.,Steve Garvey (19),57.241,R
735,736.,Fred Lynn (17),57.143,L
736,736.,Charlie Neal (8),57.143,R
737,738.,Pete Rose (24),57.061,B
738,739.,Spike Owen (13),56.944,B
739,740.,Dwight Evans (20),56.934,R
740,741.,Ken Oberkfell (16),56.881,L
741,742.,Benito Santiago (20),56.875,R
742,743.,Mike Jorgensen (17),56.863,L
743,744.,Jorge Orta (16),56.835,L
744,745.,Dave Henderson (14),56.818,R
745,746.,Jose Pagan (15),56.790,R
746,747.,Al Oliver (18),56.757,L
747,748.,Wally Moon (12),56.688,L
748,748.,Jim Wohlford (15),56.688,R
749,750.,John Briggs (12),56.637,L
750,751.,Willie Crawford (14),56.627,L
751,752.,Duke Snider+ (18),56.522,L
