,Rank,"Player (yrs, age)",Strikeouts,Throws
672,671.,"Kyle Hendricks (7, 30)",882,R
673,671.,Pete Vuckovich (11),882,R
674,675.,Ned Garver (14),881,R
675,676.,Dick Donovan (15),880,R
676,676.,Mike Marshall (14),880,R
677,676.,"David Robertson (12, 35)",880,R
678,676.,Bob Shaw (11),880,R
679,676.,Jeff Tesreau (7),880,R
680,681.,Dan Spillner (12),878,R
681,682.,Ed Brandt (11),877,L
682,682.,Roy Face (16),877,R
683,682.,"Brandon Morrow (12, 35)",877,R
684,682.,Jeff Reardon (16),877,R
685,686.,Dustin Hermanson (12),874,R
686,687.,Sparky Lyle (16),873,L
687,688.,Mike Timlin (18),872,R
688,688.,Whit Wyatt (16),872,R
689,690.,Freddie Fitzsimmons (19),870,R
690,690.,"Carlos Martinez (8, 28)",870,R
691,692.,Jeff Francis (11),869,L
692,693.,Pink Hawley (10),868,R
693,693.,Todd Jones (16),868,R
694,695.,Pete Falcone (10),865,L
695,695.,Rodrigo Lopez (11),865,R
696,697.,Bill Campbell (15),864,R
697,697.,Ray Herbert (14),864,R
698,699.,Sal Maglie (10),862,R
699,699.,Carl Mays (15),862,R
700,699.,Carlos Villanueva (11),862,R
701,702.,Tom Henke (14),861,R
702,702.,Bruce Sutter+ (12),861,R
703,704.,Eddie Lopat (12),859,L
704,704.,Jack Lynch (7),859,R
705,704.,Brian Moehler (14),859,R
706,707.,Dennis Lamp (16),857,R
707,707.,Blue Moon Odom (13),857,R
708,707.,Matt Young (10),857,L
709,710.,Hank Aguirre (16),856,L
710,710.,Bill Hallahan (12),856,L
711,712.,Adam Eaton (10),855,R
712,713.,Zach Duke (15),854,L
713,713.,Mike Remlinger (14),854,L
714,715.,Moose Haas (12),853,R
715,715.,Omar Olivares (12),853,R
716,715.,"Drew Pomeranz (10, 31)",853,L
717,718.,"Michael Pineda (7, 31)",852,R
718,719.,Denny Galehouse (15),851,R
719,720.,Guy Bush (17),850,R
720,721.,Ernie Broglio (8),849,R
721,721.,Don Larsen (14),849,R
722,723.,Red Ehret (11),848,R
723,723.,Bob Walk (14),848,R
724,725.,Sam Leever (13),847,R
725,725.,Chris Tillman (10),847,R
726,727.,"Wei-Yin Chen (8, 34)",846,L
727,727.,Hugh Daily (6),846,R
728,729.,James Baldwin (11),844,R
729,729.,Art Nehf (15),844,L
730,731.,Bruce Ruffin (12),843,L
731,732.,Larry Jansen (9),842,R
732,732.,Julian Tavarez (17),842,R
733,734.,Si Johnson (17),840,R
734,735.,Scott Baker (10),839,R
735,735.,Ewell Blackwell (10),839,R
736,735.,Alejandro Pena (15),839,R
737,735.,Bill Sherdel (15),839,L
738,739.,Cory Lidle (9),838,R
739,739.,Mike Pelfrey (12),838,R
740,741.,Jim Gott (14),837,R
741,741.,Herb Score (8),837,L
742,743.,Shaun Marcum (9),836,R
743,743.,Jeff Pfeffer (13),836,R
744,743.,Slim Sallee (14),836,L
745,746.,Dennis Rasmussen (12),835,L
746,747.,Dave Mlicki (10),834,R
747,747.,Mark Mulder (9),834,L
748,747.,Al Worthington (14),834,R
749,750.,Roberto Hernandez (11),833,R
750,750.,Jimmy Ring (12),833,R
751,752.,"Jesse Chavez (13, 36)",832,R
752,752.,Togie Pittinger (8),832,R
753,754.,Jason Isringhausen (16),830,R
754,754.,Guy Morton (11),830,R
755,756.,Ralph Branca (12),829,R
756,756.,Barry Latman (11),829,R
757,756.,Skip Lockwood (13),829,R
758,756.,Jeff Nelson (15),829,R
759,756.,"James Paxton (8, 31)",829,L
760,761.,Paul Foytack (11),827,R
761,761.,Bob Moose (10),827,R
762,763.,"Hector Santiago (9, 32)",826,L
763,764.,John Curtis (15),825,L
764,764.,Pat Rapp (10),825,R
765,766.,Clayton Richard (11),824,L
766,767.,Egyptian Healy (8),822,R
767,767.,Firpo Marberry (14),822,R
768,767.,Pascual Perez (11),822,R
769,770.,Max Lanier (14),821,L
770,771.,Dave LaRoche (14),819,L
771,772.,Orlando Pena (14),818,R
772,772.,Kirk Rueter (13),818,L
773,774.,Alex Kellner (12),816,L
774,774.,"Tyson Ross (10, 33)",816,R
775,776.,Walt Masterson (14),815,R
776,777.,Ugueth Urbina (11),814,R
777,778.,Pete Schourek (11),813,L
778,779.,Eddie Fisher (15),812,R
779,779.,Bob Tewksbury (13),812,R
780,781.,Jim Brewer (17),810,L
781,781.,Jason Johnson (11),810,R
782,783.,Tex Carleton (8),808,R
783,783.,Norm Charlton (13),808,L
784,783.,Jonathan Papelbon (12),808,R
785,786.,Paul Assenmacher (14),807,L
786,786.,Ken Brett (14),807,L
787,788.,Kris Benson (9),806,R
788,788.,Omar Daal (11),806,L
789,788.,Byung-Hyun Kim (9),806,R
790,788.,Matt Moore (9),806,L
791,788.,Ken Raffensberger (15),806,L
792,793.,Mark Clear (11),804,R
793,793.,John Wetteland (12),804,R
794,795.,Roger Craig (12),803,R
795,796.,Darren Dreifort (9),802,R
796,796.,Dave LaPoint (12),802,L
797,798.,Larry Gura (16),801,L
798,798.,Travis Wood (8),801,L
799,800.,John Thomson (10),800,R
800,801.,Oil Can Boyd (10),799,R
801,801.,General Crowder (11),799,R
802,801.,Brickyard Kennedy (12),799,R
803,801.,Brad Lidge (11),799,R
804,805.,Eddie Guardado (17),798,L
805,806.,Tom Hall (10),797,L
806,806.,Danny MacFayden (17),797,R
807,808.,Francisco Cordero (14),796,R
808,808.,"Jonathan Sanchez (8, 37)",796,L
809,808.,"Michael Wacha (8, 28)",796,R
810,811.,Herm Wehmeier (13),794,R
811,812.,Robb Nen (10),793,R
812,812.,Bob Purkey (13),793,R
813,814.,Joe Saunders (10),792,L
814,815.,Terry Forster (16),791,L
815,815.,"Joakim Soria (13, 36)",791,R
816,817.,Dave Foutz (13),790,R
817,817.,Earl Hamilton (14),790,L
818,817.,Bob Shirley (11),790,L
819,820.,Wayne Twitchell (10),789,R
820,821.,Willie Hernandez (13),788,L
821,822.,Red Donahue (13),787,R
822,823.,Dick Rudolph (13),786,R
823,824.,Bob Wickman (15),785,R
824,825.,Mike Bielecki (14),783,R
825,825.,Mike LaCoss (14),783,R
826,825.,"Alex Wood (8, 29)",783,L
827,828.,Larry Christenson (11),781,R
828,828.,Troy Percival (14),781,R
829,830.,Tully Sparks (12),780,R
830,831.,Kent Tekulve (16),779,R
831,831.,"Zack Wheeler (6, 30)",779,R
832,833.,Mark Guthrie (15),778,L
833,834.,Ryan Madson (13),775,R
834,834.,Nate Robertson (9),775,L
835,834.,Russ Springer (18),775,R
836,834.,"Noah Syndergaard (5, 27)",775,R
837,838.,Fritz Ostermueller (15),774,L
838,839.,Robert Person (9),773,R
839,840.,"Matt Harvey (8, 31)",772,R
840,841.,"Collin McHugh (8, 33)",771,R
841,841.,Jim Nash (7),771,R
842,843.,Gary Lavelle (13),769,L
843,844.,Dave Bush (9),768,R
844,845.,Jim Shaw (9),767,R
845,845.,Bill Swift (13),767,R
846,845.,Dummy Taylor (9),767,R
847,848.,Tommy Byrne (13),766,L
848,849.,Ted Abernathy (14),765,R
849,849.,Jakie May (14),765,L
850,851.,"Nathan Eovaldi (9, 30)",762,R
851,851.,Jimmy Haynes (10),762,R
852,853.,Rheal Cormier (16),760,L
853,854.,"Chase Anderson (7, 32)",759,R
854,854.,Willie Blair (12),759,R
855,856.,Larry Andersen (17),758,R
856,856.,Jonathan Broxton (13),758,R
857,856.,Chuck Dobson (9),758,R
858,856.,Tim Worrell (14),758,R
859,860.,Dick Bosman (11),757,R
860,860.,Mickey McDermott (12),757,L
861,860.,Casey Patten (8),757,L
862,860.,Mark Prior (5),757,R
863,864.,Pat Jarvis (8),755,R
864,864.,Dick Stigman (7),755,L
865,866.,Harry Staley (8),751,R
866,867.,Ross Grimsley (11),750,L
867,868.,Jason Jennings (9),749,R
868,868.,Ellis Kinder (12),749,R
869,868.,Wade Miller (9),749,R
870,871.,David Palmer (10),748,R
871,871.,Dan Schatzeder (15),748,L
872,873.,Nels Potter (12),747,R
873,873.,Mark Redman (10),747,L
874,875.,Johnny Schmitz (13),746,L
875,876.,Dick Radatz (7),745,R
876,877.,Kid Gleason (22),744,R
877,877.,Carlos Marmol (9),744,R
878,879.,Dan Casey (7),743,L
879,879.,Joe Gibbon (13),743,L
880,879.,Phil Regan (13),743,R
881,882.,Jim Barr (12),741,R
882,882.,Dick Hall (19),741,R
883,882.,Jack Harshman (10),741,L
884,885.,Dennis Cook (15),739,L
885,886.,Al Jackson (10),738,L
886,887.,"Hyun Jin Ryu (7, 33)",737,L
887,888.,Frank Kitson (10),736,R
888,888.,Tommy Thomas (12),736,R
889,890.,Randy Jones (10),735,L
890,891.,Britt Burns (8),734,L
891,891.,Sid Hudson (12),734,R
892,893.,Tom Brewer (8),733,R
893,893.,Bob Bruce (9),733,R
894,893.,Jeff Montgomery (13),733,R
895,896.,"Jordan Lyles (10, 29)",732,R
896,896.,Mel Parnell (10),732,L
897,898.,Mike Smithson (8),731,R
898,899.,Sam Gray (10),730,R
899,899.,"Yusmeiro Petit (13, 35)",730,R
900,901.,Jeff Brantley (14),728,R
901,901.,Mark Clark (10),728,R
902,901.,Charlie Ferguson (4),728,R
903,904.,Gerry Staley (15),727,R
904,905.,Joe Hesketh (11),726,L
905,906.,Frank Killen (10),725,L
906,906.,Tom Phoebus (7),725,R
907,906.,Paul Quantrill (14),725,R
908,909.,Rafael Betancourt (12),724,R
909,910.,Brian Anderson (13),723,L
910,910.,Danny Cox (11),723,R
911,912.,Lew Krausse (12),721,R
912,912.,"Kenta Maeda (5, 32)",721,R
913,914.,Jeremy Affeldt (14),720,L
914,914.,Jim Bouton (10),720,R
915,914.,Vean Gregg (8),720,L
916,914.,Daisuke Matsuzaka (8),720,R
917,914.,Tom Zachary (19),720,L
918,919.,Ed Crane (9),719,R
919,919.,Dave Davenport (6),719,R
920,919.,Craig Lefferts (12),719,L
921,922.,"Alex Cobb (9, 32)",718,R
922,922.,Bert Cunningham (12),718,R
923,922.,Keith Foulke (11),718,R
924,922.,Eric Gagne (10),718,R
925,922.,Lee Stange (10),718,R
926,922.,Fred Toney (12),718,R
927,928.,"Sergio Romo (13, 37)",715,R
928,929.,"Brett Anderson (12, 32)",714,L
929,929.,Tom Gorzelanny (12),714,L
930,929.,Hisashi Iwakuma (6),714,R
931,929.,George Pipgras (11),714,R
932,929.,"Drew Smyly (7, 31)",714,L
933,934.,Bill Lee (14),713,L
934,934.,Cal McLish (15),713,R
935,936.,Chris Hammond (14),712,L
936,937.,Matt Belisle (15),711,R
937,937.,Todd Van Poppel (11),711,R
938,939.,Hal Brown (14),710,R
939,939.,Russ Ford (7),710,R
940,941.,Harry Gumbert (15),709,R
941,941.,Jim McGlothlin (9),709,R
942,943.,Dutch Ruether (11),708,L
943,944.,Ed Halicki (7),707,R
944,944.,"Eduardo Rodriguez (5, 27)",707,L
945,946.,Andy Hawkins (10),706,R
946,947.,Kyle Kendrick (10),705,R
947,947.,Geoff Zahn (13),705,L
948,949.,Tom Sturdivant (10),704,R
949,950.,Scott Garrelts (10),703,R
950,950.,Monte Pearson (10),703,R
951,952.,Luke Hochevar (9),702,R
952,952.,"Garrett Richards (10, 32)",702,R
953,954.,Bob McClure (19),701,L
954,954.,Ted Power (13),701,R
955,956.,Ray Washburn (10),700,R
956,957.,Neal Heaton (12),699,L
957,957.,"Josh Tomlin (11, 35)",699,R
958,959.,Scott Elarton (10),698,R
959,960.,Al Benton (14),697,R
960,960.,Doug Rau (9),697,L
961,962.,Guillermo Mota (14),696,R
962,962.,Bill Wegman (11),696,R
963,964.,"Marcus Stroman (6, 29)",695,R
964,965.,Jason Grilli (15),694,R
965,965.,Eddie Smith (10),694,L
966,965.,Jaret Wright (11),694,R
967,968.,Elmer Dessens (14),693,R
968,968.,Tex Hughson (8),693,R
969,968.,Barney Pelty (10),693,R
970,968.,Jeff Russell (14),693,R
971,968.,Bob Stanley (13),693,R
972,973.,"Matthew Boyd (6, 29)",692,L
973,973.,"Jon Gray (6, 28)",692,R
974,973.,Jose Valverde (12),692,R
975,973.,Jim Wilson (12),692,R
976,977.,Terry Adams (11),691,R
977,977.,Tom Bradley (7),691,R
978,977.,Alan Embree (16),691,L
979,977.,Vern Kennedy (12),691,R
980,981.,Hank Borowy (10),690,R
981,982.,Doug Bair (15),689,R
982,983.,Jim Colborn (10),688,R
983,983.,"Tommy Milone (10, 33)",688,L
984,983.,Danny Salazar (6),688,R
985,986.,Ted Gray (9),687,L
986,986.,Ron Perranoski (13),687,L
987,988.,Curt Davis (13),684,R
988,989.,Phil Douglas (9),683,R
989,990.,Glen Hobbie (8),682,R
990,991.,Clay Carroll (15),681,R
991,991.,LaMarr Hoyt (8),681,R
992,991.,Darold Knowles (16),681,L
993,991.,Dick Selma (10),681,R
994,991.,Dan Straily (8),681,R
995,996.,Tony Armas (10),680,R
996,996.,Doug Bird (11),680,R
997,996.,Ray Fisher (10),680,R
998,996.,Pat Ragan (11),680,R
