,Rank,"Player (yrs, age)",Bases on Balls,Bats
681,680.,Eddie Robinson (13),521,L
682,683.,Babe Herman (13),520,L
683,683.,Melvin Mora (13),520,R
684,683.,Hunter Pence (14),520,R
685,683.,Stan Spence (9),520,L
686,683.,Chris Young (13),520,R
687,688.,Andre Ethier (12),519,L
688,688.,Rusty Greer (9),519,L
689,688.,Shoeless Joe Jackson (13),519,L
690,691.,"Matt Kemp (15, 35)",518,R
691,691.,Connie Ryan (12),518,R
692,693.,"Elvis Andrus (12, 31)",516,R
693,693.,Kelly Johnson (11),516,L
694,693.,Nap Lajoie+ (21),516,R
695,693.,Paul Schaal (11),516,R
696,697.,Deacon McGuire (26),515,R
697,697.,Denard Span (11),515,L
698,699.,Orlando Cabrera (15),514,R
699,699.,Scott Fletcher (15),514,R
700,699.,Carl Furillo (15),514,R
701,699.,Ken Keltner (13),514,R
702,699.,Joe Vosmik (13),514,R
703,704.,"Yadier Molina (17, 37)",513,R
704,704.,Jim O'Rourke+ (23),513,R
705,704.,Del Pratt (13),513,R
706,704.,Ivan Rodriguez+ (21),513,R
707,708.,Carlos May (10),512,L
708,709.,Troy Tulowitzki (13),511,R
709,710.,Melky Cabrera (15),510,B
710,710.,Chad Curtis (10),510,R
711,710.,David DeJesus (13),510,L
712,710.,Damion Easley (17),510,R
713,710.,Carlos Guillen (14),510,B
714,710.,Ken McMullen (16),510,R
715,716.,"Alex Avila (12, 33)",509,L
716,716.,Yunel Escobar (11),509,R
717,718.,Woodie Held (14),508,R
718,718.,Jack Tobin (13),508,L
719,720.,Heinie Manush+ (17),506,L
720,720.,Ned Williamson (13),506,R
721,722.,Terry Puhl (15),505,L
722,723.,John Milner (12),504,L
723,723.,Trot Nixon (12),504,L
724,723.,Shannon Stewart (14),504,R
725,726.,Johnny Bates (9),503,L
726,726.,Jim Russell (10),503,B
727,728.,Dean Palmer (14),502,R
728,729.,Kid Gleason (22),501,B
729,730.,Luis Alicea (13),500,B
730,730.,Mike Bordick (14),500,R
731,730.,Billy Butler (10),500,R
732,730.,Jorge Orta (16),500,L
733,734.,Barney McCosky (11),497,L
734,735.,Milton Bradley (12),496,B
735,735.,Alfonso Soriano (16),496,R
736,737.,Ralph Young (9),495,B
737,738.,Riggs Stephenson (14),494,R
738,738.,"Christian Yelich (8, 28)",494,L
739,740.,Darryl Hamilton (13),493,L
740,740.,Hank Thompson (9),493,L
741,742.,Ted Kluszewski (15),492,L
742,742.,Brad Wilkerson (8),492,L
743,744.,Chico Carrasquel (10),491,R
744,744.,Jim Hickman (13),491,R
745,744.,Kevin Mitchell (13),491,R
746,747.,Dick Groat (14),490,R
747,747.,Michael Tucker (12),490,L
748,747.,Bill Wambsganss (13),490,R
749,750.,Roy Johnson (10),489,L
750,750.,Wes Westrum (11),489,R
751,750.,Whitey Witt (10),489,L
752,753.,Ronnie Belliard (13),488,R
753,753.,"Brian Dozier (9, 33)",488,R
754,753.,Brian McRae (10),488,B
755,756.,"Yasmani Grandal (9, 31)",487,B
756,756.,Lee May (18),487,R
757,756.,Orlando Merced (13),487,B
758,759.,Terry Pendleton (15),486,B
759,759.,George Selkirk (9),486,L
760,759.,Luke Sewell (20),486,R
761,762.,Otto Knabe (11),485,R
762,762.,Cookie Lavagetto (10),485,R
763,762.,Bob Skinner (12),485,L
764,765.,Henry Larkin (10),484,R
765,765.,Charlie Maxwell (14),484,L
