,Rank,"Player (yrs, age)",AB per SO,Bats
329,329.,Germany Smith (15),14.38,R
330,331.,Ira Flagstead (13),14.37,R
331,332.,Bill Knickerbocker (10),14.36,R
332,333.,Eddie Burke (8),14.35,L
333,334.,Ted Sizemore (12),14.32,R
334,334.,Bill Terry+ (14),14.32,L
335,336.,Bob Dillinger (6),14.31,R
336,337.,Mike González (17),14.29,R
337,338.,Wally Gerber (15),14.28,R
338,339.,Ethan Allen (13),14.25,R
339,339.,Ned Hanlon+ (13),14.25,L
340,341.,Mike Scioscia (13),14.24,L
341,342.,Lou Criger (16),14.23,R
342,343.,Jack Farrell (11),14.22,R
343,344.,Honus Wagner+ (21),14.20,R
344,345.,Birdie Tebbetts (14),14.19,R
345,346.,Gary Sutherland (13),14.17,R
346,347.,Harry Heilmann+ (17),14.16,R
347,348.,King Kelly+ (16),14.11,R
348,349.,Jack Warner (14),14.10,L
349,350.,Frank Bowerman (15),14.09,R
350,351.,Larry Kopf (10),14.07,B
351,352.,Ivey Wingo (17),14.05,L
352,353.,Sid Gordon (13),14.02,R
353,354.,Lance Johnson (14),14.01,L
354,355.,George Gibson (14),13.99,R
355,356.,Bill McKechnie+ (11),13.94,B
356,357.,Bill Everitt (7),13.86,L
357,357.,Joe Medwick+ (17),13.86,R
358,359.,Billy Werber (11),13.84,R
359,360.,Luis Aparicio+ (18),13.79,R
360,360.,Mike Kreevich (12),13.79,R
361,362.,Eric McNair (14),13.78,R
362,363.,Billy Nash (15),13.77,R
363,364.,Jesse Burkett+ (16),13.75,L
364,365.,Mickey Hatcher (12),13.73,R
365,365.,Glenn Myatt (16),13.73,L
366,367.,Otto Knabe (11),13.71,R
367,367.,Denny Lyons (13),13.71,R
368,369.,Cliff Carroll (11),13.70,B
369,369.,Ron Hunt (12),13.70,R
370,371.,Harry Danning (10),13.69,R
371,371.,Ken Oberkfell (16),13.69,L
372,373.,Cliff Heathcote (15),13.67,L
373,374.,Hod Ford (15),13.65,R
374,375.,Rollie Zeider (9),13.60,R
375,376.,Cesar Tovar (12),13.58,R
376,377.,Hi Myers (14),13.56,R
377,378.,Lu Blue (13),13.54,B
378,379.,Al Dark (14),13.52,R
379,379.,Granny Hamner (17),13.52,R
380,379.,Johnny Rawlings (12),13.52,R
381,382.,Whitey Witt (10),13.50,L
382,383.,Wilbert Robinson+ (17),13.49,R
383,384.,Frank Baumholtz (10),13.48,L
384,384.,Dan Meyer (12),13.48,L
385,386.,Max Carey+ (20),13.47,B
386,386.,Jeff Keppinger (9),13.47,R
387,388.,Frank Chance+ (17),13.43,R
388,388.,Chick Gandil (9),13.43,R
389,388.,Patrick Gillespie (8),13.43,L
390,388.,Baby Doll Jacobson (11),13.43,R
391,392.,Placido Polanco (16),13.41,R
392,393.,Fred Dunlap (12),13.40,R
393,394.,Jack Burdock (18),13.39,R
394,395.,Sammy Hale (10),13.37,R
395,396.,Marv Owen (9),13.36,R
396,397.,Rabbit Maranville+ (23),13.33,R
397,398.,Horace Clarke (10),13.30,B
398,399.,Sid Farrar (8),13.28,
399,400.,Duane Kuiper (12),13.25,L
400,401.,Eric Young Sr. (15),13.24,R
401,402.,Taylor Douthit (11),13.23,R
402,403.,Tony Boeckel (6),13.21,R
403,404.,Ed Andrews (8),13.20,R
404,405.,Paul Lo Duca (11),13.19,R
405,405.,Andy Pafko (17),13.19,R
406,407.,Walker Cooper (18),13.17,R
407,408.,Hank Majeski (13),13.16,R
408,408.,Pinky Whitney (12),13.16,R
409,410.,Deacon McGuire (26),13.14,R
410,411.,Tim McCarver (21),13.10,L
411,412.,Charley O'Leary (11),13.09,R
412,413.,Ozzie Guillen (16),13.08,L
413,414.,Spud Davis (16),13.05,R
414,414.,Joe Kuhel (18),13.05,L
415,416.,Fred Pfeffer (16),13.04,R
416,417.,Kitty Bransfield (12),13.02,R
417,417.,Jack Smith (15),13.02,L
418,419.,Dick Egan (9),13.00,R
419,420.,Jack Clements (17),12.99,L
420,420.,Rennie Stennett (11),12.99,R
421,422.,Johnny Kling (13),12.98,R
422,423.,Buddy Kerr (9),12.97,R
423,424.,Bucky Dent (12),12.93,R
424,424.,Bill Madlock (15),12.93,R
425,426.,Joe Dugan (14),12.91,R
426,427.,Cookie Rojas (16),12.90,R
427,428.,George Stovall (12),12.86,R
428,429.,George Burns (15),12.82,R
429,430.,Art Devlin (10),12.79,R
430,431.,Rollie Hemsley (19),12.78,R
431,432.,Terry Moore (11),12.77,R
432,432.,John Stone (11),12.77,L
433,434.,Buck Weaver (9),12.76,B
434,435.,John Titus (11),12.75,L
435,436.,Charlie Dexter (8),12.73,R
436,437.,Mike Greenwell (12),12.70,L
437,438.,Hardy Richardson (14),12.68,R
438,439.,Jim Bottomley+ (16),12.64,L
439,440.,Solly Hofman (14),12.61,R
440,441.,Mark Grace (16),12.56,L
441,442.,Wally Pipp (15),12.55,L
442,443.,Frank Malzone (12),12.51,R
443,443.,Ted Simmons+ (21),12.51,B
444,445.,Ossie Bluege (18),12.50,R
445,446.,Jack Boyle (13),12.47,R
446,447.,Chuck Klein+ (17),12.45,L
447,448.,Tony Cuccinello (15),12.44,R
448,448.,Pete Hotaling (9),12.44,L
449,448.,Nemo Leibold (13),12.44,L
450,451.,Mike Donlin (12),12.39,L
451,452.,Billy Rogell (14),12.38,B
452,453.,Socks Seybold (9),12.37,R
453,454.,Jim Gantner (17),12.35,L
454,455.,Wade Boggs+ (18),12.32,L
455,455.,Harry Steinfeldt (14),12.32,R
456,457.,Billy Gilbert (8),12.30,R
457,457.,Johnny Mize+ (15),12.30,L
458,459.,Doc Johnston (11),12.29,L
459,459.,Pete Rose (24),12.29,B
460,461.,Jack Fournier (15),12.28,L
461,461.,Joe Gerhardt (15),12.28,R
462,461.,Heinie Zimmerman (13),12.28,R
463,464.,Earl Averill+ (13),12.26,L
464,465.,Joe Tinker+ (15),12.25,R
465,466.,Gary Disarcina (12),12.24,R
466,467.,Red Dooin (15),12.21,R
467,467.,Chippy McGarr (10),12.21,R
468,469.,Dick Bartell (18),12.17,R
469,470.,Damaso Garcia (11),12.16,R
470,471.,Davy Jones (15),12.14,L
471,472.,Jack Barry (11),12.12,R
472,473.,Jimmy McAleer (13),12.10,R
473,474.,Billy Urbanski (7),12.09,R
474,475.,Al Myers (8),12.08,R
475,476.,David Eckstein (10),12.06,R
476,477.,Bobby Byrne (11),12.05,R
477,477.,Mike Tresh (12),12.05,R
478,479.,Doug Flynn (11),12.04,R
