,Rank,"Player (yrs, age)",Games Started,Throws
370,368.,Frank Lary (12),292,R
371,372.,Bob Ojeda (15),291,L
372,372.,Zane Smith (13),291,L
373,374.,Joe Horlen (12),290,R
374,374.,"Ian Kennedy (14, 35)",290,R
375,376.,Deacon Phillippe (13),289,R
376,377.,Bob Groom (10),288,R
377,377.,Ismael Valdez (12),288,R
378,379.,Doc Medich (11),287,R
379,379.,Joe Nuxhall (16),287,L
380,379.,Chan Ho Park (17),287,R
381,379.,Jack Taylor (10),287,R
382,383.,Doug Davis (13),286,L
383,383.,Harvey Haddix (14),286,L
384,383.,Denny Neagle (13),286,L
385,383.,Gary Peters (14),286,L
386,383.,Johnny Vander Meer (13),286,L
387,388.,Andy Ashby (14),285,R
388,388.,Randy Jones (10),285,L
389,390.,Matt Garza (12),284,R
390,390.,Carl Pavano (14),284,R
391,390.,Johan Santana (12),284,L
392,393.,Mark Portugal (15),283,R
393,393.,Milt Wilcox (16),283,R
394,395.,Harry Howell (13),282,R
395,395.,Ken Raffensberger (15),282,L
396,397.,Shawn Estes (13),281,L
397,397.,Mike Garcia (14),281,R
398,399.,Curt Davis (13),280,R
399,399.,John Smiley (12),280,L
400,401.,Nelson Briles (14),279,R
401,401.,Pat Dobson (11),279,R
402,401.,Sid Hudson (12),279,R
403,401.,Jeff Pfeffer (13),279,R
404,405.,Ed Brandt (11),278,L
405,405.,Sidney Ponson (12),278,R
406,405.,Shane Reynolds (13),278,R
407,405.,Schoolboy Rowe (15),278,R
408,409.,Clarence Mitchell (18),277,L
409,409.,Howie Pollet (14),277,L
410,409.,Dave Roberts (13),277,L
411,409.,Bob Tewksbury (13),277,R
412,409.,Jason Vargas (14),277,L
413,414.,Matt Morris (11),276,R
414,414.,Bob Purkey (13),276,R
415,416.,Mark Gardner (13),275,R
416,416.,Jack McDowell (12),275,R
417,416.,"Jordan Zimmermann (12, 34)",275,R
418,419.,Nap Rucker (10),274,L
419,419.,Jeff Weaver (11),274,R
420,421.,Joe Dobson (14),273,R
421,421.,Dick Donovan (15),273,R
422,421.,Jeremy Guthrie (13),273,R
423,421.,Dutch Leonard (11),273,L
424,421.,Bill Sherdel (15),273,L
425,421.,"Edinson Volquez (15, 36)",273,R
426,421.,Jake Westbrook (13),273,R
427,428.,Steve Barber (15),272,L
428,428.,Si Johnson (17),272,R
429,428.,Thornton Lee (16),272,L
430,428.,Dutch Ruether (11),272,L
431,432.,Rick Mahler (13),271,R
432,432.,Fred Toney (12),271,R
433,434.,Tim Lincecum (10),270,R
434,434.,Eric Milton (11),270,L
435,434.,Tully Sparks (12),270,R
436,434.,Geoff Zahn (13),270,L
437,438.,Milt Gaston (11),269,R
438,438.,Jose Rijo (14),269,R
439,438.,Steve Stone (11),269,R
440,438.,Greg Swindell (17),269,L
441,438.,Stump Weidman (9),269,R
442,443.,Johnny Antonelli (12),268,L
443,443.,Frank Castillo (13),268,R
444,443.,Jack Coombs (14),268,R
445,443.,Larry Corcoran (8),268,R
446,443.,Ray Culp (11),268,R
447,443.,Rick Honeycutt (21),268,L
448,443.,Fred Norman (16),268,L
449,443.,Pedro Ramos (15),268,R
450,451.,Pete Donohue (12),267,R
451,451.,Tommy Thomas (12),267,R
452,451.,Lefty Tyler (12),267,L
453,454.,Cy Falkenberg (12),266,R
454,454.,Kid Gleason (22),266,R
455,454.,Russ Ortiz (12),266,R
456,454.,Brett Tomko (14),266,R
457,458.,Jack Fisher (11),265,R
458,459.,Jose DeLeon (13),264,R
459,459.,Bob Ewing (11),264,R
460,459.,Dave Goltz (12),264,R
461,459.,Denny McLain (10),264,R
462,463.,Wilson Alvarez (14),263,L
463,463.,Vern Kennedy (12),263,R
464,463.,Bill Monbouquette (11),263,R
465,463.,Joel Pineiro (12),263,R
466,463.,Wandy Rodriguez (11),263,L
467,463.,John Tudor (12),263,L
468,469.,Nig Cuppy (10),262,R
469,469.,Earl Hamilton (14),262,L
470,469.,Jim Maloney (12),262,R
471,469.,John Ward+ (17),262,R
472,473.,Elden Auker (10),261,R
473,473.,Steve Avery (11),261,L
474,473.,Larry Benton (13),261,R
475,473.,Alex Fernandez (10),261,R
476,473.,Larry Gura (16),261,L
477,473.,George Mogridge (15),261,L
478,473.,Preacher Roe (12),261,L
479,480.,Bill Hands (11),260,R
480,480.,Addie Joss+ (9),260,R
481,482.,Ray Caldwell (12),259,R
482,482.,Van Mungo (14),259,R
483,482.,Bob Walk (14),259,R
484,485.,Denny Galehouse (15),258,R
485,485.,"Charlie Morton (13, 36)",258,R
486,485.,Harry Staley (8),258,R
487,488.,Kid Carsey (10),257,R
488,488.,Claude Hendrix (10),257,R
489,488.,Ralph Terry (12),257,R
490,491.,Paul Byrd (14),256,R
491,491.,Mike Pelfrey (12),256,R
492,493.,"Jake Arrieta (11, 34)",255,R
493,493.,Vic Raschi (10),255,R
494,493.,Jim Rooker (13),255,L
495,493.,Bryn Smith (13),255,R
496,493.,Frank Smith (11),255,R
497,493.,Bob Veale (13),255,L
498,499.,Jim Abbott (10),254,L
499,500.,Jim Deshaies (12),253,L
500,500.,Bill Dietrich (16),253,R
501,502.,Jim Barr (12),252,R
502,502.,Joe Blanton (13),252,R
503,502.,Moose Haas (12),252,R
504,502.,Brian Moehler (14),252,R
505,502.,Brett Myers (12),252,R
506,507.,George Blaeholder (11),251,R
507,508.,Alex Kellner (12),250,L
508,508.,Frank Kitson (10),250,R
509,508.,Paul Maholm (10),250,L
510,508.,Ben Sheets (10),250,R
511,512.,George Earnshaw (9),249,R
512,512.,Andy Hawkins (10),249,R
513,512.,Denny Lemaster (11),249,L
514,512.,"Wade Miley (10, 33)",249,L
515,512.,Eddie Rommel (13),249,R
516,517.,Miguel Batista (18),248,R
517,517.,Ray Benge (12),248,R
518,517.,Jamey Wright (19),248,R
519,520.,Tony Cloninger (12),247,R
520,520.,John Danks (10),247,L
521,520.,Ray Kremer (10),247,R
522,520.,Gary Nolan (10),247,R
523,520.,"Jose Quintana (9, 31)",247,L
524,525.,Chris Bosio (11),246,R
525,525.,Bruce Kison (15),246,R
526,525.,Fritz Ostermueller (15),246,L
527,528.,Brian Anderson (13),245,L
528,528.,"Homer Bailey (14, 34)",245,R
529,528.,Juan Pizarro (18),245,L
530,528.,Rick Reed (15),245,R
531,528.,Johnny Sain (11),245,R
532,528.,Don Wilson (9),245,R
533,534.,John Montefusco (13),244,R
534,534.,George Zettlein (6),244,R
535,536.,Mike LaCoss (14),243,R
536,536.,Gil Meche (10),243,R
537,536.,Rip Sewell (13),243,R
538,539.,Jeff Fassero (16),242,L
539,539.,Kirk McCaskill (12),242,R
540,539.,Carl Morton (8),242,R
541,542.,Johnny Allen (13),241,R
542,542.,Candy Cummings+ (6),241,R
543,542.,Ken Forsch (16),241,R
544,542.,Bobby Jones (10),241,R
545,542.,Toad Ramsey (6),241,L
546,542.,Jorge De La Rosa (15),241,L
547,542.,"Jeff Samardzija (13, 35)",241,R
548,542.,"Stephen Strasburg (11, 31)",241,R
549,550.,Harry Brecheen (12),240,L
550,550.,Juan Guzman (10),240,R
551,550.,Bob Harmon (9),240,R
552,550.,Dick Rudolph (13),240,R
553,550.,Herm Wehmeier (13),240,R
554,555.,Jim Bibby (12),239,R
555,555.,Mort Cooper (11),239,R
556,555.,Storm Davis (13),239,R
557,555.,Clay Kirby (8),239,R
558,555.,Pat Rapp (10),239,R
559,555.,Willie Sudhoff (10),239,R
560,561.,Erik Hanson (11),238,R
561,561.,Kirby Higbe (12),238,R
562,561.,Jim O'Toole (10),238,L
563,561.,Casey Patten (8),238,L
564,561.,Chuck Stobbs (15),238,L
565,566.,Howie Camnitz (11),237,R
566,566.,Larry Jansen (9),237,R
567,566.,Dick McBride (6),237,R
568,566.,Vicente Padilla (14),237,R
569,566.,Dummy Taylor (9),237,R
570,566.,Bob Turley (12),237,R
