,Rank,"Player (yrs, age)",Sit. Wins Saved (WPA/LI),Throws
629,628.,"AJ Ramos (8, 33)",3.88,R
630,631.,Francisco Cordova (5),3.87,R
631,631.,Ramon Ramirez (9),3.87,R
632,633.,"Jake McGee (11, 33)",3.86,L
633,633.,Hal Reniff (7),3.86,R
634,635.,Jim Corsi (10),3.84,R
635,635.,Marty Pattin (13),3.84,R
636,637.,Kerry Ligtenberg (8),3.83,R
637,637.,Geoff Zahn (13),3.83,L
638,639.,Steve Busby (8),3.82,R
639,639.,Bill Campbell (15),3.82,R
640,639.,Earl Hamilton (14),3.82,L
641,642.,Phil Douglas (9),3.81,R
642,642.,Doug Fister (10),3.81,R
643,644.,Steve Avery (11),3.80,L
644,644.,Jeff Fassero (16),3.80,L
645,646.,Herb Score (8),3.79,L
646,647.,Guillermo Mota (14),3.78,R
647,648.,"Pedro Baez (7, 32)",3.74,R
648,648.,Chad Billingsley (9),3.74,R
649,650.,Hod Eller (5),3.72,R
650,651.,Dick Hughes (3),3.71,R
651,651.,Sam Zoldak (9),3.71,L
652,653.,Jim Mecir (11),3.70,R
653,653.,Jose Rosado (5),3.70,L
654,655.,Tim Lincecum (10),3.69,R
655,656.,Heath Bell (11),3.68,R
656,656.,"Eduardo Rodriguez (5, 27)",3.68,L
657,658.,"Jhoulys Chacin (12, 32)",3.67,R
658,659.,Hal Brown (14),3.66,R
659,659.,Ted Lilly (15),3.66,L
660,659.,Al Worthington (14),3.66,R
661,662.,Ben Cantwell (11),3.63,R
662,662.,"Brad Hand (10, 30)",3.63,L
663,662.,Joel Peralta (12),3.63,R
664,665.,Joe Hoerner (14),3.61,L
665,666.,John Fulgham (2),3.60,R
666,666.,Carlos Marmol (9),3.60,R
667,668.,Jeff Brantley (14),3.59,R
668,668.,"Zach Davies (6, 27)",3.59,R
669,668.,"Mike Soroka (3, 22)",3.59,R
670,671.,Chad Cordero (7),3.58,R
671,672.,Mark Portugal (15),3.57,R
672,673.,Shigetoshi Hasegawa (9),3.55,R
673,674.,Steve Swetonic (6),3.54,R
674,675.,Matt Guerrier (11),3.53,R
675,675.,Bruce Hurst (15),3.53,L
676,677.,"Chris Archer (8, 31)",3.52,R
677,677.,Pedro Borbon (12),3.52,R
678,677.,Lloyd Brown (12),3.52,L
679,677.,"Tanner Roark (8, 33)",3.52,R
680,681.,Wilcy Moore (6),3.51,R
681,681.,Jerry Reuss (22),3.51,L
682,681.,"Nick Vincent (9, 33)",3.51,R
683,684.,"Chad Green (5, 29)",3.50,R
684,684.,Ramon Hernandez (9),3.50,L
685,686.,"Hector Rondon (8, 32)",3.49,R
686,687.,Stan Belinda (12),3.48,R
687,688.,Akinori Otsuka (4),3.47,R
688,689.,Clay Bryant (6),3.46,R
689,689.,Randy Jones (10),3.46,L
690,691.,Ray Starr (7),3.44,R
691,692.,Alberto Reyes (13),3.43,R
692,693.,Gary Lucas (8),3.42,L
693,693.,Rube Marquard+ (18),3.42,L
694,695.,Jason Motte (9),3.40,R
695,695.,Hideki Okajima (6),3.40,L
696,697.,Greg Harris (15),3.39,R
697,698.,Sam Jones (12),3.36,R
698,698.,Sean Marshall (9),3.36,L
699,700.,Joe Nuxhall (16),3.35,L
700,701.,Chien-Ming Wang (9),3.34,R
701,702.,Bob Apodaca (5),3.33,R
702,702.,"Lance McCullers Jr. (5, 26)",3.33,R
703,702.,Kris Medlen (8),3.33,R
704,705.,George Blaeholder (11),3.30,R
705,705.,Dan Wheeler (13),3.30,R
706,705.,"Alex Wood (8, 29)",3.30,L
707,708.,Bob Smith (15),3.29,R
708,708.,Ernie White (7),3.29,L
709,708.,Alex Wilson (7),3.29,R
710,708.,"Ryan Yarbrough (3, 28)",3.29,L
711,712.,Murry Dickson (18),3.28,R
712,712.,Scott McGregor (13),3.28,L
713,714.,Chris Short (15),3.27,L
714,715.,"Carl Edwards Jr. (6, 28)",3.26,R
715,715.,Tom Hall (10),3.26,L
716,715.,Alexi Ogando (8),3.26,R
717,718.,Howie Krist (6),3.25,R
718,718.,Ervin Santana (15),3.25,R
719,720.,"Luis Avilan (9, 30)",3.24,L
720,720.,Steve Kline (11),3.24,L
721,720.,"German Marquez (5, 25)",3.24,R
722,723.,J.P. Howell (12),3.23,L
723,724.,Mark Wohlers (12),3.22,R
724,725.,Art Fowler (9),3.21,R
725,725.,Steve Kline (6),3.21,R
726,725.,Andy McGaffigan (11),3.21,R
727,725.,Ricardo Rincon (11),3.21,L
728,729.,Rawly Eastwick (8),3.20,R
729,730.,Jim Barr (12),3.19,R
730,731.,Mel Rojas (10),3.18,R
731,732.,Bill Lohrman (9),3.17,R
732,733.,Roberto Hernandez (17),3.14,R
733,734.,Darold Knowles (16),3.12,L
734,735.,Howard Ehmke (15),3.11,R
735,735.,"Adam Warren (8, 32)",3.11,R
736,735.,John Whitehead (7),3.11,R
737,738.,Eddie Guardado (17),3.10,L
738,739.,Ray Fisher (10),3.09,R
739,740.,Bill Bevens (4),3.08,R
740,740.,Ray Caldwell (12),3.08,R
741,742.,Russ Christopher (7),3.07,R
742,742.,"Andrew Miller (15, 35)",3.07,L
743,744.,Randy Choate (15),3.06,L
744,745.,Eddie Smith (10),3.05,L
745,746.,Marv Breuer (5),3.04,R
746,746.,"Jeremy Jeffress (11, 32)",3.04,R
747,746.,Jeff Lahti (5),3.04,R
748,746.,Bob Ojeda (15),3.04,L
749,750.,Jack Scott (12),3.03,R
750,751.,Danny Salazar (6),3.02,R
751,752.,Jonny Venters (5),3.01,L
752,753.,Ismael Valdez (12),3.00,R
753,753.,Butch Wensloff (3),3.00,R
754,755.,Jim Bibby (12),2.99,R
755,755.,LaMarr Hoyt (8),2.99,R
756,757.,"Danny Duffy (10, 31)",2.98,L
757,757.,"Michael Fulmer (4, 27)",2.98,R
758,757.,"Emilio Pagan (4, 29)",2.98,R
759,760.,Bill Dawley (7),2.97,R
760,761.,"Brandon Kintzler (11, 35)",2.96,R
761,762.,"Miles Mikolas (5, 31)",2.95,R
762,763.,Daniel Bard (6),2.94,R
763,764.,Connie Marrero (5),2.93,R
764,765.,"Jared Hughes (10, 34)",2.92,R
765,766.,Ed Halicki (7),2.91,R
766,766.,Edward Mujica (11),2.91,R
767,768.,Hi Bell (8),2.90,R
768,768.,Juan Rincon (10),2.90,R
769,770.,Josh Fields (6),2.89,R
770,770.,"Seth Lugo (5, 30)",2.89,R
771,772.,"Giovanny Gallegos (4, 28)",2.86,R
772,772.,Rich Garces (10),2.86,R
773,772.,"Keone Kela (6, 27)",2.86,R
774,775.,Denny McLain (10),2.84,R
775,775.,Jim Rooker (13),2.84,L
776,777.,Chris Young (13),2.83,R
777,778.,Joe Benz (9),2.81,R
778,778.,"Andrew Chafin (7, 30)",2.81,L
779,778.,Woody Williams (15),2.81,R
780,781.,Harry Harper (10),2.80,L
781,781.,Enrique Romo (6),2.80,R
782,783.,Bobby Bolin (13),2.79,R
783,783.,Josh Collmenter (7),2.79,R
784,785.,Scott Baker (10),2.77,R
785,785.,Cal Eldred (14),2.77,R
786,785.,Bob Patterson (13),2.77,L
787,785.,"Ryan Tepera (6, 32)",2.77,R
788,789.,Don Aase (13),2.76,R
789,790.,A.J. Burnett (17),2.75,R
790,791.,Bob Shaw (11),2.74,R
791,791.,"Zack Wheeler (6, 30)",2.74,R
792,793.,Santiago Casilla (15),2.73,R
793,793.,"Zach Plesac (2, 25)",2.73,R
794,793.,Brian Wilson (9),2.73,R
795,796.,Jack Kramer (12),2.72,R
796,796.,Jake Miller (9),2.72,L
797,798.,Gary Gentry (7),2.71,R
798,798.,"Trevor Rosenthal (8, 30)",2.71,R
799,798.,Monte Weaver (9),2.71,R
800,801.,Fernando Rodney (17),2.70,R
801,802.,"Jose Leclerc (5, 26)",2.69,R
802,802.,Al McBean (10),2.69,R
803,804.,"Brad Brach (10, 34)",2.68,R
804,804.,Billy Taylor (7),2.68,R
805,806.,Fred Newman (6),2.67,R
806,806.,Sammy Stewart (10),2.67,R
807,808.,"Jerry Blevins (13, 36)",2.66,L
808,808.,"Brandon Morrow (12, 35)",2.66,R
809,810.,Ray Narleski (6),2.65,R
810,811.,Larry Christenson (11),2.64,R
811,811.,Wade Miller (9),2.64,R
812,811.,Shane Reynolds (13),2.64,R
813,814.,John Buzhardt (11),2.63,R
814,815.,"Al Alburquerque (7, 34)",2.62,R
815,815.,"Brett Anderson (12, 32)",2.62,L
816,815.,Erik Bedard (11),2.62,L
817,815.,Johnny Cooney (20),2.62,L
818,815.,Aurelio Lopez (11),2.62,R
819,820.,Carl Erskine (12),2.61,R
820,821.,Lance McCullers (7),2.59,R
821,822.,Craig Lefferts (12),2.58,L
822,822.,Tippy Martinez (14),2.58,L
823,822.,Mike Perez (8),2.58,R
824,825.,Hal Carlson (14),2.57,R
825,825.,Randy Moffitt (12),2.57,R
826,827.,Jack Kralick (9),2.56,L
827,828.,Elden Auker (10),2.54,R
828,829.,Art Reinhart (5),2.52,L
829,829.,Jim Weaver (8),2.52,R
830,831.,"Matt Harvey (8, 31)",2.51,R
831,831.,Peter Moylan (12),2.51,R
832,831.,"Garrett Richards (10, 32)",2.51,R
833,831.,Joel Zumaya (5),2.51,R
834,835.,Brandon Beachy (5),2.50,R
835,835.,Claude Hendrix (10),2.50,R
836,835.,Ramiro Mendoza (10),2.50,R
837,835.,Rick Sutcliffe (18),2.50,R
838,835.,Vito Tamulis (6),2.50,L
839,840.,Russ Bauers (8),2.49,R
840,840.,"Alex Claudio (7, 28)",2.49,L
841,842.,"Matt Shoemaker (8, 33)",2.48,R
842,842.,Al Smith (12),2.48,L
843,842.,Michael Wuertz (8),2.48,R
844,845.,Rip Collins (11),2.47,R
845,845.,Tommy de la Cruz (1),2.47,R
846,847.,Todd Frohwirth (9),2.46,R
847,848.,Skip Lockwood (13),2.45,R
848,848.,T.J. Mathews (8),2.45,R
849,848.,Elias Sosa (12),2.45,R
850,848.,Hank Wyse (8),2.45,R
851,852.,Matt Capps (8),2.43,R
852,853.,Steve Mingori (10),2.42,L
853,854.,"Edwin Diaz (5, 26)",2.41,R
854,854.,Dave Goltz (12),2.41,R
855,854.,Bob Grim (8),2.41,R
856,854.,Tom Wilhelmsen (7),2.41,R
857,858.,"Tony Gonsolin (2, 26)",2.38,R
858,858.,Ken Holtzman (15),2.38,L
859,858.,Jim Merritt (11),2.38,L
860,858.,Ray Washburn (10),2.38,R
861,862.,Ernie Broglio (8),2.37,R
862,862.,Gene Thompson (6),2.37,R
863,864.,Ken Hill (14),2.36,R
864,864.,Bill McGee (8),2.36,R
865,866.,José Contreras (11),2.34,R
866,866.,"Jameson Taillon (4, 28)",2.34,R
867,868.,Grant Jackson (18),2.33,L
868,869.,Arnold Carter (2),2.32,L
869,869.,"Zac Gallen (2, 24)",2.32,R
870,869.,"Cory Gearrin (9, 34)",2.32,R
871,869.,George Kontos (8),2.32,R
872,869.,Kevin Siegrist (5),2.32,L
873,874.,Shawn Kelley (11),2.30,R
874,874.,Dickey Kerr (4),2.30,L
875,874.,Johnny Lanning (11),2.30,R
876,877.,Seunghwan Oh (4),2.29,R
877,878.,Marv Grissom (10),2.28,R
878,878.,Jim Roland (10),2.28,L
879,880.,"Ryan Buchter (6, 33)",2.27,L
880,880.,Addison Reed (8),2.27,R
881,880.,"Anibal Sanchez (15, 36)",2.27,R
882,883.,Tom Brewer (8),2.26,R
883,883.,"Max Fried (4, 26)",2.26,L
884,883.,Jarrod Parker (3),2.26,R
885,886.,"Hector Neris (7, 31)",2.25,R
886,887.,"John Brebbia (3, 30)",2.24,R
887,887.,Paul Foytack (11),2.24,R
888,887.,Sam LeCure (6),2.24,R
889,887.,Mark Littell (9),2.24,R
890,891.,"Diego Castillo (3, 26)",2.23,R
891,891.,Scott Kazmir (12),2.23,L
892,893.,Bob Humphreys (9),2.22,R
893,893.,Mike Magnante (12),2.22,L
894,893.,Gordon Maltzberger (4),2.22,R
895,893.,Wes Stock (9),2.22,R
896,893.,Bill Wegman (11),2.22,R
897,898.,"Jose Berrios (5, 26)",2.21,R
898,898.,Heinie Meine (7),2.21,R
899,898.,Todd Stottlemyre (14),2.21,R
900,901.,Cecilio Guante (9),2.20,R
901,901.,"Blake Parker (8, 35)",2.20,R
902,903.,Burke Badenhop (8),2.19,R
903,903.,Juan Berenguer (15),2.19,R
904,903.,Mike Proly (7),2.19,R
905,906.,Garland Braxton (10),2.18,L
906,907.,"Daniel Hudson (11, 33)",2.17,R
907,908.,Ray Herbert (14),2.15,R
908,908.,Jack Sanford (12),2.15,R
909,910.,"Sean Manaea (5, 28)",2.14,L
910,910.,Felix Rodriguez (11),2.14,R
911,910.,Rosy Ryan (10),2.14,R
912,913.,Wally Bunker (9),2.13,R
913,913.,Dan Petry (13),2.13,R
914,915.,"Nick Anderson (2, 29)",2.12,R
915,915.,"Archie Bradley (6, 27)",2.12,R
916,917.,Brandon League (11),2.11,R
917,917.,Dutch Leonard (11),2.11,L
918,917.,Dave Tobik (8),2.11,R
919,920.,Luis Aquino (9),2.10,R
920,920.,Mike Gonzalez (11),2.10,L
921,920.,Jeff Gray (3),2.10,R
922,920.,Earl Johnson (8),2.10,L
923,924.,Luis DeLeon (7),2.08,R
924,924.,"Aaron Loup (9, 32)",2.08,L
925,924.,Tommy Thomas (12),2.08,R
926,927.,Ed Durham (5),2.07,R
927,927.,Bruce Kison (15),2.07,R
928,929.,Todd Burns (6),2.05,R
929,929.,Stew Cliburn (3),2.05,R
930,929.,Harry Eisenstat (8),2.05,L
931,929.,Les Mueller (2),2.05,R
932,929.,Pat Perry (6),2.05,L
933,934.,Manny Sarmiento (7),2.04,R
934,935.,David Riske (11),2.03,R
935,935.,Alex Torres (4),2.03,L
936,937.,Rob Murphy (11),2.02,L
937,937.,Elmer Riddle (10),2.02,R
938,937.,"Brent Suter (5, 30)",2.02,L
939,940.,"Ronald Belisario (6, 37)",2.00,R
940,941.,Joba Chamberlain (10),1.99,R
941,941.,Dan Schatzeder (15),1.99,L
942,943.,Tom Ferrick (9),1.98,R
943,943.,Scott Sanderson (19),1.98,R
944,943.,"Caleb Thielbar (4, 33)",1.98,L
945,946.,Hector Carrasco (12),1.97,R
946,946.,Tom Gorman (8),1.97,R
947,946.,Ed Klieman (8),1.97,R
948,946.,Bill Landrum (8),1.97,R
949,946.,Carson Smith (5),1.97,R
950,951.,Jason Christiansen (11),1.95,L
951,951.,Mike Remlinger (14),1.95,L
952,951.,Justin Speier (12),1.95,R
953,951.,Scott Strickland (7),1.95,R
954,955.,Sam Dyson (8),1.94,R
955,955.,Jeff Russell (14),1.94,R
956,957.,Chuck Crim (8),1.93,R
957,957.,"Scott Oberg (5, 30)",1.93,R
958,959.,Dallas Braden (5),1.92,L
959,959.,"Nate Jones (9, 34)",1.92,R
960,959.,Dick Rudolph (13),1.92,R
961,962.,Manny Corpas (7),1.91,R
962,963.,Danny Patterson (9),1.90,R
963,964.,Brandon Lyon (12),1.88,R
964,964.,"Reyes Moronta (3, 27)",1.88,R
965,966.,"Kirby Yates (7, 33)",1.87,R
966,967.,Dennis Lamp (16),1.86,R
967,967.,"Julio Urias (5, 23)",1.86,L
968,969.,Victor Cruz (5),1.85,R
969,969.,Atley Donald (8),1.85,R
970,969.,"Arodys Vizcaino (7, 29)",1.85,R
971,972.,Ryan Cook (6),1.84,R
972,972.,Terry Fox (7),1.84,R
973,972.,Lou Pote (5),1.84,R
974,972.,Mike Sirotka (6),1.84,L
975,976.,Hugh McQuillan (10),1.83,R
976,977.,Bill Caudill (9),1.82,R
977,977.,Billy McCool (7),1.82,L
978,979.,"Jake Diekman (9, 33)",1.81,L
979,979.,Ad Liska (5),1.81,R
980,979.,Roy Parmelee (10),1.81,R
981,982.,Scott Atchison (9),1.80,R
982,982.,Johnny Beazley (6),1.80,R
983,982.,Bill Dailey (4),1.80,R
984,982.,"Tommy Hunter (13, 33)",1.80,R
985,986.,Joe Black (6),1.79,R
986,986.,Dave Ferriss (6),1.79,R
987,988.,Greg Harris (8),1.78,R
988,988.,Brian Holman (4),1.78,R
989,990.,"Chris Bassitt (6, 31)",1.77,R
990,990.,Mike Koplove (7),1.77,R
991,990.,Jim McAndrew (7),1.77,R
992,993.,Eric King (7),1.76,R
993,993.,"Craig Stammen (11, 36)",1.76,R
994,993.,Ron Taylor (11),1.76,R
995,996.,Dave Burba (15),1.75,R
996,996.,Louis Coleman (7),1.75,R
997,996.,"Yimi Garcia (6, 29)",1.75,R
998,999.,Jeff Innis (7),1.74,R
