,Rank,"Player (yrs, age)",Base-Out Runs Added (RE24),Bats
408,409.,Pete Reiser (10),152.355,L
409,410.,Edgardo Alfonzo (12),152.025,R
410,411.,"Nick Markakis (15, 36)",151.902,L
411,412.,Ben Oglivie (16),151.576,L
412,413.,Pepper Martin (13),151.440,R
413,414.,Ben Zobrist (14),151.092,B
414,415.,Bobby Thomson (15),150.612,R
415,416.,"George Springer (7, 30)",150.587,R
416,417.,Tino Martinez (16),150.280,L
417,418.,Charlie Maxwell (14),150.002,L
418,419.,Max Bishop (12),149.840,L
419,420.,Matt Williams (17),149.609,R
420,421.,Sam West (16),148.371,L
421,422.,Johnny Pesky (10),147.500,L
422,423.,Bing Miller (16),147.112,R
423,424.,Tommy Davis (18),146.813,R
424,425.,Billy Goodman (16),146.804,L
425,426.,"Carlos Gonzalez (12, 34)",146.716,L
426,427.,Ichiro Suzuki (19),146.667,L
427,428.,Harvey Kuenn (15),146.386,R
428,429.,Sam Rice+ (20),146.347,L
429,430.,Troy Glaus (13),146.242,R
430,431.,Lu Blue (13),145.465,B
431,432.,Tommy Holmes (11),145.396,L
432,433.,"Yoenis Céspedes (8, 34)",145.267,R
433,434.,Bob Skinner (12),145.236,L
434,435.,Jose Reyes (16),144.624,B
435,436.,Whitey Kurowski (9),144.310,R
436,437.,Cal Ripken Jr.+ (21),143.616,R
437,438.,Don Hurst (7),143.321,L
438,439.,Alfonso Soriano (16),143.209,R
439,440.,High Pockets Kelly+ (16),142.865,R
440,441.,"Dustin Pedroia (14, 36)",142.737,R
441,442.,Hank Thompson (9),142.297,L
442,443.,Lonny Frey (14),141.899,L
443,444.,Carl Everett (14),141.592,B
444,445.,Carl Crawford (15),141.552,L
445,446.,Sixto Lezcano (12),141.359,R
446,447.,Cecil Fielder (13),140.929,R
447,448.,Geoff Jenkins (11),140.924,L
448,449.,Bibb Falk (12),140.815,L
449,450.,Greg Vaughn (15),139.864,R
450,451.,J.T. Snow (16),139.816,L
451,452.,Alan Trammell+ (20),139.658,R
452,453.,George Burns (16),139.580,R
453,454.,Davey Lopes (16),138.741,R
454,455.,Thurman Munson (11),138.297,R
455,456.,Joe Kuhel (18),137.604,L
456,457.,Floyd Robinson (9),137.328,L
457,458.,Adam LaRoche (12),136.797,L
458,459.,Wes Covington (11),136.200,L
459,460.,Spud Davis (16),135.865,R
460,461.,Johnny Grubb (16),134.824,L
461,462.,"Brandon Belt (10, 32)",134.198,L
462,463.,Kevin Seitzer (12),133.513,R
463,464.,Bernie Carbo (12),133.298,L
464,465.,Tom Tresh (9),133.161,B
465,466.,Tito Francona (15),132.531,L
466,467.,Jose Vidro (12),131.967,B
467,468.,Chuck Knoblauch (12),131.521,R
468,469.,Grady Sizemore (10),131.268,L
469,470.,Jim Northrup (12),131.170,L
