,Rank,"Player (yrs, age)",Plate Appearances,Bats
669,669.,Bill Skowron (14),6047,R
670,671.,Earl Torgeson (15),6046,L
671,672.,Art Fletcher (13),6045,R
672,673.,Hardy Richardson (14),6044,R
673,674.,Charlie Comiskey+ (13),6040,R
674,675.,Kevin McReynolds (12),6039,R
675,675.,Johnny Temple (13),6039,R
676,677.,Al Cowens (13),6038,R
677,678.,Lou Bierbauer (13),6034,L
678,678.,Jack Fournier (15),6034,L
679,680.,Bob Meusel (11),6031,R
680,681.,Mickey Rivers (15),6027,L
681,682.,Matt Stairs (19),6024,L
682,683.,Duffy Lewis (11),6016,R
683,684.,Joe Randa (12),6007,R
684,685.,Ed Kranepool (18),5997,L
685,685.,Gus Suhr (11),5997,L
686,687.,Bruce Bochte (12),5994,L
687,688.,Danny Murphy (16),5993,R
688,689.,Scott Fletcher (15),5976,R
689,690.,Tommy Dowd (10),5973,R
690,691.,Vince Coleman (13),5970,B
691,692.,"Freddie Freeman (11, 30)",5965,L
692,693.,Yunel Escobar (11),5957,R
693,694.,Denard Span (11),5956,L
694,695.,Lonnie Smith (17),5952,R
695,696.,"Ian Desmond (11, 34)",5944,R
696,697.,Buddy Lewis (11),5940,L
697,698.,Cecil Fielder (13),5939,R
698,699.,Don Blasingame (12),5938,L
699,700.,Denis Menke (13),5936,R
700,701.,Jay Buhner (15),5927,R
701,702.,Bob Allison (13),5924,R
702,703.,Bill Doran (12),5922,B
703,704.,Billy Rogell (14),5921,B
704,705.,Jose Vizcaino (18),5918,B
705,706.,David DeJesus (13),5916,L
706,707.,Max Flack (12),5912,L
707,708.,Thurman Munson (11),5905,R
708,708.,Terry Steinbach (14),5905,R
709,710.,George Grantham (13),5900,L
710,711.,Carlos Baerga (14),5895,B
711,712.,"Eric Hosmer (10, 30)",5893,L
712,712.,Johnny Logan (13),5893,R
713,712.,Carlos Pena (14),5893,L
714,715.,Rafael Ramirez (13),5887,R
715,716.,Joe Dugan (14),5883,R
716,717.,"Dexter Fowler (13, 34)",5881,B
717,718.,Frank Malzone (12),5869,R
718,719.,Martin Prado (14),5861,R
719,720.,Duff Cooley (13),5860,L
720,721.,Melvin Upton Jr. (12),5858,R
721,722.,Rondell White (15),5852,R
722,723.,Jo-Jo Moore (12),5850,L
723,724.,Mike Sweeney (16),5848,R
724,725.,Roger Maris (12),5847,L
725,726.,Elston Howard (14),5845,R
726,726.,Billy Werber (11),5845,R
727,728.,Danny Tartabull (14),5842,R
728,729.,Jason Varitek (15),5839,B
729,730.,John Titus (11),5838,L
730,731.,Rick Manning (13),5832,L
731,731.,Doug Rader (11),5832,R
732,733.,Wally Gerber (15),5831,R
733,734.,Topsy Hartsel (14),5830,L
734,735.,Leo Durocher+ (17),5829,R
735,736.,Elbie Fletcher (12),5828,L
736,736.,Amos Strunk (17),5828,L
737,738.,Paul Radford (12),5822,R
738,739.,Jimmy Slagle (10),5821,L
739,739.,George Wood (13),5821,L
740,741.,Eddie Miller (14),5818,R
741,742.,Sid Gordon (13),5814,R
742,743.,Del Unser (15),5813,L
743,744.,Jackie Robinson+ (10),5804,R
744,745.,Lyle Overbay (14),5802,L
745,746.,Lance Johnson (14),5800,L
746,746.,Otis Nixon (17),5800,B
747,748.,Tony Gonzalez (12),5794,L
748,748.,Jack O'Connor (21),5794,R
749,750.,Max Bishop (12),5793,L
750,750.,Javy Lopez (15),5793,R
751,752.,Cristian Guzman (11),5785,B
752,753.,Bobby Richardson (12),5783,R
753,754.,Hank Bauer (14),5778,R
754,755.,Tito Francona (15),5777,L
755,756.,Buck Ewing+ (18),5772,R
756,757.,Charlie Hayes (14),5766,R
757,758.,Chase Headley (12),5761,B
758,758.,"Jason Heyward (11, 30)",5761,L
759,760.,"Kurt Suzuki (14, 36)",5757,R
760,761.,Stan Javier (17),5755,B
761,761.,"Daniel Murphy (12, 35)",5755,L
762,763.,Burt Shotton (14),5751,L
763,764.,Hal Trosky (11),5750,L
764,765.,Mickey Tettleton (14),5745,B
765,766.,Heinie Zimmerman (13),5744,R
766,767.,Tommy McCarthy+ (13),5739,R
767,768.,Brian McRae (10),5737,B
768,768.,Richie Zisk (13),5737,R
769,770.,Ken McMullen (16),5731,R
770,771.,Mark Ellis (12),5728,R
771,772.,Chick Stahl (10),5718,L
772,773.,Rick Burleson (13),5717,R
773,774.,Howard Johnson (14),5715,B
774,775.,Jose Vidro (12),5708,B
775,776.,David Eckstein (10),5705,R
776,777.,Alcides Escobar (11),5702,R
777,778.,Ramon Hernandez (15),5701,R
778,779.,Omar Infante (15),5698,R
779,780.,Shoeless Joe Jackson (13),5697,L
780,781.,Doggie Miller (13),5695,R
781,782.,Billy Butler (10),5686,R
782,782.,Jason Thompson (11),5686,L
783,784.,Tillie Walker (13),5679,R
784,785.,Dave Henderson (14),5677,R
785,786.,Red Kress (14),5672,R
786,787.,"Jose Altuve (10, 30)",5668,R
787,788.,Wally Berger (11),5666,R
788,789.,Bobby Higginson (11),5664,L
789,789.,Johnny Ray (10),5664,B
790,791.,Jeff Francoeur (12),5661,R
791,792.,Hughie Jennings+ (18),5648,R
792,792.,Ted Sizemore (12),5648,R
793,794.,Brian Jordan (15),5646,R
794,795.,Sean Casey (12),5644,L
795,796.,Ronnie Belliard (13),5641,R
796,797.,"Chris Davis (13, 34)",5630,L
797,797.,Jimmy Johnston (13),5630,R
798,799.,"Erick Aybar (12, 36)",5628,B
799,800.,George Stovall (12),5626,R
800,801.,Ken Williams (14),5625,L
801,802.,"Paul Goldschmidt (10, 32)",5621,R
802,803.,Al Bumbry (14),5619,L
803,804.,Brandon Inge (13),5617,R
804,805.,Spike Owen (13),5616,B
805,806.,Wid Conroy (11),5615,R
806,807.,Richie Sexson (12),5604,R
807,808.,Sam Chapman (11),5600,R
808,809.,Freddy Parent (12),5592,R
809,810.,Jack Graney (14),5591,L
810,811.,Bones Ely (14),5589,R
811,812.,Del Crandall (16),5584,R
812,813.,Zoilo Versalles (12),5579,R
813,814.,Ned Hanlon+ (13),5577,L
814,815.,Curt Walker (12),5576,L
815,816.,Steve O'Neill (17),5573,R
816,817.,Glenn Beckert (11),5572,R
817,818.,Matt Lawton (12),5570,L
818,819.,Bucky Harris+ (12),5568,R
819,820.,Wally Moon (12),5567,L
820,821.,Tommy Holmes (11),5566,L
821,822.,Jeff Heath (14),5561,L
822,823.,Hack Wilson+ (12),5557,R
823,824.,"Carlos Gonzalez (12, 34)",5551,L
824,825.,Jerry Mumphrey (15),5545,B
825,826.,Ski Melillo (12),5541,R
826,827.,Ezra Sutton (18),5537,R
827,828.,"Kyle Seager (10, 32)",5534,L
828,829.,John Roseboro (14),5529,L
829,830.,Alex Gonzalez (13),5528,R
830,830.,Ken Oberkfell (16),5528,L
831,832.,Gene Tenace (15),5527,R
832,833.,George Case (11),5516,R
833,833.,Bud Harrelson (16),5516,B
834,833.,Johnny Pesky (10),5516,L
835,833.,Walt Weiss (14),5516,B
836,837.,"Mike Trout (10, 28)",5514,R
837,838.,Rollie Hemsley (19),5513,R
838,838.,Dean Palmer (14),5513,R
839,840.,Neifi Perez (12),5510,B
840,841.,Dan Uggla (10),5509,R
841,842.,Dave Collins (16),5507,B
842,843.,Alexei Ramírez (9),5505,R
843,844.,Tony Armas (14),5502,R
844,845.,Bobby Byrne (11),5490,R
845,846.,Craig Counsell (16),5488,L
846,847.,James Loney (11),5487,L
847,848.,Marco Scutaro (13),5486,R
848,848.,Gorman Thomas (13),5486,R
849,850.,Omar Moreno (12),5481,L
850,851.,Terry Puhl (15),5480,L
851,852.,Mickey Stanley (15),5477,R
852,853.,Jeffrey Leonard (14),5476,R
853,853.,Joe Pepitone (12),5476,L
854,855.,Pete Suder (13),5475,R
855,856.,Woody English (12),5470,R
856,857.,Davey Johnson (13),5465,R
857,858.,Ralph Garr (13),5456,L
858,859.,Tommy Griffith (13),5454,L
859,860.,David Segui (15),5451,B
860,861.,Jose Cruz (12),5448,B
861,862.,Mookie Wilson (12),5442,B
862,863.,Jerry Lumpe (12),5441,L
863,864.,Eddie Stanky (11),5439,R
864,865.,Wilbert Robinson+ (17),5433,R
865,866.,Jerry Priddy (11),5428,R
866,867.,Lyn Lary (12),5426,R
867,868.,Andre Ethier (12),5425,L
868,869.,Mike Smith (14),5422,L
869,870.,Terry Kennedy (14),5421,L
870,871.,Hank Sauer (15),5417,R
871,871.,Cecil Travis (12),5417,L
872,873.,"Anthony Rizzo (10, 30)",5416,L
873,874.,Troy Tulowitzki (13),5415,R
874,875.,Orlando Hudson (11),5413,B
875,875.,Fred Luderus (12),5413,L
876,877.,Tommy Henrich (11),5411,L
877,878.,Jim Spencer (15),5409,L
878,879.,Rick Dempsey (24),5407,R
879,879.,Red Rolfe (10),5407,L
880,881.,Gil McDougald (10),5398,R
881,881.,Harold Reynolds (12),5398,B
882,883.,Kitty Bransfield (12),5396,R
883,884.,Carl Everett (14),5395,B
884,885.,Jesse Barfield (12),5394,R
885,886.,Tony Womack (13),5389,L
886,887.,Hod Ford (15),5388,R
887,888.,Roger Bresnahan+ (17),5386,R
888,889.,Manny Sanguillen (13),5383,R
889,890.,Kevin Millar (12),5382,R
890,891.,David Bell (12),5381,R
891,892.,Jacoby Ellsbury (11),5375,L
892,892.,Dick Hoblitzell (11),5375,L
893,894.,Bruce Campbell (13),5370,L
894,895.,Chone Figgins (12),5360,B
895,896.,Kendrys Morales (13),5357,B
896,897.,Don Buford (10),5347,B
897,898.,Bobby Avila (11),5344,R
898,899.,Jack Wilson (12),5339,R
899,900.,Julio Lugo (12),5338,R
900,901.,Tommy Helms (14),5337,R
901,901.,Ross Youngs+ (10),5337,L
902,903.,Mike Napoli (12),5330,R
903,904.,Michael Bourn (11),5323,L
904,905.,Jim Hegan (17),5322,R
905,906.,Larry Herndon (14),5319,R
906,907.,Hi Myers (14),5318,R
907,908.,Chris Young (13),5316,R
908,909.,Pete Browning (13),5315,R
909,910.,Candy LaChance (12),5314,B
910,911.,Irish Meusel (11),5311,R
911,912.,"Michael Brantley (12, 33)",5307,L
912,913.,Henry Larkin (10),5303,R
913,914.,Ray Boone (13),5299,R
914,915.,Muddy Ruel (19),5298,R
915,915.,Buck Weaver (9),5298,B
916,917.,Kid Elberfeld (14),5296,R
917,917.,Luis Polonia (12),5296,L
918,919.,Kevin Bass (14),5291,B
919,919.,Ray Knight (13),5291,R
920,921.,Lenny Dykstra (12),5282,L
921,922.,Bob Bescher (11),5280,B
922,923.,Carlos Guillen (14),5277,B
923,924.,John Morrill (15),5274,R
924,924.,Earl Sheely (9),5274,R
925,926.,Jeff Blauser (13),5271,R
926,927.,Bibb Falk (12),5269,L
927,927.,Norm Siebern (12),5269,L
928,929.,Derrel Thomas (15),5268,B
929,930.,Chico Carrasquel (10),5264,R
930,931.,Otto Knabe (11),5260,R
931,932.,Jason Bay (11),5258,R
932,933.,Jimmie Wilson (18),5257,R
933,934.,Geoff Jenkins (11),5254,L
934,935.,Dmitri Young (13),5253,B
935,936.,Art Devlin (10),5249,R
936,937.,Mike Kreevich (12),5248,R
937,937.,Jody Reed (11),5248,R
938,939.,Rey Sanchez (15),5246,R
939,940.,Horace Clarke (10),5243,B
940,940.,Roberto Kelly (14),5243,R
941,942.,Dwayne Murphy (12),5242,L
942,943.,Robby Thompson (11),5235,R
943,944.,Roy Hartzell (11),5234,L
944,945.,Hans Lobert (14),5232,R
945,946.,Chicken Wolf (11),5230,R
946,947.,Jay Johnstone (20),5229,L
947,948.,Carlos Gomez (13),5227,R
948,948.,Ken Henderson (16),5227,B
949,950.,Jim Northrup (12),5215,L
950,951.,Terry Moore (11),5206,R
951,952.,Les Mann (16),5203,R
952,953.,Tom Burns (13),5198,R
953,954.,Oscar Gamble (17),5197,L
954,955.,Ivan de Jesus (15),5193,R
955,956.,George Pinkney (10),5189,L
956,957.,Gerardo Parra (11),5183,L
957,958.,Hector Lopez (12),5181,R
958,959.,Darryl Hamilton (13),5177,L
959,960.,Mike Greenwell (12),5166,L
960,961.,Shane Victorino (12),5164,R
961,962.,Sandy Alomar (15),5160,B
962,962.,Oyster Burns (11),5160,R
963,964.,Bengie Molina (13),5159,R
964,965.,"Buster Posey (11, 33)",5153,R
965,966.,"Neil Walker (12, 34)",5152,B
966,967.,Juan Beniquez (17),5151,R
967,968.,Chris Gomez (16),5148,R
968,969.,Jerry Denny (13),5140,R
969,969.,Sam Wise (12),5140,L
970,971.,Kelly Johnson (11),5139,L
971,972.,Riggs Stephenson (14),5136,R
972,973.,Frank Chance+ (17),5135,R
973,973.,Mickey Morandini (11),5135,L
974,975.,Johnny Edwards (14),5132,L
975,976.,Patsy Dougherty (10),5130,L
976,977.,Frankie Hayes (14),5129,R
977,978.,Hobe Ferris (9),5125,R
978,979.,Glenn Hubbard (12),5122,R
979,980.,Tony Clark (15),5120,B
980,980.,Charlie Hemphill (11),5120,L
981,982.,Chick Hafey+ (13),5116,R
982,983.,Donn Clendenon (12),5112,R
983,983.,Rickie Weeks (14),5112,R
984,985.,Rube Oldring (13),5107,R
985,986.,Juan Encarnacion (11),5095,R
986,987.,Casey Blake (13),5091,R
987,988.,Jose Hernandez (15),5089,R
988,989.,Cub Stricker (11),5083,R
989,990.,Walker Cooper (18),5082,R
990,990.,Keith Moreland (12),5082,R
991,990.,Ned Williamson (13),5082,R
992,993.,Ken Reitz (11),5079,R
993,994.,Chief Zimmer (19),5078,R
994,995.,Derek Bell (11),5068,R
995,996.,Bob Kennedy (16),5067,R
996,996.,Butch Wynegar (13),5067,B
997,998.,Hideki Matsui (10),5066,L
998,999.,Jack Burdock (18),5065,R
