,Rank,"Player (yrs, age)",Shutouts,Throws
720,671.,Paul Minner (10),9,L
721,671.,Frank Mountain (7),9,R
722,671.,Willard Nixon (9),9,R
723,671.,Hideo Nomo (12),9,R
724,671.,Phil Ortega (10),9,R
725,671.,Henry Porter (6),9,R
726,671.,Bugs Raymond (6),9,R
727,671.,Steve Renko (15),9,R
728,671.,Jimmy Ring (12),9,R
729,671.,Kenny Rogers (20),9,L
730,671.,Saul Rogovin (8),9,R
731,671.,Manny Salvo (5),9,R
732,671.,Ray Scarborough (10),9,R
733,671.,Jason Schmidt (14),9,R
734,671.,Aaron Sele (15),9,R
735,671.,James Shields (13),9,R
736,671.,Ernie Shore (7),9,R
737,671.,Mike Smith (14),9,L
738,671.,Gerry Staley (15),9,R
739,671.,Ray Starr (7),9,R
740,671.,Dave Stewart (16),9,R
741,671.,Ed Summers (5),9,R
742,671.,Kevin Tapani (13),9,R
743,671.,Steve Trout (12),9,L
744,671.,"Justin Verlander (16, 37)",9,R
745,671.,Herm Wehmeier (13),9,R
746,671.,John Whitehead (7),9,R
747,671.,George Winter (8),9,R
748,671.,Randy Wolf (16),9,L
749,671.,Clyde Wright (10),9,L
750,751.,Vic Aldridge (9),8,R
751,751.,Bill Bailey (11),8,L
752,751.,Huck Betts (10),8,R
753,751.,Hi Bithorn (4),8,R
754,751.,Ted Blankenship (9),8,R
755,751.,Ken Brett (14),8,L
756,751.,Buttons Briggs (5),8,R
757,751.,Clint Brown (15),8,R
758,751.,Jackie Brown (7),8,R
759,751.,Harry Byrd (7),8,R
760,751.,Tom Cheney (8),8,R
761,751.,Dick Coffman (15),8,R
762,751.,Jim Colborn (10),8,R
763,751.,"Johnny Cueto (13, 34)",8,R
764,751.,Paul Dean (9),8,R
765,751.,Gus Dorner (6),8,R
766,751.,Jumbo Elliott (10),8,L
767,751.,Shawn Estes (13),8,L
768,751.,Cecil Ferguson (6),8,R
769,751.,Mark Gardner (13),8,R
770,751.,Gary Gentry (7),8,R
771,751.,Moose Haas (12),8,R
772,751.,George Haddock (7),8,R
773,751.,Aaron Harang (14),8,R
774,751.,Joe Hatten (7),8,L
775,751.,Ken Hill (14),8,R
776,751.,"Derek Holland (12, 33)",8,L
777,751.,LaMarr Hoyt (8),8,R
778,751.,Jay Hughes (4),8,R
779,751.,Pat Jarvis (8),8,R
780,751.,Connie Johnson (5),8,R
781,751.,Percy Jones (9),8,L
782,751.,Clay Kirby (8),8,R
783,751.,Bruce Kison (15),8,R
784,751.,Ron Kline (17),8,R
785,751.,Phil Knell (6),8,L
786,751.,John Lackey (15),8,R
787,751.,Joe Lake (6),8,R
788,751.,Charlie Lea (7),8,R
789,751.,Jack Lynch (7),8,R
790,751.,Johnny Marcum (7),8,R
791,751.,Jake Miller (9),8,L
792,751.,Matt Morris (11),8,R
793,751.,Don Mossi (12),8,L
794,751.,Elmer Myers (8),8,R
795,751.,Jaime Navarro (12),8,R
796,751.,Doc Newton (8),8,L
797,751.,Roy Oswalt (13),8,R
798,751.,Carl Pavano (14),8,R
799,751.,Carlos Perez (5),8,L
800,751.,Ron Reed (19),8,R
801,751.,Flint Rhem (12),8,R
802,751.,Lee Richmond (6),8,L
803,751.,Socks Seibold (9),8,R
804,751.,John Smiley (12),8,L
805,751.,Bryn Smith (13),8,R
806,751.,Eddie Smith (10),8,L
807,751.,Vic Sorrell (10),8,R
808,751.,Lee Stange (10),8,R
809,751.,Lefty Stewart (10),8,L
810,751.,Charlie Sweeney (6),8,R
811,751.,Steve Swetonic (6),8,R
812,751.,Sloppy Thurston (9),8,R
813,751.,Jim Turner (9),8,R
814,751.,Jason Vargas (14),8,L
815,751.,Javier Vazquez (14),8,R
816,751.,Pete Vuckovich (11),8,R
817,751.,Mule Watson (7),8,R
818,751.,Jered Weaver (12),8,R
819,751.,Brandon Webb (7),8,R
820,751.,Dontrelle Willis (9),8,L
821,751.,Roger Wolff (7),8,R
822,823.,Andy Ashby (14),7,R
823,823.,Jersey Bakley (6),7,R
824,823.,Len Barker (11),7,R
825,823.,Virgil Barnes (9),7,R
826,823.,George Baumgardner (5),7,R
827,823.,Gene Bearden (7),7,L
828,823.,Jim Beattie (9),7,R
829,823.,Al Brazle (10),7,L
830,823.,Steve Busby (8),7,R
831,823.,Cliff Chambers (6),7,L
832,823.,Bob Chipman (12),7,L
833,823.,Bubba Church (6),7,R
834,823.,Johnny Cooney (20),7,L
835,823.,Roger Craig (12),7,R
836,823.,Ed Crane (9),7,R
837,823.,Jose DeLeon (13),7,R
838,823.,Blix Donnelly (8),7,R
839,823.,Slow Joe Doyle (5),7,R
840,823.,Karl Drews (8),7,R
841,823.,Pete Falcone (10),7,L
842,823.,Patsy Flaherty (9),7,L
843,823.,Frank Foreman (11),7,R
844,823.,Paul Foytack (11),7,R
845,823.,Benny Frey (8),7,R
846,823.,Bert Gallia (9),7,R
847,823.,Wayne Garland (9),7,R
848,823.,Joe Genewich (9),7,R
849,823.,Ted Gray (9),7,L
850,823.,Dan Griner (6),7,R
851,823.,Ad Gumbert (9),7,R
852,823.,"Cole Hamels (15, 36)",7,L
853,823.,Jim Hardin (6),7,R
854,823.,Slim Harriss (9),7,R
855,823.,George Hemming (8),7,R
856,823.,Weldon Henley (4),7,R
857,823.,Al Hollingsworth (11),7,L
858,823.,Larry Jaster (7),7,L
859,823.,Ken Johnson (13),7,R
860,823.,Monty Kennedy (8),7,L
861,823.,Vern Kennedy (12),7,R
862,823.,Matt Keough (9),7,R
863,823.,Dickey Kerr (4),7,L
864,823.,Bob Klinger (8),7,R
865,823.,"Corey Kluber (10, 34)",7,R
866,823.,Johnny Kucks (6),7,R
867,823.,Bob Kuzava (10),7,L
868,823.,Dennis Lamp (16),7,R
869,823.,Ted Lewis (6),7,R
870,823.,Glenn Liebhardt (4),7,R
871,823.,Tim Lincecum (10),7,R
872,823.,Vive Lindaman (4),7,R
873,823.,Duke Maas (7),7,R
874,823.,Kid Madden (5),7,L
875,823.,Firpo Marberry (14),7,R
876,823.,Connie Marrero (5),7,R
877,823.,Jakie May (14),7,L
878,823.,Ken McBride (7),7,R
879,823.,Steve McCatty (9),7,R
880,823.,Heinie Meine (7),7,R
881,823.,Roy Mitchell (7),7,R
882,823.,Tom Morgan (12),7,R
883,823.,Denny Neagle (13),7,L
884,823.,Roger Nelson (9),7,R
885,823.,Jerry Nops (6),7,L
886,823.,Mike Norris (10),7,R
887,823.,Vern Olsen (5),7,L
888,823.,Frank Pastore (8),7,R
889,823.,Alejandro Pena (15),7,R
890,823.,Shane Rawley (12),7,L
891,823.,Rick Reed (15),7,R
892,823.,Shane Reynolds (13),7,R
893,823.,Dave Rozema (10),7,R
894,823.,"Anibal Sanchez (15, 36)",7,R
895,823.,Diego Segui (15),7,R
896,823.,Bob Stanley (13),7,R
897,823.,Chuck Stobbs (15),7,L
898,823.,Steve Stone (11),7,R
899,823.,Tom Sturdivant (10),7,R
900,823.,Max Surkont (9),7,R
901,823.,Craig Swan (12),7,R
902,823.,Bill Swift (11),7,R
903,823.,Jack Taylor (9),7,R
904,823.,Bob Tewksbury (13),7,R
905,823.,Steve Trachsel (16),7,R
906,823.,Rube Vickers (5),7,R
907,823.,Luke Walker (9),7,L
908,823.,Jeff Weaver (11),7,R
909,823.,Jim Weaver (8),7,R
910,823.,Sam Weaver (6),7,R
911,823.,Bob Weiland (12),7,L
912,823.,Ed Wells (11),7,L
913,823.,Hal White (12),7,R
914,823.,Pat Zachry (10),7,R
915,916.,Jim Abbott (10),6,L
916,916.,Neil Allen (11),6,R
917,916.,Pete Appleton (14),6,R
918,916.,Bronson Arroyo (16),6,R
919,916.,Jerry Augustine (10),6,L
920,916.,Steve Avery (11),6,L
921,916.,Rex Barney (6),6,R
922,916.,Bob Barr (5),6,R
923,916.,Ross Baumgarten (5),6,L
924,916.,Josh Beckett (14),6,R
925,916.,Dennis Bennett (7),6,L
926,916.,Bill Bevens (4),6,R
927,916.,Dave Boswell (8),6,R
928,916.,Pete Broberg (8),6,R
929,916.,Boardwalk Brown (5),6,R
930,916.,Bob Bruce (9),6,R
931,916.,Ron Bryant (8),6,L
932,916.,Clay Buchholz (13),6,R
933,916.,"Madison Bumgarner (12, 30)",6,L
934,916.,John Burkett (15),6,R
935,916.,Ken Burkhart (5),6,R
936,916.,John Butcher (7),6,R
937,916.,Paul Byrd (14),6,R
938,916.,Matt Cain (13),6,R
939,916.,Ben Cantwell (11),6,R
940,916.,Charlie Case (4),6,R
941,916.,George Caster (12),6,R
942,916.,Charlie Chech (4),6,R
943,916.,Larry Christenson (11),6,R
944,916.,Jack Cronin (7),6,R
945,916.,Ed Daily (7),6,R
946,916.,Wheezer Dell (4),6,R
947,916.,Ike Delock (11),6,R
948,916.,Jim Deshaies (12),6,L
949,916.,R.A. Dickey (15),6,R
950,916.,Ed Doheny (9),6,L
951,916.,Atley Donald (8),6,R
952,916.,Kelly Downs (8),6,R
953,916.,Moe Drabowsky (17),6,R
954,916.,James Edwards (6),6,L
955,916.,Eric Erickson (7),6,R
956,916.,Dick Errickson (5),6,R
957,916.,Cliff Fannin (8),6,R
958,916.,Harry Feldman (6),6,R
959,916.,Alan Foster (10),6,R
960,916.,Dave Freisleben (6),6,R
961,916.,Jon Garland (13),6,R
962,916.,Hank Gastright (7),6,R
963,916.,Whitey Glazner (5),6,R
964,916.,Lee Grissom (8),6,L
965,916.,Randy Gumpert (10),6,R
966,916.,Warren Hacker (12),6,R
967,916.,Atlee Hammaker (12),6,L
968,916.,Dan Haren (13),6,R
969,916.,Ed Head (5),6,R
970,916.,Neal Heaton (12),6,L
971,916.,Bob Hendley (7),6,L
972,916.,John Hiller (15),6,L
973,916.,Bill Hogg (4),6,R
974,916.,Brian Holman (4),6,R
975,916.,Bart Johnson (8),6,R
976,916.,Rankin Johnson (3),6,R
977,916.,George Kaiserling (2),6,R
978,916.,Bob Keegan (6),6,R
979,916.,Steve Kline (6),6,R
980,916.,Johnny Klippstein (18),6,R
981,916.,Ken Kravec (8),6,L
982,916.,Esteban Loaiza (14),6,R
983,916.,Phil Marchildon (9),6,R
984,916.,Joe Mays (7),6,R
985,916.,Ernie McAnally (4),6,R
986,916.,Jim McAndrew (7),6,R
987,916.,Ben McDonald (9),6,R
988,916.,Chappie McFarland (5),6,R
989,916.,Doc McJames (6),6,R
990,916.,Rube Melton (6),6,R
991,916.,Jock Menefee (9),6,R
992,916.,Bob Miller (10),6,R
993,916.,Roscoe Miller (4),6,R
994,916.,Kevin Millwood (16),6,R
995,916.,Brian Moehler (14),6,R
996,916.,Dave Morehead (8),6,R
997,916.,Charles Nagy (14),6,R
998,916.,Ricky Nolasco (12),6,R
999,916.,Marty O'Toole (5),6,R
1000,916.,Bill Parsons (4),6,R
1001,916.,Jake Peavy (15),6,R
1002,916.,Jesse Petty (7),6,L
1003,916.,Big Jeff Pfeffer (6),6,R
1004,916.,Bill Phillips (7),6,R
1005,916.,Joel Pineiro (12),6,R
1006,916.,Bill Posedel (5),6,R
1007,916.,Nels Potter (12),6,R
1008,916.,Mike Prendergast (6),6,R
1009,916.,Chuck Rainey (6),6,R
1010,916.,Charlie Robertson (8),6,R
1011,916.,Don Robinson (15),6,R
1012,916.,Buck Ross (10),6,R
1013,916.,Marius Russo (6),6,L
1014,916.,Carl Scheib (11),6,R
1015,916.,Dick Selma (10),6,R
1016,916.,Cy Seymour (16),6,L
1017,916.,Mike Smithson (8),6,R
1018,916.,Bill Stafford (8),6,R
1019,916.,Todd Stottlemyre (14),6,R
1020,916.,Vito Tamulis (6),6,L
1021,916.,Gene Thompson (6),6,R
1022,916.,Wayne Twitchell (10),6,R
1023,916.,Tom Underwood (11),6,L
1024,916.,Ismael Valdez (12),6,R
1025,916.,Tim Wakefield (19),6,R
1026,916.,Bob Walk (14),6,R
1027,916.,Emil Yde (5),6,L
1028,916.,Floyd Youmans (5),6,R
