,Rank,"Player (yrs, age)",Win-Loss %,Throws
459,460.,Phil Niekro+ (24),.5372,R
460,460.,Paul Splittorff (15),.5372,L
461,460.,"Josh Tomlin (11, 35)",.5372,R
462,463.,Larry Cheney (9),.5370,R
463,463.,Dock Ellis (12),.5370,R
464,463.,Ken Holtzman (15),.5370,L
465,466.,Stan Williams (14),.5369,R
466,467.,Rich Gossage+ (22),.5368,R
467,468.,Bill Swift (11),.5367,R
468,469.,Vern Bickford (7),.5366,R
469,470.,"Wei-Yin Chen (8, 34)",.5364,L
470,470.,Elias Sosa (12),.5364,R
471,470.,Tom Sturdivant (10),.5364,R
472,473.,Steve Avery (11),.5363,L
473,473.,Doug Drabek (13),.5363,R
474,475.,Chuck Finley (17),.5362,L
475,475.,Mike Torrez (18),.5362,R
476,477.,Mike Boddicker (14),.5360,R
477,478.,Wally Bunker (9),.5357,R
478,478.,Joe Nuxhall (16),.5357,L
479,478.,Barry Zito (15),.5357,L
480,481.,Nelson Briles (14),.5353,R
481,481.,Dennis Eckersley+ (24),.5353,R
482,481.,Larry French (14),.5353,L
483,481.,Juan Guzman (10),.5353,R
484,481.,Jerry Reuss (22),.5353,L
485,481.,George Zettlein (6),.5353,R
486,487.,Ted Lilly (15),.5350,L
487,487.,Steve Stone (11),.5350,R
488,489.,Jim Turner (9),.5349,R
489,490.,Al Downing (17),.5348,L
490,491.,Charley Hall (9),.5347,R
491,491.,Bryn Smith (13),.5347,R
492,493.,Bert Blyleven+ (22),.5345,R
493,493.,Rick Helling (12),.5345,R
494,493.,Mike Scott (13),.5345,R
495,496.,Mark Portugal (15),.5343,R
496,497.,Grant Jackson (18),.5342,L
497,497.,Kerry Wood (14),.5342,R
498,499.,Jim Lonborg (15),.5340,R
499,500.,Johnny Antonelli (12),.5339,L
500,501.,Watty Clark (12),.5337,L
501,501.,John Hiller (15),.5337,L
502,503.,Kevin Tapani (13),.5336,R
503,504.,Rick Camp (9),.5333,R
504,504.,Hank Gastright (7),.5333,R
505,504.,Jouett Meekin (10),.5333,R
506,504.,Ben Sanders (5),.5333,R
507,504.,Harry Staley (8),.5333,R
508,509.,Steve Barber (15),.5330,L
509,510.,Todd Stottlemyre (14),.5328,R
510,511.,Greg Hibbard (6),.5327,L
511,511.,Scott Sanderson (19),.5327,R
512,513.,Guy Morton (11),.5326,R
513,514.,John Denny (13),.5325,R
514,514.,Steve Gromek (17),.5325,R
515,514.,Cory Lidle (9),.5325,R
516,517.,Lew Richie (8),.5324,R
517,518.,Gus Weyhing (14),.5323,R
518,518.,Woody Williams (15),.5323,R
519,520.,Mickey Lolich (16),.5319,L
520,521.,Paul Byrd (14),.5317,R
521,521.,Pete Donohue (12),.5317,R
522,521.,Rube Marquard+ (18),.5317,L
523,524.,Eric Show (11),.5316,R
524,525.,Al Mamaux (12),.5315,R
525,525.,"Tanner Roark (8, 33)",.5315,R
526,527.,Jaret Wright (11),.5313,R
527,528.,Mark Langston (16),.5312,L
528,528.,Jack Quinn (23),.5312,R
529,530.,George Bradley (11),.5311,R
530,531.,Hugh Bedient (4),.5310,R
531,531.,Dave Rozema (10),.5310,R
532,533.,Fernando Valenzuela (17),.5307,L
533,534.,Ted Lyons+ (21),.5306,R
534,534.,Don Wilson (9),.5306,R
535,536.,Larry Dierker (14),.5305,R
536,536.,Bill Sherdel (15),.5305,L
537,538.,Howie Pollet (14),.5304,L
538,539.,Jaime Garcia (10),.5303,L
