,Rank,"Player (yrs, age)",Batting Average,Bats
636,636.,"Kris Bryant (6, 28)",.2805,R
637,636.,David Eckstein (10),.2805,R
638,636.,Rafael Furcal (14),.2805,B
639,636.,Aaron Miles (9),.2805,B
640,641.,Alvin Davis (9),.2804,L
641,641.,Jimmy Dykes (22),.2804,R
642,641.,Terry Moore (11),.2804,R
643,644.,Terry Puhl (15),.2803,L
644,645.,Joe Dugan (14),.2802,R
645,645.,A.J. Pierzynski (19),.2802,L
646,647.,Mickey Hatcher (12),.2801,R
647,647.,Steve Henderson (12),.2801,R
648,649.,"Starlin Castro (11, 30)",.2800,R
649,649.,Candy LaChance (12),.2800,B
650,651.,Jesus Alou (15),.2799,R
651,651.,Doc Gessler (8),.2799,L
652,651.,Angel Pagan (11),.2799,B
653,654.,Carlos Delgado (17),.2798,L
654,654.,"Manny Machado (9, 27)",.2798,R
655,656.,Eddie Burke (8),.2796,L
656,656.,Tony Cuccinello (15),.2796,R
657,656.,Tommy Griffith (13),.2796,L
658,659.,Buddy Bell (18),.2795,R
659,659.,Jack Burns (7),.2795,L
660,659.,Hank Majeski (13),.2795,R
661,662.,Roger Bresnahan+ (17),.2794,R
662,662.,Wes Covington (11),.2794,L
663,662.,Andre Dawson+ (21),.2794,R
664,662.,Johnny Groth (15),.2794,R
665,662.,Jackie Jensen (11),.2794,R
666,662.,Rebel Oakes (7),.2794,L
667,662.,Tony Perez+ (23),.2794,R
668,662.,Rusty Staub (23),.2794,L
669,662.,Gus Suhr (11),.2794,L
670,671.,Vic Davalillo (16),.2793,L
671,671.,Reed Johnson (13),.2793,R
672,671.,David Justice (14),.2793,L
673,671.,Patsy Tebeau (13),.2793,R
674,675.,Willie Davis (18),.2792,L
675,675.,Felix Millan (12),.2792,R
676,675.,Keith Moreland (12),.2792,R
677,678.,Whitey Lockman (15),.2791,L
678,678.,"Pablo Sandoval (13, 33)",.2791,B
679,680.,Dave Bancroft+ (16),.2790,B
680,680.,Carlos Beltran (20),.2790,B
681,680.,Jimmy Brown (8),.2790,B
682,680.,Brad Fullmer (8),.2790,L
683,680.,Hunter Pence (14),.2790,R
684,680.,"AJ Pollock (9, 32)",.2790,R
685,680.,John Valentin (11),.2790,R
686,687.,Ralph Kiner+ (10),.2788,R
687,687.,Paul Konerko (18),.2788,R
688,687.,"Ryan Zimmerman (15, 35)",.2788,R
689,690.,Bobby Bonilla (16),.2787,B
690,690.,Rickey Henderson+ (25),.2787,R
691,690.,Ryan Klesko (16),.2787,L
692,693.,Chris Chambliss (17),.2786,L
693,693.,Mark Koenig (12),.2786,B
694,695.,Mike Lowell (13),.2785,R
695,695.,Sam Mertes (10),.2785,R
696,695.,Jay Payton (12),.2785,R
697,698.,Dick Hoblitzell (11),.2784,L
698,699.,Dusty Baker (19),.2783,R
699,699.,Aubrey Huff (13),.2783,L
700,699.,Skip Schumaker (11),.2783,L
701,699.,Ellis Valentine (10),.2783,R
702,703.,Ray Chapman (9),.2782,R
703,703.,Max Flack (12),.2782,L
704,703.,Deacon McGuire (26),.2782,R
705,703.,Red Smith (9),.2782,R
706,707.,Cliff Floyd (17),.2781,L
707,707.,Jim Ray Hart (12),.2781,R
708,707.,"José Iglesias (9, 30)",.2781,R
709,710.,George Bell (12),.2780,R
710,710.,"Eric Hosmer (10, 30)",.2780,L
711,710.,Steve Kemp (11),.2780,L
712,710.,Harry Lord (9),.2780,L
713,714.,Mike Mitchell (8),.2779,R
714,715.,Johnny Bates (9),.2778,L
715,715.,"Nelson Cruz (16, 39)",.2778,R
716,715.,J.D. Drew (14),.2778,L
717,715.,Ken Oberkfell (16),.2778,L
718,719.,Marty Barrett (10),.2777,R
719,719.,Tom Daly (17),.2777,B
720,719.,George Hendrick (18),.2777,R
721,719.,Jorge Orta (16),.2777,L
722,723.,Hoot Evers (12),.2776,R
723,723.,Johnny Grubb (16),.2776,L
724,723.,Cesar Tovar (12),.2776,R
725,723.,Claudell Washington (17),.2776,L
726,723.,Farmer Weaver (7),.2776,B
727,723.,Harry Wolverton (9),.2776,B
728,729.,Doug Glanville (9),.2775,R
729,730.,Nick Etten (9),.2774,L
730,730.,Bob Skinner (12),.2774,L
731,730.,Vic Wertz (17),.2774,L
732,733.,Joe Adcock (17),.2773,R
733,733.,Michael Cuddyer (15),.2773,R
734,733.,Ray Durham (14),.2773,B
735,733.,"Cesar Hernandez (8, 30)",.2773,B
736,733.,Herman Long (16),.2773,L
737,733.,Marco Scutaro (13),.2773,R
738,739.,Joey Cora (11),.2772,B
739,739.,Bob Horner (10),.2772,R
740,739.,Jerry Lynch (13),.2772,L
741,739.,Melvin Mora (13),.2772,R
742,743.,Marcus Giles (7),.2771,R
743,743.,Joe Kuhel (18),.2771,L
744,743.,Fred Luderus (12),.2771,L
745,743.,Orlando Merced (13),.2771,B
746,747.,David Freese (11),.2770,R
747,747.,Chick Gandil (9),.2770,R
748,747.,Alex Rios (12),.2770,R
749,750.,Dolph Camilli (12),.2769,L
750,750.,Jacque Jones (10),.2769,L
751,752.,Hank Bauer (14),.2768,R
752,752.,Art Fletcher (13),.2768,R
753,752.,Torii Hunter (19),.2768,R
754,752.,Amos Otis (17),.2768,R
755,752.,Ron Santo+ (15),.2768,R
756,757.,Enos Cabell (15),.2767,R
757,757.,Harry Davis (22),.2767,R
758,757.,Duke Farrell (18),.2767,B
759,757.,Bobby Murcer (17),.2767,L
760,761.,Leon Durham (10),.2766,L
761,761.,Jason Giambi (20),.2766,L
762,761.,Adam Jones (14),.2766,R
763,761.,Yasiel Puig (7),.2766,R
764,765.,Roy Cullenbine (10),.2764,B
765,765.,Patrick Gillespie (8),.2764,L
766,765.,Mel Hall (13),.2764,L
767,765.,Jim Thome+ (22),.2764,L
768,765.,Lou Whitaker (19),.2764,L
769,770.,Ken Keltner (13),.2763,R
770,770.,Al Martin (11),.2763,L
771,770.,George McQuinn (12),.2763,L
772,770.,"Marcell Ozuna (8, 29)",.2763,R
773,774.,Vinny Castilla (16),.2762,R
774,774.,Dave Foutz (13),.2762,R
775,776.,Roy Campanella+ (10),.2761,R
776,776.,Danny Cater (12),.2761,R
777,776.,Chone Figgins (12),.2761,B
778,776.,Gil McDougald (10),.2761,R
779,776.,Brian Roberts (14),.2761,B
780,781.,Beals Becker (8),.2760,L
781,781.,Mark Kotsay (17),.2760,L
782,781.,Gary Ward (12),.2760,R
783,784.,Bill Knickerbocker (10),.2759,R
784,784.,Greg Luzinski (15),.2759,R
785,784.,Dave Martinez (16),.2759,L
786,784.,"Eduardo Nunez (11, 33)",.2759,R
787,784.,Randy Velarde (16),.2759,R
788,789.,Jack Rothrock (11),.2758,B
789,789.,Walt Wilmot (10),.2758,B
790,789.,Al Zarilla (10),.2758,L
791,792.,Derek Bell (11),.2757,R
792,792.,"Bryce Harper (9, 27)",.2757,L
793,792.,Richie Hebner (18),.2757,L
794,792.,Elmer Smith (10),.2757,L
795,796.,Topsy Hartsel (14),.2756,L
796,796.,Lee Magee (9),.2756,B
797,796.,Gerardo Parra (11),.2756,L
798,796.,Willie Randolph (18),.2756,R
799,796.,Cal Ripken Jr.+ (21),.2756,R
800,801.,Rich Aurilia (15),.2755,R
801,801.,Ping Bodie (9),.2755,R
802,801.,Ron Northey (12),.2755,L
803,804.,Corey Koskie (9),.2754,L
804,804.,Billy Nash (15),.2754,R
805,806.,Wally Backman (14),.2752,B
806,806.,Jerry Remy (10),.2752,L
807,806.,Shane Victorino (12),.2752,R
808,806.,John Ward+ (17),.2752,L
809,806.,Rudy York (13),.2752,R
810,811.,Geoff Jenkins (11),.2751,L
811,811.,Muddy Ruel (19),.2751,R
812,813.,Marlon Byrd (15),.2750,R
813,813.,Cliff Heathcote (15),.2750,L
814,813.,Marv Owen (9),.2750,R
815,813.,Brandon Phillips (17),.2750,R
816,817.,Chase Utley (16),.2749,L
817,817.,Jimmy Williams (11),.2749,R
818,819.,Irv Noren (11),.2748,L
819,819.,Fred Snodgrass (9),.2748,R
820,821.,Jose Cardenal (18),.2747,R
821,821.,David DeJesus (13),.2747,L
822,821.,Brad Hawpe (9),.2747,L
823,821.,Ed McFarland (14),.2747,R
824,825.,Ray Boone (13),.2746,R
825,825.,Bernard Gilkey (12),.2746,R
826,827.,"Shin-Soo Choo (16, 37)",.2745,L
827,827.,Willie Montanez (14),.2745,L
828,829.,Chili Davis (19),.2744,B
829,829.,Hans Lobert (14),.2744,R
830,829.,Eric McNair (14),.2744,R
831,832.,Marty Cordova (9),.2743,R
832,832.,Mike Dorgan (10),.2743,R
833,832.,Elston Howard (14),.2743,R
834,832.,Trot Nixon (12),.2743,L
835,832.,Troy O'Leary (11),.2743,L
836,837.,Ernie Banks+ (19),.2742,R
837,837.,Jermaine Dye (14),.2742,R
838,837.,Mookie Wilson (12),.2742,B
839,840.,George Foster (18),.2741,R
840,840.,Rennie Stennett (11),.2741,R
841,842.,Travis Fryman (13),.2740,R
842,842.,Jim Gantner (17),.2740,L
843,842.,Willard Marshall (11),.2740,L
844,842.,Lee Maye (13),.2740,L
845,842.,David Murphy (10),.2740,L
846,842.,Jimmy Sheckard (17),.2740,L
847,848.,Juan Beniquez (17),.2739,R
848,848.,Donn Clendenon (12),.2739,R
849,848.,Ron Coomer (9),.2739,R
850,848.,Bucky Harris+ (12),.2739,R
851,848.,Kevin Millar (12),.2739,R
852,848.,"Wilson Ramos (11, 32)",.2739,R
853,848.,Farmer Vaughn (13),.2739,R
854,855.,"Elvis Andrus (12, 31)",.2738,R
855,855.,Mike Lieberthal (14),.2738,R
856,855.,Frank Malzone (12),.2738,R
857,858.,"Jonathan Lucroy (11, 34)",.2737,R
858,858.,Bengie Molina (13),.2737,R
859,858.,Juan Rivera (12),.2737,R
860,861.,"Nicholas Castellanos (8, 28)",.2736,R
861,861.,Klondike Douglass (9),.2736,L
862,861.,Milt Thompson (13),.2736,L
863,864.,George Browne (12),.2735,L
864,864.,Larry Herndon (14),.2735,R
865,864.,Carlos May (10),.2735,L
866,864.,Wilbert Robinson+ (17),.2735,R
867,864.,Andy Van Slyke (13),.2735,L
868,869.,Jimmy Callahan (13),.2734,R
869,869.,Frank Howard (16),.2734,R
870,869.,Orlando Hudson (11),.2734,B
871,869.,Tom York (15),.2734,L
872,873.,Wil Cordero (14),.2733,R
873,873.,Gil Hodges (18),.2733,R
874,873.,Fred Merkle (16),.2733,R
875,873.,Raul Mondesi (13),.2733,R
876,873.,Claude Ritchey (13),.2733,B
877,878.,Larry Biittner (14),.2732,L
878,878.,Solly Hemus (11),.2732,L
879,878.,Bobby Lowe (18),.2732,R
880,878.,Joe Orsulak (14),.2732,L
881,878.,Sammy Sosa (18),.2732,R
882,883.,Willie Horton (18),.2731,R
883,883.,Bob O'Farrell (21),.2731,R
884,883.,Ben Oglivie (16),.2731,L
885,883.,Jorge Posada (17),.2731,B
886,883.,George Wood (13),.2731,L
887,888.,Todd Hollandsworth (12),.2730,L
888,888.,Ron Hunt (12),.2730,R
889,888.,Chet Lemon (16),.2730,R
890,888.,Jose Offerman (15),.2730,B
891,888.,Phil Rizzuto+ (13),.2730,R
892,893.,Ronnie Belliard (13),.2729,R
893,893.,Jimmy Wasdell (11),.2729,L
894,895.,Sandy Alomar (20),.2728,R
895,895.,Travis Hafner (12),.2728,L
896,895.,Scott Hatteberg (14),.2728,L
897,895.,Ed Taubensee (11),.2728,L
898,899.,"Josh Harrison (10, 32)",.2727,R
899,899.,Aaron Rowand (11),.2727,R
900,901.,Bill Bruton (12),.2726,L
901,901.,Rick Burleson (13),.2726,R
902,901.,"Yoenis Céspedes (8, 34)",.2726,R
903,901.,Austin Jackson (9),.2726,R
904,901.,Johnny Lindell (12),.2726,R
905,901.,Peanuts Lowrey (13),.2726,R
906,901.,Danny Tartabull (14),.2726,R
907,901.,Tony Womack (13),.2726,L
908,909.,Roger Cedeno (11),.2725,B
909,909.,Larry Hisle (14),.2725,R
910,911.,Jamey Carroll (12),.2724,R
911,911.,Bill Dahlen (21),.2724,R
912,911.,Tito Francona (15),.2724,L
913,911.,Adam Lind (12),.2724,L
914,911.,Emil Verban (7),.2724,R
915,916.,Raul Ibanez (19),.2723,L
916,916.,Rance Mulliniks (16),.2723,L
917,916.,Jim Piersall (17),.2723,R
918,919.,Al Smith (12),.2722,R
919,920.,Dave Collins (16),.2721,B
920,920.,Bill Hallman (14),.2721,R
921,920.,Bobby Higginson (11),.2721,L
922,920.,Wally Westlake (10),.2721,R
923,924.,Ivan Calderon (10),.2720,R
924,924.,Marquis Grissom (17),.2720,R
925,924.,Buck Weaver (9),.2720,B
926,927.,Ossie Bluege (18),.2719,R
927,927.,Ken Caminiti (15),.2719,B
928,927.,Harlond Clift (12),.2719,R
929,927.,Dwight Evans (20),.2719,R
930,927.,Adam Kennedy (14),.2719,L
931,927.,Bid McPhee+ (18),.2719,R
932,927.,Bill Sweeney (8),.2719,R
933,934.,Orlando Cabrera (15),.2718,R
934,934.,"Josh Donaldson (10, 34)",.2718,R
935,934.,Jeffrey Hammonds (13),.2718,R
936,934.,Johnny Kling (13),.2718,R
937,934.,Omar Vizquel (24),.2718,B
938,939.,Sam Wise (12),.2717,L
939,940.,Ray Lankford (14),.2716,L
940,940.,Norm Siebern (12),.2716,L
941,940.,Leon Wagner (12),.2716,L
942,943.,Barry Bonnell (10),.2715,R
943,943.,Jerry Browne (10),.2715,B
944,943.,Ray Knight (13),.2715,R
945,943.,Tim McCarver (21),.2715,L
946,943.,Ollie Pickering (8),.2715,L
947,943.,Rey Sanchez (15),.2715,R
948,943.,Garry Templeton (16),.2715,B
949,950.,Norm Cash (17),.2714,L
950,950.,Myril Hoag (13),.2714,R
951,950.,Duane Kuiper (12),.2714,L
952,950.,Sixto Lezcano (12),.2714,R
953,950.,Doug Mientkiewicz (12),.2714,L
954,955.,Joe Morgan+ (22),.2713,L
955,955.,Denny Walling (18),.2713,L
956,955.,Billy Werber (11),.2713,R
957,958.,Carl Everett (14),.2712,B
958,958.,Steve Finley (19),.2712,L
959,958.,Elbie Fletcher (12),.2712,L
960,958.,Eddie Mathews+ (17),.2712,L
961,958.,Merv Rettenmund (13),.2712,R
962,958.,Ossee Schrecongost (11),.2712,R
963,964.,Cristian Guzman (11),.2711,B
964,964.,Tom Herr (13),.2711,B
965,964.,Billy Johnson (9),.2711,R
966,964.,Roy White (15),.2711,B
967,968.,Steve Braun (15),.2710,L
968,968.,Russ Snyder (12),.2710,L
969,968.,Johnny Wyrostek (11),.2710,L
970,971.,"Erick Aybar (12, 36)",.2709,B
971,971.,Bill Bradley (14),.2709,R
972,971.,Charlie Hemphill (11),.2709,L
973,971.,Heinie Peitz (16),.2709,R
974,975.,"Jorge Cantu (8, 38)",.2708,R
975,975.,Tommy Dowd (10),.2708,R
976,975.,Kid Elberfeld (14),.2708,R
977,975.,"Avisail Garcia (9, 29)",.2708,R
978,975.,Mike Lansing (9),.2708,R
979,980.,Milton Bradley (12),.2707,B
980,980.,Omar Infante (15),.2707,R
981,980.,Don Kolloway (12),.2707,R
982,980.,Tino Martinez (16),.2707,L
983,984.,Max Bishop (12),.2706,L
984,984.,Corey Hart (11),.2706,R
985,984.,Burt Shotton (14),.2706,L
986,984.,Terry Steinbach (14),.2706,R
987,988.,Glenallen Hill (13),.2705,R
988,988.,"Anthony Rizzo (10, 30)",.2705,L
989,988.,Bill Spiers (13),.2705,L
990,991.,Gene Moore (14),.2704,L
991,991.,Rube Oldring (13),.2704,R
992,991.,Bobby Thomson (15),.2704,R
993,994.,Jason Bartlett (10),.2703,R
994,994.,Kevin Bass (14),.2703,B
995,994.,Johnny Evers+ (18),.2703,L
996,994.,Jody Reed (11),.2703,R
997,994.,Frank Schulte (15),.2703,L
998,994.,Alfonso Soriano (16),.2703,R
