,Rank,"Player (yrs, age)",Def. Games as RF (s.1901),Throws
251,252.,Jeremy Hermida (8),468,R
252,253.,Andy Pafko (17),467,R
253,254.,Ben Zobrist (14),466,R
254,255.,Mark Kotsay (17),464,L
255,256.,Jack Smith (15),463,L
256,257.,Marlon Byrd (15),460,R
257,257.,Jose Cruz (12),460,R
258,257.,"Nomar Mazara (5, 25)",460,L
259,260.,Chet Lemon (16),458,R
260,261.,Kirk Gibson (17),456,L
261,261.,Joel Youngblood (14),456,R
262,263.,Jim Lemon (12),454,R
263,263.,Xavier Nady (12),454,R
264,265.,Gerardo Parra (11),453,L
265,265.,John Stone (11),453,R
266,267.,Glenallen Hill (13),452,R
267,268.,Wilbur Good (11),450,L
268,269.,Mike Anderson (9),444,R
269,270.,Ben Grieve (9),443,R
270,270.,Merv Rettenmund (13),443,R
271,272.,Gabe Kapler (12),441,R
272,273.,Gino Cimoli (10),435,R
273,273.,Jeffrey Hammonds (13),435,R
274,275.,George Selkirk (9),433,R
275,276.,"Steven Souza Jr. (6, 31)",431,R
276,277.,Gary Matthews (16),430,R
277,277.,Harry Rice (10),430,R
278,279.,Seth Smith (11),429,L
279,279.,George Watkins (7),429,R
280,281.,Kosuke Fukudome (5),426,R
281,281.,Ed Hahn (6),426,R
282,283.,Nori Aoki (6),424,R
283,283.,George Case (11),424,R
284,283.,Jay Gibbons (9),424,L
285,286.,Jim Hickman (13),420,R
286,286.,Gee Walker (15),420,R
287,288.,Bobby Darwin (9),417,R
288,289.,Eric Anthony (9),415,L
289,290.,Dave May (12),414,R
290,290.,Cody Ross (12),414,L
291,292.,Bob Elliott (15),412,R
292,293.,Wally Moon (12),410,R
293,294.,Harry Simpson (8),409,R
294,295.,Bernie Carbo (12),407,R
295,296.,George Burns (15),405,R
296,297.,Joe Cunningham (12),404,L
297,297.,Larry Parrish (15),404,R
298,299.,Troy O'Leary (11),403,L
299,300.,Herbie Moran (7),401,R
300,301.,Bill Barrett (9),400,R
301,302.,Charlie Spikes (9),399,R
302,303.,George Altman (9),398,R
303,304.,Matt Mieske (8),397,R
304,305.,Doc Miller (5),396,L
305,306.,Russ Snyder (12),394,R
306,307.,Mitch Webster (13),393,L
307,308.,Frank Welch (9),391,R
308,309.,John Mabry (14),386,R
309,310.,Lee Thomas (8),385,R
310,311.,Ivan Calderon (10),382,R
311,312.,Al Pilarcik (6),381,L
312,312.,Billy Williams+ (18),381,R
313,314.,Chris Denorfia (10),380,R
314,315.,Ken Henderson (16),379,R
315,316.,Roger Cedeno (11),378,R
316,316.,Gus Williams (5),378,L
317,318.,Wally Westlake (10),376,R
318,319.,"Aaron Judge (5, 28)",375,R
319,320.,"Adam Eaton (9, 31)",374,L
320,321.,Lance Berkman (15),373,L
321,322.,Randy Bush (12),372,L
322,323.,Geoff Jenkins (11),368,R
323,323.,Walt Moryn (8),368,R
324,325.,Bill Robinson (16),366,R
325,326.,Cy Williams (19),363,L
326,327.,Johnny Moore (10),361,R
327,327.,Greasy Neale (8),361,R
328,327.,Jim Wynn (15),361,R
329,330.,Ellis Burks (18),360,R
330,331.,R.J. Reynolds (8),359,R
331,332.,Ben Oglivie (16),358,L
332,333.,"Nicholas Castellanos (8, 28)",357,R
333,333.,Bill Hinchman (10),357,R
334,335.,Bobby Tolan (13),356,L
335,335.,Lee Walls (10),356,R
336,337.,Cozy Dolan (9),355,L
337,338.,Nemo Leibold (13),353,R
338,338.,John Vander Wal (14),353,L
339,340.,Darren Bragg (11),352,R
340,341.,Dusty Baker (19),349,R
341,342.,"Domingo Santana (7, 27)",346,R
342,343.,Gabe Gross (7),344,R
343,343.,Tommy Harper (15),344,R
344,343.,Ryan Sweeney (9),344,L
345,346.,Harvey Kuenn (15),343,R
346,347.,Hank Edwards (11),342,L
347,347.,Jerry Martin (11),342,R
348,347.,Walt Williams (10),342,R
349,350.,Karim Garcia (10),341,L
350,350.,Charlie Moore (15),341,R
351,350.,Randy Moore (10),341,R
352,353.,Bud Metheny (4),340,L
353,354.,Ralph Garr (13),335,R
354,355.,Pat Mullin (10),333,R
355,356.,Reed Johnson (13),332,R
356,357.,Jim Dwyer (18),331,L
357,358.,David DeJesus (13),328,L
358,358.,Carlos Quentin (9),328,R
359,360.,Johnny Barrett (5),327,L
360,360.,Bill Voss (8),327,L
361,362.,Myril Hoag (13),325,R
362,362.,Harry Wolter (7),325,R
363,362.,Gene Woodling (17),325,R
364,365.,Beals Becker (8),322,L
365,365.,Shane Victorino (12),322,R
366,367.,David Murphy (10),321,L
367,368.,Carmelo Castillo (10),319,R
368,369.,"Charlie Blackmon (10, 33)",316,L
369,369.,Junior Felix (6),316,R
370,369.,Andy Kosco (10),316,R
371,372.,Mike Lum (15),315,L
372,373.,Andy Van Slyke (13),314,R
373,374.,Roy Hartzell (11),312,R
374,375.,Ed Coleman (5),310,R
375,375.,Joe Schultz (11),310,R
376,377.,Paul Householder (8),309,R
377,377.,Garrett Jones (8),309,L
378,379.,Gene Hermanski (9),307,R
379,379.,Jack Rothrock (11),307,R
380,381.,Jim Piersall (17),306,R
381,382.,Matty Alou (15),304,L
382,382.,Eric Davis (17),304,R
383,382.,Carl Everett (14),304,R
384,382.,"Hunter Renfroe (5, 28)",304,R
385,386.,Franklin Gutierrez (12),302,R
386,386.,Chuck Hinton (11),302,R
387,386.,Dustan Mohr (7),302,R
388,389.,Glenn Braggs (7),301,R
389,389.,Tito Francona (15),301,L
390,391.,Lee Maye (13),300,R
391,391.,Brandon Moss (11),300,R
392,393.,Joe Lahoud (11),299,L
393,393.,Juan Rivera (12),299,R
394,395.,Jason Lane (7),298,L
395,395.,Bubba Trammell (7),298,R
396,397.,Albert Belle (12),297,R
397,397.,Smoky Joe Wood (14),297,R
398,399.,Melky Cabrera (15),296,L
399,399.,Mike Shannon (9),296,R
