,Rank,"Player (yrs, age)",Wins Above Replacement,Bats/Throws
627,628.,Don Buford (10),36.2,B
628,628.,Candy Cummings+ (6),36.2,R
629,630.,Eric Davis (17),36.1,R
630,630.,Art Devlin (10),36.1,R
631,630.,Freddy Parent (12),36.1,R
632,633.,Cecil Cooper (17),36.0,L
633,633.,Bob Rush (13),36.0,R
634,635.,Fritz Ostermueller (15),35.9,L
635,636.,Paul Derringer (15),35.8,R
636,636.,Wally Joyner (16),35.8,L
637,638.,Josh Beckett (14),35.7,R
638,638.,"Edwin Encarnacion (16, 37)",35.7,R
639,638.,Wally Moses (17),35.7,L
640,638.,Danny Murphy (16),35.7,R
641,638.,Ed Reulbach (13),35.7,R
642,638.,Ned Williamson (13),35.7,R
643,644.,Roy Campanella+ (10),35.6,R
644,644.,Freddie Fitzsimmons (19),35.6,R
645,644.,Burt Hooton (15),35.6,R
646,647.,Denny Lyons (13),35.5,R
647,648.,Dave Foutz (13),35.4,R
648,648.,Miller Huggins+ (13),35.4,B
649,648.,Rick Rhoden (16),35.4,R
650,651.,Tommy Holmes (11),35.3,L
651,651.,Jack Taylor (10),35.3,R
652,653.,Ron Fairly (21),35.2,L
653,654.,Doyle Alexander (19),35.1,R
654,654.,"Alex Gordon (14, 36)",35.1,L
655,654.,Dan Haren (13),35.1,R
656,654.,Jerry Reuss (22),35.1,L
657,654.,Mickey Vernon (20),35.1,L
658,659.,Brady Anderson (15),35.0,L
659,659.,Jim Bottomley+ (16),35.0,L
660,659.,Tom Gordon (21),35.0,R
661,659.,Eddie Yost (18),35.0,R
662,663.,Willie Kamm (13),34.9,R
663,663.,Will White (10),34.9,B
664,665.,Bump Hadley (16),34.8,R
665,665.,Brickyard Kennedy (12),34.8,R
666,665.,Frank White (18),34.8,R
667,668.,Shawn Green (15),34.7,L
668,668.,Howie Kendrick (15),34.7,R
669,668.,Claude Ritchey (13),34.7,B
670,668.,Bobby Shantz (16),34.7,R
671,672.,George Burns (16),34.6,R
672,672.,"Shin-Soo Choo (16, 37)",34.6,L
673,672.,Carl Furillo (15),34.6,R
674,672.,Derrek Lee (15),34.6,R
675,672.,Deacon Phillippe (13),34.6,R
676,672.,Jered Weaver (12),34.6,R
677,678.,Jeff Cirillo (14),34.5,R
678,678.,Ken Griffey (19),34.5,L
679,678.,Pedro Guerrero (15),34.5,R
680,678.,"Anthony Rizzo (10, 30)",34.5,L
681,682.,Travis Fryman (13),34.4,R
682,682.,Frank Killen (10),34.4,L
683,682.,B.J. Surhoff (19),34.4,L
684,682.,Tim Wakefield (19),34.4,R
685,686.,Thornton Lee (16),34.3,L
686,686.,Derek Lowe (17),34.3,R
687,686.,Stuffy McInnis (19),34.3,R
688,686.,Howie Pollet (14),34.3,L
689,690.,Chris Carpenter (15),34.2,R
690,690.,Freddy Garcia (15),34.2,R
691,690.,Willie McGee (18),34.2,B
692,690.,John Tudor (12),34.2,L
693,694.,Bob Allison (13),34.1,R
694,694.,Jimmy Dykes (22),34.1,R
695,694.,Ron Gant (16),34.1,R
696,694.,Bruce Hurst (15),34.1,L
697,694.,Dan McGann (12),34.1,B
698,699.,"Nick Markakis (15, 36)",34.0,L
699,699.,Ken McMullen (16),34.0,R
700,699.,Slim Sallee (14),34.0,R
701,702.,Russ Ford (7),33.9,R
702,702.,Rick Sutcliffe (18),33.9,L
703,702.,Robby Thompson (11),33.9,R
704,702.,Bobby Thomson (15),33.9,R
705,702.,"Justin Upton (14, 32)",33.9,R
706,707.,Tony Cuccinello (15),33.8,R
707,707.,Ray Durham (14),33.8,B
708,707.,Billy Nash (15),33.8,R
709,707.,Johnny Pesky (10),33.8,L
710,711.,"Bryce Harper (9, 27)",33.7,L
711,711.,Harry Howell (13),33.7,R
712,713.,Joe Adcock (17),33.6,R
713,713.,Heinie Zimmerman (13),33.6,R
714,715.,Ken Caminiti (15),33.5,B
715,715.,Mark Ellis (12),33.5,R
716,717.,"Kyle Seager (10, 32)",33.4,L
717,718.,Smoky Burgess (18),33.3,L
718,718.,Harvey Haddix (14),33.3,L
719,718.,Charlie Leibrandt (14),33.3,R
720,718.,Marty McManus (15),33.3,R
721,718.,"Stephen Strasburg (11, 31)",33.3,R
722,723.,Kid Elberfeld (14),33.2,R
723,723.,George Grantham (13),33.2,L
724,723.,Ken Keltner (13),33.2,R
725,723.,Dwayne Murphy (12),33.2,L
726,723.,Gene Woodling (17),33.2,L
727,728.,Dom DiMaggio (11),33.1,R
728,728.,Elbie Fletcher (12),33.1,L
729,728.,Johnny Logan (13),33.1,R
730,728.,Rick Monday (19),33.1,L
731,732.,Gavvy Cravath (11),33.0,R
732,732.,Richie Hebner (18),33.0,L
733,732.,Ray Schalk+ (18),33.0,R
734,732.,Earl Torgeson (15),33.0,L
735,736.,Jim Devlin (5),32.9,R
736,736.,Bill Doran (12),32.9,B
737,736.,Brian Jordan (15),32.9,R
738,739.,Sid Fernandez (15),32.8,L
739,739.,Ron Hunt (12),32.8,R
740,741.,Van Mungo (14),32.7,R
741,741.,Mickey Rivers (15),32.7,L
742,741.,Jimmy Williams (11),32.7,R
743,744.,Rico Carty (15),32.6,R
744,744.,Mort Cooper (11),32.6,R
745,744.,Jesse Haines+ (19),32.6,R
746,744.,Pat Hentgen (14),32.6,R
747,744.,Dummy Hoy (14),32.6,L
748,749.,Adam Jones (14),32.5,R
749,749.,Rube Marquard+ (18),32.5,B
750,749.,Joe Start (16),32.5,L
751,749.,Riggs Stephenson (14),32.5,R
752,749.,John Valentin (11),32.5,R
753,754.,Vern Law (16),32.4,R
754,754.,Aramis Ramirez (18),32.4,R
755,754.,Edgar Renteria (16),32.4,R
756,754.,Ezra Sutton (18),32.4,R
757,754.,Kevin Youkilis (10),32.4,R
758,759.,Darin Erstad (14),32.3,L
759,759.,"Corey Kluber (10, 34)",32.3,R
760,759.,Al Rosen (10),32.3,R
761,759.,"Christian Yelich (8, 28)",32.3,L
762,759.,Ross Youngs+ (10),32.3,L
763,764.,John Denny (13),32.2,R
764,764.,Eddie Lopat (12),32.2,L
765,766.,"Johnny Cueto (13, 34)",32.1,R
766,766.,Roy Cullenbine (10),32.1,B
767,766.,Bobby Murcer (17),32.1,L
768,766.,Sonny Siebert (12),32.1,R
769,770.,Scott Fletcher (15),32.0,R
770,771.,Larry Dierker (14),31.9,R
771,771.,Victor Martinez (16),31.9,B
772,771.,Brian McCann (15),31.9,L
773,771.,Barry Zito (15),31.9,L
774,775.,Johnny Antonelli (12),31.8,L
775,775.,Frank McCormick (13),31.8,R
776,775.,Chick Stahl (10),31.8,L
777,778.,Andres Galarraga (19),31.7,R
778,778.,Sam West (16),31.7,L
779,780.,Charlie Ferguson (4),31.6,B
780,780.,Claude Hendrix (10),31.6,R
781,780.,Jose Valentin (16),31.6,B
782,783.,Andy Benes (14),31.5,R
783,783.,Shane Victorino (12),31.5,R
784,785.,Ed Brandt (11),31.4,L
785,785.,Eddie Joost (17),31.4,R
786,785.,Ted Kluszewski (15),31.4,L
787,785.,Marty Marion (13),31.4,R
788,785.,"Carlos Santana (11, 34)",31.4,B
789,790.,Mike Boddicker (14),31.3,R
790,790.,Bill Russell (18),31.3,R
791,790.,Rudy York (13),31.3,R
792,793.,Topsy Hartsel (14),31.2,L
793,793.,Bill Lee (14),31.2,R
794,793.,Wally Pipp (15),31.2,L
795,793.,"Anthony Rendon (8, 30)",31.2,R
796,793.,Adonis Terry (14),31.2,R
797,798.,Duke Farrell (18),31.1,B
798,798.,Rick Ferrell+ (18),31.1,R
799,798.,Chick Hafey+ (13),31.1,R
800,798.,Bill Sherdel (15),31.1,L
801,798.,Brandon Webb (7),31.1,R
802,803.,Jacoby Ellsbury (11),31.0,L
803,803.,Bill Joyce (8),31.0,L
804,803.,Hunter Pence (14),31.0,R
805,803.,Ken Raffensberger (15),31.0,R
806,803.,James Shields (13),31.0,R
807,808.,Orlando Hudson (11),30.9,B
808,809.,Greg Vaughn (15),30.8,R
809,810.,Jim Bagby (9),30.7,B
810,810.,Jim Barr (12),30.7,R
811,810.,Ice Box Chamberlain (10),30.7,R
812,813.,Chris Speier (19),30.6,R
813,813.,Harry Steinfeldt (14),30.6,R
814,813.,Hal Trosky (11),30.6,L
815,816.,"Elvis Andrus (12, 31)",30.5,R
816,816.,Ginger Beaumont (12),30.5,L
817,816.,Willis Hudlin (16),30.5,R
818,816.,Arlie Latham (17),30.5,R
819,816.,Sal Maglie (10),30.5,R
820,816.,Greg Swindell (17),30.5,R
821,822.,"Michael Brantley (12, 33)",30.4,L
822,822.,Mike Garcia (14),30.4,R
823,822.,Mike Hargrove (12),30.4,L
824,822.,John Hiller (15),30.4,R
825,822.,Gary Matthews (16),30.4,R
826,822.,Joe Nuxhall (16),30.4,L
827,822.,Jhonny Peralta (15),30.4,R
828,829.,Teddy Higuera (9),30.3,B
829,829.,Max Lanier (14),30.3,R
830,829.,Frank Lary (12),30.3,R
831,829.,Firpo Marberry (14),30.3,R
832,833.,Bobby Bonilla (16),30.2,B
833,833.,Lance Johnson (14),30.2,L
834,833.,Woody Williams (15),30.2,R
835,836.,Sherm Lollar (18),30.1,R
836,836.,Kevin McReynolds (12),30.1,R
837,838.,Liván Hernández (17),30.0,R
838,838.,Cecil Travis (12),30.0,L
839,838.,Hooks Wiltse (12),30.0,R
840,841.,Dean Chance (11),29.9,R
841,841.,Del Ennis (14),29.9,R
842,841.,Von Hayes (12),29.9,L
843,841.,"Starling Marte (9, 31)",29.9,R
844,841.,Johnny Podres (15),29.9,L
845,841.,John Titus (11),29.9,L
846,847.,Kevin Millwood (16),29.8,R
847,847.,Pete Runnels (14),29.8,L
848,849.,Phil Garner (16),29.7,R
849,849.,Javy Lopez (15),29.7,R
850,849.,Joe Niekro (22),29.7,R
851,849.,Preacher Roe (12),29.7,R
852,853.,Marquis Grissom (17),29.6,R
853,853.,Dick McBride (6),29.6,
854,855.,Raul Mondesi (13),29.5,R
855,855.,Brian Roberts (14),29.5,B
856,855.,Jason Schmidt (14),29.5,R
857,855.,Hal Schumacher (13),29.5,R
858,855.,"Justin Turner (12, 35)",29.5,R
859,860.,Bob Ewing (11),29.4,R
860,860.,Jim Piersall (17),29.4,R
861,860.,Johnny Sain (11),29.4,R
862,860.,Mickey Tettleton (14),29.4,B
863,860.,Chief Zimmer (19),29.4,R
864,865.,Tom Haller (12),29.3,L
865,866.,Ray Chapman (9),29.2,R
866,866.,Doug Drabek (13),29.2,R
867,866.,Joe Kuhel (18),29.2,L
868,866.,Kevin Tapani (13),29.2,R
869,866.,Jayson Werth (15),29.2,R
870,871.,"Asdrubal Cabrera (14, 34)",29.1,B
871,871.,Matt Cain (13),29.1,R
872,871.,Luis Castillo (15),29.1,B
873,871.,George Hendrick (18),29.1,R
874,871.,Kevin Mitchell (13),29.1,R
875,871.,Dutch Ruether (11),29.1,L
876,877.,Mike Donlin (12),29.0,L
877,877.,Benny Kauff (8),29.0,L
878,877.,Johnny Kling (13),29.0,R
879,877.,Tino Martinez (16),29.0,L
880,877.,Art Nehf (15),29.0,L
881,882.,Coco Crisp (15),28.9,B
882,882.,Ellis Kinder (12),28.9,R
883,882.,Bing Miller (16),28.9,R
884,882.,Kevin Seitzer (12),28.9,R
885,882.,Lee Smith+ (18),28.9,R
886,887.,Edgardo Alfonzo (12),28.8,R
887,887.,John Anderson (14),28.8,B
888,887.,Bob Bailey (17),28.8,R
889,887.,A.J. Burnett (17),28.8,R
890,891.,Henry Larkin (10),28.7,R
891,891.,"Francisco Lindor (6, 26)",28.7,B
892,891.,Gary Peters (14),28.7,L
893,891.,Chris Short (15),28.7,R
894,895.,Lew Burdette (18),28.6,R
895,895.,"Gio Gonzalez (13, 34)",28.6,R
896,895.,Alfonso Soriano (16),28.6,R
897,895.,Vernon Wells (15),28.6,R
898,899.,Don Baylor (19),28.5,R
899,899.,Alex Fernandez (10),28.5,R
900,899.,Terry Pendleton (15),28.5,B
901,902.,Bobby Avila (11),28.4,R
902,902.,Baby Doll Jacobson (11),28.4,R
903,902.,Lee Meadows (15),28.4,L
904,902.,Brandon Phillips (17),28.4,R
905,902.,Terry Puhl (15),28.4,L
906,902.,Jack Rowe (12),28.4,L
907,908.,"Matt Carpenter (10, 34)",28.3,L
908,908.,Billy Jurges (17),28.3,R
909,908.,Carlos Lee (14),28.3,R
910,908.,Buddy Lewis (11),28.3,L
911,908.,Sixto Lezcano (12),28.3,R
912,908.,Tim McCarver (21),28.3,L
913,908.,Melvin Mora (13),28.3,R
914,908.,Cesar Tovar (12),28.3,R
915,908.,Elmer Valo (20),28.3,L
916,908.,Bob Watson (19),28.3,R
917,918.,Del Crandall (16),28.2,R
918,918.,Josh Hamilton (9),28.2,L
919,918.,Mike Hampton (16),28.2,R
920,918.,Lindy McDaniel (21),28.2,R
921,918.,Rondell White (15),28.2,R
922,923.,J.J. Hardy (13),28.1,R
923,923.,Denis Menke (13),28.1,R
924,923.,Martin Prado (14),28.1,R
925,923.,"Jose Ramirez (8, 27)",28.1,B
926,923.,Denard Span (11),28.1,L
927,923.,Jarrod Washburn (12),28.1,L
928,929.,Trevor Hoffman+ (18),28.0,R
929,929.,Paul Konerko (18),28.0,R
930,929.,Red Rolfe (10),28.0,L
931,929.,Terry Steinbach (14),28.0,R
932,933.,Jackie Jensen (11),27.9,R
933,933.,Hal McRae (19),27.9,R
934,933.,Mike Moore (14),27.9,R
935,933.,Roy Smalley (13),27.9,B
936,933.,Garry Templeton (16),27.9,B
937,933.,Lloyd Waner+ (18),27.9,L
938,939.,General Crowder (11),27.8,L
939,939.,Jack McDowell (12),27.8,R
940,939.,Jouett Meekin (10),27.8,R
941,939.,George Mogridge (15),27.8,L
942,939.,Reb Russell (9),27.8,L
943,939.,Amos Strunk (17),27.8,L
944,945.,Ross Barnes (9),27.7,R
945,945.,Ossie Bluege (18),27.7,R
946,945.,Clete Boyer (16),27.7,R
947,945.,Kevin Gross (15),27.7,R
948,945.,Carlos Guillen (14),27.7,B
949,945.,Mel Parnell (10),27.7,L
950,945.,Scott Sanderson (19),27.7,R
951,945.,Grady Sizemore (10),27.7,L
952,945.,Billy Wagner (16),27.7,L
953,945.,Don Wilson (9),27.7,R
954,955.,Dave Henderson (14),27.6,R
955,955.,Manny Sanguillen (13),27.6,R
956,955.,Earl Wilson (11),27.6,R
957,955.,Kerry Wood (14),27.6,R
958,959.,Chris Chambliss (17),27.5,L
959,959.,Davey Johnson (13),27.5,R
960,959.,Freddie Lindstrom+ (13),27.5,R
961,959.,Bob Meusel (11),27.5,R
962,959.,Lloyd Moseby (12),27.5,L
963,959.,"George Springer (7, 30)",27.5,R
964,959.,Randy Winn (13),27.5,B
965,966.,Bob Boone (19),27.4,R
966,966.,Bill Hands (11),27.4,R
967,966.,Buck Herzog (13),27.4,R
968,966.,Syl Johnson (19),27.4,R
969,966.,"Kevin Kiermaier (8, 30)",27.4,L
970,966.,Benito Santiago (20),27.4,R
971,966.,George Zettlein (6),27.4,R
972,973.,Hank Bauer (14),27.3,R
973,973.,Walker Cooper (18),27.3,R
974,973.,Ken Holtzman (15),27.3,R
975,973.,Win Mercer (9),27.3,L
976,973.,Dave Orr (8),27.3,R
977,973.,Alex Rios (12),27.3,R
978,973.,"Anibal Sanchez (15, 36)",27.3,R
979,980.,Ed Bailey (14),27.2,L
980,980.,Leo Cardenas (16),27.2,R
981,980.,Ferris Fain (9),27.2,L
982,980.,Turk Farrell (14),27.2,R
983,980.,Lee May (18),27.2,R
984,980.,Sherry Smith (14),27.2,R
985,980.,Snuffy Stirnweiss (10),27.2,R
986,987.,Elston Howard (14),27.1,R
987,987.,Ted Lilly (15),27.1,L
988,987.,Ben Sanders (5),27.1,R
989,987.,Mo Vaughn (12),27.1,L
990,991.,Tony Gonzalez (12),27.0,L
991,991.,Billy Goodman (16),27.0,L
992,991.,Ryan Klesko (16),27.0,L
993,991.,Stu Miller (16),27.0,R
994,991.,Justin Morneau (14),27.0,L
995,991.,Bill Skowron (14),27.0,R
996,991.,Red Smith (9),27.0,R
997,998.,Mike Cuellar (15),26.9,L
998,998.,Vic Wertz (17),26.9,L
