,Rank,"Player (yrs, age)",Slugging %,Bats
189,189.,George Selkirk (9),.4828,L
190,191.,Eric Davis (17),.4824,R
191,191.,Glenallen Hill (13),.4824,R
192,193.,Yogi Berra+ (19),.4822,L
193,193.,Andre Dawson+ (21),.4822,R
194,195.,Cliff Floyd (17),.4820,L
195,196.,Cecil Fielder (13),.4817,R
196,197.,Jeromy Burnitz (14),.4813,L
197,198.,Henry Rodriguez (11),.4810,L
198,199.,Jason Bay (11),.4808,R
199,199.,Luke Scott (9),.4808,L
200,201.,Kent Hrbek (14),.4806,L
201,201.,Justin Morneau (14),.4806,L
202,203.,Charlie Gehringer+ (19),.4805,L
203,204.,Pedro Guerrero (15),.4800,R
204,205.,George Foster (18),.4799,R
205,206.,Adrian Beltre (21),.4797,R
206,207.,Al Kaline+ (22),.4796,R
207,208.,Jake Stenzel (9),.4790,R
208,209.,Luis Gonzalez (19),.4789,L
209,210.,Heinie Manush+ (17),.4788,L
210,211.,Don Hurst (7),.4785,L
211,212.,Kevin Youkilis (10),.4783,R
212,213.,Rusty Greer (9),.4782,L
213,214.,Gavvy Cravath (11),.4781,R
214,214.,"Andrew McCutchen (12, 33)",.4781,R
215,216.,Corey Hart (11),.4779,R
216,216.,Dave Kingman (16),.4779,R
217,218.,Mickey Cochrane+ (13),.4778,L
218,218.,Greg Luzinski (15),.4778,R
219,220.,Bernie Williams (16),.4773,B
220,221.,Brad Hawpe (9),.4772,L
221,222.,Johnny Frederick (6),.4768,L
222,223.,Kirby Puckett+ (12),.4767,R
223,223.,Matt Stairs (19),.4767,L
224,225.,Ray Lankford (14),.4766,L
225,226.,Tony Oliva (15),.4764,L
226,227.,Vinny Castilla (16),.4763,R
227,228.,Roger Maris (12),.4762,L
228,229.,Eddie Murray+ (21),.4761,B
229,230.,Johnny Bench+ (17),.4758,R
230,231.,Tony Conigliaro (8),.4756,R
231,232.,Jack Clark (18),.4755,R
232,233.,Eric Chavez (17),.4754,L
233,234.,Leon Durham (10),.4753,L
234,235.,Roberto Clemente+ (18),.4751,R
235,235.,Mike Napoli (12),.4751,R
236,237.,Jose Bautista (15),.4750,R
237,238.,Roy Sievers (17),.4749,R
238,238.,"Ryan Zimmerman (15, 35)",.4749,R
239,240.,Bobby Abreu (18),.4748,L
240,240.,Dmitri Young (13),.4748,B
241,242.,Yasiel Puig (7),.4746,R
242,243.,Dave Winfield+ (22),.4745,R
243,244.,"Justin Upton (14, 32)",.4744,R
244,245.,"AJ Pollock (9, 32)",.4743,R
245,246.,Bob Nieman (12),.4742,R
246,247.,Jorge Posada (17),.4741,B
247,248.,Jackie Robinson+ (10),.4737,R
248,249.,Kiki Cuyler+ (18),.4735,R
249,250.,Ron Kittle (10),.4734,R
250,250.,Paul Waner+ (20),.4734,L
251,252.,Riggs Stephenson (14),.4732,R
252,253.,"Evan Longoria (13, 34)",.4726,R
253,253.,"Eugenio Suarez (7, 28)",.4726,R
254,255.,Pat Burrell (12),.4725,R
255,256.,Dean Palmer (14),.4723,R
256,257.,Joe Harris (10),.4722,R
257,258.,"Nicholas Castellanos (8, 28)",.4721,R
258,259.,Del Ennis (14),.4719,R
259,260.,Phil Nevin (12),.4718,R
260,261.,Bobby Bonilla (16),.4715,B
261,262.,Don Mattingly (14),.4714,L
262,263.,Bob Allison (13),.4712,R
263,264.,Tino Martinez (16),.4710,L
264,265.,Bobby Bonds (14),.4708,R
265,266.,Dave Parker (19),.4707,L
266,267.,Greg Vaughn (15),.4703,R
267,268.,Dwight Evans (20),.4702,R
268,268.,Paul O'Neill (17),.4702,L
269,268.,Cy Williams (19),.4702,L
270,271.,"Justin Turner (12, 35)",.4695,R
271,272.,Vic Wertz (17),.4694,L
272,273.,George Bell (12),.4692,R
273,274.,Dale Murphy (18),.4690,R
274,275.,"Jay Bruce (13, 33)",.4688,L
275,276.,Preston Wilson (10),.4684,R
276,277.,Mike Donlin (12),.4683,L
277,278.,George Sisler+ (15),.4682,L
278,279.,Joe Cronin+ (20),.4679,R
279,280.,Ron Gant (16),.4677,R
280,281.,Jim Ray Hart (12),.4674,R
281,281.,Chris Hoiles (10),.4674,R
282,283.,Glenn Davis (10),.4673,R
283,283.,John Stone (11),.4673,L
284,285.,Bill Joyce (8),.4671,L
285,286.,Pete Browning (13),.4666,R
286,286.,Tony Lazzeri+ (14),.4666,R
287,288.,Ed Morgan (7),.4665,R
288,288.,Honus Wagner+ (21),.4665,R
289,290.,Nap Lajoie+ (21),.4663,R
