,Rank,"Player (yrs, age)",Home Runs,Bats,HR Log
555,553.,"Matthew Joyce (13, 35)",147,L,HR Log
556,553.,Gene Woodling (17),147,L,HR Log
557,558.,Edgardo Alfonzo (12),146,R,HR Log
558,558.,Tommy Harper (15),146,R,HR Log
559,558.,Candy Maldonado (15),146,R,HR Log
560,558.,"Rougned Odor (7, 26)",146,L,HR Log
561,558.,Jim Spencer (15),146,L,HR Log
562,558.,"Matt Wieters (12, 34)",146,B,HR Log
563,564.,Carlos Gomez (13),145,R,HR Log
564,564.,Miguel Olivo (13),145,R,HR Log
565,564.,"Anthony Rendon (8, 30)",145,R,HR Log
566,564.,Jose Reyes (16),145,B,HR Log
567,568.,Melky Cabrera (15),144,B,HR Log
568,568.,Charlie Hayes (14),144,R,HR Log
569,568.,Jeffrey Leonard (14),144,R,HR Log
570,568.,Bengie Molina (13),144,R,HR Log
571,568.,"Josh Reddick (12, 33)",144,L,HR Log
572,568.,Lee Stevens (10),144,L,HR Log
573,568.,Kevin Young (12),144,R,HR Log
574,575.,Von Hayes (12),143,L,HR Log
575,575.,Joe Mauer (15),143,L,HR Log
576,577.,"Kris Bryant (6, 28)",142,R,HR Log
577,577.,Wally Moon (12),142,L,HR Log
578,579.,Scott Brosius (11),141,R,HR Log
579,579.,"Chris Iannetta (14, 37)",141,R,HR Log
580,579.,Bo Jackson (8),141,R,HR Log
581,579.,John Jaha (10),141,R,HR Log
582,579.,"Jonathan Schoop (8, 28)",141,R,HR Log
583,584.,Joe Crede (10),140,R,HR Log
584,584.,Pedro Feliz (11),140,R,HR Log
585,584.,Pinky Higgins (14),140,R,HR Log
586,584.,Jason Kubel (10),140,L,HR Log
587,584.,"Logan Morrison (11, 32)",140,L,HR Log
588,584.,"Dustin Pedroia (14, 36)",140,R,HR Log
589,584.,Terry Pendleton (15),140,B,HR Log
590,584.,"Buster Posey (11, 33)",140,R,HR Log
591,584.,Edgar Renteria (16),140,R,HR Log
592,593.,John Briggs (12),139,L,HR Log
593,593.,Evan Gattis (6),139,R,HR Log
594,593.,Willie Montanez (14),139,L,HR Log
595,593.,David Segui (15),139,B,HR Log
596,593.,Eddie Yost (18),139,R,HR Log
597,598.,"Brandon Belt (10, 32)",138,L,HR Log
598,598.,Jose Cardenal (18),138,R,HR Log
599,598.,Roger Connor+ (18),138,B,HR Log
600,598.,Matt Lawton (12),138,L,HR Log
601,598.,"Francisco Lindor (6, 26)",138,B,HR Log
602,598.,Bill Mazeroski+ (17),138,R,HR Log
603,598.,"Daniel Murphy (12, 35)",138,L,HR Log
604,598.,Earl Williams (8),138,R,HR Log
605,606.,Steve Buechele (11),137,R,HR Log
606,606.,Darren Daulton (14),137,L,HR Log
607,606.,Alex Gonzalez (13),137,R,HR Log
608,606.,Eric Hinske (12),137,L,HR Log
609,606.,Trot Nixon (12),137,L,HR Log
610,606.,Jackie Robinson+ (10),137,R,HR Log
611,612.,Rod Barajas (14),136,R,HR Log
612,612.,Carl Crawford (15),136,L,HR Log
613,612.,Jack Fournier (15),136,L,HR Log
614,612.,Davey Johnson (13),136,R,HR Log
615,612.,Hector Lopez (12),136,R,HR Log
616,612.,Matt Nokes (11),136,L,HR Log
617,612.,Aaron Rowand (11),136,R,HR Log
618,619.,"Starlin Castro (11, 30)",135,R,HR Log
619,619.,Ripper Collins (9),135,B,HR Log
620,619.,Tony Gwynn+ (20),135,L,HR Log
621,619.,Travis Jackson+ (15),135,R,HR Log
622,619.,George McQuinn (12),135,L,HR Log
623,619.,Jim Presley (8),135,R,HR Log
624,619.,Luke Scott (9),135,L,HR Log
625,626.,Carlos Baerga (14),134,B,HR Log
626,626.,Derek Bell (11),134,R,HR Log
627,626.,Paul Blair (17),134,R,HR Log
628,626.,John Buck (11),134,R,HR Log
629,626.,"Nicholas Castellanos (8, 28)",134,R,HR Log
630,626.,"Randal Grichuk (7, 28)",134,R,HR Log
631,626.,Tom Haller (12),134,L,HR Log
632,626.,Mel Hall (13),134,L,HR Log
633,626.,Eddie Joost (17),134,R,HR Log
634,626.,Mike Pagliarulo (11),134,L,HR Log
635,626.,"Trevor Story (5, 27)",134,R,HR Log
636,626.,Ernie Whitt (15),134,L,HR Log
637,638.,"Jose Altuve (10, 30)",133,R,HR Log
638,638.,Mack Jones (10),133,L,HR Log
639,638.,Frank Malzone (12),133,R,HR Log
640,638.,"Kurt Suzuki (14, 36)",133,R,HR Log
641,642.,Dale Long (10),132,L,HR Log
642,642.,Al Martin (11),132,L,HR Log
643,642.,Yasiel Puig (7),132,R,HR Log
644,642.,Juan Rivera (12),132,R,HR Log
645,642.,Cody Ross (12),132,R,HR Log
646,642.,Norm Siebern (12),132,L,HR Log
647,642.,Zack Wheat+ (19),132,L,HR Log
648,649.,Wes Covington (11),131,L,HR Log
649,649.,Ken Harrelson (9),131,R,HR Log
650,649.,Joe Kuhel (18),131,L,HR Log
651,649.,John Milner (12),131,L,HR Log
652,649.,"Miguel Sano (6, 27)",131,R,HR Log
653,654.,Tommie Agee (12),130,R,HR Log
654,654.,Sean Casey (12),130,L,HR Log
655,654.,Coco Crisp (15),130,B,HR Log
656,654.,Mike Epstein (9),130,L,HR Log
657,654.,Mike Greenwell (12),130,L,HR Log
658,654.,Chase Headley (12),130,B,HR Log
659,654.,Steve Kemp (11),130,L,HR Log
660,654.,Kenny Lofton (17),130,L,HR Log
661,654.,Willard Marshall (11),130,L,HR Log
662,654.,Jorge Orta (16),130,L,HR Log
663,654.,"Joc Pederson (7, 28)",130,L,HR Log
664,654.,Gary Ward (12),130,R,HR Log
665,666.,"Brett Gardner (13, 36)",129,L,HR Log
666,666.,Mike Macfarlane (13),129,R,HR Log
667,666.,"Wil Myers (8, 29)",129,R,HR Log
668,666.,John Romano (10),129,R,HR Log
669,666.,Hank Thompson (9),129,L,HR Log
670,671.,Kiki Cuyler+ (18),128,R,HR Log
671,671.,Frank McCormick (13),128,R,HR Log
672,671.,"Wilson Ramos (11, 32)",128,R,HR Log
673,671.,Jose Vidro (12),128,B,HR Log
674,675.,Jody Davis (10),127,R,HR Log
675,675.,"Dexter Fowler (13, 34)",127,B,HR Log
676,675.,Jay Gibbons (9),127,L,HR Log
677,675.,Howie Kendrick (15),127,R,HR Log
678,675.,Mark Kotsay (17),127,L,HR Log
679,675.,Troy O'Leary (11),127,L,HR Log
680,675.,"Jose Ramirez (8, 27)",127,B,HR Log
681,675.,Wally Westlake (10),127,R,HR Log
682,683.,Aaron Boone (12),126,R,HR Log
683,683.,Smoky Burgess (18),126,L,HR Log
684,683.,Al Dark (14),126,R,HR Log
685,683.,Gregg Jefferies (14),126,B,HR Log
686,683.,"Jason Kipnis (10, 33)",126,L,HR Log
687,683.,Miguel Montero (13),126,L,HR Log
688,683.,Vic Power (12),126,R,HR Log
689,683.,Pee Wee Reese+ (16),126,R,HR Log
690,683.,Seth Smith (11),126,L,HR Log
691,683.,Sam Thompson+ (15),126,L,HR Log
692,693.,Milton Bradley (12),125,B,HR Log
693,693.,Vince DiMaggio (10),125,R,HR Log
694,693.,Tito Francona (15),125,L,HR Log
695,693.,Bill Hall (11),125,R,HR Log
696,693.,Bob Nieman (12),125,R,HR Log
697,693.,Michael Tucker (12),125,L,HR Log
698,699.,Darin Erstad (14),124,L,HR Log
699,699.,Darrin Fletcher (14),124,L,HR Log
700,699.,Carlos Guillen (14),124,B,HR Log
701,699.,Brad Hawpe (9),124,L,HR Log
702,699.,Roberto Kelly (14),124,R,HR Log
703,699.,Corey Koskie (9),124,L,HR Log
704,699.,Aurelio Rodriguez (17),124,R,HR Log
705,699.,"Justin Turner (12, 35)",124,R,HR Log
706,699.,John Valentin (11),124,R,HR Log
707,699.,Gee Walker (15),124,R,HR Log
708,709.,David Bell (12),123,R,HR Log
709,709.,"Cody Bellinger (4, 24)",123,L,HR Log
710,709.,Orlando Cabrera (15),123,R,HR Log
711,709.,Stephen Drew (12),123,L,HR Log
712,709.,Ken Phelps (11),123,L,HR Log
713,709.,Joe Randa (12),123,R,HR Log
714,709.,Willie Upshaw (10),123,L,HR Log
715,709.,Ellis Valentine (10),123,R,HR Log
716,717.,Jeff Blauser (13),122,R,HR Log
717,717.,Wil Cordero (14),122,R,HR Log
718,717.,Marty Cordova (9),122,R,HR Log
719,717.,"Corey Dickerson (8, 31)",122,L,HR Log
720,717.,Nick Esasky (8),122,R,HR Log
721,717.,Joe Ferguson (14),122,R,HR Log
722,717.,Ken Henderson (16),122,B,HR Log
723,717.,Garrett Jones (8),122,L,HR Log
724,717.,Don Lock (8),122,R,HR Log
725,717.,Harry Stovey (14),122,R,HR Log
726,717.,Brad Wilkerson (8),122,L,HR Log
727,728.,Dan Ford (11),121,R,HR Log
728,728.,Wayne Gross (11),121,L,HR Log
729,728.,"Jedd Gyorko (8, 31)",121,R,HR Log
730,728.,Jimmie Hall (8),121,L,HR Log
731,728.,Austin Kearns (12),121,R,HR Log
732,728.,Keith Moreland (12),121,R,HR Log
733,728.,Gary Roenicke (12),121,R,HR Log
734,728.,"Kyle Schwarber (6, 27)",121,L,HR Log
735,736.,"Joey Gallo (6, 26)",120,L,HR Log
736,736.,"Didi Gregorius (9, 30)",120,L,HR Log
737,736.,Brook Jacoby (11),120,R,HR Log
738,736.,Marty McManus (15),120,R,HR Log
739,740.,Zeke Bonura (7),119,R,HR Log
740,740.,Mickey Cochrane+ (13),119,L,HR Log
741,740.,Gavvy Cravath (11),119,R,HR Log
742,740.,Rusty Greer (9),119,L,HR Log
743,740.,Frankie Hayes (14),119,R,HR Log
744,740.,"Aaron Judge (5, 28)",119,R,HR Log
745,740.,Jay Payton (12),119,R,HR Log
746,740.,"Eddie Rosario (6, 28)",119,L,HR Log
747,740.,Scott Spiezio (12),119,B,HR Log
748,740.,Robby Thompson (11),119,R,HR Log
749,750.,"Matt Adams (9, 31)",118,L,HR Log
750,750.,"Javier Baez (7, 27)",118,R,HR Log
751,750.,Kevin Bass (14),118,B,HR Log
752,750.,"Xander Bogaerts (8, 27)",118,R,HR Log
753,750.,Wade Boggs+ (18),118,L,HR Log
754,750.,Leo Cardenas (16),118,R,HR Log
755,750.,"Michael Conforto (6, 27)",118,L,HR Log
756,750.,"C.J. Cron (7, 30)",118,R,HR Log
757,750.,Mike Easler (14),118,L,HR Log
758,750.,Bernard Gilkey (12),118,R,HR Log
759,750.,Ben Grieve (9),118,L,HR Log
760,750.,Ed Kranepool (18),118,L,HR Log
761,750.,Corey Patterson (12),118,L,HR Log
762,750.,Jimmy Ryan (18),118,R,HR Log
763,750.,Tillie Walker (13),118,R,HR Log
764,765.,Ty Cobb+ (24),117,L,HR Log
765,765.,Kelly Gruber (10),117,R,HR Log
766,765.,Jim King (11),117,L,HR Log
767,765.,Chet Laabs (11),117,R,HR Log
768,765.,Garry Maddox (15),117,R,HR Log
769,765.,Dan Pasqua (10),117,L,HR Log
770,765.,Tris Speaker+ (22),117,L,HR Log
771,765.,Mickey Stanley (15),117,R,HR Log
772,765.,Ichiro Suzuki (19),117,L,HR Log
773,774.,Stan Lopata (13),116,R,HR Log
774,774.,John Lowenstein (16),116,L,HR Log
775,774.,Bing Miller (16),116,R,HR Log
776,774.,Rick Reichardt (11),116,R,HR Log
777,774.,Chris Sabo (9),116,R,HR Log
778,779.,Gene Freese (12),115,R,HR Log
779,779.,Don Hurst (7),115,L,HR Log
780,779.,Travis Lee (9),115,L,HR Log
781,779.,Jerry Lynch (13),115,L,HR Log
782,779.,Craig Monroe (9),115,R,HR Log
783,779.,Alexei Ramírez (9),115,R,HR Log
784,779.,Bob Robertson (11),115,R,HR Log
785,779.,"Gary Sanchez (6, 27)",115,R,HR Log
786,779.,"Marcus Semien (8, 29)",115,R,HR Log
787,779.,Shannon Stewart (14),115,R,HR Log
788,779.,Marcus Thames (10),115,R,HR Log
789,790.,Ronnie Belliard (13),114,R,HR Log
790,790.,"Michael Brantley (12, 33)",114,L,HR Log
791,790.,Brad Fullmer (8),114,L,HR Log
792,790.,Whitey Lockman (15),114,L,HR Log
793,790.,"Starling Marte (9, 31)",114,R,HR Log
794,790.,Luis Valbuena (11),114,L,HR Log
795,796.,"Adam Duvall (7, 31)",113,R,HR Log
796,796.,David Freese (11),113,R,HR Log
797,796.,Rafael Furcal (14),113,B,HR Log
798,796.,Chuck Hinton (11),113,R,HR Log
799,796.,Terry Kennedy (14),113,L,HR Log
800,796.,Thurman Munson (11),113,R,HR Log
801,796.,Lefty O'Doul (11),113,L,HR Log
802,796.,Fernando Tatis (11),113,R,HR Log
803,796.,Greg Walker (9),113,L,HR Log
804,796.,Paul Waner+ (20),113,L,HR Log
805,806.,Sandy Alomar (20),112,R,HR Log
806,806.,Curt Blefary (8),112,L,HR Log
807,806.,Jackie Brandt (11),112,R,HR Log
808,806.,Jeff Cirillo (14),112,R,HR Log
809,806.,Dave Hollins (12),112,B,HR Log
810,806.,Gil McDougald (10),112,R,HR Log
811,806.,Jim Morrison (12),112,R,HR Log
812,806.,Chris Speier (19),112,R,HR Log
813,814.,Max Alvis (9),111,R,HR Log
814,814.,Greg Gagne (15),111,R,HR Log
815,816.,Willie Aikens (8),110,L,HR Log
816,816.,Greg Brock (10),110,L,HR Log
817,816.,Royce Clayton (17),110,R,HR Log
818,816.,Roy Cullenbine (10),110,B,HR Log
819,816.,Morgan Ensberg (8),110,R,HR Log
820,816.,"Eduardo Escobar (10, 31)",110,B,HR Log
821,816.,"Maikel Franco (7, 27)",110,R,HR Log
822,816.,Jeffrey Hammonds (13),110,R,HR Log
823,816.,Heinie Manush+ (17),110,L,HR Log
824,816.,Jarrod Saltalamacchia (12),110,B,HR Log
825,816.,Randy Winn (13),110,B,HR Log
826,827.,Eric Byrnes (11),109,R,HR Log
827,827.,Dave Duncan (11),109,R,HR Log
828,827.,Phil Garner (16),109,R,HR Log
829,827.,Delmon Young (10),109,R,HR Log
830,831.,Al Cowens (13),108,R,HR Log
831,831.,Jimmy Dykes (22),108,R,HR Log
832,831.,Shea Hillenbrand (7),108,R,HR Log
833,831.,Jack Howell (11),108,L,HR Log
834,831.,James Loney (11),108,L,HR Log
835,831.,"Jonathan Lucroy (11, 34)",108,R,HR Log
836,831.,Carmelo Martinez (9),108,R,HR Log
837,831.,Gary Matthews (12),108,B,HR Log
838,831.,Ron Northey (12),108,L,HR Log
839,831.,George Selkirk (9),108,L,HR Log
840,831.,Geovany Soto (13),108,R,HR Log
841,831.,Shane Victorino (12),108,R,HR Log
842,831.,Fred Whitfield (9),108,L,HR Log
843,831.,"Mike Zunino (8, 29)",108,R,HR Log
844,845.,Dan Brouthers+ (19),107,L,HR Log
845,845.,"Carlos Correa (6, 25)",107,R,HR Log
846,845.,Larry Herndon (14),107,R,HR Log
847,845.,Danny Litwhiler (11),107,R,HR Log
848,845.,Tony Pena (18),107,R,HR Log
849,845.,Todd Walker (12),107,L,HR Log
850,851.,Frank Bolling (12),106,R,HR Log
851,851.,Rico Brogna (9),106,L,HR Log
852,851.,Bruce Campbell (13),106,L,HR Log
853,851.,"Brandon Crawford (10, 33)",106,L,HR Log
854,851.,Hugh Duffy+ (17),106,R,HR Log
855,851.,Scott Hairston (11),106,R,HR Log
856,851.,Ron Hansen (15),106,R,HR Log
857,851.,Scott Hatteberg (14),106,L,HR Log
858,851.,Whitey Kurowski (9),106,R,HR Log
859,851.,Irish Meusel (11),106,R,HR Log
860,851.,Trevor Plouffe (9),106,R,HR Log
861,851.,Rip Repulski (9),106,R,HR Log
862,851.,David Ross (15),106,R,HR Log
863,851.,Lee Thomas (8),106,L,HR Log
864,851.,Mike Tiernan (13),106,L,HR Log
865,866.,Bob Boone (19),105,R,HR Log
866,866.,"Alex Bregman (5, 26)",105,R,HR Log
867,866.,Bob Cerv (12),105,R,HR Log
868,866.,Jack Cust (10),105,L,HR Log
869,866.,Mike Devereaux (12),105,R,HR Log
870,866.,Mark Ellis (12),105,R,HR Log
871,866.,Frankie Frisch+ (19),105,B,HR Log
872,866.,George Grantham (13),105,L,HR Log
873,866.,Mike Morse (13),105,R,HR Log
874,866.,Dave Nilsson (8),105,L,HR Log
875,866.,"AJ Pollock (9, 32)",105,R,HR Log
876,866.,"Travis Shaw (6, 30)",105,L,HR Log
877,866.,Daryl Spencer (10),105,R,HR Log
878,866.,Dixie Walker (18),105,L,HR Log
879,866.,Mark Whiten (11),105,B,HR Log
880,881.,"Alex Avila (12, 33)",104,L,HR Log
881,881.,Earl Battey (13),104,R,HR Log
882,881.,Ivan Calderon (10),104,R,HR Log
883,881.,"Jorge Cantu (8, 38)",104,R,HR Log
884,881.,Kal Daniels (7),104,L,HR Log
885,881.,Ryan Doumit (10),104,B,HR Log
886,881.,Jacoby Ellsbury (11),104,L,HR Log
887,881.,Granny Hamner (17),104,R,HR Log
888,881.,"Jed Lowrie (12, 36)",104,B,HR Log
889,881.,David Murphy (10),104,L,HR Log
890,881.,Xavier Nady (12),104,R,HR Log
891,881.,Jim Piersall (17),104,R,HR Log
892,881.,Placido Polanco (16),104,R,HR Log
893,881.,John Roseboro (14),104,L,HR Log
894,881.,Franklin Stubbs (10),104,L,HR Log
895,881.,Jim Tabor (9),104,R,HR Log
896,897.,Dick Gernert (11),103,R,HR Log
897,897.,"Yan Gomes (9, 32)",103,R,HR Log
898,897.,Tony Gonzalez (12),103,L,HR Log
899,897.,Randy Jackson (10),103,R,HR Log
900,897.,Freddie Lindstrom+ (13),103,R,HR Log
901,897.,Brian McRae (10),103,B,HR Log
902,897.,Orlando Merced (13),103,B,HR Log
903,897.,"Matt Olson (5, 26)",103,L,HR Log
904,897.,Bob Skinner (12),103,L,HR Log
905,906.,Ollie Brown (13),102,R,HR Log
906,906.,Jay Johnstone (20),102,L,HR Log
907,906.,Joe Oliver (13),102,R,HR Log
908,906.,Lou Piniella (18),102,R,HR Log
909,906.,George Sisler+ (15),102,L,HR Log
910,906.,Eric Soderholm (9),102,R,HR Log
911,906.,Steve Yeager (15),102,R,HR Log
912,913.,George Altman (9),101,L,HR Log
913,913.,Geronimo Berroa (11),101,R,HR Log
914,913.,Dave Concepcion (19),101,R,HR Log
915,913.,Chad Curtis (10),101,R,HR Log
916,913.,Ed Delahanty+ (16),101,R,HR Log
917,913.,David Dellucci (13),101,L,HR Log
918,913.,"Max Kepler (6, 27)",101,L,HR Log
919,913.,Hank Leiber (10),101,R,HR Log
920,913.,Nate McLouth (10),101,L,HR Log
921,913.,Denis Menke (13),101,R,HR Log
922,913.,Walt Moryn (8),101,L,HR Log
923,913.,Honus Wagner+ (21),101,R,HR Log
924,925.,"Yonder Alonso (10, 33)",100,L,HR Log
925,925.,Bruce Bochte (12),100,L,HR Log
926,925.,Mark DeRosa (16),100,R,HR Log
927,925.,Augie Galan (16),100,B,HR Log
928,925.,Mike Jacobs (7),100,L,HR Log
929,925.,John Kruk (10),100,L,HR Log
930,925.,Martin Prado (14),100,R,HR Log
931,925.,Duke Sims (11),100,L,HR Log
932,925.,Randy Velarde (16),100,R,HR Log
933,934.,Garrett Atkins (8),99,R,HR Log
934,934.,Geoff Blum (14),99,B,HR Log
935,934.,David DeJesus (13),99,L,HR Log
936,934.,Johnny Grubb (16),99,L,HR Log
937,934.,Monte Irvin+ (8),99,R,HR Log
938,934.,Craig Paquette (11),99,R,HR Log
939,934.,Craig Wilson (7),99,R,HR Log
940,941.,Michael Barrett (12),98,R,HR Log
941,941.,"Jackie Bradley Jr. (8, 30)",98,L,HR Log
942,941.,"Welington Castillo (10, 33)",98,R,HR Log
943,941.,Greg Colbrunn (13),98,R,HR Log
944,941.,Gordy Coleman (9),98,L,HR Log
945,941.,Frankie Crosetti (17),98,R,HR Log
946,941.,Danny Espinosa (8),98,B,HR Log
947,941.,Hoot Evers (12),98,R,HR Log
948,941.,"Avisail Garcia (9, 29)",98,R,HR Log
949,941.,Butch Hobson (8),98,R,HR Log
950,941.,Todd Hollandsworth (12),98,L,HR Log
951,941.,Chuck Knoblauch (12),98,R,HR Log
952,941.,Lonnie Smith (17),98,R,HR Log
953,941.,Ozzie Virgil (11),98,R,HR Log
954,941.,Pete Ward (9),98,L,HR Log
955,941.,Glenn Wilson (10),98,R,HR Log
956,957.,Cap Anson+ (27),97,R,HR Log
957,957.,Sam Crawford+ (19),97,L,HR Log
958,957.,Franklin Gutierrez (12),97,R,HR Log
959,957.,Tim McCarver (21),97,L,HR Log
960,957.,Eddie Miller (14),97,R,HR Log
961,957.,"Hunter Renfroe (5, 28)",97,R,HR Log
962,957.,Brian Roberts (14),97,B,HR Log
963,957.,John Vander Wal (14),97,L,HR Log
964,965.,Home Run Baker+ (13),96,L,HR Log
965,965.,Randy Bush (12),96,L,HR Log
966,965.,Bernie Carbo (12),96,L,HR Log
967,965.,Rick Dempsey (24),96,R,HR Log
968,965.,"Marwin Gonzalez (9, 31)",96,B,HR Log
969,965.,Ron Karkovice (12),96,R,HR Log
970,965.,Jason LaRue (12),96,R,HR Log
971,965.,John Mabry (14),96,L,HR Log
972,965.,Dave May (12),96,L,HR Log
973,965.,"Eric Thames (6, 33)",96,L,HR Log
974,965.,Danny Valencia (9),96,R,HR Log
975,965.,Arky Vaughan+ (14),96,L,HR Log
976,965.,Wes Westrum (11),96,R,HR Log
977,978.,Phil Cavarretta (22),95,L,HR Log
978,978.,"Freddy Galvis (9, 30)",95,B,HR Log
979,978.,Ival Goodman (10),95,L,HR Log
980,978.,Nick Johnson (10),95,L,HR Log
981,978.,Mike Jorgensen (17),95,L,HR Log
982,978.,"Brad Miller (8, 30)",95,L,HR Log
983,978.,Jerry Morales (15),95,R,HR Log
984,978.,"J.T. Realmuto (7, 29)",95,R,HR Log
985,978.,Stan Spence (9),95,L,HR Log
986,978.,Jim Sundberg (16),95,R,HR Log
987,978.,Zoilo Versalles (12),95,R,HR Log
988,989.,Eddie Bressoud (12),94,R,HR Log
989,989.,Bill Bruton (12),94,L,HR Log
990,989.,Tony Cuccinello (15),94,R,HR Log
991,989.,Erubiel Durazo (7),94,L,HR Log
992,989.,Tony Fernandez (17),94,B,HR Log
993,989.,Lee Maye (13),94,L,HR Log
994,989.,Bob Oliver (8),94,R,HR Log
995,989.,Fred Pfeffer (16),94,R,HR Log
996,989.,Luis Salazar (13),94,R,HR Log
997,989.,Larry Sheets (8),94,L,HR Log
998,989.,"Jorge Soler (7, 28)",94,R,HR Log
999,989.,Ed Taubensee (11),94,L,HR Log
1000,989.,Glenn Wright (11),94,R,HR Log
