,Rank,"Player (yrs, age)",Games Finished,Throws
537,531.,"Kirby Yates (7, 33)",127,R
538,539.,Alex Carrasquel (8),126,R
539,539.,Bill Dawley (7),126,R
540,539.,Andy Hassler (14),126,L
541,539.,Jeff Innis (7),126,R
542,539.,Barry Jones (8),126,R
543,539.,Ray Kolp (12),126,R
544,539.,Jim Mecir (11),126,R
545,539.,Nels Potter (12),126,R
546,547.,Jesus Colome (10),125,R
547,547.,Frank LaCorte (10),125,R
548,547.,Ken Ryan (8),125,R
549,547.,Johnny Sain (11),125,R
550,547.,Carl Scheib (11),125,R
551,552.,Hank Aguirre (16),124,L
552,552.,Carl Mays (15),124,R
553,552.,Will McEnaney (6),124,L
554,552.,Bobby Parnell (9),124,R
555,552.,Jack Scott (12),124,R
556,552.,Dick Selma (10),124,R
557,552.,Tony Sipp (11),124,L
558,559.,"Jerry Blevins (13, 36)",123,L
559,559.,Jerry Don Gleaton (12),123,L
560,559.,Lefty Grove+ (17),123,L
561,559.,Matt Guerrier (11),123,R
562,559.,Slim Sallee (14),123,L
563,564.,Juan Cruz (12),122,R
564,564.,Johnny Hetki (8),122,R
565,564.,Mike Magnante (12),122,L
566,564.,Dan Osinski (8),122,R
567,564.,Gabe White (11),122,L
568,569.,T.J. Mathews (8),121,R
569,569.,Dale Mohorcic (5),121,R
570,569.,Darren Oliver (20),121,L
571,569.,Barney Schultz (7),121,R
572,569.,Dooley Womack (5),121,R
573,574.,Bud Byerly (11),120,R
574,574.,Greg Cadaret (10),120,L
575,574.,Hooks Dauss (15),120,R
576,574.,Joe Gibbon (13),120,L
577,574.,Bob Grim (8),120,R
578,574.,Dennis Higgins (7),120,R
579,574.,Dennys Reyes (15),120,L
580,574.,Elam Vangilder (11),120,R
581,582.,Blaine Boyer (12),119,R
582,582.,Ernie Camacho (10),119,R
583,582.,Ernie Johnson (9),119,R
584,582.,Pat Neshek (13),119,R
585,582.,Marty Pattin (13),119,R
586,582.,Juan Pizarro (18),119,L
587,582.,Bill Swift (11),119,R
588,582.,Jim Todd (6),119,R
589,582.,"Arodys Vizcaino (7, 29)",119,R
590,591.,Red Ames (17),118,R
591,591.,Luis Arroyo (8),118,L
592,591.,Paul Gibson (8),118,L
593,591.,Rick Honeycutt (21),118,L
594,591.,Steve Olin (4),118,R
595,591.,Juan Rincon (10),118,R
596,597.,Warren Brusstar (9),117,R
597,597.,Dan Schatzeder (15),117,L
598,597.,Calvin Schiraldi (8),117,R
599,600.,Dennis Cook (15),116,L
600,600.,Jesse Crain (10),116,R
601,600.,Steve Frey (8),116,L
602,600.,Dave Hamilton (9),116,L
603,600.,Bob Humphreys (9),116,R
604,600.,Sad Sam Jones (22),116,R
605,600.,"Blake Parker (8, 35)",116,R
606,600.,Dave Tobik (8),116,R
607,608.,Jeremy Accardo (8),115,R
608,608.,Chad Bradford (12),115,R
609,608.,Jim Corsi (10),115,R
610,608.,Fred Frankhouse (13),115,R
611,608.,Si Johnson (17),115,R
612,608.,Billy Loes (11),115,R
613,608.,Walt Masterson (14),115,R
614,608.,Danny Patterson (9),115,R
615,608.,Ramon Ramirez (9),115,R
616,608.,Jim Ray (9),115,R
617,608.,Bob Shawkey (15),115,R
618,608.,George Uhle (17),115,R
619,620.,Dave Beard (7),114,R
620,620.,Tony Castillo (10),114,L
621,620.,J.P. Howell (12),114,L
622,620.,Joe Oeschger (12),114,R
623,620.,Chris Reitsma (7),114,R
624,620.,Scot Shields (10),114,R
625,620.,Virgil Trucks (17),114,R
626,627.,Larry Benton (13),113,R
627,627.,Scott Downs (13),113,L
628,629.,Chief Bender+ (16),112,R
629,629.,Lance Carter (6),112,R
630,629.,Russ Christopher (7),112,R
631,629.,Andy McGaffigan (11),112,R
632,629.,Butch Metzger (5),112,R
633,634.,Matt Anderson (7),111,R
634,634.,Earl Caldwell (8),111,R
635,634.,Ben Cantwell (11),111,R
636,634.,Reggie Cleveland (13),111,R
637,634.,Phil Collins (8),111,R
638,634.,Curt Davis (13),111,R
639,634.,Hersh Freeman (6),111,R
640,634.,Aaron Fultz (8),111,L
641,634.,John Grabow (9),111,L
642,634.,"Javy Guerra (10, 34)",111,R
643,634.,John Hudek (6),111,R
644,634.,Roy Lee Jackson (10),111,R
645,634.,Bob Wells (9),111,R
646,647.,Doc Ayers (9),110,R
647,647.,Steve Crawford (10),110,R
648,647.,Steve Gromek (17),110,R
649,647.,Mickey Harris (9),110,L
650,647.,Les Lancaster (7),110,R
651,647.,Mark Lowe (11),110,R
652,647.,Mike Remlinger (14),110,L
653,647.,Bobby Tiefenauer (10),110,R
654,647.,Carlos Villanueva (11),110,R
655,647.,C.J. Wilson (11),110,L
656,657.,Dave Danforth (10),109,L
657,657.,Ike Delock (11),109,R
658,657.,Mike Munoz (12),109,L
659,657.,Satchel Paige+ (6),109,R
660,657.,Sherry Smith (14),109,L
661,657.,Jerry Spradlin (7),109,R
662,657.,Hooks Wiltse (12),109,L
663,664.,Bob Apodaca (5),108,R
664,664.,Todd Coffey (8),108,R
665,664.,Larry French (14),108,L
666,664.,Bump Hadley (16),108,R
667,664.,Tyler Walker (8),108,R
668,669.,Eddie Cicotte (14),107,R
669,669.,Scott Eyre (13),107,L
670,669.,Dustin Hermanson (12),107,R
671,669.,Andy Karl (5),107,R
672,669.,Pat Malone (10),107,R
673,674.,Clyde King (7),106,R
674,674.,Ed Klieman (8),106,R
675,674.,Cal Koonce (10),106,R
676,674.,Gordon Maltzberger (4),106,R
677,678.,Burke Badenhop (8),105,R
678,678.,Joe Berry (4),105,R
679,678.,Rheal Cormier (16),105,L
680,678.,Jamie Easterly (13),105,L
681,678.,Ken Howell (7),105,R
682,678.,Willis Hudlin (16),105,R
683,678.,Hal Jeffcoat (12),105,R
684,678.,"Corey Knebel (6, 28)",105,R
685,678.,Brandon Maurer (6),105,R
686,678.,Carlos Reyes (8),105,R
687,678.,Bob Shirley (11),105,L
