,Rank,"Player (yrs, age)",Putouts,Throws
73,74.,Jason Kendall (15),13067,R
74,75.,Lee May (18),13029,R
75,76.,Bill White (13),13015,L
76,77.,George Stovall (12),12899,R
77,78.,Brad Ausmus (18),12856,R
78,79.,J.T. Snow (16),12855,L
79,80.,Kitty Bransfield (12),12805,R
80,81.,Boog Powell (17),12796,R
81,82.,Ted Kluszewski (15),12652,L
82,83.,A.J. Pierzynski (19),12600,R
83,84.,Dick Hoblitzell (11),12591,R
84,85.,Jack Fournier (15),12535,R
85,86.,Candy LaChance (12),12506,R
86,87.,Gary Carter+ (19),12490,R
87,88.,Stan Musial+ (22),12439,L
88,89.,Phil Cavarretta (22),12435,L
89,90.,Pete Rose (24),12394,R
90,91.,Ryan Howard (13),12351,L
91,92.,Rudy York (13),12308,R
92,93.,Brian McCann (15),12165,R
93,94.,Walter Holke (11),12158,L
94,95.,Hal Trosky (11),12125,R
95,96.,Adam LaRoche (12),12072,L
96,97.,Earl Sheely (9),12067,R
97,98.,Bill Skowron (14),12052,R
98,99.,Jason Thompson (11),11818,L
99,100.,Lyle Overbay (14),11760,L
100,101.,Pete O'Brien (12),11737,L
101,102.,Earl Torgeson (15),11684,L
102,103.,Russell Martin (14),11639,R
103,104.,Joe Torre+ (18),11618,R
104,105.,Carlton Fisk+ (24),11612,R
