,Rank,"Player (yrs, age)",Earned Run Average,Throws
325,324.,Fergie Jenkins+ (19),3.338,R
326,327.,Tommy John (26),3.342,L
327,328.,Bret Saberhagen (16),3.343,R
328,329.,Lefty Gomez+ (14),3.344,L
329,330.,Mike Smith (14),3.346,L
330,331.,Doug Rau (9),3.347,L
331,332.,Phil Niekro+ (24),3.351,R
332,333.,Bill Hands (11),3.354,R
333,334.,Sid Fernandez (15),3.356,L
334,335.,Hal Schumacher (13),3.357,R
335,336.,Jerry Koosman (19),3.359,L
336,336.,Roy Oswalt (13),3.359,R
337,338.,Casey Patten (8),3.360,L
338,339.,Steve Barber (15),3.363,L
339,340.,Ken Forsch (16),3.368,R
340,340.,"Zack Greinke (17, 36)",3.368,R
341,342.,Al Orth (15),3.370,R
342,343.,Bob Miller (17),3.371,R
343,344.,Mark Baldwin (7),3.372,R
344,345.,Rick Reuschel (19),3.373,R
345,346.,Lee Meadows (15),3.374,R
346,347.,Bobby Shantz (16),3.376,L
347,348.,Willie Hernandez (13),3.377,L
348,349.,Steve Bedrosian (14),3.378,R
349,350.,Burt Hooton (15),3.380,R
350,351.,"Adam Wainwright (15, 38)",3.381,R
351,352.,Roy Halladay+ (16),3.385,R
352,352.,Virgil Trucks (17),3.385,R
353,354.,Jimmy Callahan (13),3.386,R
354,354.,Al Worthington (14),3.386,R
355,356.,Ed Daily (7),3.389,R
356,357.,Bill Singer (14),3.391,R
357,358.,Denny McLain (10),3.393,R
358,359.,Milt Pappas (17),3.398,R
359,359.,Ed Seward (6),3.398,R
360,361.,Larry Jackson (14),3.401,R
361,362.,Bobby Bolin (13),3.404,R
362,363.,Elmer Riddle (10),3.405,R
363,363.,Robin Roberts+ (19),3.405,R
364,365.,Roger Wolff (7),3.406,R
365,366.,Steve Gromek (17),3.409,R
366,367.,Eddie Fisher (15),3.410,R
367,368.,"Johnny Cueto (13, 34)",3.413,R
368,369.,Michael Jackson (17),3.416,R
369,370.,Cliff Melton (8),3.418,L
370,371.,"Felix Hernandez (15, 34)",3.419,R
371,372.,Curt Davis (13),3.422,R
372,372.,Randy Jones (10),3.422,L
373,374.,Craig Lefferts (12),3.425,L
374,375.,"Cole Hamels (15, 36)",3.426,L
375,376.,Don Mossi (12),3.430,L
376,376.,Chris Short (15),3.430,L
377,378.,Ellis Kinder (12),3.431,R
378,378.,Doc McJames (6),3.431,R
379,380.,Preacher Roe (12),3.432,L
380,381.,Juan Pizarro (18),3.433,L
381,382.,Pascual Perez (11),3.436,R
382,383.,Kaiser Wilhelm (9),3.437,R
383,384.,Mickey Lolich (16),3.438,L
384,384.,Dave Stieb (16),3.438,R
385,386.,Nelson Briles (14),3.439,R
386,386.,Jim Tobin (9),3.439,R
387,388.,Johnny Vander Meer (13),3.442,L
388,389.,Larry French (14),3.444,L
389,390.,Hiroki Kuroda (7),3.446,R
390,390.,Jim Perry (17),3.446,R
391,392.,Turk Farrell (14),3.448,R
392,393.,Jesse Duryea (5),3.449,R
393,394.,Roberto Hernandez (17),3.453,R
394,394.,Jim Kaat (25),3.453,L
395,396.,Lindy McDaniel (21),3.454,R
396,397.,Dock Ellis (12),3.455,R
397,398.,Ted Abernathy (14),3.456,R
398,399.,Rudy May (16),3.457,L
399,400.,Curt Schilling (20),3.458,R
400,401.,Paul Derringer (15),3.459,R
401,401.,Pretzels Getzien (9),3.459,R
402,403.,Ken Johnson (13),3.460,R
403,403.,Jim Rooker (13),3.460,L
404,405.,David Cone (17),3.462,R
405,405.,Ron Reed (19),3.462,R
406,405.,Dave Righetti (16),3.462,L
