,Rank,"Player (yrs, age)",AB per HR,Bats
677,678.,"Jason Kipnis (10, 33)",34.95,L
678,679.,Greg Myers (18),34.97,L
679,679.,Brandon Phillips (17),34.97,R
680,681.,Kirby Puckett+ (12),35.00,R
681,681.,Ted Simmons+ (21),35.00,B
682,683.,Will Venable (9),35.01,L
683,684.,Jeffrey Leonard (14),35.03,R
684,685.,Marlon Byrd (15),35.09,R
685,685.,Leon Roberts (11),35.09,R
686,687.,Bob Meusel (11),35.10,R
687,688.,Chuck Hinton (11),35.12,R
688,688.,Lou Whitaker (19),35.12,L
689,690.,Daryl Spencer (10),35.13,R
690,691.,Steve Yeager (15),35.14,R
691,692.,Ben Zobrist (14),35.21,B
692,693.,Roy Cullenbine (10),35.26,B
693,694.,Davey Johnson (13),35.27,R
694,695.,Don Money (16),35.31,R
695,695.,Devon White (17),35.31,B
696,697.,Wil Cordero (14),35.34,R
697,698.,Corey Patterson (12),35.35,L
698,699.,Minnie Minoso (17),35.37,R
699,700.,Tony Lazzeri+ (14),35.38,R
700,701.,Smoky Burgess (18),35.48,L
701,702.,"Zack Cozart (9, 34)",35.49,R
702,703.,John Mabry (14),35.51,L
703,704.,Mike Greenwell (12),35.56,L
704,705.,Jackie Robinson+ (10),35.60,R
705,706.,Mike Devereaux (12),35.62,R
706,707.,Felipe Alou (17),35.63,R
707,708.,Clete Boyer (16),35.68,R
708,709.,Ollie Brown (13),35.71,R
709,709.,Shane Mack (9),35.71,R
710,711.,Stephen Drew (12),35.80,L
711,712.,Dan Driessen (15),35.81,L
712,713.,Michael Barrett (12),35.84,R
713,714.,Jim Dwyer (18),35.86,L
714,715.,Rich Gedman (13),35.90,L
715,716.,"Jonathan Villar (8, 29)",35.93,B
716,717.,Gerald Williams (14),35.99,R
717,718.,Mike Jorgensen (17),36.01,L
718,719.,Dave Valle (13),36.04,R
719,720.,Don Zimmer (12),36.08,R
720,721.,Wes Helms (13),36.15,R
721,722.,Tim Teufel (11),36.19,R
722,723.,Mark DeRosa (16),36.33,R
723,723.,Alex Gonzalez (13),36.33,R
724,725.,Gabe Kapler (12),36.38,R
725,726.,Jim Tabor (9),36.42,R
726,727.,Marquis Grissom (17),36.45,R
727,728.,Johnny Frederick (6),36.49,L
728,729.,Charlie Hayes (14),36.54,R
729,730.,Damian Miller (11),36.57,R
730,731.,Von Hayes (12),36.71,L
731,732.,Cesar Cedeno (17),36.73,R
732,733.,Alex Gonzalez (16),36.79,R
