,Rank,"Player (yrs, age)",Outs Made,Bats
760,759.,Gus Suhr (11),3931,L
761,762.,"Chris Davis (13, 34)",3930,L
762,763.,Tito Francona (15),3929,L
763,764.,Hank Bauer (14),3925,R
764,764.,Roy Thomas (13),3925,L
765,766.,J.D. Drew (14),3920,L
766,767.,"Dexter Fowler (13, 34)",3916,B
767,768.,Howard Johnson (14),3915,B
768,768.,Roger Maris (12),3915,L
769,770.,Ralph Kiner+ (10),3914,R
770,771.,Ronnie Belliard (13),3913,R
771,772.,Tommy Helms (14),3911,R
772,773.,Dan McGann (12),3910,B
773,774.,Buddy Lewis (11),3909,L
774,775.,Jim Hegan (17),3908,R
775,776.,David Eckstein (10),3905,R
776,777.,George Wood (13),3904,L
777,778.,Rollie Hemsley (19),3903,R
778,778.,Mookie Wilson (12),3903,B
779,780.,Earl Torgeson (15),3902,L
780,781.,Jim Spencer (15),3901,L
781,782.,Amos Strunk (17),3900,L
782,783.,"Jason Heyward (11, 30)",3898,L
783,784.,Duff Cooley (13),3889,L
784,785.,Billy Butler (10),3883,R
785,785.,Billy Werber (11),3883,R
786,787.,Freddy Parent (12),3881,R
787,787.,Elmer Valo (20),3881,L
788,789.,Mike Sweeney (16),3879,R
789,790.,Al Bumbry (14),3871,L
790,791.,John Roseboro (14),3870,L
791,792.,Sam Chapman (11),3868,R
792,792.,Richie Zisk (13),3868,R
793,794.,Terry Kennedy (14),3867,L
794,795.,Dave Collins (16),3865,B
795,796.,Harold Reynolds (12),3864,B
796,797.,"Kyle Seager (10, 32)",3860,L
797,798.,Jack Wilson (12),3859,R
798,799.,"Jose Altuve (10, 30)",3857,R
799,800.,Rick Dempsey (24),3854,R
800,800.,Bud Harrelson (16),3854,B
801,802.,Dean Palmer (14),3853,R
802,802.,Gorman Thomas (13),3853,R
803,804.,Tillie Walker (13),3846,R
804,805.,Sid Gordon (13),3843,R
805,806.,Richie Sexson (12),3835,R
806,807.,Buck Weaver (9),3833,B
807,808.,Danny Tartabull (14),3831,R
808,809.,Jose Vidro (12),3830,B
809,810.,Rey Sanchez (15),3828,R
810,811.,Tony Womack (13),3827,L
811,812.,Sandy Alomar (15),3825,B
812,813.,Jack Fournier (15),3822,L
813,814.,James Loney (11),3821,L
814,815.,"Freddie Freeman (11, 30)",3818,L
815,816.,Manny Sanguillen (13),3816,R
816,817.,Ezra Sutton (18),3814,R
817,818.,David Bell (12),3812,R
818,819.,George Case (11),3810,R
819,820.,Jerry Mumphrey (15),3809,B
820,821.,Jimmy Johnston (13),3807,R
821,822.,Red Kress (14),3804,R
822,823.,Jerry Lumpe (12),3803,L
823,824.,Doggie Miller (13),3802,R
824,825.,Larry Herndon (14),3795,R
825,825.,Ray Knight (13),3795,R
826,827.,Jimmy Slagle (10),3794,L
827,828.,Kitty Bransfield (12),3790,R
828,829.,Hobe Ferris (9),3789,R
829,829.,Hod Ford (15),3789,R
830,829.,Derrel Thomas (15),3789,B
831,832.,Kendrys Morales (13),3788,B
832,832.,Ken Reitz (11),3788,R
833,832.,Burt Shotton (14),3788,L
834,835.,Ralph Garr (13),3784,L
835,836.,Bobby Byrne (11),3781,R
836,837.,Bucky Harris+ (12),3779,R
837,837.,Paul Radford (12),3779,R
838,839.,"Carlos Gonzalez (12, 34)",3775,L
839,840.,Kevin Bass (14),3774,B
840,840.,Bobby Higginson (11),3774,L
841,840.,Marco Scutaro (13),3774,R
842,843.,Hi Myers (14),3773,R
843,844.,Horace Clarke (10),3771,B
844,845.,Ned Hanlon+ (13),3769,L
845,846.,Davey Johnson (13),3765,R
846,846.,Bengie Molina (13),3765,R
847,848.,Ken Oberkfell (16),3764,L
848,849.,Dan Uggla (10),3759,R
849,850.,Tommy Griffith (13),3757,L
850,851.,Carlos Gomez (13),3756,R
851,851.,Chris Young (13),3756,R
852,853.,Craig Counsell (16),3752,L
853,854.,Wally Berger (11),3750,R
854,855.,Mickey Tettleton (14),3749,B
855,856.,Orlando Hudson (11),3747,B
856,857.,Buck Ewing+ (18),3746,R
857,858.,George Gore (14),3745,L
858,858.,Terry Puhl (15),3745,L
859,860.,Elbie Fletcher (12),3742,L
860,861.,Sean Casey (12),3738,L
861,862.,Jesse Barfield (12),3737,R
862,863.,Julio Lugo (12),3734,R
863,864.,George Grantham (13),3733,L
864,865.,Jose Cruz (12),3731,B
865,865.,Luis Polonia (12),3731,L
866,867.,Wilbert Robinson+ (17),3729,R
867,868.,Jason Thompson (11),3728,L
868,869.,Bob Kennedy (16),3720,R
869,869.,Walt Weiss (14),3720,B
870,871.,Jerry Priddy (11),3719,R
871,872.,Juan Beniquez (17),3717,R
872,873.,Michael Bourn (11),3715,L
873,874.,Mickey Cochrane+ (13),3713,L
874,875.,John Titus (11),3710,L
875,876.,Jack Burdock (18),3706,R
876,877.,Chone Figgins (12),3704,B
877,878.,Matt Lawton (12),3701,L
878,879.,Carl Everett (14),3699,B
879,879.,Wally Moon (12),3699,L
880,881.,Ivan de Jesus (15),3697,R
