,Rank,"Player (yrs, age)",Adj. Batting Wins,Bats
634,626.,Tillie Walker (13),8.7,R
635,636.,Jermaine Dye (14),8.6,R
636,636.,Larry Gardner (17),8.6,L
637,636.,"Corey Seager (6, 26)",8.6,L
638,636.,Sammy Strang (10),8.6,B
639,636.,Miguel Tejada (16),8.6,R
640,636.,Sam Wise (12),8.6,L
641,642.,Geoff Jenkins (11),8.5,L
642,642.,Brian McCann (15),8.5,L
643,644.,Willie Aikens (8),8.4,L
644,644.,George Bell (12),8.4,R
645,644.,Chris Chambliss (17),8.4,L
646,644.,Harvey Kuenn (15),8.4,R
647,644.,Hank Thompson (9),8.4,L
648,649.,Nate Colbert (10),8.3,R
649,649.,George Hall (7),8.3,L
650,649.,Ichiro Suzuki (19),8.3,L
651,652.,Willie Crawford (14),8.2,L
652,652.,Johnny Evers+ (18),8.2,L
653,652.,Bibb Falk (12),8.2,L
654,652.,Frank Fennelly (7),8.2,R
655,652.,Tom Haller (12),8.2,L
656,652.,Johnny Hopp (14),8.2,L
657,652.,Hank Leiber (10),8.2,R
658,652.,Ed Morgan (7),8.2,R
659,652.,Carlos Quentin (9),8.2,R
660,652.,Tom Tresh (9),8.2,B
661,662.,"Carlos Gonzalez (12, 34)",8.1,L
662,662.,Ray Grimes (6),8.1,R
663,662.,Bill Hinchman (10),8.1,R
664,662.,Kevin Millar (12),8.1,R
665,662.,Jack Rowe (12),8.1,L
666,667.,Jeff Conine (17),8.0,R
667,667.,Walker Cooper (18),8.0,R
668,667.,"Khris Davis (8, 32)",8.0,R
669,667.,Solly Hemus (11),8.0,L
670,667.,Chris Hoiles (10),8.0,R
671,667.,Wally Judnich (7),8.0,L
672,667.,Danny Litwhiler (11),8.0,R
673,667.,Shane Mack (9),8.0,R
674,667.,Carlos May (10),8.0,L
675,667.,Phil Nevin (12),8.0,R
676,667.,"Marcell Ozuna (8, 29)",8.0,R
677,667.,Yank Robinson (10),8.0,R
678,667.,Earl Webb (7),8.0,L
679,667.,Taffy Wright (9),8.0,L
680,681.,"Matthew Joyce (13, 35)",7.9,L
681,681.,Chuck Knoblauch (12),7.9,R
682,681.,Lee Mazzilli (14),7.9,B
683,681.,Gil McDougald (10),7.9,R
684,681.,George McQuinn (12),7.9,L
685,681.,Jack Tobin (13),7.9,L
686,687.,Tony Conigliaro (8),7.8,R
687,687.,Pepper Martin (13),7.8,R
688,687.,Sam Mertes (10),7.8,R
689,690.,Bob Bescher (11),7.7,B
690,690.,"Francisco Lindor (6, 26)",7.7,B
691,690.,John Morrill (15),7.7,R
692,690.,Dick Stuart (10),7.7,R
693,690.,George Wright+ (12),7.7,R
694,695.,Hub Collins (7),7.6,R
695,695.,Carlos Guillen (14),7.6,B
696,695.,Davey Johnson (13),7.6,R
697,695.,Davey Lopes (16),7.6,R
698,695.,Johnny Mostil (10),7.6,R
699,695.,Johnny Pesky (10),7.6,L
700,701.,Sean Casey (12),7.5,L
701,701.,Lucas Duda (10),7.5,L
702,701.,"Yasmani Grandal (9, 31)",7.5,B
703,701.,Ken Keltner (13),7.5,R
704,701.,Mike Lowell (13),7.5,R
705,701.,Charlie Maxwell (14),7.5,L
706,701.,Bill Mueller (11),7.5,B
707,708.,Jack Cust (10),7.4,L
708,708.,Happy Felsch (6),7.4,R
709,708.,David Freese (11),7.4,R
710,708.,Ron Hunt (12),7.4,R
711,708.,Don Hurst (7),7.4,L
712,708.,"Starling Marte (9, 31)",7.4,R
713,708.,Eddie Robinson (13),7.4,L
714,715.,Milton Bradley (12),7.3,B
715,715.,Pinky Higgins (14),7.3,R
716,715.,Chief Meyers (9),7.3,R
717,715.,David Segui (15),7.3,B
718,715.,Curt Walker (12),7.3,L
719,715.,Pete Ward (9),7.3,L
720,721.,Curt Blefary (8),7.2,L
721,721.,Ron Blomberg (8),7.2,L
722,721.,Tom Daly (17),7.2,B
723,721.,Corey Koskie (9),7.2,L
724,721.,Javy Lopez (15),7.2,R
725,721.,Barney McCosky (11),7.2,L
726,721.,Matty McIntyre (10),7.2,L
727,721.,Gary Roenicke (12),7.2,R
728,721.,Joe Rudi (16),7.2,R
729,721.,"Pablo Sandoval (13, 33)",7.2,B
730,721.,Bobby Thomson (15),7.2,R
731,732.,Johnny Frederick (6),7.1,L
732,732.,Ben Grieve (9),7.1,L
733,732.,Billy Southworth+ (13),7.1,L
734,732.,Danny Taylor (9),7.1,R
735,736.,"Xander Bogaerts (8, 27)",7.0,R
736,736.,Joe Connolly (4),7.0,L
737,736.,Adam Lind (12),7.0,L
738,736.,Bill Melton (10),7.0,R
739,736.,Dale Mitchell (11),7.0,L
740,736.,Billy Nash (15),7.0,R
741,736.,Trot Nixon (12),7.0,L
742,736.,Babe Phelps (11),7.0,L
743,736.,Phil Weintraub (7),7.0,L
744,745.,Steve Braun (15),6.9,L
745,745.,Erubiel Durazo (7),6.9,L
746,745.,Gus Zernial (11),6.9,R
747,748.,Steve Henderson (12),6.8,R
748,748.,Baby Doll Jacobson (11),6.8,R
749,748.,Howie Kendrick (15),6.8,R
750,748.,Ian Kinsler (14),6.8,R
751,748.,Fred Merkle (16),6.8,R
752,748.,Kendrys Morales (13),6.8,B
753,748.,"Tommy Pham (7, 32)",6.8,R
754,748.,Seth Smith (11),6.8,L
755,748.,"Neil Walker (12, 34)",6.8,B
756,748.,Bobby Wallace+ (25),6.8,R
757,758.,Tony Clark (15),6.7,B
758,758.,Bill Doran (12),6.7,B
759,758.,Bubbles Hargrave (12),6.7,R
760,758.,Hal Morris (13),6.7,L
761,758.,Otto Velez (11),6.7,R
762,763.,"Corey Dickerson (8, 31)",6.6,L
763,763.,High Pockets Kelly+ (16),6.6,R
764,763.,Mike Mitchell (8),6.6,R
765,763.,Dutch Zwilling (4),6.6,L
766,767.,Spud Davis (16),6.5,R
767,767.,Les Fleming (7),6.5,L
768,767.,John Jaha (10),6.5,R
769,767.,Dale Long (10),6.5,L
770,767.,John Milner (12),6.5,L
771,767.,Rico Petrocelli (13),6.5,R
772,767.,Lou Piniella (18),6.5,R
773,767.,Luke Scott (9),6.5,L
774,767.,Al Shaw (5),6.5,L
775,776.,Tommy Davis (18),6.4,R
776,776.,Bernard Gilkey (12),6.4,R
777,776.,Fred Mann (6),6.4,L
778,776.,Manny Mota (20),6.4,R
779,776.,Darby O'Brien (6),6.4,R
780,776.,Jose Vidro (12),6.4,B
781,776.,Curt Welch (10),6.4,R
782,783.,Ed Bailey (14),6.3,L
783,783.,Lyman Bostock (4),6.3,L
784,783.,Bob Fothergill (12),6.3,R
785,783.,Dick Hoblitzell (11),6.3,L
786,783.,Freddie Lindstrom+ (13),6.3,R
787,783.,Ward Miller (8),6.3,L
788,783.,Gene Richards (8),6.3,L
789,790.,Rube Bressler (19),6.2,R
790,790.,Mike Cameron (17),6.2,R
791,790.,Ray Chapman (9),6.2,R
792,790.,Chase Headley (12),6.2,B
793,790.,Eric Karros (14),6.2,R
794,790.,Duke Kenworthy (4),6.2,B
795,790.,Mike Marshall (11),6.2,R
796,790.,Rick Reichardt (11),6.2,R
797,790.,Fred Snodgrass (9),6.2,R
798,790.,Pie Traynor+ (17),6.2,R
799,800.,Bob Cerv (12),6.1,R
800,800.,Kid Elberfeld (14),6.1,R
801,800.,"Eric Hosmer (10, 30)",6.1,L
802,800.,Cleon Jones (13),6.1,R
803,800.,Perry Werden (7),6.1,R
804,805.,Bruce Campbell (13),6.0,L
805,805.,Jerry Mumphrey (15),6.0,B
806,805.,Brooks Robinson+ (23),6.0,R
807,805.,Homer Smoot (5),6.0,L
808,805.,J.T. Snow (16),6.0,L
809,805.,Al Wickland (5),6.0,L
810,811.,Guy Hecker (9),5.9,R
811,811.,Austin McHenry (5),5.9,R
812,811.,Eddie Murphy (11),5.9,L
813,811.,Cecil Travis (12),5.9,L
814,815.,"Matt Chapman (4, 27)",5.8,R
815,815.,John Clapp (11),5.8,R
816,815.,Tito Francona (15),5.8,L
817,815.,"Rhys Hoskins (4, 27)",5.8,R
818,815.,Pat Kelly (15),5.8,L
819,815.,Sam Leslie (10),5.8,L
820,815.,Stan Lopata (13),5.8,R
821,815.,Max West (7),5.8,L
822,823.,"Ronald Acuna Jr. (3, 22)",5.7,R
823,823.,Del Bissonette (5),5.7,L
824,823.,"Asdrubal Cabrera (14, 34)",5.7,B
825,823.,Ivan Calderon (10),5.7,R
826,823.,Frank Demaree (12),5.7,R
827,823.,Emil Gross (5),5.7,R
828,823.,Joe Kuhel (18),5.7,L
829,823.,John O'Rourke (3),5.7,L
830,831.,Brad Hawpe (9),5.6,L
831,831.,Frank LaPorte (11),5.6,R
832,831.,Les Mann (16),5.6,R
833,831.,Bing Miller (16),5.6,R
834,831.,"Brandon Nimmo (5, 27)",5.6,L
835,831.,Ray Sanders (7),5.6,L
836,831.,Art Wilson (14),5.6,R
837,831.,Babe Young (8),5.6,L
838,839.,"Jay Bruce (13, 33)",5.5,L
839,839.,Johnny Damon (18),5.5,L
840,839.,Corey Hart (11),5.5,R
841,839.,Gregg Jefferies (14),5.5,B
842,839.,Jim Lemon (12),5.5,R
843,839.,Ed Lennox (6),5.5,R
844,839.,"Matt Olson (5, 26)",5.5,L
845,839.,Jorge Orta (16),5.5,L
846,839.,Ivan Rodriguez+ (21),5.5,R
847,839.,"Eugenio Suarez (7, 28)",5.5,R
848,839.,John Valentin (11),5.5,R
849,839.,Todd Zeile (16),5.5,R
850,851.,"Nicholas Castellanos (8, 28)",5.4,R
851,851.,"Adam Eaton (9, 31)",5.4,L
852,851.,Lonny Frey (14),5.4,L
853,851.,Charlie Hollocher (7),5.4,L
854,851.,"Miguel Sano (6, 27)",5.4,R
855,851.,Emmett Seery (9),5.4,L
856,851.,Bob Skinner (12),5.4,L
857,858.,Matt Lawton (12),5.3,L
858,858.,Hans Lobert (14),5.3,R
859,860.,Russell Branyan (14),5.2,L
860,860.,Luke Easter (6),5.2,L
861,860.,Harvey Hendrick (11),5.2,L
862,860.,"Jeff McNeil (3, 28)",5.2,L
863,860.,Denis Menke (13),5.2,R
864,860.,Mike Morse (13),5.2,R
865,860.,Mitchell Page (8),5.2,L
866,860.,"Joc Pederson (7, 28)",5.2,L
867,860.,Frank Thomas (16),5.2,R
868,869.,Duffy Lewis (11),5.1,R
869,869.,Don Money (16),5.1,R
870,869.,"Max Muncy (5, 29)",5.1,L
871,872.,Tom Brunansky (14),5.0,R
872,872.,Tony Cuccinello (15),5.0,R
873,872.,Dave Henderson (14),5.0,R
874,872.,Chet Laabs (11),5.0,R
875,872.,Willard Marshall (11),5.0,L
876,872.,Jack O'Brien (8),5.0,R
877,872.,Lyle Overbay (14),5.0,L
878,872.,Jim Russell (10),5.0,B
879,872.,Rondell White (15),5.0,R
880,881.,Ed Bouchee (7),4.9,L
881,881.,Ray Durham (14),4.9,B
882,881.,Hank Edwards (11),4.9,L
883,881.,John Jaso (9),4.9,L
884,881.,Roy Johnson (10),4.9,L
885,881.,Bill Keister (7),4.9,L
886,881.,Rance Mulliniks (16),4.9,L
887,881.,"AJ Pollock (9, 32)",4.9,R
888,881.,Dave Robertson (9),4.9,L
889,881.,Dan Uggla (10),4.9,R
890,891.,"Josh Bell (5, 27)",4.8,B
891,891.,"Mitch Haniger (4, 29)",4.8,R
892,891.,Ken Henderson (16),4.8,B
893,891.,Shannon Stewart (14),4.8,R
894,891.,Harry Wolter (7),4.8,L
895,896.,Casey Blake (13),4.7,R
896,896.,Walton Cruise (10),4.7,L
897,896.,Woodie Held (14),4.7,R
898,896.,Richard Hidalgo (9),4.7,R
899,896.,Tom McCreery (9),4.7,B
900,896.,Melvin Mora (13),4.7,R
901,896.,Pat Mullin (10),4.7,L
902,896.,"Wil Myers (8, 29)",4.7,R
903,896.,Larry Parrish (15),4.7,R
904,896.,"David Peralta (7, 32)",4.7,L
905,896.,Earl Sheely (9),4.7,R
906,896.,Jim Viox (5),4.7,R
907,908.,Edgardo Alfonzo (12),4.6,R
908,908.,Dom Dallessandro (8),4.6,L
909,908.,Joe Hauser (6),4.6,L
910,908.,Charlie Hemphill (11),4.6,L
911,908.,Jim Hickman (13),4.6,R
912,908.,Don Lock (8),4.6,R
913,908.,Elmer Smith (10),4.6,L
914,915.,"Pete Alonso (2, 25)",4.5,R
915,915.,Buttercup Dickerson (7),4.5,L
916,915.,"Dexter Fowler (13, 34)",4.5,B
917,915.,"Todd Frazier (10, 34)",4.5,R
918,915.,Chuck Hinton (11),4.5,R
919,915.,Alex McKinnon (4),4.5,R
920,915.,Orlando Merced (13),4.5,B
921,915.,"Luke Voit (4, 29)",4.5,R
922,923.,Cal Abrams (8),4.4,L
923,923.,Johnny Bassler (9),4.4,L
924,923.,Dante Bichette (14),4.4,R
925,923.,Vin Campbell (6),4.4,L
926,923.,Morgan Ensberg (8),4.4,R
927,923.,Dave Hollins (12),4.4,B
928,923.,Davy Jones (15),4.4,L
929,923.,Johnny Lindell (12),4.4,R
930,923.,Sherm Lollar (18),4.4,R
931,923.,Ryan Ludwick (12),4.4,R
932,923.,Bob Robertson (11),4.4,R
933,923.,Otto Schomberg (3),4.4,L
934,923.,Duke Sims (11),4.4,L
935,923.,Tony Solaita (7),4.4,L
936,937.,Frank Catalanotto (14),4.3,L
937,937.,Glenallen Hill (13),4.3,R
938,937.,Lee Lacy (16),4.3,R
939,937.,Wally Post (15),4.3,R
940,937.,Gary Redus (13),4.3,R
941,937.,Bill Salkeld (6),4.3,L
942,937.,Andy Seminick (15),4.3,R
943,937.,Ellis Valentine (10),4.3,R
944,937.,John Wockenfuss (12),4.3,R
945,946.,Beals Becker (8),4.2,L
946,946.,Rob Deer (11),4.2,R
947,946.,Dan Ford (11),4.2,R
948,946.,Jack Gleason (6),4.2,R
949,946.,Emmet Heidrick (8),4.2,L
950,946.,Fred Lewis (5),4.2,B
951,946.,John Lowenstein (16),4.2,L
952,946.,"Trey Mancini (4, 28)",4.2,R
953,946.,Bake McBride (11),4.2,L
954,946.,Dan Pasqua (10),4.2,L
955,946.,Doug Rader (11),4.2,R
956,946.,"Trea Turner (6, 27)",4.2,R
957,946.,Claudell Washington (17),4.2,L
958,959.,Justin Bour (6),4.1,L
959,959.,Bill Bradley (14),4.1,R
960,959.,"Brian Dozier (9, 33)",4.1,R
961,959.,Jimmie Hall (8),4.1,L
962,959.,Spud Johnson (3),4.1,L
963,959.,Jim Pagliaroni (11),4.1,R
964,959.,"Trevor Story (5, 27)",4.1,R
965,959.,Jake Virtue (5),4.1,B
966,959.,Sam West (16),4.1,L
967,968.,Willie Davis (18),4.0,L
968,968.,David DeJesus (13),4.0,L
969,968.,Jack Doyle (17),4.0,R
970,968.,Ted Easterly (7),4.0,L
971,968.,Carl Everett (14),4.0,B
972,968.,Greg Gross (17),4.0,L
973,968.,Wayne Gross (11),4.0,L
974,968.,Ken Harrelson (9),4.0,R
975,968.,Dick Higham (8),4.0,L
976,968.,Elston Howard (14),4.0,R
977,968.,Jack Manning (12),4.0,R
978,968.,Stuffy McInnis (19),4.0,R
979,968.,Dave Nilsson (8),4.0,L
980,968.,Pete O'Brien (12),4.0,L
981,968.,Bill Phillips (10),4.0,R
982,968.,George Pinkney (10),4.0,L
983,968.,Johnny Rizzo (5),4.0,R
984,968.,Aaron Robinson (8),4.0,L
985,968.,Roy Smalley (13),4.0,B
986,968.,Earl Smith (12),4.0,L
987,968.,"Fernando Tatis Jr. (2, 21)",4.0,R
988,968.,Tommy Tucker (13),4.0,B
989,968.,Wally Westlake (10),4.0,R
990,991.,Sid Bream (12),3.9,L
991,991.,Milt Byrnes (3),3.9,L
992,991.,Al Ferrara (8),3.9,R
993,991.,Pete Hotaling (9),3.9,L
994,991.,Dion James (11),3.9,L
995,991.,Adam Jones (14),3.9,R
996,991.,Tex McDonald (4),3.9,L
997,991.,Johnny Moore (10),3.9,L
998,991.,"J.T. Realmuto (7, 29)",3.9,R
999,991.,Ruben Sierra (20),3.9,B
