,Rank,"Player (yrs, age)",Bases On Balls per 9 IP,Throws
616,617.,Mark Redman (10),2.9572,L
617,618.,Randy Gumpert (10),2.9582,R
618,619.,Ray Caldwell (12),2.9625,R
619,620.,Brandon Webb (7),2.9667,R
620,621.,Johnny Morrison (10),2.9668,R
621,622.,Earl Hamilton (14),2.9697,L
622,623.,Joe Bowman (11),2.9720,R
623,624.,"Homer Bailey (14, 34)",2.9729,R
624,625.,Pedro Astacio (15),2.9745,R
625,626.,Mike Garcia (14),2.9756,R
626,626.,Curt Young (11),2.9756,L
627,628.,Britt Burns (8),2.9772,L
628,629.,Boom-Boom Beck (12),2.9806,R
629,630.,Dick Tidrow (13),2.9834,R
630,631.,Al Mays (6),2.9856,R
631,632.,Kevin Correia (13),2.9860,R
632,633.,Art Houtteman (12),2.9865,R
633,633.,Firpo Marberry (14),2.9865,R
634,635.,Gavin Floyd (13),2.9880,R
635,636.,Dave Giusti (15),2.9883,R
636,637.,Jim Palmer+ (19),2.9886,R
637,638.,Bobby Shantz (16),2.9897,L
638,639.,Mark Portugal (15),2.9912,R
639,640.,Danny Cox (11),2.9954,R
640,641.,Johnny Lush (7),2.9992,L
641,642.,Ted Lilly (15),3.0005,L
642,643.,Jim Lonborg (15),3.0057,R
643,644.,Mike McCormick (16),3.0059,L
644,645.,Willie Hernandez (13),3.0067,L
645,646.,Johnny Lanning (11),3.0084,R
646,647.,Liván Hernández (17),3.0085,R
647,648.,Harry Gumbert (15),3.0097,R
648,648.,Bob Welch (17),3.0097,R
649,650.,Phil Niekro+ (24),3.0128,R
650,651.,Jake Weimer (7),3.0129,L
651,652.,Bob Groom (10),3.0163,R
652,653.,"Anibal Sanchez (15, 36)",3.0164,R
653,654.,Denny Lemaster (11),3.0207,L
654,655.,Jaime Navarro (12),3.0214,R
655,656.,George Mullin (14),3.0222,R
656,657.,Jon Garland (13),3.0246,R
657,658.,Jack Billingham (13),3.0251,R
658,659.,Joe Nuxhall (16),3.0330,L
659,660.,"Ian Kennedy (14, 35)",3.0365,R
660,661.,Jim O'Toole (10),3.0421,L
661,662.,Dave Koslo (12),3.0427,L
662,663.,Mike Witt (12),3.0436,R
663,664.,Ed Figueroa (8),3.0443,R
664,665.,Mike Morgan (22),3.0451,R
665,666.,Ben McDonald (9),3.0457,R
666,667.,Tony Kaufmann (12),3.0488,R
667,668.,Ed Reulbach (13),3.0498,R
668,669.,Dave Davenport (6),3.0507,R
669,670.,Al Fitzmorris (10),3.0517,R
670,671.,Gary Peters (14),3.0533,L
671,672.,Mike Boddicker (14),3.0556,R
672,673.,Joaquin Andujar (13),3.0557,R
673,674.,Matt Garza (12),3.0567,R
674,675.,Roger Craig (12),3.0579,R
675,676.,Tom Glavine+ (22),3.0589,L
676,677.,"Chris Archer (8, 31)",3.0607,R
677,678.,Tom Lovett (6),3.0613,R
678,679.,Al McBean (10),3.0634,R
679,680.,Dwight Gooden (16),3.0657,R
680,681.,"Julio Teheran (10, 29)",3.0661,R
681,681.,Jeff Tesreau (7),3.0661,R
682,683.,Clayton Richard (11),3.0685,L
683,684.,General Crowder (11),3.0712,R
684,685.,Matt Cain (13),3.0724,R
685,686.,Tom Murphy (12),3.0727,R
686,687.,Kent Tekulve (16),3.0759,R
687,688.,Jerome Williams (11),3.0767,R
688,689.,Dave Wickersham (10),3.0775,R
689,690.,Ken Holloway (9),3.0802,R
690,691.,Rollie Naylor (7),3.0822,R
691,692.,Josh Fogg (9),3.0828,R
692,693.,Whitey Ford+ (16),3.0830,L
693,693.,Jeff Suppan (17),3.0830,R
694,695.,Carl Morton (8),3.0843,R
695,696.,Wandy Rodriguez (11),3.0860,L
696,697.,Ed Brandt (11),3.0868,L
697,698.,Cal McLish (15),3.0876,R
698,699.,Jumbo Elliott (10),3.0878,L
699,700.,"Jake Odorizzi (9, 30)",3.0911,R
700,701.,Clay Buchholz (13),3.0938,R
701,702.,Bob Gibson+ (17),3.0955,R
702,703.,Dean Chance (11),3.0973,R
703,704.,Chris Hammond (14),3.0997,L
704,705.,Jay Hughes (4),3.1020,R
705,706.,Johnny Antonelli (12),3.1034,L
706,707.,Hoyt Wilhelm+ (21),3.1060,R
707,708.,Nels Potter (12),3.1068,R
708,709.,Ramon Ortiz (12),3.1070,R
709,710.,Sparky Lyle (16),3.1136,L
710,710.,Sidney Ponson (12),3.1136,R
711,712.,Jim Brewer (17),3.1144,L
712,713.,Doc Newton (8),3.1157,L
713,714.,Bob Shawkey (15),3.1195,R
714,715.,Murry Dickson (18),3.1196,R
715,716.,Chris Short (15),3.1200,L
716,717.,Mudcat Grant (14),3.1290,R
717,718.,Neal Heaton (12),3.1294,L
718,719.,Larry McWilliams (13),3.1303,L
719,720.,Dutch Ruether (11),3.1304,L
720,721.,"Jake Arrieta (11, 34)",3.1335,R
721,722.,Armando Reynoso (12),3.1343,R
722,723.,Hank Aguirre (16),3.1345,L
723,724.,Lloyd Brown (12),3.1364,L
724,725.,Mike Smith (14),3.1380,L
725,726.,Tex Carleton (8),3.1412,R
726,727.,Ray Burris (15),3.1416,R
727,728.,Hank O'Day+ (7),3.1502,R
728,729.,Jeremy Bonderman (9),3.1511,R
729,729.,Mike Krukow (14),3.1511,R
730,731.,Vicente Padilla (14),3.1559,R
731,732.,Jim Bouton (10),3.1607,R
732,733.,Steve Carlton+ (24),3.1618,L
733,734.,Sandy Koufax+ (12),3.1635,L
734,735.,Ron Kline (17),3.1660,R
735,736.,"Wade Miley (10, 33)",3.1671,L
736,737.,Tim Belcher (14),3.1687,R
737,738.,Joe Niekro (22),3.1688,R
738,739.,Bob Porterfield (12),3.1690,R
739,740.,Jose Rijo (14),3.1739,R
740,741.,Rip Sewell (13),3.1765,R
741,742.,Al Smith (12),3.1781,L
742,743.,"Yu Darvish (8, 33)",3.1783,R
743,744.,Russ Meyer (13),3.1796,R
744,745.,Mark Gubicza (14),3.1817,R
745,745.,Howie Pollet (14),3.1817,L
746,747.,Tom Hume (11),3.1823,R
747,748.,Billy Loes (11),3.1831,R
748,749.,Floyd Bannister (15),3.1884,L
749,750.,Stu Miller (16),3.1890,R
750,751.,Vida Blue (17),3.1899,L
751,752.,Kris Benson (9),3.1914,R
752,753.,Red Ruffing+ (22),3.1927,R
753,754.,Ned Garver (14),3.2006,R
754,755.,Elmer Jacobs (9),3.2010,R
755,756.,Kenny Rogers (20),3.2020,L
756,757.,Mark Gardner (13),3.2029,R
757,758.,Jeff Fassero (16),3.2041,L
758,758.,"Sonny Gray (8, 30)",3.2041,R
759,760.,"J.A. Happ (14, 37)",3.2044,L
760,761.,Billy Pierce (18),3.2063,L
761,762.,Bruce Chen (17),3.2076,L
762,763.,Joe Magrane (8),3.2088,L
763,764.,Randy Wolf (16),3.2122,L
764,765.,Dave Stieb (16),3.2141,R
765,766.,Bill Donovan (18),3.2149,R
766,767.,Al Brazle (10),3.2157,L
767,768.,Dennis Rasmussen (12),3.2163,L
768,769.,Guy Morton (11),3.2197,R
769,770.,Mark Leiter (11),3.2221,R
770,771.,Joe Oeschger (12),3.2228,R
771,772.,Kid Carsey (10),3.2239,R
772,773.,Charles Hudson (7),3.2243,R
773,774.,Dustin Hermanson (12),3.2268,R
774,775.,Tim Leary (13),3.2287,R
775,775.,Bob Ojeda (15),3.2287,L
776,777.,Sadie McMahon (9),3.2289,R
777,778.,Orval Overall (7),3.2299,R
778,779.,Bill Singer (14),3.2332,R
779,780.,Thornton Lee (16),3.2351,L
780,781.,Kevin Appier (16),3.2354,R
781,782.,Sad Sam Jones (22),3.2356,R
782,783.,Elden Auker (10),3.2363,R
783,784.,Jack Sanford (12),3.2367,R
784,785.,Togie Pittinger (8),3.2372,R
785,786.,"Charlie Morton (13, 36)",3.2390,R
786,787.,Slim Harriss (9),3.2394,R
787,788.,Jack Harper (8),3.2400,R
788,789.,Carl Lundgren (8),3.2405,R
789,790.,Al Maul (15),3.2422,R
790,791.,Don Gullett (9),3.2439,L
791,792.,Dan Schatzeder (15),3.2460,L
792,793.,Mace Brown (10),3.2474,R
793,794.,Bucky Walters (19),3.2496,R
794,795.,Babe Ruth+ (22),3.2497,L
795,796.,Bill Hoffer (6),3.2503,R
796,797.,Bill Walker (10),3.2504,L
797,798.,Randy Johnson+ (22),3.2580,L
798,798.,Gus Weyhing (14),3.2580,R
799,800.,John Denny (13),3.2588,R
800,801.,Jim Nash (7),3.2592,R
801,802.,"Derek Holland (12, 33)",3.2598,L
802,803.,Jack Coombs (14),3.2625,R
803,804.,Andy Benes (14),3.2654,R
804,805.,Hank Borowy (10),3.2656,R
805,806.,Ricky Bones (11),3.2668,R
806,807.,Hal Schumacher (13),3.2703,R
807,808.,Jack Morris+ (18),3.2714,R
808,809.,Art Ditmar (9),3.2721,R
809,810.,Dick Ruthven (14),3.2731,R
810,811.,Ted Lewis (6),3.2733,R
811,812.,Pete Richert (13),3.2737,L
812,812.,Bob Walk (14),3.2737,R
813,814.,Mike Fornieles (12),3.2758,R
814,815.,José Contreras (11),3.2762,R
815,816.,Lew Richie (8),3.2773,R
816,817.,Ellis Kinder (12),3.2784,R
817,818.,Orlando Hernandez (9),3.2792,R
818,819.,Nate Robertson (9),3.2803,L
819,820.,Whit Wyatt (16),3.2811,R
820,821.,Russ Kemmerer (9),3.2822,R
821,822.,Camilo Pascual (18),3.2829,R
822,822.,Lee Viau (5),3.2829,R
823,824.,Jim Bagby (10),3.2839,R
824,825.,Ownie Carroll (9),3.2871,R
825,826.,Stan Bahnsen (16),3.2883,R
826,826.,Rudy May (16),3.2883,L
827,828.,Pete Harnisch (14),3.2894,R
828,829.,Pete Schourek (11),3.2898,L
829,830.,"Kyle Gibson (8, 32)",3.2902,R
830,831.,Happy Townsend (6),3.2909,R
831,832.,Bruce Kison (15),3.2923,R
832,833.,Joe Heving (13),3.2927,R
833,834.,Steve Avery (11),3.2940,L
834,835.,Don Wilson (9),3.2946,R
835,836.,Sterling Hitchcock (13),3.2971,L
836,837.,Scott Erickson (15),3.2978,R
837,838.,Denny Galehouse (15),3.3009,R
838,839.,Clem Labine (13),3.3010,R
839,840.,Jason Johnson (11),3.3029,R
840,841.,Mike Pelfrey (12),3.3041,R
841,842.,James Baldwin (11),3.3070,R
842,843.,Ted Blankenship (9),3.3074,R
843,844.,Bill Hutchison (9),3.3085,R
844,845.,Joey Hamilton (10),3.3095,R
845,846.,Omar Daal (11),3.3112,L
846,847.,Pat Malone (10),3.3133,R
847,848.,Ken Brett (14),3.3138,L
848,848.,Rick Helling (12),3.3138,R
849,850.,Scott Karl (6),3.3144,L
850,851.,John Ewing (6),3.3155,R
851,852.,Art Fromme (10),3.3171,R
852,853.,Eric Show (11),3.3172,R
853,854.,Ray Sadecki (18),3.3188,L
854,855.,"Danny Duffy (10, 31)",3.3203,L
855,856.,Woodie Fryman (18),3.3218,L
856,857.,Adonis Terry (14),3.3241,R
857,858.,Howard Ehmke (15),3.3247,R
858,859.,Andrew Cashner (10),3.3261,R
859,860.,Joe Gibbon (13),3.3278,L
860,861.,Brooks Lawrence (7),3.3296,R
861,862.,Jimmy Lavender (6),3.3321,R
862,863.,Bill Travers (9),3.3328,L
863,864.,Jim Abbott (10),3.3333,L
864,865.,Aaron Sele (15),3.3358,R
865,866.,Mike Marshall (14),3.3361,R
866,867.,Willie Mitchell (11),3.3364,L
867,868.,"Lance Lynn (9, 33)",3.3371,R
868,869.,Billy Hoeft (15),3.3372,L
869,870.,Bob Harmon (9),3.3389,R
870,871.,Fred Frankhouse (13),3.3416,R
871,872.,Lefty Tyler (12),3.3457,L
872,873.,Roberto Hernandez (11),3.3460,R
873,874.,Johnny Humphries (9),3.3503,R
874,875.,Todd Stottlemyre (14),3.3509,R
875,876.,Andy Messersmith (12),3.3533,R
876,877.,Lil Stoner (9),3.3537,R
877,878.,Pat Hentgen (14),3.3609,R
878,879.,Tim Wakefield (19),3.3614,R
879,880.,Alan Foster (10),3.3618,R
880,881.,Steve Blass (10),3.3637,R
881,882.,Jim Slaton (16),3.3670,R
882,883.,Pete Vuckovich (11),3.3704,R
883,884.,Dan Plesac (18),3.3750,L
884,885.,Charlie Robertson (8),3.3761,R
885,886.,Phil Collins (8),3.3775,R
886,887.,Darren Oliver (20),3.3826,L
887,888.,Carl Erskine (12),3.3829,R
888,889.,Dave LaPoint (12),3.3841,L
889,890.,Grant Jackson (18),3.3849,L
890,891.,Jim Clancy (15),3.3857,R
891,892.,Steve Hargan (12),3.3860,R
892,893.,Sammy Ellis (7),3.3884,R
893,894.,Walt Terrell (11),3.3886,R
894,895.,Lee Smith+ (18),3.3925,R
895,896.,Mike Stanton (19),3.3932,L
896,897.,Jim Deshaies (12),3.3934,L
897,897.,Steve Trachsel (16),3.3934,R
898,899.,Allan Sothoron (11),3.3956,R
899,900.,Max Lanier (14),3.3958,L
900,901.,Orval Grove (10),3.3960,R
901,902.,Jeff Russell (14),3.3965,R
902,903.,Chuck Dobson (9),3.4045,R
903,904.,Johnny Allen (13),3.4056,R
904,905.,Bobby Bolin (13),3.4093,R
905,906.,Kid Gleason (22),3.4127,R
906,906.,Bob Shirley (11),3.4127,L
907,908.,Johnny Rigney (8),3.4139,R
908,909.,Mario Soto (12),3.4173,R
909,910.,Adam Eaton (10),3.4208,R
910,911.,Ed Wells (11),3.4224,L
911,912.,Socks Seibold (9),3.4268,R
912,913.,Chris Tillman (10),3.4271,R
913,914.,"Trevor Bauer (9, 29)",3.4336,R
914,915.,Milt Wilcox (16),3.4364,R
915,916.,Elmer Knetzer (8),3.4371,R
916,917.,Lynn McGlothen (11),3.4373,R
917,918.,Chuck Stobbs (15),3.4447,L
918,919.,Frank Foreman (11),3.4449,R
919,920.,Sid Hudson (12),3.4457,R
920,921.,Dave Mlicki (10),3.4462,R
921,922.,Sid Fernandez (15),3.4473,L
922,923.,Dave Danforth (10),3.4528,L
923,924.,Dizzy Trout (15),3.4538,R
924,925.,Ron Darling (13),3.4546,R
925,926.,Lew Krausse (12),3.4565,R
926,927.,Tug McGraw (19),3.4582,L
927,928.,Jim Hearn (13),3.4602,R
928,929.,Kirk McCaskill (12),3.4615,R
929,930.,Steve Trout (12),3.4649,L
930,931.,Dennis Cook (15),3.4695,L
931,932.,Storm Davis (13),3.4723,R
932,933.,Al Hollingsworth (11),3.4749,L
933,934.,Henry Gruber (5),3.4785,R
934,935.,Bert Gallia (9),3.4816,R
935,935.,Chris Young (13),3.4816,R
936,937.,Gene Nelson (13),3.4833,R
937,938.,Duke Esper (9),3.4850,L
938,939.,Len Barker (11),3.4880,R
939,940.,Earl Wilson (11),3.4918,R
940,941.,Alex Ferguson (10),3.4937,R
941,942.,Jim Rooker (13),3.4949,L
942,943.,Early Wynn+ (23),3.5002,R
943,944.,Bert Cunningham (12),3.5017,R
944,945.,Larry Cheney (9),3.5066,R
945,946.,Ted Power (13),3.5069,R
946,947.,Rube Walberg (15),3.5095,L
947,948.,Joe Coleman (15),3.5134,R
948,949.,Michael Jackson (17),3.5142,R
949,950.,Roger McDowell (12),3.5143,R
950,951.,Jason Marquis (15),3.5162,R
951,952.,Yovani Gallardo (12),3.5174,R
952,953.,Pete Schneider (6),3.5181,R
953,954.,Glen Hobbie (8),3.5273,R
954,954.,Bob Miller (17),3.5273,R
955,956.,Joe Haynes (14),3.5294,R
956,957.,Joe Dobson (14),3.5295,R
957,958.,Shane Rawley (12),3.5301,L
958,959.,David Cone (17),3.5302,R
959,960.,Scott Elarton (10),3.5313,R
960,961.,Howie Fox (9),3.5323,R
961,962.,Joey Jay (13),3.5329,R
962,963.,Andy Hawkins (10),3.5345,R
963,964.,Fernando Valenzuela (17),3.5355,L
964,965.,Randy Lerch (11),3.5367,L
965,966.,Dave Stewart (16),3.5389,R
966,967.,Rip Collins (11),3.5393,R
967,968.,Mickey Haefner (8),3.5407,L
968,969.,Jose Guzman (8),3.5432,R
969,970.,Danny Jackson (15),3.5433,L
970,971.,Pete Smith (11),3.5450,R
971,972.,Steve Sparks (9),3.5464,R
972,973.,Ruben Gomez (10),3.5530,R
973,974.,Tom Sturdivant (10),3.5541,R
974,975.,Jakie May (14),3.5543,L
975,976.,Jim Wilson (12),3.5556,R
976,977.,Al Mamaux (12),3.5568,R
977,978.,Tom Seaton (6),3.5597,R
978,979.,Al Javery (7),3.5601,R
979,980.,Ryan Vogelsong (12),3.5622,R
980,981.,Ray Culp (11),3.5652,R
981,982.,Vean Gregg (8),3.5664,L
982,983.,Kevin Gross (15),3.5672,R
983,984.,Skip Lockwood (13),3.5680,R
984,985.,Wes Ferrell (15),3.5684,R
985,986.,Jason Schmidt (14),3.5705,R
986,987.,Brickyard Kennedy (12),3.5733,R
987,988.,Bud Norris (10),3.5740,R
988,989.,Milt Gaston (11),3.5743,R
989,990.,Mike Hampton (16),3.5749,L
990,991.,John Franco (21),3.5764,L
991,992.,"Edwin Jackson (17, 36)",3.5770,R
992,993.,Chick Fraser (14),3.5797,R
993,993.,Tim Lincecum (10),3.5797,R
994,995.,Rick Waits (12),3.5823,L
995,996.,Ron Perranoski (13),3.5857,L
996,997.,Richard Dotson (12),3.5858,R
997,998.,Earl Moore (14),3.5922,R
998,999.,Elmer Myers (8),3.5935,R
