,Rank,"Player (yrs, age)",Base-Out Wins Added (REW),Bats
633,634.,Doug DeCinces (15),8.77,R
634,635.,Shane Mack (9),8.76,R
635,636.,Bubbles Hargrave (12),8.73,R
636,636.,Hal Morris (13),8.73,L
637,638.,"Chris Davis (13, 34)",8.71,L
638,639.,Gary Redus (13),8.70,R
639,640.,Dan Uggla (10),8.68,R
640,641.,Lyman Bostock (4),8.62,L
641,642.,Sam Leslie (10),8.61,L
642,643.,Chet Laabs (11),8.60,R
643,644.,Gus Zernial (11),8.59,R
644,645.,Larry Parrish (15),8.58,R
645,646.,Joe Ferguson (14),8.57,R
646,646.,Harry Hooper+ (17),8.57,L
647,646.,Seth Smith (11),8.57,L
648,646.,Tim Wallach (17),8.57,R
649,650.,"Kyle Seager (10, 32)",8.56,L
650,651.,Casey Stengel+ (14),8.55,L
651,652.,Wally Schang (19),8.53,B
652,653.,"Brett Gardner (13, 36)",8.48,L
653,654.,Ian Kinsler (14),8.47,R
654,655.,Matty Alou (15),8.45,L
655,655.,Bake McBride (11),8.45,L
656,657.,Johnny Frederick (6),8.44,L
657,658.,"Xander Bogaerts (8, 27)",8.40,R
658,659.,"Jay Bruce (13, 33)",8.37,L
659,660.,Rondell White (15),8.35,R
660,661.,Jesse Barfield (12),8.34,R
661,662.,Howie Kendrick (15),8.33,R
662,663.,Luke Easter (6),8.28,L
663,664.,Freddie Lindstrom+ (13),8.27,R
664,664.,Garry Maddox (15),8.27,R
665,666.,Jim Russell (10),8.24,B
666,667.,"Jason Kipnis (10, 33)",8.19,L
667,668.,Johnny Mostil (10),8.16,R
668,669.,Elston Howard (14),8.13,R
669,670.,"Pablo Sandoval (13, 33)",8.11,B
670,671.,"Adam Eaton (9, 31)",8.08,L
671,671.,Chris Hoiles (10),8.08,R
672,673.,Mike Marshall (11),8.07,R
673,674.,Kendrys Morales (13),8.06,B
674,675.,Hal Chase (15),8.04,R
675,675.,"Trea Turner (6, 27)",8.04,R
676,677.,Dave Hollins (12),8.02,B
677,678.,Ryan Ludwick (12),8.01,R
678,679.,Max West (7),8.00,L
679,680.,Willie Montanez (14),7.99,L
680,681.,Bill Buckner (22),7.92,L
681,682.,Ron LeFlore (9),7.90,R
682,683.,Yasiel Puig (7),7.88,R
683,684.,Curt Walker (12),7.86,L
684,685.,Jack Cust (10),7.85,L
685,686.,"David Peralta (7, 32)",7.83,L
686,686.,Wally Westlake (10),7.83,R
687,688.,Tony Fernandez (17),7.82,B
688,688.,Jim Lemon (12),7.82,R
689,690.,Home Run Baker+ (13),7.81,L
690,690.,"Khris Davis (8, 32)",7.81,R
691,692.,Woodie Held (14),7.80,R
692,692.,"DJ LeMahieu (10, 31)",7.80,R
693,694.,Trot Nixon (12),7.79,L
694,695.,Angel Pagan (11),7.77,B
695,695.,Babe Young (8),7.77,L
696,697.,Robby Thompson (11),7.74,R
697,698.,Glenn Wright (11),7.73,R
698,699.,Ed Konetchy (15),7.72,R
699,699.,Juan Samuel (16),7.72,R
700,701.,Johnny Moore (10),7.69,L
701,702.,"Wil Myers (8, 29)",7.67,R
702,702.,Earl Webb (7),7.67,L
703,704.,Allen Craig (6),7.64,R
704,705.,Jimmie Hall (8),7.62,L
705,705.,Rick Reichardt (11),7.62,R
706,707.,Willard Marshall (11),7.59,L
707,708.,Braggo Roth (8),7.56,R
708,709.,Bernard Gilkey (12),7.54,R
709,709.,Todd Zeile (16),7.54,R
710,711.,Nellie Fox+ (19),7.51,L
711,711.,Bill Mueller (11),7.51,B
712,713.,Candy Maldonado (15),7.49,R
713,714.,Steve Henderson (12),7.48,R
714,715.,Corey Hart (11),7.47,R
715,715.,Billy Johnson (9),7.47,R
716,715.,Phil Weintraub (7),7.47,L
717,718.,Joe Foy (6),7.46,R
718,719.,Kevin Bass (14),7.45,B
719,719.,Ken Phelps (11),7.45,L
720,721.,Jason Kendall (15),7.43,R
721,722.,"Trevor Story (5, 27)",7.41,R
722,723.,Melky Cabrera (15),7.40,B
723,724.,"Ronald Acuna Jr. (3, 22)",7.39,R
724,725.,David Segui (15),7.38,B
725,726.,Jim Hickman (13),7.33,R
726,727.,Brooks Robinson+ (23),7.32,R
727,728.,Eddie Joost (17),7.28,R
728,729.,Harvey Hendrick (11),7.27,L
729,729.,Kevin Millar (12),7.27,R
730,729.,B.J. Surhoff (19),7.27,L
731,732.,Ron Blomberg (8),7.25,L
732,733.,Charlie Jamieson (18),7.24,L
733,734.,Tony Cuccinello (15),7.21,R
734,735.,Mike Ivie (11),7.20,R
735,736.,David Freese (11),7.19,R
736,737.,David DeJesus (13),7.17,L
737,738.,Jeff Cirillo (14),7.14,R
738,738.,Martin Prado (14),7.14,R
739,738.,Dick Wakefield (9),7.14,L
740,741.,Dale Long (10),7.13,L
741,741.,Javy Lopez (15),7.13,R
742,743.,Bip Roberts (12),7.06,B
743,744.,Chuck Hinton (11),7.05,R
744,745.,Lucas Duda (10),7.00,L
745,745.,"Yasmani Grandal (9, 31)",7.00,B
746,745.,Russell Martin (14),7.00,R
747,748.,Bobby Estalella (9),6.98,R
748,749.,Bob Fothergill (12),6.97,R
749,750.,Jim King (11),6.96,L
750,751.,Gene Richards (8),6.95,L
751,752.,Mark Reynolds (13),6.93,R
752,753.,Joe Carter (16),6.88,R
753,754.,Tom Herr (13),6.87,B
754,754.,Albie Pearson (9),6.87,L
755,756.,Derek Bell (11),6.86,R
756,757.,Jake Daubert (15),6.85,L
757,758.,Mike Cameron (17),6.84,R
758,759.,Frank Demaree (12),6.83,R
759,760.,"Rhys Hoskins (4, 27)",6.81,R
760,761.,"Asdrubal Cabrera (14, 34)",6.80,B
761,762.,John Wockenfuss (12),6.79,R
762,763.,John Jaso (9),6.77,L
763,764.,Willie Kirkland (9),6.75,L
764,765.,Miguel Montero (13),6.74,L
765,766.,Don Lock (8),6.72,R
766,767.,Ray Durham (14),6.71,B
767,768.,Brian Jordan (15),6.70,R
768,769.,Willie Aikens (8),6.69,L
769,769.,Frank Catalanotto (14),6.69,L
770,769.,Larry Doyle (14),6.69,L
771,772.,Mel Hall (13),6.68,L
772,772.,"Max Muncy (5, 29)",6.68,L
773,774.,Don Demeter (11),6.67,R
774,775.,Garret Anderson (17),6.66,L
775,776.,Ben Grieve (9),6.65,L
776,777.,Luke Scott (9),6.64,L
777,778.,Ellis Valentine (10),6.63,R
778,779.,Gates Brown (13),6.62,L
779,779.,Debs Garms (12),6.62,L
780,781.,George Bell (12),6.61,R
781,782.,Chase Headley (12),6.60,B
782,783.,Bill Bruton (12),6.59,L
783,784.,Hector Lopez (12),6.58,R
784,784.,Mark Loretta (15),6.58,R
785,786.,Henry Rodriguez (11),6.57,L
786,786.,Goody Rosen (6),6.57,L
787,788.,Cookie Lavagetto (10),6.56,R
788,789.,Lyle Overbay (14),6.55,L
789,790.,George Altman (9),6.54,L
790,790.,Eric Karros (14),6.54,R
791,792.,Jay Johnstone (20),6.53,L
792,793.,Marcus Giles (7),6.50,R
793,794.,Lou Piniella (18),6.49,R
794,794.,Denny Walling (18),6.49,L
795,796.,Bobby Avila (11),6.48,R
796,797.,Dmitri Young (13),6.46,B
797,798.,"Nicholas Castellanos (8, 28)",6.44,R
798,799.,Mike Lowell (13),6.41,R
799,800.,Kelly Johnson (11),6.38,L
800,801.,Babe Phelps (11),6.35,L
801,801.,"AJ Pollock (9, 32)",6.35,R
802,803.,Bill Melton (10),6.34,R
803,804.,Don Money (16),6.33,R
804,805.,"Josh Bell (5, 27)",6.31,B
805,806.,Ed Bouchee (7),6.29,L
806,806.,Milton Bradley (12),6.29,B
807,808.,Jimmy Dykes (22),6.24,R
808,809.,Roberto Kelly (14),6.22,R
809,810.,Solly Hemus (11),6.16,L
810,810.,Rance Mulliniks (16),6.16,L
811,810.,Shannon Stewart (14),6.16,R
812,810.,"Luke Voit (4, 29)",6.16,R
813,814.,Al Bumbry (14),6.15,L
814,814.,"Tommy Pham (7, 32)",6.15,R
815,816.,Walt Moryn (8),6.12,L
816,817.,Ed Charles (8),6.09,R
817,818.,Jorge Orta (16),6.08,L
818,818.,Pinky Whitney (12),6.08,R
819,820.,Corey Koskie (9),6.07,L
820,821.,"Matthew Joyce (13, 35)",6.06,L
821,821.,"Brandon Nimmo (5, 27)",6.06,L
822,823.,Greg Gross (17),6.01,L
823,824.,"Kole Calhoun (9, 32)",6.00,L
824,825.,Greg Walker (9),5.99,L
825,826.,Tillie Walker (13),5.98,R
826,827.,Fred Whitfield (9),5.96,L
827,828.,Jackie Brandt (11),5.94,R
828,829.,"Corey Dickerson (8, 31)",5.92,L
829,829.,Johnny Lindell (12),5.92,R
830,829.,Cody Ross (12),5.92,R
831,832.,Ken Henderson (16),5.90,B
832,833.,Mike Morse (13),5.89,R
833,833.,Tony Solaita (7),5.89,L
834,835.,Jeff King (11),5.87,R
835,836.,George Crowe (9),5.85,L
836,837.,Sid Bream (12),5.84,L
837,837.,Rafael Furcal (14),5.84,B
838,837.,John Vander Wal (14),5.84,L
839,840.,Del Pratt (13),5.82,R
840,841.,Ruppert Jones (12),5.81,L
841,842.,Wayne Garrett (10),5.80,L
842,843.,Lenny Green (12),5.78,L
843,844.,Melvin Mora (13),5.77,R
844,845.,Hubie Brooks (15),5.70,R
845,846.,Ollie Brown (13),5.68,R
846,847.,Otto Velez (11),5.64,R
847,848.,Dion James (11),5.61,L
848,849.,Gordy Coleman (9),5.60,L
849,850.,Nick Esasky (8),5.56,R
850,851.,Gene Hermanski (9),5.54,L
851,852.,Marlon Byrd (15),5.53,R
852,853.,Joe Hauser (6),5.52,L
853,854.,Sandy Amoros (7),5.51,L
854,854.,Jim Lefebvre (8),5.51,B
855,854.,David Murphy (10),5.51,L
856,854.,Jack Tobin (13),5.51,L
857,858.,Larry Gardner (17),5.49,L
858,858.,Terry Pendleton (15),5.49,B
859,860.,Al Ferrara (8),5.48,R
860,861.,Gary Roenicke (12),5.47,R
861,862.,Jason Kubel (10),5.46,L
862,862.,John Valentin (11),5.46,R
863,864.,Cal Abrams (8),5.44,L
864,864.,Joe Collins (10),5.44,L
865,864.,"Chris Taylor (7, 29)",5.44,R
866,864.,Lloyd Waner+ (18),5.44,L
867,868.,Jack Hiatt (9),5.43,R
868,868.,Alex Johnson (13),5.43,R
869,870.,Dom Dallessandro (8),5.42,L
870,871.,George Watkins (7),5.41,L
871,872.,Mike Aldrete (10),5.39,L
872,872.,Happy Felsch (6),5.39,R
873,872.,Devon White (17),5.39,B
874,875.,Brian Roberts (14),5.38,B
875,876.,Scott Hatteberg (14),5.37,L
876,877.,Rich Rollins (10),5.35,R
877,878.,Mike Hegan (12),5.34,L
878,878.,Hersh Martin (6),5.34,B
879,880.,Danny Litwhiler (11),5.30,R
880,881.,Frank Brower (5),5.28,L
881,881.,"Jose Martinez (5, 31)",5.28,R
882,883.,Baby Doll Jacobson (11),5.25,R
883,884.,Al Dark (14),5.24,R
884,885.,"Matt Olson (5, 26)",5.22,L
885,886.,Freddy Sanchez (10),5.21,R
886,887.,"Stephen Piscotty (6, 29)",5.20,R
887,888.,Randy Ready (13),5.18,R
888,889.,Les Fleming (7),5.17,L
889,889.,Pete Fox (13),5.17,R
890,889.,Dave May (12),5.17,L
891,892.,Al Zarilla (10),5.16,L
892,893.,Stan Lopata (13),5.15,R
893,894.,Sherm Lollar (18),5.14,R
894,895.,Gorman Thomas (13),5.13,R
895,896.,Ron Swoboda (9),5.11,R
896,897.,Ping Bodie (9),5.09,R
897,898.,Keith Moreland (12),5.07,R
898,899.,Ken McMullen (16),5.06,R
899,900.,Vince DiMaggio (10),5.00,R
900,901.,Bill North (11),4.99,B
901,901.,Jim Pagliaroni (11),4.99,R
902,901.,Johnny Rizzo (5),4.99,R
903,904.,"Andrew Benintendi (5, 25)",4.98,L
904,905.,Ken Harrelson (9),4.96,R
905,905.,"Jed Lowrie (12, 36)",4.96,B
906,907.,Dan Ford (11),4.94,R
907,908.,Milt Thompson (13),4.93,L
908,909.,"Francisco Lindor (6, 26)",4.90,B
909,909.,Lloyd Moseby (12),4.90,L
910,911.,Delino DeShields (13),4.89,L
911,912.,Tommie Agee (12),4.87,R
912,912.,"Brian Anderson (4, 27)",4.87,R
913,912.,Johnny Wyrostek (11),4.87,L
914,915.,Smead Jolley (4),4.86,L
915,916.,Rip Radcliff (10),4.85,L
916,917.,Dusty Cooke (8),4.84,L
917,918.,John Lowenstein (16),4.83,L
918,918.,"Jeff McNeil (3, 28)",4.83,L
919,920.,Bob Robertson (11),4.82,R
920,921.,Phil Garner (16),4.79,R
921,922.,"Chris Iannetta (14, 37)",4.78,R
922,923.,Dick Gernert (11),4.76,R
923,924.,Travis Fryman (13),4.75,R
924,924.,Vic Power (12),4.75,R
925,926.,Don Padgett (8),4.74,L
926,926.,"Josh Reddick (12, 33)",4.74,L
927,928.,Walton Cruise (10),4.73,L
928,929.,Bobby Brown (8),4.72,L
929,929.,"Matt Chapman (4, 27)",4.72,R
930,929.,Bubba Trammell (7),4.72,R
931,932.,"Jake Lamb (7, 29)",4.71,L
932,933.,Lee Lacy (16),4.70,R
933,934.,Gary Ward (12),4.69,R
934,934.,Mitch Webster (13),4.69,B
935,936.,Earl Sheely (9),4.68,R
936,937.,Roy Smalley (13),4.66,B
937,938.,Les Mann (16),4.65,R
938,939.,"Matt Adams (9, 31)",4.57,L
939,940.,"Mark Canha (6, 31)",4.55,R
940,941.,Gary Geiger (12),4.54,L
941,941.,Don Lenhardt (5),4.54,R
942,943.,Jim Leyritz (11),4.50,R
943,944.,Pete O'Brien (12),4.48,L
944,945.,Austin McHenry (5),4.46,R
945,945.,"J.T. Realmuto (7, 29)",4.46,R
946,947.,Justin Bour (6),4.44,L
947,948.,Art Fletcher (13),4.43,R
948,949.,Edgar Renteria (16),4.42,R
949,950.,Harry Anderson (5),4.40,L
950,951.,Terry Moore (11),4.38,R
951,952.,Greg Brock (10),4.35,L
952,952.,"Todd Frazier (10, 34)",4.35,R
953,952.,Sam Jethroe (4),4.35,B
954,952.,Dave Nilsson (8),4.35,L
955,956.,Tommy McCraw (13),4.33,L
956,956.,Dick Porter (6),4.33,L
957,956.,Joel Youngblood (14),4.33,R
958,959.,Randy Winn (13),4.32,B
959,960.,Duke Sims (11),4.31,L
960,961.,Jermaine Dye (14),4.29,R
961,961.,Adam Jones (14),4.29,R
962,961.,Rickie Weeks (14),4.29,R
963,964.,Russ Wrightstone (9),4.27,L
964,965.,"Jorge Soler (7, 28)",4.25,R
965,966.,Morgan Ensberg (8),4.24,R
966,967.,"Miguel Sano (6, 27)",4.22,R
967,968.,"Rafael Devers (4, 23)",4.21,L
968,968.,Scooter Gennett (7),4.21,L
969,968.,Jim Landis (11),4.21,R
970,971.,"Ian Desmond (11, 34)",4.20,R
971,971.,Johnny Ray (10),4.20,B
972,973.,Garrett Atkins (8),4.19,R
973,973.,Gary Thomasson (9),4.19,L
974,975.,Andy High (13),4.17,L
975,975.,Travis Jackson+ (15),4.17,R
976,977.,"Ozzie Albies (4, 23)",4.16,B
977,978.,Vic Davalillo (16),4.15,L
978,979.,Greg Colbrunn (13),4.14,R
979,979.,Paul Schaal (11),4.14,R
980,981.,"Fernando Tatis Jr. (2, 21)",4.13,R
981,982.,Charlie Hollocher (7),4.09,L
982,983.,Hi Myers (14),4.07,R
983,983.,Larry Rosenthal (8),4.07,L
984,985.,"Pete Alonso (2, 25)",4.06,R
985,986.,Ralph Garr (13),4.04,L
986,986.,Freddy Leach (10),4.04,L
987,986.,Carmelo Martinez (9),4.04,R
988,986.,Andy Seminick (15),4.04,R
989,990.,Heinie Zimmerman (13),4.03,R
990,991.,Bill Hinchman (10),4.02,R
991,991.,Al Martin (11),4.02,L
992,991.,Smoky Joe Wood (14),4.02,R
993,994.,"Lorenzo Cain (11, 34)",3.99,R
994,995.,Art Shamsky (8),3.98,L
995,996.,Wayne Gross (11),3.96,L
996,997.,Don Hoak (11),3.95,R
997,997.,Daniel Nava (7),3.95,B
998,999.,John Stearns (11),3.94,R
