,Rank,"Player (yrs, age)",Hits per 9 IP,Throws
612,613.,Milt Wilcox (16),8.8855,R
613,614.,"Patrick Corbin (8, 30)",8.8863,L
614,615.,Ruben Gomez (10),8.8886,R
615,616.,Ben Sheets (10),8.8891,R
616,617.,Gene Packard (8),8.8894,L
617,618.,Mike Garcia (14),8.8896,R
618,619.,Togie Pittinger (8),8.8956,R
619,620.,Johnny Podres (15),8.8967,L
620,621.,Charles Hudson (7),8.9047,R
621,622.,Curt Simmons (20),8.9050,L
622,623.,Jim Merritt (11),8.9090,L
623,624.,Earl Hamilton (14),8.9091,L
624,625.,Dan Casey (7),8.9125,L
625,626.,Al Benton (14),8.9129,R
626,627.,Randy Jones (10),8.9162,L
627,628.,Henry Boyle (6),8.9163,R
628,629.,Freddy Garcia (15),8.9165,R
629,630.,Firpo Marberry (14),8.9202,R
630,631.,Allen Russell (11),8.9204,R
631,632.,Gavin Floyd (13),8.9208,R
632,633.,Stan Coveleski+ (14),8.9212,R
633,634.,Rip Sewell (13),8.9221,R
634,635.,Erskine Mayer (8),8.9243,R
635,636.,Jorge De La Rosa (15),8.9251,L
636,637.,Larry Jansen (9),8.9252,R
637,638.,Patsy Flaherty (9),8.9263,L
638,639.,Ed Figueroa (8),8.9267,R
639,640.,Tim Belcher (14),8.9275,R
640,641.,Jim Turner (9),8.9284,R
641,642.,Randy Wolf (16),8.9291,L
642,643.,Murry Dickson (18),8.9312,R
643,644.,Bob Wickman (15),8.9320,R
644,645.,Mark Portugal (15),8.9343,R
645,646.,Mark Gardner (13),8.9354,R
646,647.,Roger Wolff (7),8.9356,R
647,648.,Larry McWilliams (13),8.9403,L
648,649.,Chris Carpenter (15),8.9419,R
649,650.,Brooks Lawrence (7),8.9423,R
650,651.,Bob Forsch (16),8.9431,R
651,652.,Jaime Garcia (10),8.9445,L
652,653.,Dixie Davis (10),8.9477,R
653,654.,Doc Crandall (10),8.9496,R
654,655.,Roger Craig (12),8.9512,R
655,656.,Howie Pollet (14),8.9516,L
656,657.,Cliff Melton (8),8.9525,L
657,658.,Roger McDowell (12),8.9571,R
658,659.,Jarrod Washburn (12),8.9581,L
659,660.,Danny Cox (11),8.9584,R
660,661.,Preacher Roe (12),8.9655,L
661,662.,Frank Viola (15),8.9704,L
662,663.,Chris Tillman (10),8.9764,R
663,664.,Ned Garver (14),8.9770,R
664,665.,Bill Voiselle (9),8.9782,R
665,666.,Thornton Lee (16),8.9833,L
666,667.,Hal Brown (14),8.9839,R
667,668.,Denny Neagle (13),8.9841,L
668,669.,Jim Clancy (15),8.9845,R
669,670.,Ray Washburn (10),8.9851,R
670,671.,Ike Delock (11),8.9855,R
671,672.,Doug Rau (9),8.9857,L
672,673.,Mike Krukow (14),8.9890,R
673,674.,Larry Christenson (11),8.9893,R
674,675.,Bud Norris (10),8.9902,R
675,676.,Pete Vuckovich (11),8.9918,R
676,677.,Ted Power (13),8.9922,R
677,678.,Guy Hecker (9),8.9938,R
678,678.,Lee Viau (5),8.9938,R
679,680.,Fritz Peterson (11),8.9946,L
680,681.,Dave Burba (15),8.9966,R
681,682.,Mike Torrez (18),8.9980,R
682,683.,Todd Jones (16),9.0000,R
683,683.,Matt Keough (9),9.0000,R
684,683.,Bob Shirley (11),9.0000,L
685,683.,Ed Whitson (15),9.0000,R
686,687.,Woody Williams (15),9.0027,R
687,688.,Allan Sothoron (11),9.0038,R
688,689.,LaMarr Hoyt (8),9.0114,R
689,690.,Andy Hassler (14),9.0134,L
690,691.,Dustin Hermanson (12),9.0140,R
691,692.,Herm Wehmeier (13),9.0150,R
692,693.,Wandy Rodriguez (11),9.0154,L
693,694.,Dick Bosman (11),9.0170,R
694,695.,Bob Porterfield (12),9.0191,R
695,696.,Hank O'Day+ (7),9.0200,R
696,697.,Doyle Alexander (19),9.0223,R
697,698.,José Contreras (11),9.0230,R
698,699.,Bobo Newsom (20),9.0231,R
699,700.,Art Nehf (15),9.0244,L
700,701.,Claude Osteen (18),9.0269,L
701,702.,Bob Walk (14),9.0270,R
702,703.,Adonis Terry (14),9.0273,R
703,704.,Joe Nuxhall (16),9.0287,L
704,705.,Dolf Luque (20),9.0298,R
705,706.,Pedro Ramos (15),9.0318,R
706,707.,Dave Koslo (12),9.0320,L
707,708.,Bob Moose (10),9.0322,R
708,709.,Todd Stottlemyre (14),9.0342,R
709,710.,Matt Kilroy (10),9.0345,L
710,711.,Mike Bielecki (14),9.0366,R
711,712.,Red Faber+ (20),9.0426,R
712,713.,Rick Rhoden (16),9.0428,R
713,714.,Hooks Dauss (15),9.0434,R
714,715.,Tom Browning (12),9.0469,L
715,716.,Al Fitzmorris (10),9.0493,R
716,717.,Jack Stivetts (11),9.0540,R
717,718.,Gil Meche (10),9.0545,R
718,719.,Storm Davis (13),9.0573,R
719,720.,Hardie Henderson (6),9.0587,R
720,721.,Johnny Lanning (11),9.0588,R
721,722.,Phenomenal Smith (8),9.0590,L
722,723.,Mark Gubicza (14),9.0634,R
723,724.,Mike Fornieles (12),9.0648,R
724,725.,Al Brazle (10),9.0654,L
725,726.,John Lackey (15),9.0687,R
726,727.,Joe Lake (6),9.0751,R
727,728.,Brett Myers (12),9.0789,R
728,729.,Rick Helling (12),9.0806,R
729,730.,Johnny Sain (11),9.0819,R
730,731.,Mike Moore (14),9.0837,R
731,732.,Pat Malone (10),9.0893,R
732,733.,Andy Hawkins (10),9.0905,R
733,734.,Eddie Lopat (12),9.0910,L
734,735.,Urban Shocker (13),9.0917,R
735,736.,"Derek Holland (12, 33)",9.0932,L
736,737.,Warren Hacker (12),9.0958,R
737,737.,Rick Honeycutt (21),9.0958,L
738,739.,Bob Knepper (15),9.0964,L
739,740.,Gene Conley (11),9.0982,R
740,741.,Kirk McCaskill (12),9.0989,R
741,742.,Scott Sanderson (19),9.0995,R
742,743.,Rick Reuschel (19),9.1006,R
743,744.,Bobby Witt (16),9.1022,R
744,745.,Ed Doheny (9),9.1025,L
745,746.,Bump Hadley (16),9.1049,R
746,747.,Red Munger (10),9.1050,R
747,748.,Ryan Vogelsong (12),9.1059,R
748,749.,Jesse Duryea (5),9.1075,R
749,750.,Max Surkont (9),9.1105,R
750,751.,Leon Cadore (10),9.1121,R
751,752.,Jesse Tannehill (15),9.1131,L
752,753.,Kevin Gross (15),9.1134,R
753,754.,Jason Vargas (14),9.1150,L
754,755.,Mike Flanagan (18),9.1170,L
755,756.,Jim Colborn (10),9.1221,R
756,757.,Dick Drago (13),9.1248,R
757,758.,Nelson Briles (14),9.1250,R
758,759.,Harry Gumbert (15),9.1252,R
759,760.,Phil Regan (13),9.1268,R
760,761.,Tex Carleton (8),9.1269,R
761,762.,Richard Dotson (12),9.1292,R
762,762.,Happy Townsend (6),9.1292,R
763,764.,Bill Hutchison (9),9.1305,R
764,765.,Matt Young (10),9.1311,L
765,766.,Art Fowler (9),9.1318,R
766,767.,Eric Rasmussen (8),9.1356,R
767,768.,Jim Tobin (9),9.1374,R
768,769.,Tommy John (26),9.1388,L
769,770.,Fred Hutchinson (11),9.1414,R
770,771.,Glen Hobbie (8),9.1425,R
771,772.,Tom Morgan (12),9.1466,R
772,773.,Bill Travers (9),9.1472,L
773,774.,Jack Kralick (9),9.1478,L
774,775.,Bill Bonham (10),9.1493,R
775,776.,Ron Kline (17),9.1516,R
776,777.,Pete Smith (11),9.1521,R
777,778.,Charlie Root (17),9.1539,R
778,779.,Bill Monbouquette (11),9.1545,R
779,780.,Dave Rozema (10),9.1546,R
780,781.,Pat Hentgen (14),9.1547,R
781,782.,Pete Conway (5),9.1558,R
782,783.,Mark Leiter (11),9.1571,R
783,784.,Jerry Reuss (22),9.1578,L
784,785.,Shawn Estes (13),9.1591,L
785,785.,Phil Knell (6),9.1591,L
786,787.,Danny Jackson (15),9.1621,L
787,788.,Jack Billingham (13),9.1640,R
788,789.,Kevin Millwood (16),9.1643,R
789,790.,Tom Hume (11),9.1657,R
790,791.,Howard Ehmke (15),9.1670,R
791,792.,Al Javery (7),9.1680,R
792,793.,Chris Bosio (11),9.1684,R
793,794.,Reggie Cleveland (13),9.1692,R
794,795.,Bruce Hurst (15),9.1700,L
795,796.,Doc Medich (11),9.1773,R
796,797.,John Danks (10),9.1776,L
797,798.,Ken Chase (8),9.1777,L
798,799.,Jim Kaat (25),9.1781,L
799,800.,Dan Quisenberry (12),9.1783,R
800,801.,Ed Stein (8),9.1793,R
801,802.,Cy Blanton (9),9.1822,R
802,803.,Nels Potter (12),9.1868,R
803,804.,Bob Bruce (9),9.1898,R
804,805.,Rheal Cormier (16),9.1940,L
805,806.,Dick Ruthven (14),9.1963,R
806,807.,Johnny Humphries (9),9.1976,R
807,808.,Jim Beattie (9),9.1985,R
808,809.,Red Barrett (11),9.2042,R
809,810.,Jim Devlin (5),9.2050,R
810,811.,Scott Baker (10),9.2057,R
811,812.,George Bradley (11),9.2112,R
812,813.,Curt Young (11),9.2114,L
813,814.,Doug Jones (16),9.2127,R
814,815.,Doug Fister (10),9.2130,R
815,816.,"Wei-Yin Chen (8, 34)",9.2142,L
816,817.,Egyptian Healy (8),9.2160,R
817,818.,Dontrelle Willis (9),9.2161,L
818,819.,Ryan Franklin (12),9.2173,R
819,820.,Jeff Fassero (16),9.2183,L
820,821.,Ismael Valdez (12),9.2200,R
821,822.,Johnny Morrison (10),9.2287,R
822,823.,Ken Heintzelman (13),9.2297,L
823,824.,Andy Ashby (14),9.2303,R
824,825.,Vicente Padilla (14),9.2329,R
825,826.,Bob Purkey (13),9.2355,R
826,827.,Luke Hamlin (9),9.2370,R
827,828.,Dutch Leonard (20),9.2396,R
828,829.,Mike LaCoss (14),9.2397,R
829,830.,Oil Can Boyd (10),9.2418,R
830,830.,Al Smith (12),9.2418,L
831,832.,Bill Swift (11),9.2436,R
832,833.,Tom Lovett (6),9.2459,R
833,833.,George Pipgras (11),9.2459,R
834,835.,Hank Gastright (7),9.2467,R
835,836.,Elmer Jacobs (9),9.2548,R
836,837.,Ed Siever (7),9.2568,L
837,838.,Mark Mulder (9),9.2603,L
838,839.,Jim Whitney (10),9.2617,R
839,840.,Chick Fraser (14),9.2622,R
840,841.,Bronson Arroyo (16),9.2636,R
841,842.,Clyde Shoun (14),9.2657,L
842,843.,Bruce Chen (17),9.2702,L
843,844.,Eppa Rixey+ (21),9.2770,L
844,845.,Bill Lee (14),9.2797,R
845,846.,Ed Cushman (6),9.2815,L
846,847.,Erik Hanson (11),9.2816,R
847,848.,Dave Goltz (12),9.2839,R
848,849.,Zane Smith (13),9.2845,L
849,850.,Rick Wise (18),9.2868,R
850,851.,Ross Grimsley (11),9.2898,L
851,852.,Ed Brandt (11),9.2923,L
852,853.,Derek Lowe (17),9.2954,R
853,854.,John Curtis (15),9.2962,L
854,855.,Colby Lewis (11),9.2963,R
855,856.,Miguel Batista (18),9.2975,R
856,857.,Bob Shaw (11),9.2987,R
857,858.,Jim Slaton (16),9.2996,R
858,859.,Shane Rawley (12),9.3014,L
859,860.,Joe Coleman (10),9.3016,R
860,861.,Matt Morris (11),9.3040,R
861,862.,"Wade Miley (10, 33)",9.3047,L
862,863.,Joe Hatten (7),9.3063,L
863,864.,Jim Bagby (9),9.3080,R
864,865.,George Earnshaw (9),9.3086,R
865,866.,Steve Trachsel (16),9.3095,R
866,867.,Freddie Fitzsimmons (19),9.3108,R
867,868.,Willard Nixon (9),9.3136,R
868,869.,Sadie McMahon (9),9.3144,R
869,870.,Paul Splittorff (15),9.3147,L
870,871.,Chris Hammond (14),9.3150,L
871,872.,"Jordan Zimmermann (12, 34)",9.3171,R
872,873.,Cinders O'Brien (4),9.3192,R
873,874.,Charlie Leibrandt (14),9.3198,L
874,875.,Greg Swindell (17),9.3210,L
875,876.,Rick Reed (15),9.3222,R
876,877.,Chris Capuano (12),9.3232,L
877,878.,Brandon McCarthy (13),9.3261,R
878,879.,Lynn McGlothen (11),9.3325,R
879,880.,Billy Rhines (9),9.3332,R
880,881.,Moose Haas (12),9.3372,R
881,882.,Tommy Bond (10),9.3381,R
882,883.,Lee Meadows (15),9.3398,R
883,884.,Bill Bernhard (9),9.3415,R
884,884.,"Bartolo Colon (21, 47)",9.3415,R
885,886.,"Homer Bailey (14, 34)",9.3424,R
886,887.,Terry Larkin (6),9.3426,R
887,888.,George Mogridge (15),9.3429,L
888,889.,Hank Johnson (12),9.3432,R
889,890.,Jamie Moyer (25),9.3468,L
890,891.,Kip Wells (12),9.3474,R
891,892.,Bill Gullickson (14),9.3480,R
892,893.,Lew Burdette (18),9.3482,R
893,893.,Doc McJames (6),9.3482,R
894,895.,Kris Benson (9),9.3498,R
895,896.,Scott Elarton (10),9.3520,R
896,897.,Scott Feldman (13),9.3549,R
897,898.,Roberto Hernandez (11),9.3556,R
898,899.,Andy Pettitte (18),9.3583,L
899,900.,Pete Appleton (14),9.3628,R
900,901.,Wayne Garland (9),9.3635,R
901,902.,David Weathers (19),9.3640,R
902,903.,Frank Castillo (13),9.3648,R
903,904.,Ray Scarborough (10),9.3675,R
904,905.,Alex Kellner (12),9.3682,L
905,906.,Dave Danforth (10),9.3718,L
906,907.,Oral Hildebrand (10),9.3733,R
907,908.,Elmer Myers (8),9.3757,R
908,909.,George Suggs (8),9.3814,R
909,910.,Dave Roberts (13),9.3816,L
910,911.,Pete Schourek (11),9.3838,L
911,912.,Omar Daal (11),9.3854,L
912,913.,Theodore Breitenstein (11),9.3864,L
913,914.,Al Jackson (10),9.3865,L
914,915.,Chuck Stobbs (15),9.3874,L
915,916.,Jack Fisher (11),9.3887,R
916,917.,Pedro Astacio (15),9.3906,R
917,918.,Kaiser Wilhelm (9),9.3938,R
918,919.,Vic Aldridge (9),9.3955,R
919,920.,Randy Gumpert (10),9.3961,R
920,921.,George Haddock (7),9.3987,R
921,922.,Casey Patten (8),9.4000,L
922,923.,Gerry Staley (15),9.4012,R
923,924.,Bob Friend (16),9.4013,R
924,925.,Mickey Harris (9),9.4029,L
925,926.,Mike Hampton (16),9.4034,L
926,927.,Brett Tomko (14),9.4064,R
927,928.,Jesse Barnes (13),9.4074,R
928,929.,Mace Brown (10),9.4157,R
929,930.,General Crowder (11),9.4172,R
930,931.,Kenny Rogers (20),9.4206,L
931,932.,Fred Goldsmith (7),9.4212,R
932,933.,Willie Sudhoff (10),9.4235,R
933,934.,Frank Mountain (7),9.4245,R
934,935.,Cal McLish (15),9.4251,R
935,936.,Dave Bush (9),9.4299,R
936,937.,Scott McGregor (13),9.4386,L
937,938.,Russ Meyer (13),9.4388,R
938,939.,Jerome Williams (11),9.4399,R
939,940.,Doug Bird (11),9.4400,R
940,940.,Rip Collins (11),9.4400,R
941,942.,Ken Raffensberger (15),9.4406,L
942,943.,Dick Fowler (10),9.4421,R
943,944.,Fritz Ostermueller (15),9.4500,L
944,945.,Frank Kitson (10),9.4510,R
945,946.,Claude Passeau (13),9.4512,R
946,947.,Joey Hamilton (10),9.4520,R
947,948.,Jon Garland (13),9.4546,R
948,949.,Jim Barr (12),9.4561,R
949,950.,Schoolboy Rowe (15),9.4569,R
950,951.,Vern Ruhle (13),9.4570,R
951,952.,Orval Grove (10),9.4615,R
952,953.,John Ewing (6),9.4619,R
953,953.,Pretzels Getzien (9),9.4619,R
954,955.,Sad Sam Jones (22),9.4659,R
955,956.,Jose Mesa (19),9.4669,R
956,957.,Walt Terrell (11),9.4681,R
957,958.,Eric Milton (11),9.4702,L
958,959.,"Kyle Gibson (8, 32)",9.4730,R
959,960.,Tim Leary (13),9.4747,R
960,961.,Jakie May (14),9.4762,L
961,962.,Aaron Harang (14),9.4767,R
962,963.,Rick Langford (11),9.4769,R
963,964.,Bob Weiland (12),9.4840,L
964,965.,Omar Olivares (12),9.4882,R
965,966.,Neal Heaton (12),9.4897,L
966,967.,Brad Penny (14),9.4909,R
967,968.,Jeremy Guthrie (13),9.4928,R
968,969.,Dick Ellsworth (13),9.4940,L
969,970.,Gus Weyhing (14),9.4960,R
970,971.,Bill Swift (13),9.4970,R
971,972.,Carl Scheib (11),9.4988,R
972,973.,Ray Burris (15),9.4989,R
973,973.,Odalis Perez (10),9.4989,L
974,975.,Burleigh Grimes+ (19),9.4995,R
975,976.,Henry Porter (6),9.5002,R
976,977.,Bill Hallahan (12),9.5051,L
977,977.,Braden Looper (12),9.5051,R
978,979.,Dutch Ruether (11),9.5055,L
979,980.,Jason Marquis (15),9.5060,R
980,981.,Bill Dietrich (16),9.5091,R
981,982.,Doug Davis (13),9.5106,L
982,983.,Bill Wegman (11),9.5119,R
983,984.,David Wells (21),9.5129,L
984,985.,Rube Walberg (15),9.5140,L
985,986.,Syl Johnson (19),9.5167,R
986,987.,Mark Buehrle (16),9.5172,L
987,988.,Joe Haynes (14),9.5180,R
988,989.,Curt Davis (13),9.5187,R
989,990.,Bill Walker (10),9.5216,L
990,991.,Bob Klinger (8),9.5231,R
991,992.,Pat Rapp (10),9.5233,R
992,993.,Cory Lidle (9),9.5262,R
993,994.,Jeremy Bonderman (9),9.5264,R
994,995.,Art Houtteman (12),9.5267,R
995,996.,Bill Duggleby (8),9.5306,R
996,997.,Howie Fox (9),9.5332,R
997,998.,Bill Wight (12),9.5355,L
998,999.,Jason Hammel (13),9.5402,R
