,Rank,"Player (yrs, age)",On-Base Plus Slugging,Bats
328,329.,Alfonso Soriano (16),.8191,R
329,330.,Adrian Beltre (21),.8190,R
330,331.,Richie Zisk (13),.8185,R
331,332.,George Foster (18),.8183,R
332,333.,Ernie Lombardi+ (17),.8182,R
333,334.,"Ryan Zimmerman (15, 35)",.8180,R
334,335.,Hank Leiber (10),.8178,R
335,336.,Mickey Tettleton (14),.8177,B
336,337.,Eric Chavez (17),.8176,L
337,338.,Johnny Bench+ (17),.8175,R
338,338.,Zack Wheat+ (19),.8175,L
339,340.,Dave Nilsson (8),.8172,L
340,341.,Paul Molitor+ (21),.8170,R
341,341.,Gene Woodling (17),.8170,L
342,343.,Joe Torre+ (18),.8169,R
343,344.,Derek Jeter+ (20),.8168,R
344,344.,Wally Moon (12),.8168,L
345,346.,Gene Tenace (15),.8166,R
346,347.,Jayson Werth (15),.8156,R
347,348.,Raul Mondesi (13),.8155,R
348,349.,Vern Stephens (15),.8154,R
349,350.,Tino Martinez (16),.8152,L
350,351.,Barry Larkin+ (19),.8149,R
351,351.,Dale Murphy (18),.8149,R
352,351.,"Eugenio Suarez (7, 28)",.8149,R
353,351.,Gus Zernial (11),.8149,R
354,355.,Kirk Gibson (17),.8148,L
355,356.,Cliff Johnson (15),.8146,R
356,356.,Edd Roush+ (18),.8146,L
357,358.,Bob Elliott (15),.8145,R
358,358.,Victor Martinez (16),.8145,B
359,360.,Phil Nevin (12),.8144,R
360,361.,Sean Casey (12),.8143,L
361,361.,Fred Clarke+ (21),.8143,L
362,363.,Roberto Alomar+ (17),.8141,B
363,363.,Bernie Carbo (12),.8141,L
364,365.,John Valentin (11),.8140,R
365,366.,Sam Crawford+ (19),.8139,L
366,367.,Oyster Burns (11),.8138,R
367,368.,Russell Branyan (14),.8135,L
368,369.,Curt Walker (12),.8134,L
369,370.,Carl Furillo (15),.8130,R
370,371.,Bobby Higginson (11),.8128,L
371,372.,Jim Ray Hart (12),.8127,R
372,372.,Irish Meusel (11),.8127,R
373,374.,"Carlos Santana (11, 34)",.8122,B
374,375.,Johnny Mostil (10),.8121,R
375,376.,Del Ennis (14),.8117,R
376,377.,Bobby Veach (14),.8116,L
377,378.,Andre Thornton (14),.8113,R
378,379.,Chili Davis (19),.8110,B
379,380.,Charlie Maxwell (14),.8109,L
380,380.,Bob Watson (19),.8109,R
381,382.,Oscar Gamble (17),.8107,L
382,383.,Ken Boyer (15),.8104,R
383,383.,Tim Raines+ (23),.8104,B
384,385.,"Khris Davis (8, 32)",.8103,R
385,386.,Kevin Millar (12),.8101,R
386,387.,Augie Galan (16),.8098,B
387,388.,"Brandon Belt (10, 32)",.8096,L
388,388.,Dave Parker (19),.8096,L
389,390.,"AJ Pollock (9, 32)",.8094,R
390,391.,Ben Grieve (9),.8091,L
391,392.,Carlos Pena (14),.8084,L
