,Rank,"Player (yrs, age)",Defensive WAR,Bats
633,634.,Bob Bailor (11),5.1,R
634,634.,Ernie Banks+ (19),5.1,R
635,634.,Johnny Bassler (9),5.1,L
636,634.,Ronnie Belliard (13),5.1,R
637,634.,Wid Conroy (11),5.1,R
638,634.,Stephen Drew (12),5.1,L
639,634.,Johnny Lipon (9),5.1,R
640,634.,Ivy Olson (14),5.1,R
641,634.,"J.T. Realmuto (7, 29)",5.1,R
642,634.,Del Rice (17),5.1,R
643,634.,"Miguel Rojas (7, 31)",5.1,R
644,634.,Aaron Rowand (11),5.1,R
645,634.,Ramon Santiago (13),5.1,B
646,634.,Pete Suder (13),5.1,R
647,634.,Ichiro Suzuki (19),5.1,L
648,634.,Rob Wilfong (11),5.1,L
649,634.,"Mike Zunino (8, 29)",5.1,R
650,651.,Cap Anson+ (27),5.0,R
651,651.,Gus Mancuso (17),5.0,R
652,651.,Greg Myers (18),5.0,L
653,651.,Charlie Reilly (8),5.0,B
654,655.,Dick Bertell (7),4.9,R
655,655.,Ike Caveney (4),4.9,R
656,655.,"Freddy Galvis (9, 30)",4.9,B
657,655.,Brett Lawrie (6),4.9,R
658,655.,Jerry May (10),4.9,R
659,655.,Mike McGeary (11),4.9,R
660,655.,Dickey Pearce (7),4.9,R
661,655.,Bobby Richardson (12),4.9,R
662,655.,Jose Vizcaino (18),4.9,B
663,655.,Sammy White (11),4.9,R
664,665.,Paul Bako (12),4.8,L
665,665.,Ollie Beard (3),4.8,R
666,665.,Pat Borders (17),4.8,R
667,665.,Einar Diaz (11),4.8,R
668,665.,Bill Gleason (8),4.8,R
669,665.,"Didi Gregorius (9, 30)",4.8,L
670,665.,Shanty Hogan (13),4.8,R
671,665.,Bob Kearney (8),4.8,R
672,665.,Jim Lefebvre (8),4.8,B
673,665.,Connie Mack+ (11),4.8,R
674,665.,Marty McManus (15),4.8,R
675,665.,Al Newman (8),4.8,B
676,665.,Johnny Oates (11),4.8,L
677,665.,Augie Ojeda (9),4.8,B
678,665.,Jody Reed (11),4.8,R
679,665.,Don Slaught (16),4.8,R
680,665.,Roy Smalley (13),4.8,B
681,682.,Alfredo Amezaga (9),4.7,B
682,682.,Jimmy Austin (18),4.7,B
683,682.,Jack Brohamer (9),4.7,L
684,682.,Alberto Castillo (12),4.7,R
685,682.,George Cutshaw (12),4.7,R
686,682.,Mike Devereaux (12),4.7,R
687,682.,David Eckstein (10),4.7,R
688,682.,Chick Fulmer (11),4.7,R
689,682.,Ray Mack (9),4.7,R
690,682.,"Starling Marte (9, 31)",4.7,R
691,682.,Eddie Mayo (9),4.7,L
692,682.,Dioner Navarro (13),4.7,B
693,682.,Mickey Owen (13),4.7,R
694,682.,Morrie Rath (6),4.7,L
695,682.,"Anthony Rendon (8, 30)",4.7,R
696,682.,Yorvit Torrealba (13),4.7,R
697,682.,Wes Westrum (11),4.7,R
698,699.,Bobby Avila (11),4.6,R
699,699.,Tim Bogar (9),4.6,R
700,699.,Glenn Borgmann (9),4.6,R
701,699.,Francisco Cervelli (13),4.6,R
702,699.,Jack Clements (17),4.6,L
703,699.,Charlie Comiskey+ (13),4.6,R
704,699.,Marquis Grissom (17),4.6,R
705,699.,John Henry (9),4.6,R
706,699.,"Sandy Leon (9, 31)",4.6,B
707,699.,Ron Oester (13),4.6,B
708,699.,Blondy Ryan (6),4.6,R
709,699.,Luis Sojo (13),4.6,R
710,699.,Jim Stephens (6),4.6,R
711,712.,Doc Casey (10),4.5,B
712,712.,Juan Castro (17),4.5,R
713,712.,John Clapp (11),4.5,R
714,712.,Kevin Elster (13),4.5,R
715,712.,Bob Jones (9),4.5,L
716,712.,Chad Kreuter (16),4.5,B
717,712.,Jerry Lumpe (12),4.5,L
718,712.,"James McCann (7, 30)",4.5,R
719,712.,"Jose Ramirez (8, 27)",4.5,B
720,712.,Hank Severeid (15),4.5,R
721,712.,Kevin Stocker (8),4.5,B
722,712.,Willy Taveras (7),4.5,R
723,712.,Al Weis (10),4.5,B
724,712.,Bump Wills (6),4.5,B
725,726.,Ray Chapman (9),4.4,R
726,726.,Jerry Coleman (9),4.4,R
727,726.,Jorge Fabregas (9),4.4,L
728,726.,Tim Flannery (11),4.4,L
729,726.,Billy Hunter (6),4.4,R
730,726.,Paul Janish (9),4.4,R
731,726.,Davey Johnson (13),4.4,R
732,726.,Billy Klaus (11),4.4,L
733,726.,Clyde Kluttz (9),4.4,R
734,726.,"Jonathan Lucroy (11, 34)",4.4,R
735,726.,Eddie Milner (9),4.4,L
736,726.,Bobby Morgan (8),4.4,R
737,726.,Bill Pecota (9),4.4,R
738,726.,Joe Randa (12),4.4,R
739,726.,Jeff Reed (17),4.4,L
740,726.,Chris Snyder (10),4.4,R
741,726.,Emil Verban (7),4.4,R
742,726.,U L Washington (11),4.4,B
743,726.,Woody Williams (4),4.4,R
744,726.,Art Wilson (14),4.4,R
745,726.,"Tony Wolters (5, 28)",4.4,L
746,747.,Eddie Ainsmith (15),4.3,R
747,747.,Floyd Baker (13),4.3,L
748,747.,Marv Breeding (4),4.3,R
749,747.,Fatty Briody (8),4.3,
750,747.,"Willson Contreras (5, 28)",4.3,R
751,747.,Denny Doyle (8),4.3,L
752,747.,"David Fletcher (3, 26)",4.3,R
753,747.,Frank Hankinson (10),4.3,R
754,747.,Ron Hassey (14),4.3,L
755,747.,Bill Knickerbocker (10),4.3,R
756,747.,Bill Kuehne (10),4.3,R
757,747.,Jose Lopez (9),4.3,R
758,747.,Otto Miller (13),4.3,R
759,747.,Morgan Murphy (11),4.3,R
760,747.,Les Nunamaker (12),4.3,R
761,747.,Abraham Nunez (12),4.3,B
762,747.,Corey Patterson (12),4.3,L
763,747.,Ossee Schrecongost (11),4.3,R
764,747.,"Eric Sogard (10, 34)",4.3,L
765,747.,Joe Sugden (13),4.3,B
766,747.,"Dansby Swanson (5, 26)",4.3,R
767,747.,Jeff Torborg (10),4.3,R
768,747.,Heinie Wagner (12),4.3,R
769,770.,Edgardo Alfonzo (12),4.2,R
770,770.,Spud Davis (16),4.2,R
771,770.,Jake Early (9),4.2,L
772,770.,Damion Easley (17),4.2,R
773,770.,Bill Hall (11),4.2,R
774,770.,"Enrique Hernandez (7, 28)",4.2,R
775,770.,Miller Huggins+ (13),4.2,B
776,770.,Garth Iorg (9),4.2,R
777,770.,Mike Macfarlane (13),4.2,R
778,770.,Clyde McCullough (15),4.2,R
779,770.,Roger Metzger (11),4.2,B
780,770.,Frankie Pytlak (12),4.2,R
781,770.,"Rene Rivera (12, 36)",4.2,R
782,770.,Jack Ryan (13),4.2,R
783,770.,Lenn Sakata (11),4.2,R
784,770.,Oscar Stanage (14),4.2,R
785,770.,Birdie Tebbetts (14),4.2,R
786,787.,Rich Aurilia (15),4.1,R
787,787.,Dann Bilardello (8),4.1,R
788,787.,A.J. Ellis (11),4.1,R
789,787.,Bob Ferguson (14),4.1,B
790,787.,Jerry Hairston (16),4.1,R
791,787.,Jack Hannahan (8),4.1,L
792,787.,Elrod Hendricks (12),4.1,L
793,787.,Art Howe (11),4.1,R
794,787.,Red Kleinow (8),4.1,R
795,787.,Dick McAuliffe (16),4.1,L
796,787.,Stan Rojek (8),4.1,R
797,787.,Bill Virdon (12),4.1,L
798,787.,Roxy Walters (11),4.1,R
799,800.,Bob Barton (10),4.0,R
800,800.,Darren Bragg (11),4.0,L
801,800.,Cupid Childs (13),4.0,L
802,800.,Jimmy Dykes (22),4.0,R
803,800.,Sammy Hale (10),4.0,R
804,800.,Torii Hunter (19),4.0,R
805,800.,Tom Lampkin (13),4.0,L
806,800.,Ed McKean (13),4.0,R
807,800.,Mario Mendoza (9),4.0,R
808,800.,Denis Menke (13),4.0,R
809,800.,Ed Ott (8),4.0,L
810,800.,Ronny Paulino (8),4.0,R
811,800.,"Manny Pina (7, 33)",4.0,R
812,800.,Mike Redmond (13),4.0,R
813,800.,Marco Scutaro (13),4.0,R
814,800.,Scott Servais (11),4.0,R
815,800.,Chris Singleton (6),4.0,L
816,800.,Fred Tenney (17),4.0,L
817,818.,Ed Charles (8),3.9,R
818,818.,Bill Doran (12),3.9,B
819,818.,Henry Easterday (4),3.9,R
820,818.,Joe Ferguson (14),3.9,R
821,818.,Tony Gwynn (8),3.9,L
822,818.,Tom Herr (13),3.9,B
823,818.,Tim Naehring (8),3.9,R
824,818.,Derek Norris (6),3.9,R
825,818.,"AJ Pollock (9, 32)",3.9,R
826,818.,Doc Powers (11),3.9,R
827,818.,Paul Richards (8),3.9,R
828,818.,"Sean Rodriguez (13, 35)",3.9,R
829,818.,Joel Skinner (9),3.9,R
830,818.,Mike Tresh (12),3.9,R
831,832.,Clyde Beck (6),3.8,R
832,832.,Pat Deasley (8),3.8,R
833,832.,Gene Desautels (13),3.8,R
834,832.,Chuck Dressen (8),3.8,R
835,832.,Cristian Guzman (11),3.8,B
836,832.,Shane Halter (8),3.8,R
837,832.,Woodie Held (14),3.8,R
838,832.,Howie Kendrick (15),3.8,R
839,832.,Lou Klein (5),3.8,R
840,832.,Hobie Landrith (14),3.8,L
841,832.,Keith Lockhart (10),3.8,L
842,832.,Ernie Lombardi+ (17),3.8,R
843,832.,Steve Lombardozzi (6),3.8,R
844,832.,Cass Michaels (12),3.8,R
845,832.,Joe Morgan+ (22),3.8,L
846,832.,Bill North (11),3.8,B
847,832.,Jay Payton (12),3.8,R
848,832.,Danny Thompson (7),3.8,R
849,832.,Milt Thompson (13),3.8,L
850,851.,"Ozzie Albies (4, 23)",3.7,B
851,851.,"Harrison Bader (4, 26)",3.7,R
852,851.,Coco Crisp (15),3.7,B
853,851.,Dave Henderson (14),3.7,R
854,851.,Freddie Maguire (6),3.7,R
855,851.,"Josh Reddick (12, 33)",3.7,L
856,851.,Heinie Reitz (7),3.7,L
857,851.,Freddy Sanchez (10),3.7,R
858,851.,Andy Seminick (15),3.7,R
859,851.,Fernando Vina (12),3.7,L
860,851.,Don Wert (9),3.7,R
861,851.,Curt Wilkerson (11),3.7,B
862,851.,Glenn Wilson (10),3.7,R
863,864.,"Orlando Arcia (5, 25)",3.6,R
864,864.,Jimmy Brown (8),3.6,B
865,864.,Darrin Fletcher (14),3.6,L
866,864.,Doug Flynn (11),3.6,R
867,864.,Mick Kelleher (11),3.6,R
868,864.,Rube Lutzke (5),3.6,R
869,864.,"Manuel Margot (5, 25)",3.6,R
870,864.,Miguel Montero (13),3.6,L
871,864.,Melvin Mora (13),3.6,R
872,864.,George Moriarty (13),3.6,R
873,864.,Jerry Priddy (11),3.6,R
874,864.,Chuck Schilling (5),3.6,R
875,864.,"Michael A. Taylor (7, 29)",3.6,R
876,864.,Patsy Tebeau (13),3.6,R
877,864.,Perry Werden (7),3.6,R
878,879.,Jimmy Bloodworth (11),3.5,R
879,879.,"Alex Bregman (5, 26)",3.5,R
880,879.,Chuck Carr (8),3.5,B
881,879.,Steve Finley (19),3.5,L
882,879.,Marcus Giles (7),3.5,R
883,879.,Curtis Granderson (16),3.5,L
884,879.,"Austin Hedges (6, 27)",3.5,R
885,879.,Fred Kendall (12),3.5,R
886,879.,Eddie Lake (11),3.5,R
887,879.,Phil Masi (14),3.5,R
888,879.,Bill McKechnie+ (11),3.5,B
889,879.,Felix Millan (12),3.5,R
890,879.,Angel Salazar (5),3.5,R
891,879.,Tony Scott (11),3.5,B
892,879.,Hal Smith (7),3.5,R
893,879.,Whitey Wietelmann (9),3.5,B
894,895.,Lou Berberet (7),3.4,L
895,895.,Charlie Berry (11),3.4,R
896,895.,Dick Brown (9),3.4,R
897,895.,Harry Danning (10),3.4,R
898,895.,"Marwin Gonzalez (9, 31)",3.4,B
899,895.,"Yasmani Grandal (9, 31)",3.4,B
900,895.,Khalil Greene (7),3.4,R
901,895.,"Chris Iannetta (14, 37)",3.4,R
902,895.,Lyn Lary (12),3.4,R
903,895.,Tom Needham (11),3.4,R
904,895.,Jim Pagliaroni (11),3.4,R
905,895.,Tyler Saladino (5),3.4,R
906,895.,"Yolmer Sanchez (7, 28)",3.4,B
907,895.,Kelly Shoppach (9),3.4,R
908,895.,Geovany Soto (13),3.4,R
909,895.,Steve Swisher (9),3.4,R
910,895.,Vance Wilson (8),3.4,R
911,912.,Roberto Alomar+ (17),3.3,B
912,912.,Lena Blackburne (8),3.3,R
913,912.,Casey Blake (13),3.3,R
914,912.,Fritz Buelow (9),3.3,R
915,912.,"Luis Cruz (5, 36)",3.3,R
916,912.,Mike Difelice (13),3.3,R
917,912.,Eddie Grant (10),3.3,L
918,912.,Fran Healy (9),3.3,R
919,912.,Julian Javier (13),3.3,R
920,912.,"Aaron Judge (5, 28)",3.3,R
921,912.,"Isiah Kiner-Falefa (3, 25)",3.3,R
922,912.,Tommy Matchick (6),3.3,L
923,912.,Joe Quest (10),3.3,R
924,912.,Hal Rhyne (7),3.3,R
925,912.,John Romano (10),3.3,R
926,912.,Tsuyoshi Shinjo (3),3.3,R
927,912.,Dick Tracewski (8),3.3,R
928,912.,Bobby Wilson (10),3.3,R
929,912.,"Ryan Zimmerman (15, 35)",3.3,R
930,931.,Doug Allison (10),3.2,R
931,931.,Bobby Byrne (11),3.2,R
932,931.,Raul Chavez (11),3.2,R
933,931.,Joe DiMaggio+ (13),3.2,R
934,931.,Felix Fermin (10),3.2,R
935,931.,Chris Fulmer (5),3.2,R
936,931.,Rene Gonzales (13),3.2,R
937,931.,Kelly Gruber (10),3.2,R
938,931.,Nick Hundley (12),3.2,R
939,931.,Brian Hunter (10),3.2,R
940,931.,Billy Johnson (9),3.2,R
941,931.,Jeff King (11),3.2,R
942,931.,Mike Lieberthal (14),3.2,R
943,931.,Eli Marrero (10),3.2,R
944,931.,Mark Parent (13),3.2,R
945,931.,Ruben Rivera (9),3.2,R
946,931.,Chris Stewart (12),3.2,R
947,931.,Bob Swift (14),3.2,R
948,931.,Jackie Tavener (6),3.2,L
949,931.,Heinie Zimmerman (13),3.2,R
950,931.,Jerry Zimmerman (8),3.2,R
951,952.,Bret Barberie (6),3.1,B
952,952.,Marty Barrett (10),3.1,R
953,952.,Claude Berry (5),3.1,R
954,952.,Dick Buckley (8),3.1,R
955,952.,Fred Carisch (8),3.1,R
956,952.,Endy Chavez (13),3.1,L
957,952.,Gus Getz (7),3.1,R
958,952.,Frank House (10),3.1,L
959,952.,Jeff Huson (12),3.1,L
960,952.,Hank Majeski (13),3.1,R
961,952.,Joe Mauer (15),3.1,L
962,952.,John McGraw+ (17),3.1,L
963,952.,Jerry McNertney (9),3.1,R
964,952.,Candy Nelson (13),3.1,L
965,952.,Eddie Perez (11),3.1,R
966,952.,Tomas Perez (12),3.1,B
967,952.,Mike Simon (7),3.1,R
968,952.,Harry Smith (10),3.1,R
969,952.,Al Todd (11),3.1,R
970,952.,Matt Walbeck (11),3.1,B
971,952.,"Joey Wendle (5, 30)",3.1,L
972,952.,Davey Williams (6),3.1,R
973,974.,John Bateman (10),3.0,R
974,974.,Casey Candaele (9),3.0,B
975,974.,Ed Caskin (7),3.0,R
976,974.,Boileryard Clarke (13),3.0,R
977,974.,Ben Davis (7),3.0,B
978,974.,Dom DiMaggio (11),3.0,R
979,974.,Pedro Florimon (8),3.0,B
980,974.,"Tyler Flowers (12, 34)",3.0,R
981,974.,"Todd Frazier (10, 34)",3.0,R
982,974.,Ryan Freel (8),3.0,R
983,974.,Tito Fuentes (13),3.0,B
984,974.,Troy Glaus (13),3.0,R
985,974.,Ray Hayworth (15),3.0,R
986,974.,Bob Heise (11),3.0,R
987,974.,Sadie Houck (8),3.0,R
988,974.,Terry Humphrey (9),3.0,R
989,974.,Barry McCormick (10),3.0,R
990,974.,Gene Michael (10),3.0,B
991,974.,Rick Miller (15),3.0,L
992,974.,Jack O'Neill (5),3.0,R
993,974.,"Chris Owings (8, 28)",3.0,R
994,974.,George Perring (5),3.0,R
995,974.,Hardy Richardson (14),3.0,R
996,974.,Ken Rudolph (9),3.0,R
997,974.,Reggie Smith (17),3.0,B
998,974.,Pep Young (10),3.0,R
