,Rank,"Player (yrs, age)",Runs Created,Bats
680,680.,Alvin Davis (9),758,L
681,682.,"Jason Heyward (11, 30)",757,L
682,682.,Hideki Matsui (10),757,L
683,682.,Bill Russell (18),757,R
684,685.,Mickey Rivers (15),756,L
685,686.,"Nolan Arenado (8, 29)",755,R
686,686.,Vic Power (12),755,R
687,688.,Roy Campanella+ (10),754,R
688,689.,Milt Stock (14),753,R
689,689.,Cecil Travis (12),753,L
690,689.,Juan Uribe (16),753,R
691,692.,Jesse Barfield (12),752,R
692,692.,Dan Uggla (10),752,R
693,694.,Pete O'Brien (12),751,L
694,695.,Lou Piniella (18),750,R
695,696.,Tony Gonzalez (12),749,L
696,697.,Bruce Bochte (12),748,L
697,697.,Dode Paskert (15),748,R
698,697.,Jim Piersall (17),748,R
699,697.,Norm Siebern (12),748,L
700,697.,Mike Stanley (15),748,R
701,702.,Leo Cardenas (16),747,R
702,703.,Carlos Baerga (14),746,B
703,704.,Willie Montanez (14),744,L
704,704.,Jo-Jo Moore (12),744,L
705,706.,Damion Easley (17),743,R
706,706.,Eddie Joost (17),743,R
707,708.,Frankie Crosetti (17),742,R
708,709.,Sam Chapman (11),740,R
709,709.,Jose Cruz (12),740,B
710,709.,Kid Gleason (22),740,B
711,709.,Jimmy Williams (11),740,R
712,713.,Tony Clark (15),739,B
713,714.,Carlos Guillen (14),738,B
714,715.,Jacoby Ellsbury (11),737,L
715,716.,Duke Farrell (18),736,B
716,716.,Lonny Frey (14),736,L
717,716.,Phil Rizzuto+ (13),736,R
718,719.,Tito Francona (15),735,L
719,720.,Hughie Jennings+ (18),734,R
720,720.,Thurman Munson (11),734,R
721,722.,Tim McCarver (21),732,L
722,723.,Hubie Brooks (15),731,R
723,723.,Rusty Greer (9),731,L
724,725.,Joe Rudi (16),730,R
725,725.,"Christian Yelich (8, 28)",730,L
726,727.,Red Kress (14),729,R
727,728.,John McGraw+ (17),728,L
728,728.,Tillie Walker (13),728,R
729,730.,"Starlin Castro (11, 30)",727,R
730,730.,Dave Henderson (14),727,R
731,730.,Kevin Youkilis (10),727,R
732,730.,Heinie Zimmerman (13),727,R
733,734.,Bill Doran (12),726,B
734,734.,Fred Merkle (16),726,R
735,736.,Danny Murphy (16),725,R
736,737.,Johnny Temple (13),724,R
737,737.,Billy Werber (11),724,R
738,739.,"Ian Desmond (11, 34)",723,R
739,740.,Johnny Evers+ (18),722,L
740,740.,Red Rolfe (10),722,L
741,742.,Elbie Fletcher (12),721,L
742,742.,Chase Headley (12),721,B
743,742.,John Kruk (10),721,L
744,745.,Josh Hamilton (9),720,L
745,745.,Bill Virdon (12),720,L
746,747.,Elston Howard (14),719,R
747,747.,"Kyle Seager (10, 32)",719,L
748,747.,Roy Thomas (13),719,L
749,750.,Walker Cooper (18),718,R
750,751.,"Manny Machado (9, 27)",717,R
751,751.,Martin Prado (14),717,R
752,753.,Smoky Burgess (18),716,L
753,753.,Ralph Garr (13),716,L
754,753.,Cesar Tovar (12),716,R
755,756.,Shane Victorino (12),713,R
756,757.,Ray Boone (13),712,R
757,757.,Gavvy Cravath (11),712,R
758,757.,Al Rosen (10),712,R
759,760.,Ron Hunt (12),711,R
760,760.,Johnny Pesky (10),711,L
761,762.,Shawon Dunston (18),710,R
762,763.,Ronnie Belliard (13),709,R
763,764.,Tommy McCarthy+ (13),708,R
764,764.,Lefty O'Doul (11),708,L
765,766.,"Mookie Betts (7, 27)",706,R
766,766.,Lance Johnson (14),706,L
767,766.,Carl Reynolds (13),706,R
768,766.,Terry Steinbach (14),706,R
769,770.,J.J. Hardy (13),705,R
770,770.,Grady Sizemore (10),705,L
771,770.,Gorman Thomas (13),705,R
772,770.,George Wood (13),705,L
773,774.,Jerry Mumphrey (15),703,B
774,774.,Leon Wagner (12),703,L
775,776.,Brad Ausmus (18),702,R
776,776.,Paul Blair (17),702,R
777,776.,Adam Kennedy (14),702,L
778,779.,Duff Cooley (13),701,L
779,779.,Melvin Upton Jr. (12),701,R
780,781.,Yunel Escobar (11),700,R
781,781.,Joe Tinker+ (15),700,R
782,783.,Roy McMillan (16),697,R
783,783.,Jim Sundberg (16),697,R
784,785.,Roy Johnson (10),696,L
785,786.,Al Cowens (13),695,R
786,786.,Tom Herr (13),695,B
787,786.,Gil McDougald (10),695,R
788,789.,Mike Donlin (12),693,L
789,789.,Adam Lind (12),693,L
790,789.,Claude Ritchey (13),693,B
791,789.,John Titus (11),693,L
792,793.,Al Bumbry (14),692,L
793,793.,Todd Walker (12),692,L
794,795.,Jim Gantner (17),690,L
795,795.,"Anthony Rendon (8, 30)",690,R
796,795.,Harry Steinfeldt (14),690,R
797,798.,Topsy Hartsel (14),689,L
798,798.,Roberto Kelly (14),689,R
799,798.,Brian McRae (10),689,B
800,798.,Bill Mueller (11),689,B
801,798.,Terry Puhl (15),689,L
802,803.,Jeff Blauser (13),688,R
803,803.,Vince Coleman (13),688,B
804,803.,Shano Collins (16),688,R
805,803.,Ramon Hernandez (15),688,R
806,803.,Kendrys Morales (13),688,B
807,803.,Tony Pena (18),688,R
808,809.,Max Bishop (12),686,L
809,809.,Joe Quinn (17),686,R
810,811.,Bill Hallman (14),685,R
811,811.,Rickie Weeks (14),685,R
812,813.,Don Buford (10),684,B
813,813.,Stan Javier (17),684,B
814,813.,Phil Nevin (12),684,R
815,813.,Josh Willingham (11),684,R
816,817.,Mike Bordick (14),683,R
817,817.,Roy Cullenbine (10),683,B
818,819.,Orlando Hudson (11),678,B
819,820.,Dan McGann (12),677,B
820,821.,Sixto Lezcano (12),675,R
821,822.,Denis Menke (13),674,R
822,823.,Granny Hamner (17),673,R
823,823.,Davey Johnson (13),673,R
824,825.,Spud Davis (16),671,R
825,825.,Larry Hisle (14),671,R
826,825.,Barney McCosky (11),671,L
827,828.,Ferris Fain (9),670,L
828,828.,Earl Sheely (9),670,R
829,830.,James Loney (11),669,L
830,830.,"Neil Walker (12, 34)",669,B
831,832.,Mark Ellis (12),668,R
832,832.,Billy Rogell (14),668,B
833,834.,Casey Blake (13),667,R
834,835.,Cliff Johnson (15),666,R
835,835.,Billy Jurges (17),666,R
836,835.,Billy Shindle (13),666,R
837,838.,Doug Rader (11),665,R
838,838.,Chris Young (13),665,R
839,840.,"José Abreu (7, 33)",664,R
840,840.,Johnny Ray (10),664,B
841,842.,Dave Cash (12),662,R
842,842.,Ripper Collins (9),662,B
843,842.,Johnny Hopp (14),662,L
844,842.,Duffy Lewis (11),662,R
845,846.,Buck Freeman (11),661,L
846,846.,Darryl Hamilton (13),661,L
847,846.,Miller Huggins+ (13),661,B
848,846.,Amos Strunk (17),661,L
849,850.,Zeke Bonura (7),660,R
850,850.,Eddie Robinson (13),660,L
851,852.,Bobby Avila (11),659,R
852,852.,Johnny Logan (13),659,R
853,852.,Marco Scutaro (13),659,R
854,855.,Johnny Grubb (16),658,L
855,855.,Steve Kemp (11),658,L
856,855.,Dwayne Murphy (12),658,L
857,855.,Jim Northrup (12),658,L
858,855.,Bob Skinner (12),658,L
859,860.,Frank Malzone (12),657,R
860,860.,Ezra Sutton (18),657,R
861,862.,Sparky Adams (13),656,R
862,862.,Kelly Johnson (11),656,L
863,862.,Pepper Martin (13),656,R
864,862.,John Valentin (11),656,R
865,866.,Donn Clendenon (12),655,R
866,866.,Bill Joyce (8),655,L
867,866.,Dave Magadan (16),655,L
868,869.,Derek Bell (11),654,R
869,869.,"Brandon Belt (10, 32)",654,L
870,869.,David Eckstein (10),654,R
871,872.,Chone Figgins (12),652,B
872,872.,Fred Luderus (12),652,L
873,872.,Al Martin (11),652,L
874,872.,Gus Zernial (11),652,R
875,876.,Woody English (12),651,R
876,876.,Jacque Jones (10),651,L
877,878.,Lyn Lary (12),649,R
878,878.,John Reilly (10),649,R
879,880.,Roger Bresnahan+ (17),648,R
880,880.,Jimmy Johnston (13),648,R
881,880.,Al Lopez+ (19),648,R
882,883.,Enos Cabell (15),647,R
883,884.,Jeff Francoeur (12),646,R
884,884.,"Jason Kipnis (10, 33)",646,L
885,886.,Alex Gonzalez (16),645,R
886,886.,Trot Nixon (12),645,L
887,886.,"Pablo Sandoval (13, 33)",645,B
888,889.,Frank Bolling (12),644,R
889,889.,Scott Hatteberg (14),644,L
890,889.,Charlie Hayes (14),644,R
891,889.,"Kurt Suzuki (14, 36)",644,R
892,893.,Max Flack (12),643,L
893,893.,"DJ LeMahieu (10, 31)",643,R
894,893.,Don Mincher (13),643,L
895,896.,John Briggs (12),642,L
896,896.,Manny Trillo (17),642,R
897,898.,Bill Bradley (14),641,R
898,898.,Frank Chance+ (17),641,R
899,898.,Julio Lugo (12),641,R
900,901.,Dots Miller (12),640,R
901,901.,Luis Polonia (12),640,L
902,903.,Mike Kreevich (12),639,R
903,904.,George Case (11),638,R
904,904.,"Brian Dozier (9, 33)",638,R
905,904.,Ed Kranepool (18),638,L
906,907.,Lee Lacy (16),637,R
907,908.,Germany Smith (15),636,R
908,909.,Kevin Bass (14),635,B
909,909.,Omar Infante (15),635,R
910,909.,Mookie Wilson (12),635,B
911,912.,Juan Encarnacion (11),634,R
912,912.,Greg Gagne (15),634,R
913,912.,Carlos Gomez (13),634,R
914,912.,Ken Henderson (16),634,B
915,916.,Clete Boyer (16),633,R
916,916.,Ken Oberkfell (16),633,L
917,918.,Dave Collins (16),632,B
918,918.,Otis Nixon (17),632,B
919,920.,Jack Clements (17),631,L
920,920.,Ozzie Guillen (16),631,L
921,920.,Cristian Guzman (11),631,B
922,920.,Terry Moore (11),631,R
923,924.,Tony Armas (14),630,R
924,924.,Joe Pepitone (12),630,L
925,924.,Robby Thompson (11),630,R
926,927.,Joe Dugan (14),629,R
927,927.,Mike Lieberthal (14),629,R
928,927.,Billy Southworth+ (13),629,L
929,930.,Hughie Critz (12),628,R
930,930.,Ron LeFlore (9),628,R
931,930.,Felix Millan (12),628,R
932,933.,Jeffrey Leonard (14),627,R
933,933.,Cookie Rojas (16),627,R
934,935.,"Todd Frazier (10, 34)",625,R
935,935.,Bernard Gilkey (12),625,R
936,935.,Larry Herndon (14),625,R
937,935.,"Justin Turner (12, 35)",625,R
938,939.,Chicken Wolf (11),623,R
939,940.,Michael Bourn (11),622,L
940,940.,Hector Lopez (12),622,R
941,940.,Hal Morris (13),622,L
942,940.,Aaron Rowand (11),622,R
943,944.,Stephen Drew (12),621,L
944,944.,Bob Horner (10),621,R
945,944.,Wally Post (15),621,R
946,947.,Scott Fletcher (15),620,R
947,947.,Frankie Hayes (14),620,R
948,947.,Jay Johnstone (20),620,L
949,947.,Lee Mazzilli (14),620,B
950,947.,Randy Velarde (16),620,R
951,952.,Frank Catalanotto (14),619,L
952,952.,Fred Schulte (11),619,R
953,952.,Sam Wise (12),619,L
954,955.,Lou Bierbauer (13),618,L
955,955.,Ken McMullen (16),618,R
956,955.,Keith Moreland (12),618,R
957,958.,Darren Daulton (14),617,L
958,958.,Les Mann (16),617,R
959,958.,Jerry Priddy (11),617,R
960,958.,Manny Sanguillen (13),617,R
961,958.,Stan Spence (9),617,L
962,958.,Tom Tresh (9),617,B
963,958.,Ty Wigginton (12),617,R
964,965.,Bug Holliday (10),616,R
965,965.,Del Unser (15),616,L
966,967.,Alfredo Griffin (18),615,B
967,968.,Joe Cunningham (12),614,L
968,968.,Leon Durham (10),614,L
969,968.,Tommy Griffith (13),614,L
970,968.,Mule Haas (12),614,L
971,968.,Ruppert Jones (12),614,L
972,968.,Willard Marshall (11),614,L
973,968.,Orlando Merced (13),614,B
974,975.,David Bell (12),612,R
975,975.,Rip Radcliff (10),612,L
976,975.,Tony Womack (13),612,L
977,978.,Marty Marion (13),611,R
978,978.,Eddie Stanky (11),611,R
979,980.,Don Blasingame (12),609,L
980,980.,"Xander Bogaerts (8, 27)",609,R
981,980.,Del Crandall (16),609,R
982,980.,Aurelio Rodriguez (17),609,R
983,980.,Casey Stengel+ (14),609,L
984,985.,Art Fletcher (13),608,R
985,985.,Eddie Foster (13),608,R
986,987.,Tommy Dowd (10),607,R
987,987.,Michael Tucker (12),607,L
988,989.,Wil Cordero (14),606,R
989,989.,Frank Demaree (12),606,R
990,991.,Brook Jacoby (11),605,R
991,991.,Gerardo Parra (11),605,L
992,991.,John Roseboro (14),605,L
993,991.,Willie Upshaw (10),605,L
994,995.,Ira Flagstead (13),604,R
995,995.,Pat Kelly (15),604,L
996,997.,Rube Bressler (19),603,R
997,997.,Bob Nieman (12),603,R
998,997.,Gary Ward (12),603,R
999,997.,Glenn Wright (11),603,R
