,Rank,"Player (yrs, age)",Stolen Bases,Bats
706,705.,David Eckstein (10),123,R
707,705.,Augie Galan (16),123,B
708,705.,Guy Hecker (9),123,R
709,705.,Mickey Morandini (11),123,L
710,705.,Babe Ruth+ (22),123,L
711,712.,Gregor Blanco (10),122,L
712,712.,"Carlos Gonzalez (12, 34)",122,L
713,712.,Heinie Reitz (7),122,L
714,712.,Alex Sanchez (5),122,L
715,716.,Adrian Beltre (21),121,R
716,716.,Vic Saier (8),121,L
717,716.,Wally Schang (19),121,B
718,716.,Ryan Theriot (8),121,R
719,716.,Greg Vaughn (15),121,R
720,721.,Dave Cash (12),120,R
721,721.,Al Cowens (13),120,R
722,721.,Harry Lyons (6),120,R
723,721.,Matty McIntyre (10),120,L
724,721.,Nyjer Morgan (7),120,L
725,721.,Hunter Pence (14),120,R
726,721.,Chris Sabo (9),120,R
727,721.,Dick Schofield (14),120,R
728,721.,"Mallex Smith (5, 27)",120,L
729,721.,Ed Swartwood (9),120,L
730,731.,Dave Altizer (6),119,L
731,731.,John Hummel (12),119,R
732,731.,Brian Jordan (15),119,R
733,731.,Mike Lansing (9),119,R
734,731.,"Whit Merrifield (5, 31)",119,R
735,736.,Doug Baird (6),118,R
736,736.,Deacon McGuire (26),118,R
737,736.,Scott Rolen (17),118,R
738,736.,General Stafford (8),118,R
739,736.,Arky Vaughan+ (14),118,L
740,741.,Wally Backman (14),117,B
741,741.,Joey Cora (11),117,B
742,741.,"Ender Inciarte (7, 29)",117,L
743,741.,Luis Salazar (13),117,R
744,741.,Red Smith (9),117,R
745,746.,Charley Bassett (9),116,R
746,746.,Pat Listach (6),116,B
747,746.,Tom McCreery (9),116,B
748,746.,Fernando Vina (12),116,L
749,746.,Possum Whitted (11),116,R
750,746.,Ben Zobrist (14),116,B
751,752.,Bernard Gilkey (12),115,R
752,752.,Mike Kreevich (12),115,R
753,752.,Jim Piersall (17),115,R
754,752.,Cy Williams (19),115,L
755,756.,Jim Canavan (5),114,R
756,756.,Cozy Dolan (9),114,L
757,756.,Damion Easley (17),114,R
758,756.,Mike Grady (11),114,R
759,756.,Austin Jackson (9),114,R
760,756.,Ernie Johnson (10),114,L
761,756.,"Albert Pujols (20, 40)",114,R
762,756.,Michael Tucker (12),114,L
763,756.,Ossie Vitt (10),114,R
764,765.,Tony Bernazard (10),113,B
765,765.,Bill Cissell (9),113,R
766,765.,Frankie Crosetti (17),113,R
767,765.,Jose Cruz (12),113,B
768,765.,"Alex Gordon (14, 36)",113,L
769,765.,Harry Heilmann+ (17),113,R
770,765.,Alex Johnson (13),113,R
771,765.,Duffy Lewis (11),113,R
772,765.,Heinie Manush+ (17),113,L
773,765.,Irish Meusel (11),113,R
774,765.,"Adalberto Mondesi (6, 24)",113,B
775,765.,George Wood (13),113,L
776,777.,Rich Amaral (10),112,R
777,777.,George Decker (8),112,L
778,777.,Bob Ganley (5),112,L
779,777.,"Jason Heyward (11, 30)",112,L
780,777.,Tony Mullane (13),112,B
781,777.,Rafael Ramirez (13),112,R
782,777.,Carl Reynolds (13),112,R
783,784.,Baldy Louden (6),111,R
784,784.,Eddie Murphy (11),111,L
785,784.,Al Myers (8),111,R
786,787.,Bobby Brown (7),110,B
787,787.,Charlie Duffee (5),110,R
788,787.,Cesar Izturis (13),110,B
789,787.,Harry Lumley (7),110,L
790,787.,Eddie Murray+ (21),110,B
791,787.,"AJ Pollock (9, 32)",110,R
792,787.,Elmer Valo (20),110,L
793,794.,Dick Bartell (18),109,R
794,794.,"Delino DeShields (6, 27)",109,R
795,794.,Brian Giles (15),109,L
796,794.,Hal McRae (19),109,R
797,794.,James Mouton (8),109,R
798,794.,R.J. Reynolds (8),109,B
799,794.,Vernon Wells (15),109,R
800,801.,Alan Bannister (12),108,R
801,801.,Joe Birmingham (9),108,R
802,801.,Greg Gagne (15),108,R
803,801.,Matt Holliday (15),108,R
804,801.,Harry Taylor (4),108,L
805,801.,Wayne Tolleson (10),108,B
806,807.,Felipe Alou (17),107,R
807,807.,Aaron Boone (12),107,R
808,807.,Carl Everett (14),107,B
809,807.,Willie Harris (12),107,L
810,807.,Rex Hudler (13),107,R
811,807.,Hi Myers (14),107,R
812,807.,Harry Niles (5),107,R
813,814.,Moises Alou (17),106,R
814,814.,Endy Chavez (13),106,L
815,814.,Bob Dillinger (6),106,R
816,814.,Leon Durham (10),106,L
817,814.,Adonis Terry (14),106,R
818,814.,Bobby Wheelock (3),106,R
819,814.,Gerald Williams (14),106,R
820,821.,Marvin Benard (9),105,L
821,821.,Don Blasingame (12),105,L
822,821.,Ken Boyer (15),105,R
823,821.,"Brian Dozier (9, 33)",105,R
824,821.,Jim Eisenreich (15),105,L
825,821.,Lonny Frey (14),105,L
826,821.,Dick Howser (8),105,R
827,821.,John Wathan (10),105,R
828,821.,Herm Winningham (9),105,L
829,830.,Juan Beniquez (17),104,R
830,830.,Wilbur Good (11),104,L
831,830.,Bobby Grich (17),104,R
832,830.,Derrek Lee (15),104,R
833,830.,Mitchell Page (8),104,L
834,830.,Nick Punto (14),104,B
835,830.,Paul Waner+ (20),104,L
836,837.,Matt Alexander (9),103,B
837,837.,Ross Barnes (9),103,R
838,837.,Craig Counsell (16),103,L
839,837.,Cecil Espy (8),103,B
840,837.,Herbie Moran (7),103,L
841,837.,Jordan Schafer (6),103,L
842,837.,Robby Thompson (11),103,R
843,837.,Bill White (13),103,L
844,845.,Brad Ausmus (18),102,R
845,845.,Cozy Dolan (7),102,R
846,845.,Lou Gehrig+ (17),102,L
847,845.,Felix Jose (11),102,B
848,845.,Kazuo Matsui (7),102,B
849,850.,Melky Cabrera (15),101,B
850,850.,Frank LaPorte (11),101,R
851,850.,Russell Martin (14),101,R
852,850.,John Moses (11),101,B
853,850.,Dave Philley (18),101,B
854,850.,Joe Sommer (10),101,R
855,856.,Dom DiMaggio (11),100,R
856,856.,Charlie Jones (6),100,R
857,856.,Don Kessinger (16),100,B
858,856.,Dwayne Murphy (12),100,L
859,856.,Frank O'Rourke (14),100,R
860,861.,Jimmy Bannon (4),99,R
861,861.,Scott Fletcher (15),99,R
862,861.,Joe Foy (6),99,R
863,861.,Charlie Hollocher (7),99,L
864,861.,"Francisco Lindor (6, 26)",99,B
865,861.,Duke Snider+ (18),99,L
866,861.,Marty Sullivan (5),99,R
867,868.,Nori Aoki (6),98,L
868,868.,Daryl Boston (11),98,L
869,868.,Billy Clingman (10),98,B
870,868.,Earle Combs+ (12),98,L
871,868.,Darrell Evans (21),98,L
872,868.,"Bryce Harper (9, 27)",98,L
873,868.,Keith Hernandez (17),98,L
874,868.,Sam Jethroe (4),98,B
875,868.,Mark Kotsay (17),98,L
876,868.,Rick Monday (19),98,L
877,868.,Billy Sample (9),98,R
878,868.,John Shelby (11),98,B
879,868.,Tim Shinnick (2),98,B
880,868.,Billy Sullivan (16),98,R
881,868.,Chief Wilson (9),98,L
882,883.,Jim Busby (13),97,R
883,883.,Ivan Calderon (10),97,R
884,883.,Hughie Critz (12),97,R
885,883.,Alex Gonzalez (13),97,R
886,883.,Pedro Guerrero (15),97,R
887,883.,Adam Jones (14),97,R
888,883.,"Kevin Kiermaier (8, 30)",97,L
889,883.,Rafael Palmeiro (20),97,L
890,883.,Bill Spiers (13),97,L
891,883.,Zoilo Versalles (12),97,R
892,893.,Mike Bordick (14),96,R
893,893.,Al Burch (6),96,L
894,893.,Gary Gaetti (20),96,R
895,893.,Glenallen Hill (13),96,R
896,893.,Bob Johnson (13),96,R
897,893.,Gerardo Parra (11),96,L
898,893.,Curt Walker (12),96,L
899,893.,Walt Weiss (14),96,B
900,901.,Jason Bay (11),95,R
901,901.,Nomar Garciaparra (14),95,R
902,901.,Don Gutteridge (12),95,R
903,901.,Desmond Jennings (7),95,R
904,901.,John Kerins (7),95,R
905,901.,Gary Matthews (12),95,B
906,901.,"Wil Myers (8, 29)",95,R
907,901.,Gus Williams (5),95,L
908,901.,Harry Wolter (7),95,L
909,910.,Bret Boone (14),94,R
910,910.,Con Daily (12),94,L
911,910.,Craig Gentry (10),94,R
912,910.,Babe Herman (13),94,L
913,910.,Jeff Kent (17),94,R
914,910.,Johnnie LeMaster (12),94,R
915,910.,Magglio Ordonez (15),94,R
916,910.,Dave Robertson (9),94,L
917,910.,Rondell White (15),94,R
918,919.,Charlie Abbey (5),93,L
919,919.,Jay Faatz (4),93,R
920,919.,Chase Headley (12),93,B
921,919.,Arthur Irwin (13),93,L
922,919.,Maicer Izturis (11),93,B
923,919.,Spud Johnson (3),93,L
924,919.,Kevin McReynolds (12),93,R
925,919.,Melvin Mora (13),93,R
926,919.,Joe Orsulak (14),93,L
927,928.,Neal Ball (7),92,R
928,928.,Vin Campbell (6),92,L
929,928.,Sid Farrar (8),92,
930,928.,Buck Freeman (11),92,L
931,928.,Larry Herndon (14),92,R
932,928.,Lefty Marr (4),92,L
933,928.,Johnny Rawlings (12),92,R
934,928.,Farmer Vaughn (13),92,R
935,928.,Jimmy Walsh (6),92,R
936,928.,Jo-Jo White (9),92,L
937,928.,Ralph Young (9),92,B
938,939.,Jay Bell (18),91,R
939,939.,Alejandro De Aza (10),91,L
940,939.,Bobby Higginson (11),91,L
941,939.,Cleon Jones (13),91,R
942,939.,Ryan Klesko (16),91,L
943,939.,Al Newman (8),91,B
944,939.,Heinie Peitz (16),91,R
945,939.,Benito Santiago (20),91,R
946,939.,John Stearns (11),91,R
947,948.,Bob Bailor (11),90,R
948,948.,Tony Boeckel (6),90,R
949,948.,"Asdrubal Cabrera (14, 34)",90,B
950,948.,Donn Clendenon (12),90,R
951,948.,Shane Mack (9),90,R
952,948.,Mike Menosky (9),90,L
953,948.,Billy Williams+ (18),90,L
954,948.,Michael Young (14),90,R
955,956.,"Starlin Castro (11, 30)",89,R
956,956.,Cecil Cooper (17),89,L
957,956.,Gavvy Cravath (11),89,R
958,956.,Hobe Ferris (9),89,R
959,956.,Chris Getz (7),89,L
960,956.,Joe Gordon+ (11),89,R
961,956.,Quinton McCracken (12),89,B
962,956.,Wally Moon (12),89,L
963,956.,Mel Ott+ (22),89,L
964,956.,Red Schoendienst+ (19),89,B
965,956.,Jim Wohlford (15),89,R
966,956.,Eric Yelding (5),89,R
967,968.,Albert Belle (12),88,R
968,968.,Milton Bradley (12),88,B
969,968.,Ken Caminiti (15),88,B
970,968.,Happy Felsch (6),88,R
971,968.,Curt Flood (15),88,R
972,968.,Fred Hartman (6),88,R
973,968.,Win Mercer (9),88,L
974,968.,Ray Morgan (8),88,R
975,968.,"Kevin Pillar (8, 31)",88,R
976,968.,Frank Scheibeck (8),88,R
977,968.,Al Simmons+ (20),88,R
978,968.,Willie Upshaw (10),88,L
979,968.,Ned Williamson (13),88,R
980,968.,"Kolten Wong (8, 29)",88,L
981,982.,Jimmy Burke (7),87,R
982,982.,Joe Cronin+ (20),87,R
983,982.,Kal Daniels (7),87,L
984,982.,Tom Downey (6),87,B
985,982.,J.D. Drew (14),87,L
986,982.,Jack Farrell (11),87,R
987,982.,Jimmie Foxx+ (20),87,R
988,982.,Kelly Johnson (11),87,L
989,982.,Ben Oglivie (16),87,L
990,982.,Pete Reiser (10),87,L
991,982.,Ivey Wingo (17),87,L
992,993.,Eddie Ainsmith (15),86,R
993,993.,Lance Berkman (15),86,B
994,993.,Tom Brookens (12),86,R
995,993.,Ed Charles (8),86,R
996,993.,Steve Evans (8),86,L
997,993.,Ken Henderson (16),86,B
998,993.,Baby Doll Jacobson (11),86,R
999,993.,John Knight (8),86,R
1000,993.,Tony Oliva (15),86,L
1001,993.,Pat Sheridan (9),86,L
1002,993.,Piggy Ward (6),86,B
1003,993.,Jimmie Wilson (18),86,R
