,Rank,"Player (yrs, age)",Power-Speed #,Bats
631,632.,Lave Cross (21),81.38,R
632,633.,Bob Skinner (12),81.19,L
633,634.,Scott Brosius (11),81.18,R
634,635.,Roy Johnson (10),81.14,L
635,636.,Dan Ford (11),81.11,R
636,637.,Benny Kauff (8),81.03,L
637,638.,Omar Infante (15),80.99,R
638,638.,Terry Moore (11),80.99,R
639,640.,Rusty Staub (23),80.97,L
640,641.,Jeff Francoeur (12),80.75,R
641,642.,Andre Thornton (14),80.69,R
642,643.,Jeff Cirillo (14),80.64,R
643,644.,Jermaine Dye (14),80.59,R
644,645.,Tommy McCarthy+ (13),80.44,R
645,646.,"Xander Bogaerts (8, 27)",80.43,R
646,647.,Al Dark (14),80.37,R
647,648.,Josh Hamilton (9),80.00,L
648,649.,Nate Colbert (10),79.96,R
649,650.,Dave Henderson (14),79.76,R
650,651.,Ellis Valentine (10),79.75,R
651,652.,Leonys Martín (9),79.44,L
652,653.,Gabe Kapler (12),79.42,R
653,654.,Wally Schang (19),79.32,B
654,655.,Larry Doby+ (13),79.27,L
655,656.,David DeJesus (13),79.20,L
656,657.,Bobby Avila (11),78.99,R
657,658.,Tip O'Neill (10),78.61,R
658,659.,"Tommy Pham (7, 32)",78.34,R
659,660.,Germany Smith (15),78.33,R
660,661.,Pete Browning (13),78.08,R
661,662.,Travis Lee (9),77.99,L
662,662.,"Whit Merrifield (5, 31)",77.99,R
663,664.,Del Ennis (14),77.84,R
664,665.,Bobby Bonilla (16),77.80,B
665,666.,Roger Peckinpaugh (17),77.79,R
666,667.,Tom Brookens (12),77.78,R
667,668.,Edgardo Alfonzo (12),77.77,R
668,669.,Kip Selbach (13),77.76,R
669,670.,Marty Cordova (9),77.70,R
670,671.,Darryl Hamilton (13),77.69,L
671,672.,Sam Wise (12),77.64,L
672,673.,Miguel Olivo (13),77.63,R
673,674.,Tony Batista (11),77.52,R
674,675.,Danny Espinosa (8),77.43,B
675,676.,Juan Uribe (16),77.34,R
676,677.,Willie Wilson (19),77.26,B
677,678.,Duke Farrell (18),77.23,B
678,679.,Norm Cash (17),77.20,L
679,679.,"Carlos Santana (11, 34)",77.20,B
680,681.,Phil Cavarretta (22),77.19,L
681,682.,Lonny Frey (14),77.17,L
682,683.,Mike Griffin (12),77.15,L
683,684.,Eddie Miller (14),77.12,R
684,685.,Milt Thompson (13),77.07,L
685,686.,Willie Kirkland (9),76.96,L
686,687.,Kevin Seitzer (12),76.88,R
687,688.,Carl Furillo (15),76.80,R
688,688.,Curt Walker (12),76.80,L
689,690.,Billy Hamilton+ (14),76.65,L
690,691.,Hank Bauer (14),76.64,R
691,692.,Buddy Lewis (11),76.53,L
692,693.,Cesar Tovar (12),76.44,R
693,694.,Jonny Gomes (13),76.42,R
694,695.,Dick Schofield (14),76.36,R
695,696.,Harvey Kuenn (15),76.34,R
696,697.,Joe Mauer (15),76.27,L
697,698.,Oscar Gamble (17),76.11,L
698,699.,Elmer Valo (20),75.95,L
699,700.,"Freddie Freeman (11, 30)",75.79,L
700,701.,Dee Fondy (8),75.77,L
701,702.,Vic Saier (8),75.63,L
702,703.,Dixie Walker (18),75.55,L
703,704.,Billy Southworth+ (13),75.54,L
704,705.,Ken Harrelson (9),75.47,R
705,706.,"George Springer (7, 30)",75.24,R
706,707.,Henry Larkin (10),75.13,R
707,708.,Tommy Tucker (13),75.05,B
708,709.,Dummy Hoy (14),74.97,L
709,710.,Richard Hidalgo (9),74.96,R
710,711.,Tim McCarver (21),74.90,L
711,712.,Don Hoak (11),74.46,R
712,713.,"Jackie Bradley Jr. (8, 30)",74.43,L
713,714.,"Ryan Zimmerman (15, 35)",74.19,R
714,715.,Freddie Patek (14),74.11,R
715,715.,Ned Williamson (13),74.11,R
716,717.,George Burns (15),74.07,R
717,718.,"Giancarlo Stanton (11, 30)",74.03,R
718,719.,Jimmy Williams (11),73.99,R
719,720.,Scott Podsednik (11),73.95,L
720,721.,Brad Wilkerson (8),73.90,L
721,722.,Dave May (12),73.85,L
722,723.,Del Unser (15),73.75,L
723,724.,Chief Wilson (9),73.66,L
724,725.,Rex Hudler (13),73.52,R
725,726.,"Tim Anderson (5, 27)",73.50,R
726,727.,Dode Paskert (15),73.47,R
727,728.,John Kruk (10),73.42,L
728,729.,Orlando Merced (13),73.39,B
729,730.,Darren Daulton (14),73.26,L
730,731.,Del Pratt (13),73.25,R
731,732.,Joe Foy (6),73.15,R
732,733.,Dan McGann (12),73.11,B
733,734.,Steve Henderson (12),73.09,R
734,735.,Marcus Giles (7),72.88,R
735,736.,Earle Combs+ (12),72.87,L
736,737.,Charlie Keller (13),72.69,L
737,738.,Sam Mertes (10),72.66,R
738,739.,Lee Maye (13),72.50,L
739,740.,Rob Deer (11),72.45,R
740,741.,George Gore (14),72.41,L
741,742.,"Miguel Cabrera (18, 37)",72.22,R
742,743.,Bill Russell (18),72.13,R
743,744.,Mike Jorgensen (17),72.03,L
744,745.,Rafael Ramirez (13),71.95,R
745,746.,Luke Appling+ (20),71.92,R
746,747.,Danny Murphy (16),71.66,R
747,748.,Dan Meyer (12),71.37,L
748,749.,Marvin Benard (9),71.32,L
749,750.,Manny Ramirez (19),71.13,R
750,751.,David Murphy (10),71.09,L
751,752.,Bill Lange (7),71.07,R
752,753.,Charlie Hayes (14),70.87,R
753,754.,George Harper (11),70.85,L
754,755.,Joe Orsulak (14),70.68,L
755,756.,Bruce Campbell (13),70.67,L
756,757.,Gene Freese (12),70.66,R
757,758.,Felix Jose (11),70.62,B
758,759.,"Freddy Galvis (9, 30)",70.46,B
759,760.,Lee May (18),70.26,R
760,761.,"Adam Eaton (9, 31)",70.00,L
761,762.,Jim Gantner (17),69.99,L
762,763.,Wil Cordero (14),69.92,R
763,764.,Joe Medwick+ (17),69.72,R
764,765.,Desmond Jennings (7),69.67,R
765,766.,Gary Carter+ (19),69.62,R
766,767.,Pete Reiser (10),69.60,L
767,768.,"Ronald Acuna Jr. (3, 22)",69.59,R
768,769.,Jim Eisenreich (15),69.55,L
769,769.,Tom Tresh (9),69.55,B
770,771.,Brandon Inge (13),69.44,R
771,772.,Fernando Tatis (11),69.33,R
772,773.,Jim Morrison (12),69.14,R
773,774.,Joe Pepitone (12),69.07,L
774,775.,Cliff Heathcote (15),68.86,L
775,776.,Omar Moreno (12),68.78,L
776,777.,Gary Geiger (12),68.69,L
777,778.,"Anthony Rendon (8, 30)",68.68,R
778,779.,George Altman (9),68.65,L
779,780.,Eric McNair (14),68.62,R
780,780.,Adolfo Phillips (8),68.62,R
781,782.,Joel Youngblood (14),68.57,R
782,783.,"Yoenis Céspedes (8, 34)",68.22,R
783,784.,John Valentin (11),68.16,R
784,785.,Lu Blue (13),68.14,B
785,786.,Mike Napoli (12),68.06,R
786,786.,Jack Smith (15),68.06,L
787,788.,Mike Aviles (10),67.83,R
788,789.,"Aaron Hicks (8, 30)",67.69,B
789,790.,Johnny Hopp (14),67.68,L
790,791.,Ginger Beaumont (12),67.62,L
791,792.,George Selkirk (9),67.41,L
792,793.,Pokey Reese (8),67.40,R
793,794.,Jay Payton (12),67.39,R
794,795.,Thurman Munson (11),67.38,R
795,796.,Roger Cedeno (11),67.35,B
796,797.,Ty Wigginton (12),67.28,R
797,798.,Todd Helton (17),67.26,L
798,799.,Tito Francona (15),67.25,L
799,800.,Jay Johnstone (20),67.11,L
800,801.,Tom Paciorek (18),67.09,R
801,802.,"Andrelton Simmons (9, 30)",67.00,R
802,803.,Merv Rettenmund (13),66.99,R
803,804.,Rudy York (13),66.83,R
804,805.,Sam Chapman (11),66.79,R
805,806.,Marlon Anderson (12),66.76,L
806,807.,Beals Becker (8),66.72,L
807,808.,Fred Luderus (12),66.48,L
808,809.,George Watkins (7),66.46,L
809,810.,Cal Ripken Jr.+ (21),66.45,R
810,811.,Bobby Thomson (15),66.44,R
811,812.,Alcides Escobar (11),66.36,R
812,813.,Red Murray (11),66.35,R
813,814.,Mike Heath (14),66.34,R
814,815.,Vic Power (12),66.32,R
815,816.,Charlie Grimm (20),66.22,L
816,817.,Dave Hollins (12),66.21,B
817,818.,"Kolten Wong (8, 29)",66.16,L
818,819.,Willie Jones (15),66.09,R
819,820.,Greg Luzinski (15),66.04,R
820,821.,Jerry Royster (16),66.03,R
821,822.,Jose Hernandez (15),65.91,R
822,822.,Ross Youngs+ (10),65.91,L
823,824.,"Cody Bellinger (4, 24)",65.89,L
824,825.,"Josh Harrison (10, 32)",65.88,R
825,826.,Ossie Bluege (18),65.79,R
826,826.,Derrel Thomas (15),65.79,B
827,828.,Chris Chambliss (17),65.78,L
828,829.,Henry Cotto (10),65.75,R
829,830.,Kent Hrbek (14),65.70,L
830,831.,Les Mann (16),65.62,R
831,832.,"Brandon Belt (10, 32)",65.57,L
832,833.,Michael Saunders (9),65.52,L
833,834.,Tony Womack (13),65.50,L
834,835.,Clete Boyer (16),65.44,R
835,836.,Alejandro De Aza (10),65.37,L
836,837.,Sam Jethroe (4),65.33,B
837,838.,Deacon McGuire (26),65.15,R
838,839.,Michael Bourn (11),65.13,L
839,839.,Eddie Milner (9),65.13,L
840,841.,"Josh Donaldson (10, 34)",65.02,R
841,842.,Gus Suhr (11),64.99,L
842,843.,Charlie Hickman (12),64.86,R
843,844.,Danny Tartabull (14),64.84,R
844,845.,Candy LaChance (12),64.83,B
845,845.,Al Rosen (10),64.83,R
846,847.,Luis Polonia (12),64.74,L
847,848.,Mike Kreevich (12),64.69,R
848,849.,Ival Goodman (10),64.65,L
849,850.,Darrell Porter (17),64.60,L
850,851.,Andy Pafko (17),64.49,R
851,852.,Deion Sanders (9),64.48,L
852,853.,Sid Bream (12),64.29,L
853,854.,Jim Busby (13),64.22,R
854,855.,Jackie Brandt (11),64.20,R
855,855.,Gil McDougald (10),64.20,R
856,857.,Aubrey Huff (13),64.19,L
857,858.,Jack Clements (17),64.17,L
858,858.,Marco Scutaro (13),64.17,R
859,860.,Pat Sheridan (9),64.03,L
860,861.,Odell Hale (10),64.02,R
861,861.,Richie Hebner (18),64.02,L
862,863.,Mickey Stanley (15),63.95,R
863,864.,Mike Smith (14),63.86,L
864,865.,Johnny Ray (10),63.76,B
865,866.,Ron Santo+ (15),63.50,R
866,867.,Chone Figgins (12),63.48,B
867,868.,Glenn Braggs (7),63.44,R
868,869.,"Jake Marisnick (8, 29)",63.38,R
869,870.,Miguel Cairo (17),63.32,R
870,871.,Ken Keltner (13),62.94,R
871,872.,Cesar Geronimo (15),62.89,L
872,873.,Tom Burns (13),62.87,R
873,874.,"Michael A. Taylor (7, 29)",62.79,R
874,874.,Sam West (16),62.79,L
875,876.,Jim Russell (10),62.75,B
876,877.,Wally Berger (11),62.68,R
877,878.,Dave Robertson (9),62.67,L
878,879.,Joe Randa (12),62.62,R
879,880.,Billy Sample (9),62.61,R
880,881.,Tommy Corcoran (18),62.52,R
881,882.,Harold Baines+ (22),62.47,L
882,883.,Ronnie Belliard (13),62.45,R
883,883.,Whitey Lockman (15),62.45,L
884,885.,Cookie Rojas (16),62.44,R
885,886.,Jim Northrup (12),62.16,L
886,886.,Terry Shumpert (14),62.16,R
887,888.,Sam Rice+ (20),62.00,L
888,889.,Max Alvis (9),61.99,R
889,889.,Bill Virdon (12),61.99,L
890,891.,Wes Parker (9),61.94,B
891,892.,Willie Keeler+ (19),61.88,L
892,893.,Charlie Neal (8),61.87,R
893,894.,Connie Ryan (12),61.82,R
894,895.,Hoot Evers (12),61.68,R
895,896.,George Kell+ (15),61.67,R
896,897.,Lance Johnson (14),61.60,L
897,898.,Tommy Henrich (11),61.56,L
898,898.,Lyn Lary (12),61.56,R
899,900.,Stephen Drew (12),61.50,L
900,901.,Buddy Myer (17),61.19,L
901,902.,Damaso Garcia (11),61.16,R
902,903.,Bill Dickey+ (17),61.11,L
903,903.,John Stearns (11),61.11,R
904,905.,Chris Speier (19),61.09,R
905,906.,Gene Tenace (15),61.06,R
906,907.,Elmer Smith (10),60.97,L
907,908.,Bump Wills (6),60.83,B
908,909.,Willie Crawford (14),60.78,L
909,909.,"Cesar Hernandez (8, 30)",60.78,B
910,911.,Red Kress (14),60.65,R
911,911.,Pinky Whitney (12),60.65,R
912,913.,Eli Marrero (10),60.59,R
913,914.,Phil Rizzuto+ (13),60.56,R
914,915.,Chick Stahl (10),60.48,L
915,916.,Don Hurst (7),60.45,L
916,917.,Neifi Perez (12),60.30,B
917,917.,Frank Thomas+ (19),60.30,R
918,919.,Ethan Allen (13),60.28,R
919,920.,Bob Brenly (9),60.22,R
920,920.,Don Zimmer (12),60.22,R
921,922.,Ron Fairly (21),60.20,L
922,923.,Bruce Bochte (12),60.14,L
923,923.,"J.T. Realmuto (7, 29)",60.14,R
924,925.,Rocco Baldelli (7),60.00,R
925,925.,Steve Kemp (11),60.00,L
926,927.,Vinny Castilla (16),59.83,R
927,928.,John Titus (11),59.78,L
928,929.,Greg Brock (10),59.74,L
929,929.,Doug Rader (11),59.74,R
930,931.,Barry Bonnell (10),59.73,R
931,932.,Craig Counsell (16),59.67,L
932,932.,Tommy Griffith (13),59.67,L
933,934.,"Ender Inciarte (7, 29)",59.62,L
934,935.,Max Flack (12),59.57,L
935,936.,Rick Reichardt (11),59.49,R
936,936.,Fernando Vina (12),59.49,L
937,938.,Luis Alicea (13),59.48,B
938,938.,Sean Berry (11),59.48,R
939,940.,Josh Willingham (11),59.35,R
940,941.,Casey Blake (13),59.23,R
941,942.,Dave Collins (16),59.20,B
942,942.,Sixto Lezcano (12),59.20,R
943,944.,Graig Nettles (22),59.15,L
944,945.,Rick Burleson (13),59.02,R
945,946.,Joe Sewell+ (14),58.96,L
946,947.,Spike Owen (13),58.94,B
947,948.,"Eddie Rosario (6, 28)",58.75,L
948,949.,Gene Alley (11),58.73,R
949,950.,Lenny Green (12),58.66,L
950,951.,Leo Cardenas (16),58.62,R
951,952.,Frank Catalanotto (14),58.61,L
952,953.,Doggie Miller (13),58.57,R
953,954.,Harvey Hendrick (11),58.54,L
954,955.,Manny Trillo (17),58.39,R
955,956.,Lou Bierbauer (13),58.37,L
956,957.,David Dellucci (13),58.32,L
957,958.,Lou Boudreau+ (15),58.29,R
958,959.,Bobby Wallace+ (25),58.16,R
959,960.,Jo-Jo Moore (12),58.14,L
960,961.,Hans Lobert (14),58.12,R
961,962.,Frank Bolling (12),58.08,R
962,962.,Mark Loretta (15),58.08,R
963,964.,Tony Cuccinello (15),58.06,R
964,965.,Clint Barmes (13),57.99,R
965,966.,Cass Michaels (12),57.98,R
966,967.,"Odubel Herrera (5, 28)",57.93,L
967,968.,Chris Singleton (6),57.86,L
968,969.,Jimmie Hall (8),57.84,L
969,970.,Colby Rasmus (10),57.81,L
970,971.,Lenny Harris (18),57.70,L
971,972.,Jake Stenzel (9),57.68,R
972,973.,Tito Fuentes (13),57.60,B
973,974.,Riggs Stephenson (14),57.57,R
974,975.,Socks Seybold (9),57.54,R
975,976.,Grady Hatton (12),57.47,L
976,977.,John Jaha (10),57.36,R
977,978.,Bill Bradley (14),57.25,R
978,979.,Willie Harris (12),57.16,L
979,980.,Martin Prado (14),57.14,R
980,981.,Frank Fennelly (7),56.94,R
981,982.,Pete Incaviglia (12),56.89,R
982,983.,Duffy Lewis (11),56.87,R
983,984.,John Stone (11),56.80,L
984,985.,Joe Tinker+ (15),56.76,R
985,986.,Ping Bodie (9),56.65,R
986,986.,Monte Cross (15),56.65,R
987,988.,"Matthew Joyce (13, 35)",56.54,L
988,989.,Hal Morris (13),56.53,L
989,990.,Harry Lumley (7),56.49,L
990,990.,Billy Shindle (13),56.49,R
991,992.,James Loney (11),56.22,L
992,993.,Bill Almon (15),56.20,R
993,994.,Ruben Rivera (9),56.14,R
994,995.,Danny Richardson (11),56.03,R
995,996.,"Byron Buxton (6, 26)",55.97,R
996,997.,Darrin Jackson (12),55.94,R
997,998.,Bibb Falk (12),55.91,L
998,998.,Geoff Jenkins (11),55.91,L
