,Rank,"Player (yrs, age)",Hits,Throws
678,678.,Russ Meyer (13),1606,R
679,680.,Larry Cheney (9),1605,R
680,681.,Erik Hanson (11),1604,R
681,681.,John Montefusco (13),1604,R
682,681.,Bob Rhoads (8),1604,R
683,684.,Rick Reed (15),1601,R
684,685.,Dave LaPoint (12),1598,L
685,686.,Dave Koslo (12),1597,L
686,687.,Scott Kazmir (12),1596,L
687,688.,Dick Bosman (11),1594,R
688,689.,Steve Hargan (12),1593,R
689,690.,Sal Maglie (10),1591,R
690,691.,Neal Heaton (12),1589,L
691,692.,Dan Spillner (12),1585,R
692,693.,Allan Sothoron (11),1583,R
693,694.,Huck Betts (10),1581,R
694,695.,Bruce Chen (17),1578,L
695,696.,Ben Sheets (10),1577,R
696,697.,Bill Walker (10),1576,L
697,698.,Andy Hawkins (10),1574,R
698,698.,Johnny Morrison (10),1574,R
699,700.,Jumbo McGinnis (6),1572,
700,701.,Bob Porterfield (12),1571,R
701,702.,Rick Langford (11),1570,R
702,702.,Tim Leary (13),1570,R
703,704.,Kevin Correia (13),1569,R
704,705.,Bill Wegman (11),1567,R
705,706.,Ramon Ortiz (12),1566,R
706,707.,Jim Bibby (12),1565,R
707,708.,Wandy Rodriguez (11),1560,L
708,709.,Steve Blass (10),1558,R
709,710.,Jose DeLeon (13),1556,R
710,711.,Harry McIntire (9),1555,R
711,711.,Pat Ragan (11),1555,R
712,711.,"Jeff Samardzija (13, 35)",1555,R
713,714.,Zach Duke (15),1554,L
714,714.,Eddie Smith (10),1554,L
715,714.,Tom Underwood (11),1554,L
716,717.,Lynn McGlothen (11),1553,R
717,718.,George Winter (8),1552,R
718,719.,Ed Siever (7),1550,L
719,720.,Larry McWilliams (13),1548,L
720,721.,Cherokee Fisher (8),1547,R
721,722.,Jim O'Toole (10),1545,L
722,722.,Buck Ross (10),1545,R
723,724.,Phil Collins (8),1541,R
724,725.,Ken Heintzelman (13),1540,L
725,725.,Rick Helling (12),1540,R
726,725.,Julian Tavarez (17),1540,R
727,728.,Doc Crandall (10),1538,R
728,729.,John Danks (10),1533,L
729,729.,Joe Saunders (10),1533,L
730,731.,Ownie Carroll (9),1532,R
731,732.,Steve Avery (11),1529,L
732,732.,George Pipgras (11),1529,R
733,734.,Roger Craig (12),1528,R
734,735.,Stan Williams (14),1527,R
735,736.,Eric Show (11),1526,R
736,737.,Ed Crane (9),1525,R
737,738.,Stu Miller (16),1522,R
738,739.,Jason Johnson (11),1521,R
739,740.,Guy Morton (11),1520,R
740,741.,Jim Maloney (12),1518,R
741,742.,Rick Waits (12),1514,L
742,743.,Bill Bonham (10),1512,R
743,744.,Chief Hogsett (11),1511,L
744,745.,Fred Heimach (13),1510,L
745,745.,Jorge De La Rosa (15),1510,L
746,747.,"Edinson Volquez (15, 36)",1507,R
747,748.,Tim Lincecum (10),1506,R
748,748.,Rodrigo Lopez (11),1506,R
749,750.,Gary Nolan (10),1505,R
750,751.,Bob Muncrief (12),1503,R
751,752.,Tiny Bonham (10),1501,R
752,753.,Rich Gossage+ (22),1497,R
753,754.,Ben Sanders (5),1496,R
754,754.,Carlos Silva (9),1496,R
755,756.,Kaiser Wilhelm (9),1495,R
756,757.,Don Mossi (12),1493,L
757,758.,Ken Brett (14),1490,L
758,758.,Oral Hildebrand (10),1490,R
759,758.,Max Lanier (14),1490,L
760,761.,Fred Hutchinson (11),1487,R
761,761.,Bob Miller (17),1487,R
762,761.,Ray Scarborough (10),1487,R
763,764.,Vern Ruhle (13),1483,R
764,765.,Chris Capuano (12),1481,L
765,765.,Wiley Piatt (6),1481,L
766,767.,Don Wilson (9),1479,R
767,767.,Jim Wilson (12),1479,R
768,769.,Tom Brewer (8),1478,R
769,769.,Phil Knell (6),1478,L
770,771.,Jeff Francis (11),1477,L
771,771.,Bill Phillips (7),1477,R
772,773.,Rollie Fingers+ (17),1474,R
773,774.,Mike Smithson (8),1473,R
774,775.,"Jose Quintana (9, 31)",1470,L
775,776.,George Caster (12),1469,R
776,777.,Jim Merritt (11),1468,L
777,777.,Pat Rapp (10),1468,R
778,779.,"Wade Miley (10, 33)",1466,L
779,780.,Gene Garber (19),1464,R
780,780.,Willie Mitchell (11),1464,L
781,782.,Ed Killian (8),1463,L
782,782.,"Ivan Nova (11, 33)",1463,R
783,782.,Bob Weiland (12),1463,L
784,785.,Ted Blankenship (9),1462,R
785,786.,Kelvim Escobar (12),1461,R
786,787.,Bob Barr (5),1460,R
787,787.,Joey Jay (13),1460,R
788,789.,Doug Fister (10),1456,R
789,790.,Nick Altrock (19),1455,L
790,790.,"Homer Bailey (14, 34)",1455,R
791,790.,Alex Ferguson (10),1455,R
792,793.,Pete Vuckovich (11),1454,R
793,794.,Steve Sparks (9),1451,R
794,795.,Al Jackson (10),1449,L
795,796.,Cliff Melton (8),1446,L
796,796.,Jim Shaw (9),1446,R
797,798.,James Baldwin (11),1443,R
798,799.,Luke Hamlin (9),1442,R
799,799.,Don Larsen (14),1442,R
800,799.,Paul Quantrill (14),1442,R
801,802.,Moe Drabowsky (17),1441,R
802,802.,Scott Feldman (13),1441,R
803,802.,Gil Meche (10),1441,R
804,802.,Lee Viau (5),1441,R
805,806.,Willie Blair (12),1438,R
806,806.,Sam Weaver (6),1438,R
807,808.,Jim Devlin (5),1437,R
808,809.,Ruben Gomez (10),1436,R
809,810.,Jim Deshaies (12),1434,L
810,810.,Vinegar Bend Mizell (9),1434,L
811,812.,Bob Shirley (11),1432,L
812,812.,David Weathers (19),1432,R
813,814.,"Derek Holland (12, 33)",1431,L
814,815.,Clay Kirby (8),1430,R
815,816.,Paul Minner (10),1428,L
816,817.,Oil Can Boyd (10),1427,R
817,818.,John Buzhardt (11),1425,R
818,818.,Tom Murphy (12),1425,R
819,820.,Kyle Kendrick (10),1424,R
820,820.,Dennis Rasmussen (12),1424,L
821,822.,Ricky Bones (11),1422,R
822,823.,Ed Doheny (9),1421,L
823,823.,Sid Fernandez (15),1421,L
824,823.,Ellis Kinder (12),1421,R
825,826.,Ed Wells (11),1417,L
826,827.,Pol Perritt (10),1416,R
827,828.,Benny Frey (8),1415,R
828,828.,Erskine Mayer (8),1415,R
829,830.,Mickey Haefner (8),1414,L
830,830.,Doc McJames (6),1414,R
831,832.,Roberto Hernandez (11),1412,R
832,833.,Odalis Perez (10),1409,L
833,834.,Joey Hamilton (10),1408,R
834,835.,Tom Griffin (14),1407,R
835,836.,Glenn Abbott (11),1405,R
836,836.,"Trevor Cahill (12, 32)",1405,R
837,838.,Sam Jones (12),1403,R
838,839.,Charlie Ferguson (4),1402,R
839,839.,"Charlie Morton (13, 36)",1402,R
840,841.,Larry Christenson (11),1401,R
841,842.,Cory Lidle (9),1400,R
842,843.,Dave Davenport (6),1399,R
843,844.,Eddie Fisher (15),1398,R
844,844.,Clayton Richard (11),1398,L
845,844.,John Thomson (10),1398,R
846,847.,Mario Soto (12),1395,R
847,848.,Hugh Daily (6),1394,R
848,848.,Carl Weilman (8),1394,L
849,850.,Gene Packard (8),1393,L
850,851.,Monte Pearson (10),1392,R
851,851.,Phil Regan (13),1392,R
852,853.,Kip Wells (12),1390,R
853,854.,Al Brazle (10),1387,L
854,855.,Pete Falcone (10),1385,L
855,856.,Phil Hughes (12),1384,R
856,857.,George McQuillan (10),1382,R
857,857.,Allen Russell (11),1382,R
858,859.,Paul Foytack (11),1381,R
859,860.,Ted Lewis (6),1379,R
860,861.,Sterling Hitchcock (13),1374,L
861,862.,Ralph Branca (12),1372,R
862,863.,Ken Holloway (9),1370,R
863,863.,Bill Voiselle (9),1370,R
864,865.,Ed Seward (6),1369,R
865,866.,Buster Brown (9),1368,R
866,867.,Dick Fowler (10),1367,R
867,868.,Bob Turley (12),1366,R
868,868.,Jack Warhop (8),1366,R
869,870.,Bobby Bolin (13),1364,R
870,870.,Mark Clark (10),1364,R
871,870.,Mark Redman (10),1364,L
872,873.,Willie McGill (7),1363,L
873,874.,Blue Moon Odom (13),1362,R
874,875.,Mark Hendrickson (10),1361,L
875,875.,Irv Young (6),1361,L
876,877.,Juan Guzman (10),1360,R
877,878.,Jimmy Haynes (10),1358,R
878,879.,Doc Ayers (9),1357,R
879,880.,Otto Hess (10),1355,L
880,881.,Mark Mulder (9),1352,L
881,882.,Al Demaree (8),1350,R
882,882.,Jeff Tesreau (7),1350,R
883,884.,Roy Face (16),1347,R
884,885.,Bruce Ruffin (12),1345,L
885,886.,Tom Lovett (6),1341,R
886,886.,Al Mays (6),1341,R
887,888.,Cal Eldred (14),1340,R
888,888.,Russ Ford (7),1340,R
889,890.,Jumbo Elliott (10),1338,L
890,890.,Hank Wyse (8),1338,R
891,892.,Hank Gastright (7),1337,R
892,892.,Dave Mlicki (10),1337,R
893,894.,Bill Hoffer (6),1333,R
894,895.,Greg Harris (15),1329,R
895,895.,Joe Lake (6),1329,R
896,897.,Henry Gruber (5),1328,R
897,898.,Spud Chandler (11),1327,R
898,898.,Roy Patterson (7),1327,R
899,900.,Matt Clement (9),1326,R
900,901.,Clyde Shoun (14),1325,L
901,902.,"Oliver Perez (18, 38)",1323,L
902,903.,George Smith (8),1321,R
903,904.,Ned Garvin (7),1320,R
904,905.,"Jake Arrieta (11, 34)",1319,R
905,906.,Tug McGraw (19),1318,L
906,907.,LaMarr Hoyt (8),1313,R
907,908.,"Lance Lynn (9, 33)",1312,R
908,908.,"Chris Sale (10, 31)",1312,L
909,910.,Dixie Davis (10),1311,R
910,910.,"Dallas Keuchel (9, 32)",1311,L
911,912.,Charlie Smith (10),1309,R
912,913.,Bob Moose (10),1308,R
913,914.,Kent Mercker (18),1307,L
914,915.,Bill Krueger (13),1305,L
915,915.,Kent Tekulve (16),1305,R
916,917.,Jeremy Bonderman (9),1303,R
917,917.,George Brunet (15),1303,L
918,919.,Elmer Dessens (14),1300,R
919,920.,Ed Figueroa (8),1299,R
920,921.,Art Fromme (10),1297,R
921,921.,Warren Hacker (12),1297,R
922,923.,Clay Carroll (15),1296,R
923,924.,Josh Fogg (9),1293,R
924,925.,Red Barrett (11),1292,R
925,925.,Kris Benson (9),1292,R
926,925.,Danny Cox (11),1292,R
927,925.,Patsy Flaherty (9),1292,L
928,925.,Sparky Lyle (16),1292,L
929,925.,Mike Sullivan (10),1292,R
930,931.,Jean Dubuc (9),1290,R
931,932.,Len Barker (11),1289,R
932,932.,Jock Menefee (9),1289,R
933,934.,Dave Righetti (16),1287,L
934,934.,C.J. Wilson (11),1287,L
935,936.,Jesse Petty (7),1286,L
936,937.,Dustin Hermanson (12),1285,R
937,938.,Al Fitzmorris (10),1284,R
938,939.,Glen Hobbie (8),1283,R
939,940.,Mike Marshall (14),1281,R
940,941.,Jon Niese (9),1279,L
941,941.,Nate Robertson (9),1279,L
942,943.,Willard Nixon (9),1277,R
943,944.,Doug Bird (11),1273,R
944,944.,Leon Cadore (10),1273,R
945,944.,Frank Mountain (7),1273,R
946,947.,Clay Buchholz (13),1272,R
947,947.,Grant Jackson (18),1272,L
948,949.,Jim Hughey (7),1271,R
949,949.,Hugh Mulcahy (9),1271,R
950,951.,Tex Hughson (8),1270,R
951,952.,Johnny Marcum (7),1269,R
952,953.,Brandon McCarthy (13),1268,R
953,953.,Melido Perez (9),1268,R
954,955.,Jim Britt (2),1264,
955,955.,Ed Cushman (6),1264,L
956,957.,John Harkins (5),1262,R
957,957.,Teddy Higuera (9),1262,L
958,959.,Jake Miller (9),1260,L
959,960.,Stubby Overmire (10),1259,L
960,960.,Doug Rau (9),1259,L
961,962.,Dan Schatzeder (15),1257,L
962,963.,Colby Lewis (11),1255,R
963,964.,Hiroki Kuroda (7),1254,R
964,965.,Adam Eaton (10),1253,R
965,965.,Jason Jennings (9),1253,R
966,967.,Dontrelle Willis (9),1251,L
967,968.,Omar Daal (11),1250,L
968,969.,Frank Owen (8),1249,R
969,970.,Rheal Cormier (16),1248,L
970,971.,Jim McGlothlin (9),1247,R
971,972.,Ray Collins (7),1246,L
972,973.,Cy Blanton (9),1243,R
973,973.,Red Munger (10),1243,R
974,975.,Erik Bedard (11),1242,L
975,975.,Braden Looper (12),1242,R
976,977.,Vean Gregg (8),1240,L
977,978.,Gavin Floyd (13),1239,R
978,979.,Jack Kralick (9),1238,L
979,980.,Art Ditmar (9),1237,R
980,980.,Orval Grove (10),1237,R
981,982.,Mike Bielecki (14),1236,R
982,982.,Ike Delock (11),1236,R
983,984.,Dave Danforth (10),1235,L
984,984.,Tom Seaton (6),1235,R
985,986.,Rick Aguilera (16),1233,R
986,986.,Jack Wilson (9),1233,R
987,988.,Randy Lerch (11),1232,L
988,988.,Orval Overall (7),1232,R
989,990.,Tom Burgmeier (17),1231,L
990,991.,Ryan Franklin (12),1230,R
991,992.,Brian Bohanon (12),1229,L
992,993.,"Julio Teheran (10, 29)",1228,R
993,994.,"Jhoulys Chacin (12, 32)",1227,R
994,994.,J.R. Richard (10),1227,R
995,994.,Jake Weimer (7),1227,L
996,997.,Joe Benz (9),1225,R
997,998.,Elmer Jacobs (9),1223,R
998,999.,Bud Norris (10),1220,R
