,Rank,"Player (yrs, age)",Def. Games as P,Throws
312,313.,Jim Gott (14),554,R
313,314.,Jason Grimsley (15),552,R
314,314.,Turk Wendell (11),552,R
315,316.,Firpo Marberry (14),551,R
316,316.,Phil Regan (13),551,R
317,318.,Dolf Luque (20),550,R
318,319.,Jack Morris+ (18),549,R
319,320.,Heathcliff Slocumb (10),548,R
320,321.,"David Hernandez (10, 35)",547,R
321,321.,J.P. Howell (12),547,L
322,323.,Tippy Martinez (14),546,L
323,323.,"Jake McGee (11, 33)",546,L
324,325.,John Hiller (15),545,L
325,325.,Al Hrabosky (13),545,L
326,325.,Jamie Walker (10),545,L
327,328.,Pat Neshek (13),544,R
328,328.,Rudy Seanez (17),544,R
329,328.,Rube Walberg (15),544,L
330,331.,Juan Agosto (13),543,L
331,331.,John Axford (10),543,R
332,331.,Tom Hume (11),543,R
333,331.,Luis Vizcaino (11),543,R
334,335.,Guy Bush (17),542,R
335,335.,"Jared Hughes (10, 34)",542,R
336,335.,Syl Johnson (19),542,R
337,338.,Shawn Camp (11),541,R
338,338.,Claude Osteen (18),541,L
339,338.,Earl Whitehill (17),541,L
340,341.,Gus Weyhing (14),540,R
341,342.,Hooks Dauss (15),538,R
342,343.,Mike Mussina+ (18),537,R
343,343.,Bobby Shantz (16),537,L
344,345.,Rube Marquard+ (18),536,L
345,346.,Carl Hubbell+ (16),535,L
346,346.,Rudy May (16),535,L
347,348.,Luis Ayala (9),534,R
348,348.,Grant Balfour (12),534,R
349,348.,Randy Moffitt (12),534,R
350,351.,Red Ames (17),533,R
351,351.,Danys Báez (10),533,R
352,351.,Mark Wohlers (12),533,R
353,351.,Tom Zachary (19),533,L
354,355.,Jesse Crain (10),532,R
355,355.,Ryan Franklin (12),532,R
356,357.,John Clarkson+ (12),531,R
357,357.,Andy Pettitte (18),531,L
358,359.,Camilo Pascual (18),529,R
359,360.,Jason Christiansen (11),528,L
360,360.,Bob Gibson+ (17),528,R
361,360.,Bump Hadley (16),528,R
362,363.,Bill Henry (16),527,L
363,363.,Old Hoss Radbourn+ (12),527,R
364,365.,Mike Flanagan (18),526,L
365,365.,Joe Nuxhall (16),526,L
366,367.,Mel Rojas (10),525,R
367,368.,Chuck Finley (17),524,L
368,368.,Don Robinson (15),524,R
369,370.,Dave Stewart (16),523,R
370,371.,"Kelvin Herrera (10, 30)",522,R
371,372.,Ken Forsch (16),521,R
372,372.,Dizzy Trout (15),521,R
373,374.,Milt Pappas (17),520,R
374,375.,Gary Bell (12),519,R
375,375.,Dick Drago (13),519,R
376,375.,Liván Hernández (17),519,R
377,375.,Carlos Marmol (9),519,R
378,379.,Mark Buehrle (16),518,L
379,379.,Don Drysdale+ (14),518,R
380,379.,Danny Graves (11),518,R
381,379.,Dale Murray (12),518,R
382,383.,Wilbur Cooper (15),517,L
383,383.,"Wade Davis (12, 34)",517,R
384,383.,Shigetoshi Hasegawa (9),517,R
385,383.,Virgil Trucks (17),517,R
386,387.,Joe Boever (12),516,R
387,387.,Frank Linzy (11),516,R
388,389.,Frank DiPino (12),514,L
389,389.,Ron Mahay (15),514,L
390,389.,Bill Sherdel (15),514,L
391,392.,Freddie Fitzsimmons (19),513,R
392,392.,Clem Labine (13),513,R
393,392.,George Uhle (17),513,R
394,392.,Vic Willis+ (13),513,R
395,396.,Jay Powell (11),512,R
396,397.,Dave Burba (15),511,R
397,397.,Felix Heredia (10),511,L
398,399.,Orel Hershiser (18),510,R
399,400.,Steve Farr (11),509,R
