,Rank,"Player (yrs, age)",Walks & Hits per IP,Throws
826,827.,Glenn Abbott (11),1.3663,R
827,828.,Juan Guzman (10),1.3665,R
828,828.,Roberto Hernandez (17),1.3665,R
829,830.,José Contreras (11),1.3666,R
830,830.,Ray Herbert (14),1.3666,R
831,832.,Bob Walk (14),1.3667,R
832,833.,Jeff Weaver (11),1.3672,R
833,834.,Tom Lovett (6),1.3675,R
834,834.,Johnny Murphy (13),1.3675,R
835,836.,Jose Guzman (8),1.3681,R
836,837.,Tommy Bridges (16),1.3682,R
837,838.,"Homer Bailey (14, 34)",1.3684,R
838,838.,Mike Smithson (8),1.3684,R
839,840.,Ron Kline (17),1.3686,R
840,841.,John Harkins (5),1.3690,R
841,842.,Milt Wilcox (16),1.3691,R
842,843.,Gene Nelson (13),1.3694,R
843,844.,Chad Billingsley (9),1.3701,R
844,845.,Nig Cuppy (10),1.3706,R
845,846.,Red Donahue (13),1.3707,R
846,847.,Rick Mahler (13),1.3709,R
847,848.,Mike Fornieles (12),1.3712,R
848,849.,Ralph Branca (12),1.3713,R
849,850.,Tom Hume (11),1.3720,R
850,851.,Bill Swift (13),1.3722,R
851,852.,Bob Barr (5),1.3724,R
852,852.,Adonis Terry (14),1.3724,R
853,854.,Bob Buhl (15),1.3726,R
854,854.,"Derek Holland (12, 33)",1.3726,L
855,856.,Randy Gumpert (10),1.3727,R
856,857.,Jason Hammel (13),1.3732,R
857,858.,Braden Looper (12),1.3733,R
858,859.,Pete Vuckovich (11),1.3736,R
859,860.,Pedro Astacio (15),1.3739,R
860,861.,Jim Clancy (15),1.3745,R
861,862.,Kelvim Escobar (12),1.3749,R
862,863.,Ed Brandt (11),1.3755,L
863,863.,Mark Leiter (11),1.3755,R
864,865.,Hal Carlson (14),1.3756,R
865,866.,Brad Penny (14),1.3761,R
866,866.,Todd Stottlemyre (14),1.3761,R
867,868.,Chuck Finley (17),1.3765,L
868,868.,Vicente Padilla (14),1.3765,R
869,870.,Buster Brown (9),1.3770,R
870,871.,Rick Helling (12),1.3772,R
871,872.,Allan Sothoron (11),1.3777,R
872,873.,Dana Fillingim (8),1.3778,R
873,874.,Pat Malone (10),1.3781,R
874,875.,Chris Tillman (10),1.3782,R
875,876.,George Smith (8),1.3784,R
876,877.,Bullet Joe Bush (17),1.3785,R
877,878.,Dennis Lamp (16),1.3787,R
878,879.,Bob Shirley (11),1.3792,L
879,880.,Chris Hammond (14),1.3794,L
880,881.,Scott Stratton (8),1.3798,R
881,882.,Al Smith (12),1.3800,L
882,882.,Happy Townsend (6),1.3800,R
883,884.,Jeff Fassero (16),1.3803,L
884,885.,Tony Cloninger (12),1.3809,R
885,886.,Jim Gott (14),1.3813,R
886,887.,Bill Hutchison (9),1.3821,R
887,888.,Ruben Gomez (10),1.3824,R
888,889.,Steve Renko (15),1.3825,R
889,890.,Vinegar Bend Mizell (9),1.3829,L
890,891.,Elmer Jacobs (9),1.3840,R
891,891.,Jon Niese (9),1.3840,L
892,893.,Greg Minton (16),1.3841,R
893,894.,Clay Kirby (8),1.3844,R
894,895.,Steve Barber (15),1.3847,L
895,896.,Dick Ruthven (14),1.3855,R
896,897.,Roger McDowell (12),1.3857,R
897,898.,"Wade Miley (10, 33)",1.3858,L
