,Rank,"Player (yrs, age)",Hit By Pitch,Throws
403,403.,Daniel Cabrera (6),55,R
404,403.,Jimmy Dygert (6),55,R
405,403.,Bob Ewing (11),55,R
406,403.,Hank Gastright (7),55,R
407,403.,Bob Groom (10),55,R
408,403.,Joe Kennedy (7),55,L
409,403.,Erskine Mayer (8),55,R
410,403.,Jose Mesa (19),55,R
411,403.,Mike Moore (14),55,R
412,403.,Roy Parmelee (10),55,R
413,403.,Andy Pettitte (18),55,L
414,403.,"Tanner Roark (8, 33)",55,R
415,403.,Jered Weaver (12),55,R
416,403.,Mike Witt (12),55,R
417,418.,Gary Bell (12),54,R
418,418.,Ray Burris (15),54,R
419,418.,"Jhoulys Chacin (12, 32)",54,R
420,418.,Dan Daub (6),54,R
421,418.,John Denny (13),54,R
422,418.,Dick Drago (13),54,R
423,418.,Jack Dunn (8),54,R
424,418.,Greg Harris (15),54,R
425,418.,Jim Hughey (7),54,R
426,418.,Cory Lidle (9),54,R
427,418.,Old Hoss Radbourn+ (12),54,R
428,418.,Robin Roberts+ (19),54,R
429,418.,Bill Sherdel (15),54,L
430,418.,Sonny Siebert (12),54,R
431,418.,Allan Sothoron (11),54,R
432,433.,Doyle Alexander (19),53,R
433,433.,Steve Carlton+ (24),53,L
434,433.,Doug Drabek (13),53,R
435,433.,Les German (6),53,R
436,433.,"Rich Hill (16, 40)",53,L
437,433.,Joe Horlen (12),53,R
438,433.,Carl Hubbell+ (16),53,L
439,433.,Jay Hughes (4),53,R
440,433.,Jose Lima (13),53,R
441,433.,Fred Mitchell (7),53,R
442,433.,Denny Neagle (13),53,L
443,433.,Brad Penny (14),53,R
444,433.,Pol Perritt (10),53,R
445,433.,Wandy Rodriguez (11),53,L
446,433.,Jim Scott (9),53,R
447,433.,Curt Simmons (20),53,L
448,433.,Phenomenal Smith (8),53,L
449,433.,Bill Swift (13),53,R
450,433.,Kevin Tapani (13),53,R
451,452.,James Baldwin (11),52,R
452,452.,Pete Broberg (8),52,R
453,452.,Eddie Cicotte (14),52,R
454,452.,Adam Eaton (10),52,R
455,452.,Jack Fisher (11),52,R
456,452.,Ryan Franklin (12),52,R
457,452.,Brian Fuentes (12),52,L
458,452.,Tom Griffin (14),52,R
459,452.,Noodles Hahn (8),52,L
460,452.,George Hemming (8),52,R
461,452.,Tim Leary (13),52,R
462,452.,Dennis Leonard (12),52,R
463,452.,Larry McWilliams (13),52,L
464,452.,Clarence Mitchell (18),52,L
465,452.,Henry Porter (6),52,R
466,452.,Fernando Rodney (17),52,R
467,452.,Curt Schilling (20),52,R
468,452.,Jason Schmidt (14),52,R
469,452.,Pete Schneider (6),52,R
470,452.,Steve Sparks (9),52,R
471,452.,Frank Sullivan (11),52,R
472,452.,Steve Trachsel (16),52,R
473,452.,Ed Walsh+ (14),52,R
474,452.,Mickey Welch+ (13),52,R
475,452.,Mitch Williams (11),52,L
476,477.,Joaquin Andujar (13),51,R
477,477.,Tony Armas (10),51,R
478,477.,Nelson Briles (14),51,R
479,477.,Rheal Cormier (16),51,L
480,477.,Gus Dorner (6),51,R
481,477.,Vean Gregg (8),51,L
482,477.,Hardie Henderson (6),51,R
483,477.,Colby Lewis (11),51,R
484,477.,Pat Luby (4),51,R
485,477.,Carlos Marmol (9),51,R
486,477.,Elmer Myers (8),51,R
487,477.,Charles Nagy (14),51,R
488,477.,Jerry Nops (6),51,L
489,477.,Joel Pineiro (12),51,R
490,477.,Toad Ramsey (6),51,L
491,477.,"Stephen Strasburg (11, 31)",51,R
492,477.,Salomon Torres (12),51,R
493,477.,Lee Viau (5),51,R
494,477.,Bucky Walters (19),51,R
495,496.,Wilson Alvarez (14),50,L
496,496.,Doc Ayers (9),50,R
497,496.,Danys Báez (10),50,R
498,496.,Bill Bayne (9),50,L
499,496.,Ricky Bones (11),50,R
500,496.,Larry Dierker (14),50,R
501,496.,Jack Easton (5),50,
502,496.,Cal Eldred (14),50,R
503,496.,Jeff Francis (11),50,L
504,496.,Art Fromme (10),50,R
505,496.,Matt Garza (12),50,R
506,496.,"Gio Gonzalez (13, 34)",50,L
507,496.,Rick Honeycutt (21),50,L
508,496.,Danny Jackson (15),50,L
509,496.,Cliff Lee (13),50,L
510,496.,Mark Mulder (9),50,L
511,496.,Ron Reed (19),50,R
512,496.,"Hector Santiago (9, 32)",50,L
513,496.,Alfredo Simon (9),50,R
514,496.,Tom Vickery (4),50,R
515,496.,Brandon Webb (7),50,R
516,517.,Bud Black (15),49,L
517,517.,Clay Buchholz (13),49,R
518,517.,John Ewing (6),49,R
519,517.,"Mike Fiers (10, 35)",49,R
520,517.,Mike Hampton (16),49,L
521,517.,Pete Harnisch (14),49,R
522,517.,Claude Hendrix (10),49,R
523,517.,Pat Hentgen (14),49,R
524,517.,Ken Holtzman (15),49,L
525,517.,Waite Hoyt+ (21),49,R
526,517.,Catfish Hunter+ (15),49,R
527,517.,Jon Lieber (14),49,R
528,517.,Ken McBride (7),49,R
529,517.,"Jimmy Nelson (6, 31)",49,R
530,517.,Pat Rapp (10),49,R
531,517.,Luis Tiant (19),49,R
532,517.,Smoky Joe Wood (14),49,R
533,534.,Bob Bruce (9),48,R
534,534.,Ownie Carroll (9),48,R
535,534.,Aaron Cook (11),48,R
536,534.,Fred Glade (6),48,R
537,534.,Rick Helling (12),48,R
538,534.,Sid Hudson (12),48,R
539,534.,Bill James (8),48,R
540,534.,Syl Johnson (19),48,R
541,534.,Barry Latman (11),48,R
542,534.,"Carlos Martinez (8, 28)",48,R
543,534.,Bobby Mathews (15),48,R
544,534.,Jack McDowell (12),48,R
545,534.,"Darren O'Day (13, 37)",48,R
546,534.,Bob Shawkey (15),48,R
547,534.,Jim Slaton (16),48,R
548,534.,Bryn Smith (13),48,R
549,534.,Harry Staley (8),48,R
550,534.,Frank Viola (15),48,L
551,552.,Babe Adams (19),47,R
552,552.,Hank Aguirre (16),47,L
553,552.,Curt Davis (13),47,R
554,552.,Jean Dubuc (9),47,R
555,552.,Kelvim Escobar (12),47,R
556,552.,Ken Forsch (16),47,R
557,552.,Rich Gossage+ (22),47,R
558,552.,Jason Grimsley (15),47,R
559,552.,Ken Hill (14),47,R
560,552.,Bob Knepper (15),47,L
561,552.,Mike Krukow (14),47,R
562,552.,Jumbo McGinnis (6),47,
563,552.,Dan Petry (13),47,R
564,552.,Scott Schoeneweis (12),47,L
565,552.,Mike Timlin (18),47,R
566,552.,Virgil Trucks (17),47,R
567,552.,Ismael Valdez (12),47,R
568,552.,Jason Vargas (14),47,L
569,552.,Don Wilson (9),47,R
570,552.,Esteban Yan (11),47,R
571,572.,Fred Beebe (7),46,R
572,572.,Juan Cruz (12),46,R
573,572.,"Yu Darvish (8, 33)",46,R
574,572.,Pete Donohue (12),46,R
575,572.,Bob Friend (16),46,R
576,572.,Larry Gura (16),46,L
577,572.,"Derek Holland (12, 33)",46,L
578,572.,"Corey Kluber (10, 34)",46,R
579,572.,Mark Langston (16),46,L
580,572.,Brian Lawrence (6),46,R
581,572.,"Jordan Lyles (10, 29)",46,R
582,572.,Mariano Rivera+ (19),46,R
583,572.,Jack Sanford (12),46,R
584,572.,Eric Show (11),46,R
585,572.,Ed Summers (5),46,R
586,572.,Rick Sutcliffe (18),46,R
587,572.,Fred Toney (12),46,R
588,572.,Lefty Williams (7),46,L
589,590.,Ted Abernathy (14),45,R
590,590.,Kris Benson (9),45,R
591,590.,Bruce Chen (17),45,L
592,590.,Randy Choate (15),45,L
593,590.,Dixie Davis (10),45,R
594,590.,Dick Donovan (15),45,R
595,590.,"Danny Duffy (10, 31)",45,L
596,590.,Zach Duke (15),45,L
597,590.,Dick Ellsworth (13),45,L
598,590.,Alex Ferguson (10),45,R
599,590.,Bob Forsch (16),45,R
600,590.,Jeremy Hellickson (10),45,R
601,590.,Luke Hochevar (9),45,R
602,590.,Oscar Jones (3),45,R
603,590.,Fred Klobedanz (5),45,L
604,590.,Pat Malone (10),45,R
605,590.,Daisuke Matsuzaka (8),45,R
606,590.,Jock Menefee (9),45,R
607,590.,Mike Norris (10),45,R
608,590.,Russ Ortiz (12),45,R
609,590.,Claude Osteen (18),45,L
610,590.,Orval Overall (7),45,R
611,590.,Marty Pattin (13),45,R
612,590.,Sidney Ponson (12),45,R
613,590.,Paul Quantrill (14),45,R
614,590.,"Tyson Ross (10, 33)",45,R
615,590.,Carlos Silva (9),45,R
616,590.,Justin Speier (12),45,R
617,590.,Jaret Wright (11),45,R
618,619.,Bill Bailey (11),44,L
619,619.,Chad Billingsley (9),44,R
620,619.,Ewell Blackwell (10),44,R
621,619.,Shawn Boskie (9),44,R
622,619.,Reggie Cleveland (13),44,R
623,619.,"Gerrit Cole (8, 29)",44,R
624,619.,Doug Davis (13),44,L
625,619.,Chad Durbin (14),44,R
626,619.,Dock Ellis (12),44,R
627,619.,Keith Foulke (11),44,R
628,619.,Willis Hudlin (16),44,R
629,619.,Tim Lincecum (10),44,R
630,619.,Ryan Madson (13),44,R
631,619.,Sal Maglie (10),44,R
632,619.,Rick Reed (15),44,R
633,619.,Allen Russell (11),44,R
634,619.,"Jonathan Sanchez (8, 37)",44,L
635,619.,Ray Scarborough (10),44,R
636,619.,Mel Stottlemyre (11),44,R
637,619.,Bill Travers (9),44,L
638,619.,George Winter (8),44,R
639,619.,Rick Wise (18),44,R
640,641.,"Jose Berrios (5, 26)",43,R
641,641.,Tom Brewer (8),43,R
642,641.,John Buzhardt (11),43,R
643,641.,George Culver (9),43,R
644,641.,Ray Fisher (10),43,R
645,641.,Fred Frankhouse (13),43,R
646,641.,Dillon Gee (8),43,R
647,641.,Ruben Gomez (10),43,R
648,641.,Harvey Haddix (14),43,L
649,641.,Thornton Lee (16),43,L
650,641.,Eddie Lopat (12),43,L
651,641.,Trever Miller (13),43,L
652,641.,Mike Myers (13),43,L
653,641.,Bill Piercy (6),43,R
654,641.,Steve Rogers (13),43,R
655,641.,Ricky Romero (5),43,L
656,641.,Slim Sallee (14),43,L
657,641.,Scott Sanderson (19),43,R
658,641.,Jack Scott (12),43,R
659,641.,Bill Stoneman (8),43,R
660,641.,Dick Tidrow (13),43,R
661,662.,Jeremy Affeldt (14),42,L
662,662.,Steve Barber (15),42,L
663,662.,Boom-Boom Beck (12),42,R
664,662.,Erik Bedard (11),42,L
665,662.,Bo Belinsky (8),42,L
666,662.,Mal Eason (6),42,R
667,662.,Larry French (14),42,L
668,662.,Lefty Grove+ (17),42,L
669,662.,Sterling Hitchcock (13),42,L
670,662.,Joe Magrane (8),42,L
671,662.,Rudy May (16),42,L
672,662.,Billy O'Dell (13),42,L
673,662.,Fritz Peterson (11),42,L
674,662.,Ryan Rupe (5),42,R
675,662.,Tom Seaton (6),42,R
676,662.,Sherry Smith (14),42,L
677,662.,Warren Spahn+ (21),42,L
678,662.,Elam Vangilder (11),42,R
679,680.,Joe Blanton (13),41,R
680,680.,Jeremy Bonderman (9),41,R
681,680.,Chris Bosio (11),41,R
682,680.,Joe Bowman (11),41,R
683,680.,Guy Bush (17),41,R
684,680.,Harry Byrd (7),41,R
685,680.,Dan Casey (7),41,L
686,680.,Jim Colborn (10),41,R
687,680.,John Danks (10),41,L
688,680.,Octavio Dotel (15),41,R
689,680.,Ryne Duren (10),41,R
690,680.,Sid Fernandez (15),41,L
691,680.,Mike Flanagan (18),41,L
692,680.,Ned Garver (14),41,R
693,680.,"Kyle Gibson (8, 32)",41,R
694,680.,Slim Harriss (9),41,R
695,680.,"Kyle Hendricks (7, 30)",41,R
696,680.,Weldon Henley (4),41,R
697,680.,Bert Inks (5),41,L
698,680.,Jon Niese (9),41,L
699,680.,Willard Nixon (9),41,R
700,680.,Juan Pizarro (18),41,L
701,680.,Shane Reynolds (13),41,R
