,Rank,"Player (yrs, age)",Errors Committed as C,Throws
60,61.,Paul Cook (7),166,R
61,61.,Ossee Schrecongost (11),166,R
62,61.,Joe Sugden (13),166,R
63,64.,Tom Kinslow (10),163,R
64,65.,Bill Bergen (11),161,R
65,66.,John Grim (11),158,R
66,67.,Dick Higham (8),157,R
67,68.,Carlton Fisk+ (24),155,R
68,69.,Rollie Hemsley (19),154,R
69,69.,Jack Ryan (13),154,R
70,71.,George Gibson (14),153,R
71,72.,Benito Santiago (20),151,R
72,72.,Ed Whiting (3),151,L
73,74.,Bill Rariden (12),150,R
74,74.,Luke Sewell (20),150,R
75,76.,Tom Daly (17),148,R
76,76.,Bill Killefer (13),148,R
77,76.,Gus Mancuso (17),148,R
78,76.,Jack Rowe (12),148,R
79,76.,Billy Sullivan (16),148,R
80,81.,Jim Donahue (5),146,R
81,81.,Chief Meyers (9),146,R
82,83.,Bill Harbridge (9),145,L
83,84.,Jason Kendall (15),144,R
84,84.,Ed McFarland (14),144,R
85,86.,Mert Hackett (5),143,R
86,86.,Ernie Lombardi+ (17),143,R
87,88.,Ivan Rodriguez+ (21),142,R
88,89.,Gabby Hartnett+ (20),139,R
89,90.,Walker Cooper (18),138,R
90,90.,Lave Cross (21),138,R
91,90.,Ed Sweeney (9),138,R
92,93.,Jimmie Wilson (18),136,R
93,94.,Rick Ferrell+ (18),135,R
94,94.,Otto Miller (13),135,R
95,96.,Darrell Porter (17),134,R
96,97.,John Kelly (4),133,R
97,97.,Andy Seminick (15),133,R
98,99.,Sam Agnew (7),132,R
99,99.,Mike Grady (11),132,R
100,101.,Hank Severeid (15),131,R
101,102.,Bob O'Farrell (21),130,R
102,102.,Ted Simmons+ (21),130,R
103,102.,Pop Tate (6),130,R
104,105.,Tim Donahue (8),129,R
105,105.,Frankie Hayes (14),129,R
106,107.,Sy Sutcliffe (7),128,L
107,108.,Jimmy Archer (12),127,R
108,108.,John Kerins (7),127,R
109,108.,Thurman Munson (11),127,R
110,111.,Mike Piazza+ (16),124,R
111,111.,Doc Powers (11),124,R
112,113.,Tom Gunning (6),123,R
113,113.,Val Picinich (18),123,R
114,115.,Al Lopez+ (19),122,R
115,116.,Gary Carter+ (19),121,R
116,117.,Birdie Tebbetts (14),119,R
117,118.,Tony Pena (18),117,R
118,119.,Doc Kennedy (5),116,R
119,119.,Jim O'Rourke+ (23),116,R
120,119.,Muddy Ruel (19),116,R
121,119.,Boss Schmidt (6),116,R
122,123.,Bill Carrigan (10),115,R
123,124.,Mike Scioscia (13),114,R
124,124.,Dan Sullivan (5),114,R
125,126.,Alan Ashby (17),113,R
126,126.,John Bateman (10),113,R
127,128.,Frank Snyder (16),112,R
128,129.,Tom Barlow (4),111,
129,129.,Mickey Cochrane+ (13),111,R
130,129.,Admiral Schlei (8),111,R
131,132.,Yogi Berra+ (19),110,R
132,132.,Larry McLean (13),110,R
133,132.,Cal McVey (9),110,R
134,135.,Harry Bemis (9),109,R
135,135.,Jackie Hayes (7),109,R
136,135.,Pat Moran (14),109,R
137,135.,Cy Perkins (17),109,R
138,139.,Bill Dickey+ (17),108,R
139,139.,Tom Dolan (7),108,R
140,139.,Art Wilson (14),108,R
141,142.,Phil Powers (7),107,R
142,142.,John Roseboro (14),107,R
143,144.,Chris Fulmer (5),106,R
144,144.,Mike Heath (14),106,R
145,144.,Terry Kennedy (14),106,R
146,147.,Hank Gowdy (17),105,R
147,148.,Jack Doyle (17),104,R
148,148.,Frank Ringo (4),104,
149,150.,William Brown (7),103,R
150,151.,Andy Cusick (4),100,R
151,151.,Joe Gunson (4),100,R
152,151.,Bill Merritt (8),100,R
153,154.,Nig Clarke (9),99,R
154,154.,Rick Dempsey (24),99,R
155,156.,Ted Easterly (7),98,R
156,157.,Johnny Bench+ (17),97,R
157,157.,Ramon Hernandez (15),97,R
158,157.,Mike Hines (4),97,L
159,157.,Tom Needham (11),97,R
160,161.,Mickey Owen (13),96,R
161,162.,George Baker (4),95,
162,162.,Brian McCann (15),95,R
163,162.,Lew Ritter (7),95,R
164,162.,Bill Traffley (5),95,R
165,166.,Les Nunamaker (12),94,R
166,166.,Lance Parrish (19),94,R
167,166.,Manny Sanguillen (13),94,R
168,169.,Jack Lapp (9),93,R
169,170.,Rich Gedman (13),92,R
170,170.,Ed Rowen (3),92,
171,170.,Terry Steinbach (14),92,R
172,173.,Jack Brennan (5),91,
173,173.,Tim McCarver (21),91,R
174,175.,Jorge Posada (17),90,R
175,175.,Parke Wilson (7),90,R
176,177.,Del Crandall (16),89,R
177,177.,Red Kleinow (8),89,R
178,177.,Russell Martin (14),89,R
179,177.,Sandy Nava (5),89,
180,177.,Alex Trevino (13),89,R
181,182.,Todd Hundley (14),88,R
182,182.,Ed Phelps (11),88,R
183,182.,Steve Yeager (15),88,R
184,182.,Gregg Zaun (16),88,R
185,186.,John Henry (9),87,R
186,186.,Don Slaught (16),87,R
187,188.,Sandy Alomar (20),86,R
188,188.,Jim Hegan (17),86,R
189,188.,Charlie Moore (15),86,R
190,188.,Zack Taylor (16),86,R
191,192.,Roy Campanella+ (10),85,R
192,192.,George Townsend (4),85,R
193,194.,Spud Davis (16),84,R
194,194.,Miguel Montero (13),84,R
195,194.,Miguel Olivo (13),84,R
196,194.,Sammy White (11),84,R
197,198.,Fritz Buelow (9),83,R
198,198.,Gabby Street (8),83,R
199,198.,Ira Thomas (10),83,R
200,201.,Bo Diaz (13),82,R
201,201.,Johnny Edwards (14),82,R
202,201.,Milt May (15),82,R
203,201.,Sleeper Sullivan (4),82,R
204,205.,Jody Davis (10),81,R
205,205.,Jim Stephens (6),81,R
206,205.,Jim Sundberg (16),81,R
207,205.,Al Todd (11),81,R
208,209.,Ed Bailey (14),80,R
209,209.,Marty Bergen (4),80,R
210,209.,Tim McGinley (2),80,
211,212.,Brad Ausmus (18),79,R
212,212.,Dave Duncan (11),79,R
