,Rank,"Player (yrs, age)",Base-Out Wins Saved (REW),Throws
569,570.,"Brandon Kintzler (11, 35)",4.62,R
570,570.,Shane Reynolds (13),4.62,R
571,572.,Johnny Niggeling (9),4.59,R
572,573.,Scott Downs (13),4.58,L
573,573.,Pete Richert (13),4.58,L
574,575.,Craig Breslow (12),4.57,L
575,575.,Ken Holtzman (15),4.57,L
576,577.,Jesse Petty (7),4.56,L
577,577.,Mike Scott (13),4.56,R
578,579.,Roy Face (16),4.54,R
579,579.,Wade Miller (9),4.54,R
580,579.,"Yusmeiro Petit (13, 35)",4.54,R
581,582.,"Brad Hand (10, 30)",4.53,L
582,583.,Rheal Cormier (16),4.52,L
583,583.,Bobby Jenks (7),4.52,R
584,585.,Bill Hallahan (12),4.51,L
585,585.,Kris Medlen (8),4.51,R
586,587.,Mark Fidrych (5),4.50,R
587,587.,Hung-Chih Kuo (7),4.50,L
588,589.,Terry Fox (7),4.49,R
589,590.,Al Holland (10),4.46,L
590,590.,Connie Johnson (5),4.46,R
591,592.,Akinori Otsuka (4),4.45,R
592,593.,Jay Howell (15),4.44,R
593,594.,Joe Nuxhall (16),4.42,L
594,595.,"Kenta Maeda (5, 32)",4.40,R
595,596.,Darryl Kile (12),4.39,R
596,596.,Mike Remlinger (14),4.39,L
597,598.,Pascual Perez (11),4.38,R
598,599.,"Julio Teheran (10, 29)",4.37,R
599,600.,Joel Peralta (12),4.36,R
600,601.,Doug Fister (10),4.35,R
601,601.,"Jeremy Jeffress (11, 32)",4.35,R
602,603.,Joaquin Andujar (13),4.34,R
603,603.,Kirby Higbe (12),4.34,R
604,605.,Danny Patterson (9),4.32,R
605,606.,Shaun Marcum (9),4.31,R
606,607.,Chris Young (13),4.30,R
607,608.,Mat Latos (9),4.29,R
608,609.,Jason Motte (9),4.26,R
609,610.,"Chris Devenski (5, 29)",4.25,R
610,610.,Al Hrabosky (13),4.25,L
611,610.,Ernie White (7),4.25,L
612,613.,Joe Beggs (9),4.24,R
613,614.,Mike Gonzalez (11),4.23,L
614,614.,"Pedro Strop (12, 35)",4.23,R
615,616.,"Trevor Rosenthal (8, 30)",4.21,R
616,617.,Bob Shaw (11),4.20,R
617,618.,Carmen Hill (10),4.19,R
