,Rank,"Player (yrs, age)",Adj. Pitching Wins,Throws
632,633.,Marv Grissom (10),4.68,R
633,634.,Larry Dierker (14),4.67,R
634,635.,Phil Douglas (9),4.66,R
635,635.,Jim Turner (9),4.66,R
636,637.,Harry Staley (8),4.65,R
637,638.,Hugh Casey (9),4.64,R
638,638.,Kid Gleason (22),4.64,R
639,638.,Aurelio Lopez (11),4.64,R
640,638.,Jim O'Toole (10),4.64,L
641,642.,Jim Mecir (11),4.63,R
642,642.,Mark Mulder (9),4.63,L
643,642.,Satchel Paige+ (6),4.63,R
644,645.,Jesse Barnes (13),4.62,R
645,645.,Al Worthington (14),4.62,R
646,647.,Javier Lopez (14),4.60,L
647,648.,Al Downing (17),4.59,L
648,649.,Peter Moylan (12),4.58,R
649,649.,Mike Remlinger (14),4.58,L
650,649.,Sammy Stewart (10),4.58,R
651,652.,Rick Camp (9),4.57,R
652,653.,Eddie Guardado (17),4.56,L
653,654.,"Josh Hader (4, 26)",4.54,L
654,654.,Jack Kralick (9),4.54,L
655,654.,Justin Speier (12),4.54,R
656,657.,Ray Fisher (10),4.53,R
657,657.,Jim Konstanty (11),4.53,R
658,657.,Jumbo McGinnis (6),4.53,
659,657.,"Marcus Stroman (6, 29)",4.53,R
660,661.,C.J. Wilson (11),4.51,L
661,662.,Alexi Ogando (8),4.50,R
662,663.,"Eduardo Rodriguez (5, 27)",4.49,L
663,664.,Luke Gregerson (11),4.48,R
664,664.,"Brad Keller (3, 24)",4.48,R
665,664.,Tommy Thomas (12),4.48,R
666,667.,David Riske (11),4.47,R
667,668.,Akinori Otsuka (4),4.46,R
668,669.,Bob Shaw (11),4.45,R
669,670.,Sam Zoldak (9),4.43,L
670,671.,Wade Miller (9),4.42,R
671,672.,Roy Patterson (7),4.41,R
672,673.,Joe Hoerner (14),4.40,L
673,674.,Kris Medlen (8),4.39,R
674,675.,Hector Carrasco (12),4.38,R
675,676.,"Alex Wood (8, 29)",4.37,L
676,677.,Jesse Flores (7),4.35,R
677,677.,"Brandon Kintzler (11, 35)",4.35,R
678,679.,Bobby Thigpen (9),4.34,R
679,680.,Red Ehret (11),4.33,R
680,681.,"Jhoulys Chacin (12, 32)",4.32,R
681,681.,"James Paxton (8, 31)",4.32,L
682,683.,Steve Hamilton (12),4.30,L
683,683.,Elias Sosa (12),4.30,R
684,683.,Bill Swift (13),4.30,R
685,686.,"Jake McGee (11, 33)",4.29,L
686,687.,Craig Breslow (12),4.28,L
687,687.,Dick Rudolph (13),4.28,R
688,689.,Ernie Broglio (8),4.27,R
689,690.,George Bradley (11),4.25,R
690,690.,"J.A. Happ (14, 37)",4.25,L
691,690.,Scott Sullivan (10),4.25,R
692,693.,Norm Charlton (13),4.24,L
693,693.,Hideki Okajima (6),4.24,L
694,695.,"Danny Duffy (10, 31)",4.22,L
695,695.,Cliff Melton (8),4.22,L
696,695.,Darren Oliver (20),4.22,L
697,695.,"Julio Teheran (10, 29)",4.22,R
698,699.,"Wade Davis (12, 34)",4.21,R
699,699.,Al McBean (10),4.21,R
700,701.,Tom Ferrick (9),4.20,R
701,701.,Darryl Kile (12),4.20,R
702,703.,Fred Goldsmith (7),4.19,R
703,703.,Mike Witt (12),4.19,R
704,705.,Adonis Terry (14),4.17,R
705,706.,Brickyard Kennedy (12),4.16,R
706,706.,Tom Niedenfuer (10),4.16,R
707,708.,A.J. Burnett (17),4.15,R
708,708.,Doug Drabek (13),4.15,R
709,708.,Ron Mahay (15),4.15,L
710,711.,Mark Fidrych (5),4.14,R
711,711.,Leo Kiely (7),4.14,L
712,711.,Tippy Martinez (14),4.14,L
713,711.,Ernie Shore (7),4.14,R
714,711.,Paul Shuey (11),4.14,R
715,716.,Bobby Jenks (7),4.13,R
716,717.,Ricardo Rincon (11),4.12,L
717,717.,Joe Sambito (11),4.12,L
718,719.,Chad Billingsley (9),4.11,R
719,720.,Erik Hanson (11),4.10,R
720,720.,"Ryan Pressly (8, 31)",4.10,R
721,720.,Bob Purkey (13),4.10,R
722,723.,"Jack Flaherty (4, 24)",4.08,R
723,723.,Elmer Riddle (10),4.08,R
724,725.,Bob Buhl (15),4.04,R
725,725.,Francisco Cordova (5),4.04,R
726,727.,Craig Lefferts (12),4.03,L
727,728.,Jim Tobin (9),4.02,R
728,729.,Jeff Zimmerman (3),4.01,R
729,730.,Dave Koslo (12),4.00,L
730,730.,Woody Williams (15),4.00,R
731,730.,"Justin Wilson (9, 32)",4.00,L
732,733.,Kiko Calero (7),3.98,R
733,733.,Eddie Smith (10),3.98,L
734,733.,Eddie Watt (10),3.98,R
735,736.,Steve Karsay (11),3.97,R
736,736.,Ernie White (7),3.97,L
737,738.,Rube Foster (5),3.96,R
738,738.,"Mike Minor (9, 32)",3.96,L
739,740.,Bill James (4),3.95,R
740,741.,Fernando Rodney (17),3.94,R
741,742.,Ramon Ramirez (9),3.93,R
742,743.,Casey Janssen (9),3.92,R
743,744.,"Mike Soroka (3, 22)",3.90,R
744,745.,Cy Blanton (9),3.89,R
745,745.,Bob Lee (5),3.89,R
746,745.,Jose Rosado (5),3.89,L
747,748.,Larry Cheney (9),3.87,R
748,749.,Heath Bell (11),3.86,R
749,750.,"Mychal Givens (6, 30)",3.85,R
750,750.,Mike Proly (7),3.85,R
751,752.,Cy Falkenberg (12),3.84,R
752,753.,Ed Brandt (11),3.82,L
753,753.,Ray King (10),3.82,L
754,755.,Ray Caldwell (12),3.80,R
755,755.,"Alex Claudio (7, 28)",3.80,L
756,755.,Paul Dean (9),3.80,R
757,755.,Al Levine (10),3.80,R
758,755.,Doug Rau (9),3.80,L
759,755.,Hank Robinson (6),3.80,L
760,761.,Guy Morton (11),3.79,R
761,761.,Felix Rodriguez (11),3.79,R
762,763.,"Taylor Rogers (5, 29)",3.78,L
763,764.,"Brad Brach (10, 34)",3.77,R
764,764.,"Neftali Feliz (9, 32)",3.77,R
765,766.,Lloyd Brown (12),3.76,L
766,767.,Jesse Duryea (5),3.75,R
767,768.,Mace Brown (10),3.74,R
768,769.,Dave Goltz (12),3.72,R
769,769.,"Chad Green (5, 29)",3.72,R
770,771.,Jimmy Callahan (13),3.71,R
771,771.,"Jeurys Familia (9, 30)",3.71,R
772,773.,"Zach Davies (6, 27)",3.70,R
773,774.,Ralph Branca (12),3.69,R
774,774.,Andy McGaffigan (11),3.69,R
775,774.,Joe Nuxhall (16),3.69,L
776,774.,"AJ Ramos (8, 33)",3.69,R
777,778.,"Walker Buehler (4, 25)",3.66,R
778,778.,Rip Collins (11),3.66,R
779,780.,Arlie Pond (4),3.65,R
780,781.,Dummy Taylor (9),3.64,R
781,782.,"Pedro Baez (7, 32)",3.63,R
782,782.,"Anibal Sanchez (15, 36)",3.63,R
783,784.,Gary Lucas (8),3.62,L
784,785.,Hank Borowy (10),3.60,R
785,785.,"Jair Jurrjens (8, 34)",3.60,R
786,785.,"Adam Warren (8, 32)",3.60,R
787,788.,Jeremy Affeldt (14),3.59,L
788,788.,Andrew Bailey (8),3.59,R
789,788.,Pedro Feliciano (9),3.59,L
790,791.,Addison Reed (8),3.58,R
791,792.,Mike Fetters (16),3.57,R
792,793.,Ramon Martinez (14),3.56,R
793,793.,Alberto Reyes (13),3.56,R
794,795.,Ismael Valdez (12),3.55,R
795,796.,Terry Fox (7),3.52,R
796,796.,Tim Lincecum (10),3.52,R
797,796.,Scott Perry (7),3.52,R
798,796.,"Drew Pomeranz (10, 31)",3.52,L
799,796.,Bill Sweeney (2),3.52,R
800,801.,Lou Fette (5),3.51,R
801,801.,Sean Marshall (9),3.51,L
802,801.,George Suggs (8),3.51,R
803,804.,Dave LaRoche (14),3.50,L
804,804.,Shaun Marcum (9),3.50,R
805,806.,Dick Drago (13),3.47,R
806,806.,Pete Harnisch (14),3.47,R
807,806.,Jonny Venters (5),3.47,L
808,809.,Matt Capps (8),3.46,R
809,810.,"Dan Otero (8, 35)",3.45,R
810,811.,Scott Radinsky (11),3.44,L
811,812.,Rich Garces (10),3.41,R
812,813.,"Chris Devenski (5, 29)",3.39,R
813,813.,Brian Wilson (9),3.39,R
814,815.,Nat Hudson (4),3.38,R
815,816.,Dan Wheeler (13),3.37,R
816,817.,Bill Bevens (4),3.36,R
817,818.,Bob Ojeda (15),3.33,L
818,818.,Bob Porterfield (12),3.33,R
819,818.,Lefty Tyler (12),3.33,L
820,821.,"Hector Rondon (8, 32)",3.31,R
821,822.,Mike James (7),3.30,R
822,822.,Dan Jennings (8),3.30,L
823,822.,"Nate Jones (9, 34)",3.30,R
824,825.,Billy Koch (6),3.29,R
825,825.,Bob Tewksbury (13),3.29,R
826,827.,Vinegar Bend Mizell (9),3.28,L
827,828.,Pete Donohue (12),3.27,R
828,829.,Ed Figueroa (8),3.26,R
829,830.,Rolando Arrojo (5),3.25,R
830,830.,Bill Caudill (9),3.25,R
831,832.,Scott Kazmir (12),3.24,L
832,832.,Bob Miller (17),3.24,R
833,834.,Sam Dyson (8),3.23,R
834,834.,Cal Eldred (14),3.23,R
835,834.,Darren Holmes (13),3.23,R
836,834.,Buck O'Brien (3),3.23,R
837,834.,Frank Williams (6),3.23,R
838,839.,Dixie Davis (10),3.22,R
839,839.,Harry Gumbert (15),3.22,R
840,839.,Grant Jackson (18),3.22,L
841,839.,George Kaiserling (2),3.22,R
842,839.,Jason Motte (9),3.22,R
843,844.,Red Munger (10),3.21,R
844,844.,Bill Simas (6),3.21,R
845,846.,Roger Nelson (9),3.20,R
846,847.,George McConnell (6),3.19,R
847,847.,John Whitehead (7),3.19,R
848,849.,Joe Berry (4),3.18,R
849,849.,Ricky Bottalico (12),3.18,R
850,849.,"Hector Neris (7, 31)",3.18,R
851,849.,Brian Shouse (10),3.18,L
852,853.,Mike DeJean (10),3.16,R
853,853.,Scott Garrelts (10),3.16,R
854,853.,Fred Gladding (13),3.16,R
855,853.,Al Orth (15),3.16,R
856,853.,Joel Zumaya (5),3.16,R
857,858.,Steve Ontiveros (10),3.15,R
858,858.,Pete Richert (13),3.15,L
859,858.,Danny Salazar (6),3.15,R
860,861.,Ramon Hernandez (9),3.13,L
861,861.,"Jose Leclerc (5, 26)",3.13,R
862,861.,Kerry Ligtenberg (8),3.13,R
863,864.,Luis Aquino (9),3.12,R
864,864.,James Shields (13),3.12,R
865,866.,"Edwin Diaz (5, 26)",3.11,R
866,866.,Mark Littell (9),3.11,R
867,868.,George Blaeholder (11),3.10,R
868,868.,Josh Collmenter (7),3.10,R
869,868.,Jerry Dipoto (8),3.10,R
870,868.,"Keone Kela (6, 27)",3.10,R
871,872.,"Max Fried (4, 26)",3.09,L
872,872.,Juan Pizarro (18),3.09,L
873,874.,Red Barrett (11),3.07,R
874,875.,Erik Bedard (11),3.06,L
875,875.,Gordon Maltzberger (4),3.06,R
876,877.,"Ryan Buchter (6, 33)",3.05,L
877,878.,Steve Barber (15),3.04,L
878,878.,Joba Chamberlain (10),3.04,R
879,878.,R.A. Dickey (15),3.04,R
880,878.,Denny McLain (10),3.04,R
881,878.,Turk Wendell (11),3.04,R
882,878.,Alex Wilson (7),3.04,R
883,878.,Michael Wuertz (8),3.04,R
884,885.,Victor Cruz (5),3.03,R
885,885.,George Kontos (8),3.03,R
886,887.,Turk Farrell (14),3.02,R
887,887.,Matt Herges (11),3.02,R
888,887.,Ed Stein (8),3.02,R
889,887.,Bobby Wallace+ (25),3.02,R
890,891.,Doug Brocail (15),3.01,R
891,892.,Hugh Daily (6),3.00,R
892,892.,"Zac Gallen (2, 24)",3.00,R
893,894.,Kent Mercker (18),2.99,L
894,895.,J.C. Romero (14),2.97,L
895,895.,Zane Smith (13),2.97,L
896,897.,"Jerry Blevins (13, 36)",2.96,L
897,898.,Butch Henry (7),2.95,L
898,898.,Lance McCullers (7),2.95,R
899,898.,Ramiro Mendoza (10),2.95,R
900,898.,Bill Monbouquette (11),2.95,R
901,902.,Sean Burnett (9),2.94,L
902,902.,Carl Erskine (12),2.94,R
903,902.,Jake Miller (9),2.94,L
904,902.,Roger Moret (9),2.94,L
905,902.,Antonio Osuna (11),2.94,R
906,902.,"Nick Vincent (9, 33)",2.94,R
907,908.,Alan Mills (12),2.93,R
908,908.,Chad Qualls (14),2.93,R
909,908.,"Craig Stammen (11, 36)",2.93,R
910,911.,Steve Busby (8),2.92,R
911,911.,Jim Hearn (13),2.92,R
912,911.,"Tommy Hunter (13, 33)",2.92,R
913,911.,Graeme Lloyd (10),2.92,L
914,911.,Connie Marrero (5),2.92,R
915,911.,"Bryan Shaw (10, 32)",2.92,R
916,917.,"Trevor Rosenthal (8, 30)",2.90,R
917,917.,Cecil Upshaw (9),2.90,R
918,919.,Connie Johnson (5),2.89,R
919,919.,Drew Storen (8),2.89,R
920,921.,Harry Eisenstat (8),2.88,L
921,921.,"Kenta Maeda (5, 32)",2.88,R
922,921.,Kevin Siegrist (5),2.88,L
923,921.,Gene Thompson (6),2.88,R
924,925.,Jim Johnson (13),2.87,R
925,925.,Mickey McDermott (12),2.87,L
926,925.,Chuck McElroy (13),2.87,L
927,928.,"Luis Avilan (9, 30)",2.86,L
928,928.,Bud Black (15),2.86,L
929,928.,Bill Castro (10),2.86,R
930,928.,Willis Hudlin (16),2.86,R
931,928.,Dyar Miller (7),2.86,R
932,933.,"Al Alburquerque (7, 34)",2.85,R
933,934.,"Richard Bleier (5, 33)",2.84,L
934,934.,Marty Pattin (13),2.84,R
935,936.,"Aaron Loup (9, 32)",2.83,L
936,937.,Ryan Franklin (12),2.82,R
937,938.,Virgil Barnes (9),2.81,R
938,938.,Mitch Williams (11),2.81,L
939,940.,Shane Reynolds (13),2.79,R
940,940.,John Wyatt (9),2.79,R
941,942.,Rawly Eastwick (8),2.78,R
942,942.,Mat Latos (9),2.78,R
943,942.,Kazuhiro Sasaki (4),2.78,R
944,945.,Jared Burton (8),2.77,R
945,945.,"Brad Hand (10, 30)",2.77,L
946,945.,Enrique Romo (6),2.77,R
947,948.,Hod Eller (5),2.76,R
948,948.,Jocko Flynn (2),2.76,R
949,948.,Mel Rojas (10),2.76,R
950,948.,Hank Wyse (8),2.76,R
951,952.,Cecilio Guante (9),2.75,R
952,952.,Paul Minner (10),2.75,L
953,952.,"Zach Plesac (2, 25)",2.75,R
954,952.,Rod Scurry (8),2.75,L
955,952.,Chris Young (13),2.75,R
956,957.,John Fulgham (2),2.73,R
957,957.,Mark Guthrie (15),2.73,L
958,957.,Ed Summers (5),2.73,R
959,960.,Harry Gaspar (4),2.72,R
960,960.,"Yusmeiro Petit (13, 35)",2.72,R
961,960.,"Brandon Woodruff (4, 27)",2.72,R
962,963.,Ted Abernathy (14),2.71,R
963,964.,Bill Bernhard (9),2.70,R
964,964.,"Brandon Morrow (12, 35)",2.70,R
965,964.,John Rocker (6),2.70,L
966,967.,Dennis Cook (15),2.69,L
967,967.,Julio Mateo (6),2.69,R
968,967.,Mike Myers (13),2.69,L
969,970.,"Archie Bradley (6, 27)",2.68,R
970,970.,Noah Lowry (5),2.68,L
971,970.,Scott Sauerbeck (7),2.68,L
972,970.,John Smiley (12),2.68,L
973,974.,Bryn Smith (13),2.67,R
974,974.,Mark Williamson (8),2.67,R
975,976.,Bullet Joe Bush (17),2.66,R
976,976.,Scott Sanderson (19),2.66,R
977,978.,Steve Foucault (6),2.65,R
978,978.,Kirby Higbe (12),2.65,R
979,980.,Bob Apodaca (5),2.64,R
980,980.,Todd Frohwirth (9),2.64,R
981,980.,Jon Rauch (11),2.64,R
982,980.,Bob Turley (12),2.64,R
983,984.,Andy Coakley (9),2.63,R
984,984.,Dutch Ulrich (3),2.63,R
985,986.,Kevin Tapani (13),2.62,R
986,987.,Mark Clear (11),2.61,R
987,987.,Rick Honeycutt (21),2.61,L
988,987.,J.P. Howell (12),2.61,L
989,987.,Steve Olin (4),2.61,R
990,991.,Seunghwan Oh (4),2.60,R
991,992.,Nick Cullop (6),2.59,L
992,992.,T.J. Mathews (8),2.59,R
993,994.,"Jon Gray (6, 28)",2.58,R
994,994.,Byung-Hyun Kim (9),2.58,R
995,994.,Tom Morgan (12),2.58,R
996,997.,Don Aase (13),2.57,R
997,997.,Donnie Moore (13),2.57,R
998,997.,Tully Sparks (12),2.57,R
