,Rank,Player (age that year),Assists as C,Year,Throws
410,399.,Jim Sundberg (26),103,1977,R
411,399.,Jack Warner (32),103,1905,R
412,399.,Jimmie Wilson (27),103,1928,R
413,414.,Kid Baldwin (21),102,1886,R
414,414.,Johnny Bench+ (20),102,1968,R
415,414.,Roger Bresnahan+ (32),102,1911,R
416,414.,Bill Carrigan (28),102,1912,R
417,414.,Lave Cross (23),102,1889,R
418,414.,Buck Ewing+ (25),102,1885,R
419,414.,Silver Flint (22),102,1878,R
420,414.,Johnny Gooch (24),102,1922,R
421,414.,Bill Holbert (32),102,1887,R
422,414.,Red Kleinow (28),102,1906,R
423,414.,Ed McFarland (27),102,1901,R
424,414.,Les Nunamaker (27),102,1916,R
425,414.,Cy Perkins (27),102,1923,R
426,414.,Cy Perkins (28),102,1924,R
427,414.,Wally Schang (27),102,1917,R
428,414.,Wally Schang (32),102,1922,R
429,414.,Ossee Schrecongost (26),102,1901,R
430,414.,Pop Schriver (26),102,1892,R
431,414.,Pop Snyder (22),102,1877,R
432,414.,Gabby Street (28),102,1911,R
433,414.,Zack Taylor (26),102,1925,R
434,414.,Mike Tresh (31),102,1945,R
435,414.,Sam Trott (30),102,1887,L
436,414.,Roxy Walters (23),102,1916,R
437,438.,Walter Blair (27),101,1911,R
438,438.,Doc Bushong (25),101,1882,R
439,438.,Gary Carter+ (23),101,1977,R
440,438.,Verne Clemons (29),101,1921,R
441,438.,George Gibson (31),101,1912,R
442,438.,Barney Gilligan (30),101,1886,R
443,438.,Jocko Milligan (29),101,1891,R
444,438.,Tom Needham (28),101,1907,R
445,438.,Wally Schang (31),101,1921,R
446,438.,Jim Sundberg (24),101,1975,R
447,438.,Ivey Wingo (30),101,1921,R
448,449.,Roger Bresnahan+ (31),100,1910,R
449,449.,Tim Donahue (29),100,1899,R
450,449.,Silver Flint (29),100,1885,R
451,449.,Bill Holbert (31),100,1886,R
452,449.,Paul Lo Duca (31),100,2003,R
453,449.,Deacon McGuire (28),100,1892,R
454,449.,Jocko Milligan (22),100,1884,R
455,449.,Ray Mueller (31),100,1943,R
456,449.,Bob O'Farrell (23),100,1920,R
457,449.,Tony Pena (28),100,1985,R
458,449.,Muddy Ruel (31),100,1927,R
459,449.,Benito Santiago (26),100,1991,R
460,449.,Ossee Schrecongost (24),100,1899,R
461,449.,Chief Zimmer (33),100,1894,R
462,449.,Chief Zimmer (39),100,1900,R
463,464.,Eddie Ainsmith (32),99,1922,R
464,464.,Charlie Armbruster (25),99,1906,R
465,464.,Fred Carroll (20),99,1885,R
466,464.,Gabby Hartnett+ (26),99,1927,R
467,464.,Malachi Kittridge (32),99,1902,R
468,464.,Malachi Kittridge (34),99,1904,R
469,464.,Deacon McGuire (26),99,1890,R
470,464.,Tony Pena (29),99,1986,R
471,464.,Mike Piazza+ (24),99,1993,R
472,464.,Ray Schalk+ (32),99,1925,R
473,464.,Hank Severeid (25),99,1916,R
474,475.,Doc Bushong (27),98,1884,R
475,475.,Lou Criger (37),98,1909,R
476,475.,Tex Erwin (25),98,1911,R
477,475.,John Grim (29),98,1897,R
478,475.,Grover Hartley (27),98,1916,R
479,475.,King Kelly+ (34),98,1892,R
480,475.,Pete Noonan (25),98,1907,R
481,475.,Frank Snyder (27),98,1921,R
482,483.,Fred Abbott (28),97,1903,R
483,483.,Jimmy Archer (26),97,1909,R
484,483.,Charlie Bennett (29),97,1884,R
485,483.,Boileryard Clarke (33),97,1902,R
486,483.,Buck Crouse (27),97,1924,R
487,483.,Bo Diaz (30),97,1983,R
488,483.,Red Dooin (32),97,1911,R
489,483.,George Gibson (25),97,1906,R
490,483.,Mike González (26),97,1917,R
491,483.,Gabby Hartnett+ (23),97,1924,R
492,483.,Fred Jacklitsch (31),97,1907,R
493,483.,Rudy Kemmler (23),97,1883,R
494,483.,Red Kleinow (29),97,1907,R
495,483.,Pat Moran (33),97,1909,R
496,483.,Ed Phelps (25),97,1904,R
497,483.,Wally Schang (23),97,1913,R
498,499.,Frank Bowerman (35),96,1904,R
499,499.,Buck Ewing+ (23),96,1883,R
