,Rank,Player (age that year),Errors Committed as P,Year,Throws
384,373.,Eddie Cicotte (25),9,1909,R
385,373.,John Clarkson+ (32),9,1894,R
386,373.,Phil Collins (30),9,1932,R
387,373.,Jack Coombs (28),9,1911,R
388,373.,Frank Corridon (26),9,1907,R
389,373.,Fritz Coumbe (25),9,1915,L
390,373.,Nick Cullop (26),9,1914,L
391,373.,Bert Cunningham (23),9,1889,R
392,373.,Bert Cunningham (30),9,1896,R
393,373.,Ed Cushman (34),9,1886,L
394,373.,Hooks Dauss (23),9,1913,R
395,373.,George Derby (23),9,1881,R
396,373.,Jim Devlin (27),9,1876,R
397,373.,Red Donahue (25),9,1898,R
398,373.,Red Donahue (30),9,1903,R
399,373.,Don Drysdale+ (28),9,1965,R
400,373.,Bill Duggleby (29),9,1903,R
401,373.,Jimmy Dygert (22),9,1907,R
402,373.,Duke Esper (25),9,1893,L
403,373.,Patsy Flaherty (29),9,1905,L
404,373.,Patsy Flaherty (31),9,1907,L
405,373.,Chick Fraser (25),9,1899,R
406,373.,Chick Fraser (31),9,1905,R
407,373.,Art Fromme (28),9,1912,R
408,373.,Fred Glade (28),9,1904,R
409,373.,Kid Gleason (22),9,1889,R
410,373.,Dolly Gray (31),9,1910,L
411,373.,Clark Griffith+ (25),9,1895,R
412,373.,Clark Griffith+ (26),9,1896,R
413,373.,Clark Griffith+ (29),9,1899,R
414,373.,Bob Groom (27),9,1912,R
415,373.,Lefty Grove+ (27),9,1927,L
416,373.,Ad Gumbert (24),9,1892,R
417,373.,George Haddock (22),9,1889,R
418,373.,Noodles Hahn (23),9,1902,L
419,373.,Noodles Hahn (25),9,1904,L
420,373.,Harry Harper (22),9,1917,L
421,373.,Joe Harris (24),9,1906,R
422,373.,Bill Hoffer (25),9,1896,R
423,373.,Harry Howell (24),9,1901,R
424,373.,Randy Johnson+ (34),9,1998,L
425,373.,Oscar Jones (23),9,1903,R
426,373.,Ray Keating (19),9,1913,R
427,373.,John Kirby (21),9,1886,R
428,373.,Phil Knell (27),9,1892,L
429,373.,Joe Lake (29),9,1910,R
430,373.,Frank Lange (27),9,1911,R
431,373.,Grover Lowdermilk (30),9,1915,R
432,373.,Jim McCormick (22),9,1879,R
433,373.,Joe McGinnity+ (30),9,1901,R
434,373.,Marty McHale (27),9,1914,R
435,373.,Doc McJames (21),9,1896,R
436,373.,Hugh McQuillan (25),9,1921,R
437,373.,Hugh McQuillan (26),9,1922,R
438,373.,Jouett Meekin (31),9,1898,R
439,373.,Andy Messersmith (28),9,1974,R
440,373.,George Mullin (21),9,1902,R
441,373.,Al Orth (30),9,1903,R
442,373.,Al Orth (34),9,1907,R
443,373.,Casey Patten (31),9,1905,L
444,373.,Barney Pelty (23),9,1904,R
445,373.,Pol Perritt (22),9,1914,R
446,373.,Wiley Piatt (28),9,1903,L
447,373.,Bugs Raymond (27),9,1909,R
448,373.,Billy Rhines (26),9,1895,R
449,373.,Jim Scott (25),9,1913,R
450,373.,Ed Seward (22),9,1889,R
451,373.,Jim Shaw (20),9,1914,R
452,373.,Ed Siever (26),9,1901,L
453,373.,Harry Staley (26),9,1893,R
454,373.,Jack Sutthoff (31),9,1904,R
455,373.,Dizzy Trout (30),9,1945,R
456,373.,Lefty Tyler (23),9,1913,L
457,373.,Hippo Vaughn (31),9,1919,L
458,373.,Rube Waddell+ (27),9,1904,L
459,373.,Ed Walsh+ (29),9,1910,R
460,373.,Sam Weaver (26),9,1882,R
461,373.,Jake Weimer (29),9,1903,L
462,373.,Bob Wicker (25),9,1902,R
463,373.,Bob Wicker (26),9,1903,R
464,373.,Wild Bill Widner (22),9,1889,R
465,373.,Stump Weidman (25),9,1886,R
466,373.,Hooks Wiltse (30),9,1910,L
467,373.,Cy Young+ (24),9,1891,R
468,373.,Cy Young+ (30),9,1897,R
469,373.,Cy Young+ (32),9,1899,R
470,373.,Cy Young+ (42),9,1909,R
471,373.,Matt Young (31),9,1990,L
472,473.,Red Ames (24),8,1907,R
473,473.,Red Ames (27),8,1910,R
474,473.,Joaquin Andujar (24),8,1977,R
475,473.,Frank Bates (22),8,1899,R
476,473.,Chief Bender+ (22),8,1906,R
477,473.,Tommy Bond (23),8,1879,R
478,473.,George Bradley (27),8,1880,R
479,473.,Theodore Breitenstein (24),8,1893,L
480,473.,Kevin Brown (27),8,1992,R
481,473.,Jim Buchanan (28),8,1905,R
482,473.,Fred Burchell (28),8,1908,L
