,Rank,Player (age that year),On-Base%,Year,Bats
321,320.,Eddie Yost (23),.4404,1950,R
322,323.,Jesse Burkett+ (32),.4403,1901,L
323,323.,Miguel Cabrera (32),.4403,2015,R
324,325.,Cap Anson+ (37),.4401,1889,R
325,325.,Richie Ashburn+ (31),.4401,1958,L
326,325.,Bob Johnson (33),.4401,1939,R
327,328.,Barry Bonds (35),.4399,2000,L
328,328.,Jimmie Foxx+ (28),.4399,1936,R
329,328.,Buddy Myer (31),.4399,1935,L
330,328.,Jake Stenzel (27),.4399,1894,R
331,332.,Ty Cobb+ (31),.4397,1918,L
332,332.,Bill Joyce (27),.4397,1895,L
333,332.,Jackie Robinson+ (33),.4397,1952,R
334,335.,Joe DiMaggio+ (26),.4396,1941,R
335,335.,Fred Snodgrass (22),.4396,1910,R
336,337.,Ty Cobb+ (40),.4395,1927,L
337,338.,Albert Pujols (23),.4394,2003,R
338,339.,Rickey Henderson+ (31),.4392,1990,R
339,339.,Tris Speaker+ (33),.4392,1921,L
340,341.,Manny Ramirez (34),.4391,2006,R
341,342.,Luke Appling+ (42),.4388,1949,R
342,342.,Frank Thomas+ (24),.4388,1992,R
343,344.,Travis Hafner (29),.4387,2006,L
344,344.,Ken Williams (33),.4387,1923,L
345,346.,Frank Chance+ (26),.4386,1903,R
346,346.,Bob O'Farrell (25),.4386,1922,R
347,348.,Albert Belle (27),.4384,1994,R
348,349.,Max Bishop (28),.4383,1928,L
349,349.,Eddie Collins+ (33),.4383,1920,L
350,349.,Stan Musial+ (28),.4383,1949,L
351,349.,Mike Trout (27),.4383,2019,R
352,353.,Earl Averill+ (34),.4382,1936,L
353,353.,Barry Bonds (33),.4382,1998,L
354,355.,Mookie Betts (25),.4381,2018,R
355,355.,Hank Greenberg+ (27),.4381,1938,R
356,355.,Jim Thome+ (24),.4381,1995,L
357,358.,Kiki Cuyler+ (30),.4379,1929,R
358,358.,Ferris Fain (31),.4379,1952,L
359,358.,Gary Sheffield (31),.4379,2000,R
360,361.,Sam Crawford+ (31),.4378,1911,L
361,361.,Ken Singleton (30),.4378,1977,B
362,363.,Bill Dahlen (26),.4377,1896,R
363,364.,Paul Molitor+ (30),.4376,1987,R
364,365.,Derek Jeter+ (25),.4375,1999,R
365,366.,Luke Appling+ (28),.4374,1935,R
366,366.,Johnny Pesky (31),.4374,1950,L
367,366.,Sammy Sosa (32),.4374,2001,R
368,369.,Paul Waner+ (24),.4373,1927,L
369,370.,Stan Musial+ (29),.4372,1950,L
370,371.,Roy Thomas (27),.4371,1901,L
371,372.,Stan Musial+ (32),.4370,1953,L
372,373.,J.D. Drew (28),.4363,2004,L
373,373.,Hank Greenberg+ (26),.4363,1937,R
374,373.,Chuck Klein+ (25),.4363,1930,L
375,373.,Jim Wynn (27),.4363,1969,R
376,377.,Harry Walker (28),.4362,1947,L
377,377.,Ted Williams+ (20),.4362,1939,L
378,379.,Milton Bradley (30),.4361,2008,B
379,379.,George Brett+ (32),.4361,1985,L
380,379.,Al Simmons+ (25),.4361,1927,R
381,382.,Wally Schang (29),.4360,1919,B
382,383.,Babe Herman (26),.4359,1929,L
383,383.,Yank Robinson (30),.4359,1890,R
384,385.,Bob Nieman (29),.4357,1956,R
385,385.,Eddie Stanky (30),.4357,1946,R
386,387.,Frank Thomas+ (32),.4356,2000,R
387,388.,Mike Schmidt+ (31),.4355,1981,R
388,388.,Cy Williams (37),.4355,1925,L
389,390.,Jason Giambi (31),.4354,2002,L
390,391.,George Harper (35),.4353,1927,L
391,391.,Joey Votto (29),.4353,2013,L
392,393.,Paul Goldschmidt (27),.4352,2015,R
393,393.,Eddie Yost (32),.4352,1959,R
394,395.,Chipper Jones+ (30),.4350,2002,B
395,395.,Mike Smith (25),.4350,1893,L
396,397.,Roger Connor+ (27),.4348,1885,B
397,398.,Bernie Williams (30),.4347,1999,B
398,399.,Cupid Childs (29),.4346,1897,L
399,400.,George Davis+ (23),.4345,1894,B
400,400.,Wally Moon (31),.4345,1961,L
401,402.,Cupid Childs (22),.4343,1890,L
402,402.,Stan Musial+ (25),.4343,1946,L
403,402.,Joey Votto (32),.4343,2016,L
404,405.,Dixie Walker (33),.4342,1944,L
405,406.,Nomar Garciaparra (26),.4341,2000,R
406,406.,George Gore (32),.4341,1886,L
407,408.,Todd Helton (33),.4340,2007,L
408,408.,Jimmy Sheckard (32),.4340,1911,L
409,408.,Honus Wagner+ (26),.4340,1900,R
410,411.,Babe Ruth+ (27),.4338,1922,L
411,412.,Magglio Ordonez (33),.4336,2007,R
412,413.,Hank Greenberg+ (29),.4333,1940,R
413,414.,Cap Anson+ (34),.4329,1886,R
