,Rank,Player (age that year),Bases on Balls,Year,Throws
286,279.,Mike Smith (19),126,1887,L
287,279.,Adonis Terry (24),126,1889,R
288,279.,Lefty Tyler (22),126,1912,L
289,279.,Johnny Vander Meer (26),126,1941,L
290,291.,Bill Bailey (27),125,1915,L
291,291.,Clay Bryant (26),125,1938,R
292,291.,Will Calihan (22),125,1890,R
293,291.,Matt Clement (25),125,2000,R
294,291.,George Earnshaw (29),125,1929,R
295,291.,Jack Easton (25),125,1890,
296,291.,Bill James (28),125,1915,R
297,291.,Silver King (21),125,1889,R
298,291.,Fred Klobedanz (26),125,1897,L
299,291.,Ted Lewis (24),125,1897,R
300,291.,Carl Morton (26),125,1970,R
301,291.,Russ Ortiz (25),125,1999,R
302,291.,Nap Rucker (23),125,1908,L
303,304.,Kid Carsey (20),124,1893,R
304,304.,Cliff Curtis (28),124,1910,R
305,304.,John D'Acquisto (22),124,1974,R
306,304.,Jimmie DeShong (27),124,1937,R
307,304.,Howard Ehmke (26),124,1920,R
308,304.,Vean Gregg (28),124,1913,L
309,304.,Bill Hoffer (24),124,1895,R
310,304.,Charlie Hough (39),124,1987,R
311,304.,Vern Kennedy (30),124,1937,R
312,304.,Vern Kennedy (32),124,1939,R
313,304.,Bob Lemon+ (30),124,1951,R
314,304.,Mickey McDermott (21),124,1950,L
315,304.,Willie Mitchell (24),124,1914,L
316,304.,Chan Ho Park (27),124,2000,R
317,304.,Billy Rhines (22),124,1891,R
318,304.,Virgil Trucks (32),124,1949,R
319,304.,Fernando Valenzuela (26),124,1987,L
320,304.,Johnny Vander Meer (33),124,1948,L
321,304.,Bob Veale (28),124,1964,L
322,323.,Jim Bibby (28),123,1973,R
323,323.,Theodore Breitenstein (29),123,1898,L
324,323.,Sugar Cain (28),123,1935,R
325,323.,Dixie Davis (30),123,1921,R
326,323.,George Haddock (22),123,1889,R
327,323.,Kirby Higbe (24),123,1939,R
328,323.,Brickyard Kennedy (30),123,1898,R
329,323.,Gene Krapp (28),123,1915,R
330,323.,Mark Langston (25),123,1986,L
