,Rank,Player (age that year),Intentional Bases on Balls,Year,Bats
338,339.,Hank Aaron+ (24),16,1958,R
339,339.,Dick Allen (28),16,1970,R
340,339.,Dick Allen (30),16,1972,R
341,339.,Jeff Bagwell+ (31),16,1999,R
342,339.,Ernie Banks+ (32),16,1963,R
343,339.,John Bateman (27),16,1968,R
344,339.,Bruce Benedict (27),16,1983,R
345,339.,George Brett+ (27),16,1980,L
346,339.,Greg Brock (31),16,1988,L
347,339.,Lou Brock+ (35),16,1974,L
348,339.,Ken Caminiti (33),16,1996,B
349,339.,Robinson Cano (30),16,2013,L
350,339.,Leo Cardenas (28),16,1967,R
351,339.,Gary Carter+ (31),16,1985,R
352,339.,Roberto Clemente+ (29),16,1964,R
353,339.,Roberto Clemente+ (34),16,1969,R
354,339.,Jose Cruz (31),16,1979,L
355,339.,Alvin Davis (23),16,1984,L
356,339.,Chili Davis (37),16,1997,B
357,339.,Adam Dunn (29),16,2009,L
358,339.,Leon Durham (28),16,1986,L
359,339.,Johnny Edwards (27),16,1965,L
360,339.,Johnny Edwards (32),16,1970,L
361,339.,Del Ennis (25),16,1950,R
362,339.,George Foster (29),16,1978,R
363,339.,Steve Garvey (30),16,1979,R
364,339.,Jim Gentile (28),16,1962,L
365,339.,Kirk Gibson (28),16,1985,L
366,339.,Pedro Guerrero (26),16,1982,R
367,339.,Vladimir Guerrero+ (33),16,2008,R
368,339.,Tony Gwynn+ (29),16,1989,L
369,339.,Tony Gwynn+ (34),16,1994,L
370,339.,Travis Hafner (29),16,2006,L
371,339.,Bryce Harper (25),16,2018,L
372,339.,Von Hayes (31),16,1990,L
373,339.,Richie Hebner (30),16,1978,L
374,339.,Todd Helton (33),16,2007,L
375,339.,Gil Hodges (28),16,1952,R
376,339.,Ryan Howard (31),16,2011,L
377,339.,Todd Hundley (28),16,1997,B
378,339.,Chipper Jones+ (36),16,2008,B
379,339.,John Kruk (29),16,1990,L
380,339.,John Kruk (30),16,1991,L
381,339.,Ted Kubiak (28),16,1970,B
382,339.,Bill Madlock (31),16,1982,R
383,339.,Eddie Mathews+ (21),16,1953,L
384,339.,Eddie Mathews+ (22),16,1954,L
385,339.,Mike Matheny (32),16,2003,R
386,339.,John Mayberry (26),16,1975,L
387,339.,Willie Mays+ (34),16,1965,R
388,339.,Bill Mazeroski+ (25),16,1962,R
389,339.,Willie McCovey+ (39),16,1977,L
390,339.,Mark McGwire (32),16,1996,R
391,339.,Mark McGwire (33),16,1997,R
392,339.,Johnny Mize+ (28),16,1941,L
393,339.,Paul Molitor+ (34),16,1991,R
394,339.,Justin Morneau (27),16,2008,L
395,339.,Dale Murphy (32),16,1988,R
396,339.,Ron Oester (30),16,1986,B
397,339.,Tony Oliva (29),16,1968,L
398,339.,David Ortiz (39),16,2015,L
