,Rank,Player (age that year),Total Zone Runs,Year,Throws
444,429.,Eric Chavez (27),17,2005,R
445,429.,Shin-Soo Choo (30),17,2013,L
446,429.,Royce Clayton (25),17,1995,R
447,429.,Roberto Clemente+ (30),17,1965,R
448,429.,Rocky Colavito (25),17,1959,R
449,429.,Carl Crawford (26),17,2008,L
450,429.,Vic Davalillo (28),17,1968,L
451,429.,Bucky Dent (26),17,1978,R
452,429.,Damion Easley (28),17,1998,R
453,429.,Adam Eaton (27),17,2016,L
454,429.,Yunel Escobar (29),17,2012,R
455,429.,Steve Finley (34),17,1999,L
456,429.,Scott Fletcher (24),17,1983,R
457,429.,George Foster (28),17,1977,R
458,429.,Troy Glaus (23),17,2000,R
459,429.,Bobby Grich (26),17,1975,R
460,429.,Vladimir Guerrero+ (23),17,1998,R
461,429.,Billy Hamilton (23),17,2014,R
462,429.,J.J. Hardy (33),17,2016,R
463,429.,Bud Harrelson (27),17,1971,R
464,429.,Norris Hopper (28),17,2007,R
465,429.,Glenn Hubbard (27),17,1985,R
466,429.,Brian Hunter (27),17,1998,R
467,429.,Darrin Jackson (27),17,1991,R
468,429.,Kenji Johjima (31),17,2007,R
469,429.,Lance Johnson (32),17,1996,L
470,429.,Andruw Jones (27),17,2004,R
471,429.,Terry Jones (27),17,1998,R
472,429.,Brian Jordan (32),17,1999,R
473,429.,Adam Kennedy (27),17,2003,R
474,429.,Jeff King (32),17,1997,R
475,429.,Mark Lemke (27),17,1993,R
476,429.,Mike Lowell (32),17,2006,R
477,429.,Felix Martinez (26),17,2000,R
478,429.,Willie Mays+ (33),17,1964,R
479,429.,Ken McMullen (25),17,1967,R
480,429.,Max Muncy (28),17,2019,R
481,429.,Dwayne Murphy (31),17,1986,R
482,429.,Ray Oyler (29),17,1967,R
483,429.,Gerardo Parra (26),17,2013,L
484,429.,Jay Payton (31),17,2004,R
485,429.,Jim Piersall (24),17,1954,R
486,429.,Jim Piersall (29),17,1959,R
487,429.,Jim Piersall (30),17,1960,R
488,429.,Jim Piersall (31),17,1961,R
489,429.,Placido Polanco (30),17,2006,R
490,429.,Albert Pujols (28),17,2008,R
491,429.,J.T. Realmuto (28),17,2019,R
492,429.,Cal Ripken Jr.+ (33),17,1994,R
493,429.,Dave Roberts (34),17,2006,L
494,429.,Brooks Robinson+ (23),17,1960,R
495,429.,Brooks Robinson+ (27),17,1964,R
496,429.,Scott Rolen (24),17,1999,R
497,429.,Reggie Sanders (26),17,1994,R
498,429.,Marco Scutaro (32),17,2008,R
499,429.,Terrmel Sledge (27),17,2004,L
